state,action,q_value,selected,visits,mean_reward,rejected_fraction
00,update,4.557105987622652,True,332,0.5979518072289157,0.28313253012048195
00,reset,3.190015735001349,False,15,0.6159999999999999,0.4666666666666667
01,update,4.798664755100718,True,204,0.47803921568627455,0.23039215686274508
01,reset,3.0776545928836136,False,12,0.5216666666666667,0.5833333333333334
10,update,4.526248403038353,True,638,0.5899686520376175,0.26802507836990597
10,reset,4.388261413809864,False,29,0.5655172413793104,0.6206896551724138
11,update,4.856583810168922,True,400,0.52715,0.2775
11,reset,4.050318700030846,False,22,0.5190909090909092,0.6818181818181818
