dataset,detector,comparison,mean_pp,evaluation_sd_pp,fitting_sd_pp
SEA_A,adwin,Screen,0.393439924742478,0.17911713808856833,
SEA_A,adwin,RL2,-0.17819131274000588,0.1452955432717719,0.7006470989183049
SEA_A,adwin,RL4,0.017687512269548566,0.16358370974455572,0.49742909946449987
SEA_A,adwin,F,0.06878359014554913,0.1831970047373665,0.06876799991035663
SEA_A,adwin,F+L,-0.13632393516815888,0.09429515804212894,0.04205888841604708
SEA_A,hddm_w,Screen,0.6487358049437453,0.45253807180951927,
SEA_A,hddm_w,RL2,0.1526376179013078,0.18955224696886216,0.6966282305287299
SEA_A,hddm_w,RL4,0.37698846652547413,0.15453313367671587,0.27104325800966034
SEA_A,hddm_w,F,-0.04471362633322595,0.20106307320235334,0.0551527630306069
SEA_A,hddm_w,F+L,-0.7315356425442343,0.16638312009675912,0.04585246151469525
SEA_A,hellinger,Screen,0.5707918396131828,0.3140882561335119,
SEA_A,hellinger,RL2,0.3392300107238344,0.2835135094882855,0.5714646910368177
SEA_A,hellinger,RL4,0.4007800182645016,0.2578912788274891,0.6002654575959754
SEA_A,hellinger,F,-0.07909747677109502,0.29407249558425175,0.06998113803506026
SEA_A,hellinger,F+L,-0.12261787524316947,0.39633653308542716,0.049085040615740795
SEA_A,d3_oof,Screen,0.7278097868764433,0.23854019175892108,
SEA_A,d3_oof,RL2,0.42531882484335704,0.21073222356120783,0.6196697494513267
SEA_A,d3_oof,RL4,0.41251986446896316,0.2167513489987581,0.602144051177134
SEA_A,d3_oof,F,0.05406358341628614,0.2777974750624095,0.0863480065447095
SEA_A,d3_oof,F+L,-0.0013197428660460808,0.175911798728548,0.06439166549531142
RBF_I,adwin,Screen,-0.49823308934598964,1.1102573985548718,
RBF_I,adwin,RL2,-0.3266869656087801,0.7601499322717526,0.4547561004845056
RBF_I,adwin,RL4,-0.2151298945000102,0.7721178178171211,0.5554590676836305
RBF_I,adwin,F,-0.9388093387892371,0.6707406673424204,0.1322804615939392
RBF_I,adwin,F+L,-1.3408601871435333,0.7971964860904646,0.3114952650741304
RBF_I,hddm_w,Screen,-0.20035025358469127,0.3876170851376681,
RBF_I,hddm_w,RL2,0.20273122233629426,0.5216209796249228,0.4474614296407859
RBF_I,hddm_w,RL4,0.3247987777189154,0.9826264295168601,1.0522902537084837
RBF_I,hddm_w,F,-0.8310956526865865,0.8894301127629264,0.31132407499056364
RBF_I,hddm_w,F+L,-1.0394797939225042,0.3277318857831863,0.12786781964546134
RBF_I,hellinger,Screen,-1.3966105602886136,0.6657240874954271,
RBF_I,hellinger,RL2,-0.29162140872104336,0.8129617128310345,0.5067862449109146
RBF_I,hellinger,RL4,-0.7625550078577015,0.4855775703354419,0.8375823792811814
RBF_I,hellinger,F,-0.839284852636335,0.5931994985620365,0.35926576736499555
RBF_I,hellinger,F+L,-1.0934747330960226,0.6620827534060251,0.3159536361131657
RBF_I,d3_oof,Screen,-1.3855561225830981,0.8893358184676502,
RBF_I,d3_oof,RL2,-0.5524557530181551,0.331273992684864,0.4610079684619163
RBF_I,d3_oof,RL4,-1.6344409384898229,0.700242181146195,0.7192209823551702
RBF_I,d3_oof,F,-0.9242361089435769,0.7096878851219279,0.23784789367412
RBF_I,d3_oof,F+L,-1.289519997655597,0.8698660806420448,0.35675573188321086
radar,adwin,Screen,-5.460648555958331,2.0478315462964756,
radar,adwin,RL2,0.7250310794346682,1.0344532070034655,0.4871913992617449
radar,adwin,RL4,0.40505803178994826,0.7018653383554811,0.25403533986109206
radar,adwin,F,-0.08288821313852945,0.6031211426101669,0.400259162965099
radar,adwin,F+L,-0.5802279772403995,0.7006184506163307,1.0702322533885456
radar,hddm_w,Screen,-5.046195987581398,1.2283812680704542,
radar,hddm_w,RL2,1.6913134607121987,1.2491137441749183,1.8785872491778823
radar,hddm_w,RL4,0.14599068309149865,1.4092854717714103,0.5056387491257064
radar,hddm_w,F,0.1106345750887694,0.9157389339266662,0.5200465690855489
radar,hddm_w,F+L,-0.6533206750481413,1.28656264755128,0.6906299127443648
radar,hellinger,Screen,-3.5554381579425085,0.9346490741997777,
radar,hellinger,RL2,1.621216164131778,2.628666751943296,2.4714348752437374
radar,hellinger,RL4,1.4715351361633489,2.7647111509179902,2.7351323690408638
radar,hellinger,F,0.19629152782151826,2.390147412724842,0.33308732200870106
radar,hellinger,F+L,-2.210946051448312,2.3294417453822738,1.2816342717287525
radar,d3_oof,Screen,-4.202457574884233,0.7458859980787048,
radar,d3_oof,RL2,-1.9354005711969906,1.5489861619237255,2.0179181256220526
radar,d3_oof,RL4,-2.0317945221363987,1.438557611745584,2.075304837624542
radar,d3_oof,F,0.21952662315923854,2.044096353382831,0.6346600751634228
radar,d3_oof,F+L,-2.119640276944021,2.024274692437021,2.0260284743687667
