stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,host_rows,status,folder
SEA_A,instance,severe,9913.0,553344547.0,,SEA_A__s9913,SEA_A__s9913__instance__severe,10450,complete,results/per_dataset_study/integration_full_study/filters/profiles/SEA_A/SEA_A__s9913__instance__severe
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,10450,complete,results/per_dataset_study/integration_full_study/filters/profiles/SEA_A/SEA_A__s9913__clean__none
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,10450,complete,results/per_dataset_study/integration_full_study/filters/profiles/RBF_I/RBF_I__s9913__instance__severe
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,10450,complete,results/per_dataset_study/integration_full_study/filters/profiles/RBF_I/RBF_I__s9913__clean__none
radar,clean,none,,,,radar__evaluation,radar__evaluation__clean__none__aNone,9230,complete,results/per_dataset_study/integration_full_study/filters/profiles/radar/radar__evaluation__clean__none__aNone
radar,instance,severe,,3068245370.0,0.0,radar__evaluation,radar__evaluation__instance__severe__a0,9230,complete,results/per_dataset_study/integration_full_study/filters/profiles/radar/radar__evaluation__instance__severe__a0
