stream,mode,level,detector,filter,metric,mean,std,min,max,count
RBF_I,clean,none,d3_oof,learned_features_label,legitimate_withhold_rate_difference,-0.0001747340238145434,0.02770702917471991,-0.02796871697315581,0.02744451490171218,3
RBF_I,clean,none,d3_oof,learned_features_label,macro_f1_difference,-0.004004190823470625,0.0057198162516458465,-0.010555037694619518,0.0,3
RBF_I,clean,none,d3_oof,learned_features_label,macro_precision_difference,-0.00454695365394923,0.006631043571985386,-0.012155657580607326,0.0,3
RBF_I,clean,none,d3_oof,learned_features_label,macro_recall_difference,-0.0037177282811905097,0.00528020449251648,-0.00976161712938528,0.0,3
RBF_I,clean,none,d3_oof,learned_features_label,malicious_precision_difference,,,,,0
RBF_I,clean,none,d3_oof,learned_features_label,malicious_recall_difference,,,,,0
RBF_I,clean,none,d3_oof,learned_features_label,poison_admission_rate_difference,,,,,0
RBF_I,clean,none,d3_oof,learned_features_label,roc_auc_difference,-0.0032294295671344564,0.004933418462126487,-0.0089082194269815,0.0,3
RBF_I,clean,none,d3_oof,none,accuracy_difference,0.00041992531529622124,0.0136679122843038,-0.013033185373071299,0.014292961318959962,3
RBF_I,clean,none,d3_oof,none,average_precision_difference,-0.0008168339954186162,0.016065376803477808,-0.017275045960842283,0.014824543974586435,3
RBF_I,clean,none,d3_oof,none,benign_fpr_difference,,,,,0
RBF_I,clean,none,d3_oof,none,legitimate_withhold_rate_difference,0.010709504685408303,0.018549406239024128,0.0,0.03212851405622491,3
RBF_I,clean,none,d3_oof,none,macro_f1_difference,-4.7111018732448606e-05,0.014337061770775978,-0.014407670246902038,0.014266337190704692,3
RBF_I,clean,none,d3_oof,none,macro_precision_difference,0.00015885860373883917,0.013922254953391494,-0.013683287290656265,0.014159863101872783,3
RBF_I,clean,none,d3_oof,none,macro_recall_difference,-0.0004398865056218411,0.014715675193022219,-0.01537057315511936,0.014050913638253837,3
RBF_I,clean,none,d3_oof,none,malicious_precision_difference,,,,,0
RBF_I,clean,none,d3_oof,none,malicious_recall_difference,,,,,0
RBF_I,clean,none,d3_oof,none,poison_admission_rate_difference,,,,,0
RBF_I,clean,none,d3_oof,none,roc_auc_difference,0.0018358334887700705,0.004953277420905086,-0.0019374376504817103,0.0074449381167919215,3
RBF_I,clean,none,hddm_w,learned_features,accuracy_difference,-0.009835834566335485,0.010445068339416932,-0.021538786725850745,-0.001458465440710155,3
RBF_I,clean,none,hddm_w,learned_features,average_precision_difference,-0.0209123471728635,0.003752023403277052,-0.025080329552844782,-0.017804333630156433,3
RBF_I,clean,none,hddm_w,learned_features,benign_fpr_difference,,,,,0
RBF_I,clean,none,hddm_w,learned_features,legitimate_withhold_rate_difference,0.062013668709927465,0.014092273561710259,0.045850771507081,0.07172690763052209,3
RBF_I,clean,none,hddm_w,learned_features,macro_f1_difference,-0.009907293124017391,0.010304369140291137,-0.02155502757927108,-0.0019792075321739544,3
RBF_I,clean,none,hddm_w,learned_features,macro_precision_difference,-0.010678047750676415,0.009404053669414457,-0.02152034386452084,-0.004737586058257248,3
