condition,stream,mode,level,base_key,attack_seed,activation_row,host_rows,detector,filter,accuracy,macro_precision,macro_recall,macro_f1,malicious_precision,malicious_recall,benign_fpr,roc_auc,average_precision,poison_admission_rate,legitimate_withhold_rate,filter_poison_recall,filter_legitimate_rejection,filter_rows_withheld,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,scored_resets,source_summary_sha256,source_predictions_sha256,scoring_mask_sha256,withholding_mask_sha256,reused_frozen_inference
RBF_I__base_s0__instance__moderate__a0,RBF_I,instance,moderate,RBF_I__base_s0,0.0,1000,236550,none,learned_features_label,0.6561910801099133,0.6627127342114305,0.6553332564246325,0.6565289265254339,,,,0.8585539395084187,0.7057894606385235,0.7693388011909443,0.23978342655811455,0.0006741194314926127,0.014665485598264227,2971,250000,234529,181104,0,0,15.347264957999869,False,12500,none,True,0,04cfa1d1279ec2be56e35f023c5577a884ae951784ef770956e00c7cb48de3c5,1066b12b809829a2a551d1f130841bb718dde7a22544361e35ac9df601e09e67,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,0ca18315a527383fc86006a806c08a974f9472cfdb64fab9ba5a4f2257c7fd62,True
RBF_I__base_s0__instance__moderate__a0,RBF_I,instance,moderate,RBF_I__base_s0,0.0,1000,236550,none,none,0.656127668569013,0.6595056523341776,0.6564810632210278,0.6572114929007422,,,,0.8577297572567536,0.7027175363100149,0.7983821133644178,0.20065887692338316,0.0,0.0,0,250000,237500,190000,0,0,17.01860549999992,False,12500,none,True,0,09420fb21c294451588e910e638cc5808333e91eb53f7a50f429feb80481bd76,9220e2610245c6e370b4c0944adf883c39419bc969f329baa1440ea06d27e074,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True
RBF_I__base_s0__instance__severe__a0,RBF_I,instance,severe,RBF_I__base_s0,0.0,1000,236550,none,learned_features,0.6303149439864723,0.6405239370152673,0.6299372141543539,0.6318540040810644,,,,0.8439238867030054,0.6713939067063328,0.7313523347483323,0.27015114060930323,0.04335961188599151,0.04381836036707189,10338,250000,227162,173685,0,0,15.320024958000431,False,12500,none,True,0,6c82509617c7f09591a7a0490a03ad32aefd70dbf99fef7d9648a42723e23f8e,e15182e6608d9237215d6468719217974569814324d38084a96882b7989c9e1c,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,2dc240baeff59391a331b466fa4e30a173c7cbe966f6fd726af016f731d4fad2,True
RBF_I__base_s0__instance__severe__a0,RBF_I,instance,severe,RBF_I__base_s0,0.0,1000,236550,none,learned_features_label,0.6440118368209681,0.6588710507530479,0.6424885022383421,0.6454722527700858,,,,0.8462701472054249,0.6806701884727492,0.7616568964355501,0.24770580068402695,0.0006738090425173506,0.01466255798990891,2638,250000,234862,179461,0,0,15.809500832999674,False,12500,none,True,0,7eb5927ca272245034d5008d3c76ea056fac2e970c89c24b6705869a4913bb2c,ea32340add14f364d017747ef063d33e51ac0d63de0e4d8db476c38f02858c2a,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,ac12cb7d3bb88e4179523e2395b58f0d09f706de83511bee338bb82b7db272ec,True
RBF_I__base_s0__instance__severe__a0,RBF_I,instance,severe,RBF_I__base_s0,0.0,1000,236550,none,none,0.6380131050517861,0.6484213034087077,0.6378539832804011,0.6392939628628248,,,,0.8411724012236197,0.6708015836205745,0.7604945758372077,0.2360908875419051,0.0,0.0,0,250000,237500,181450,0,0,16.869561583000177,False,12500,none,True,0,2ee8b92bd786471ed7b710bfa3e9fdd99f297deef5f5d3dde0cac854b6b13099,1f4d9fde3408de6d520107469c879c48fd0b722c2271a6499e28a90bb4fea2da,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,RBF_I__base_s0,0.0,1000,200909,none,learned_features,0.6678695329726394,0.6687798608806931,0.6673123392044544,0.6674607689763496,,,,0.8609554729811915,0.7092614491100204,0.7281782217109509,0.20705891722122952,0.04410650655144356,0.04431857208985163,10476,250000,227024,186212,0,0,16.439337457999954,False,12500,none,True,0,a3bb3b3651acae62f2fb89b52244985b2b16fcaeacbc0cd1393175213b545285,5ad35858cd62b70b646b5431d3f507b5780281a30d492fc845c7b0b16e4866a1,34d01bb3d862022e67a5b172b893786deb5560f01f8026d6dc1800a9500db929,cf1c6f3cc2c28848e46877400bbbd2c549eedaacb5710b24535ecd335c09021d,True
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,RBF_I__base_s0,0.0,1000,200909,none,learned_features_label,0.6722794897192261,0.6740169782134757,0.672741066303421,0.6726224064105766,,,,0.8637718335567732,0.717496488362418,0.5687270278611711,0.21082181485149992,0.015543896074745378,0.01471312882947006,3510,250000,233990,179773,0,0,16.526454042000296,False,12500,none,True,0,780874992697bad8574fd8dba9c508423f73bcafae5ea3e888a54f00c383f101,101560fbac756aa8bc0c811a035e294ee7e470466c859e77ebc899e82deebad8,34d01bb3d862022e67a5b172b893786deb5560f01f8026d6dc1800a9500db929,d91b2a680b4c466137f0a2013523f5dc4e5b9373977f724e57f8815d09ad3dd4,True
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,RBF_I__base_s0,0.0,1000,200909,none,none,0.6652663643739205,0.6666774824900006,0.6662230070670201,0.6658849746082356,,,,0.8619970101138416,0.7117942963266494,0.6289385819702028,0.31718340144045315,0.0,0.0,0,250000,237500,160550,0,0,15.780548583999916,False,12500,none,True,0,637ca94284681d99f374824e62320f6e9829eab31113f0a10fc3e6cd33bf0983,c70c4aa327008d52d16d86ae63efacc2254fa80e5a4403f8ca7284030f1e2933,34d01bb3d862022e67a5b172b893786deb5560f01f8026d6dc1800a9500db929,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,RBF_I__base_s0,0.0,1000,177086,none,learned_features,0.6516833628858295,0.6519557862220576,0.651884149102828,0.6514135727518354,,,,0.8506711536262165,0.6913327732830576,0.6340474909188752,0.24981082637814395,0.045506524956276065,0.044938617394938055,10664,250000,226836,171501,0,0,16.378394625000055,False,12500,none,True,0,71ffb372a1b58ddcddce1c658798010043828b1c89c4e26cb5819f0a0dd9d577,9faa9d8b4c4cfa1426164a58b50156cf59a7c7adc01581ed3a531f3458cb9f9a,e7325aaf873709e64d232818a2d0f8ea3e5a8cdfc638cd6ae64fb2e30703b426,2405733b804519e35e76ee4f954fe6797097ec2cb7725f86eaffdab96ddb8ab2,True
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,RBF_I__base_s0,0.0,1000,177086,none,learned_features_label,0.6402313000463051,0.6408341793229893,0.6408642465984882,0.6403588928784356,,,,0.8481005502093644,0.6852102841992496,0.5272601910399569,0.3159481833685328,0.01574061617112875,0.015139536722270535,3617,250000,233883,153439,0,0,15.042546958999992,False,12500,none,True,0,46f73ea7ac45221d2132bdd5e0f374dd1ff86bc9ef658cfbabef180d416f1395,84f3cb950f33fc27108ea56003f799a042b6feb40d2fd61bcd1d40e9a112bacf,e7325aaf873709e64d232818a2d0f8ea3e5a8cdfc638cd6ae64fb2e30703b426,1710229b249982a81265aab4116ede42cdc13158bcb450a0c15771f20952510d,True
