stream,detector,filter,population,accuracy_confirmed,accuracy_no_reset,accuracy_difference,macro_f1_confirmed,macro_f1_no_reset,macro_f1_difference,macro_precision_confirmed,macro_precision_no_reset,macro_precision_difference,macro_recall_confirmed,macro_recall_no_reset,macro_recall_difference,roc_auc_confirmed,roc_auc_no_reset,roc_auc_difference,average_precision_confirmed,average_precision_no_reset,average_precision_difference,malicious_precision_confirmed,malicious_precision_no_reset,malicious_precision_difference,malicious_recall_confirmed,malicious_recall_no_reset,malicious_recall_difference,benign_fpr_confirmed,benign_fpr_no_reset,benign_fpr_difference,poison_admission_rate_confirmed,poison_admission_rate_no_reset,poison_admission_rate_difference,legitimate_withhold_rate_confirmed,legitimate_withhold_rate_no_reset,legitimate_withhold_rate_difference
RBF_I,adwin,learned_features,attacked,0.6415734151124958,0.6525518896724548,-0.010978474559959076,0.640363595834729,0.6518273389145112,-0.011463743079782214,0.6445382531125835,0.6553623659939705,-0.010824112881386934,0.6398047585796776,0.6517635509351548,-0.011958792355477353,0.8433397348613977,0.8508907746793578,-0.007551039817960175,0.6800987429889296,0.6963588733950979,-0.016260130406168454,,,,,,,,,,0.620481164947048,0.6851653747395097,-0.06468420979246177,0.28919205663446246,0.25847442102346335,0.03071763561099915
RBF_I,adwin,learned_features,clean,0.6607834848164589,0.6656647643204396,-0.0048812795039807995,0.6594732912567643,0.6649083854064157,-0.005435094149651376,0.6623272497318468,0.6674752272216967,-0.0051479774898500015,0.658609273504451,0.6641810554105386,-0.005571781906087647,0.8572995615235891,0.8611481763992556,-0.003848614875666493,0.7069438498197028,0.7182535536289719,-0.011309703809269175,,,,,,,,,,,,,0.2678743042344818,0.2537574860846896,0.014116818149792163
RBF_I,adwin,learned_features_label,attacked,0.6373517087674098,0.6526144859309142,-0.015262777163504463,0.635878857364811,0.6513442775689812,-0.015465420204170263,0.6418452804157422,0.6567236305653438,-0.014878350149601519,0.6359989600589627,0.6518569301513438,-0.015857970092381043,0.8404272121869232,0.8498743707232098,-0.009447158536286656,0.6743925353339879,0.6946890726536049,-0.020296537319616944,,,,,,,,,,0.6345235692197646,0.6871459299922001,-0.052622360772435456,0.28078129758310094,0.2456834920539647,0.03509780552913623
RBF_I,adwin,learned_features_label,clean,0.6666103008525329,0.6742746424293665,-0.007664341576833637,0.6657808813648497,0.6736290825060828,-0.00784820114123308,0.6681171831625149,0.6765023148888737,-0.008385131726358797,0.6658853398801283,0.6734009802884117,-0.007515640408283342,0.8604327702455158,0.8642825324221555,-0.0038497621766396075,0.7120356386213139,0.7237983173820522,-0.011762678760738296,,,,,,,,,,,,,0.2628422461776932,0.2343056436271401,0.028536602550553163
RBF_I,adwin,none,attacked,0.6492217333344501,0.6573992735486321,-0.008177540214182063,0.6483902914820201,0.6569983734499916,-0.008608081967971465,0.6515006138958713,0.6599888538363102,-0.00848823994043895,0.6484543368886223,0.6570438438590253,-0.008589506970403029,0.8490760625198527,0.8540223359022184,-0.004946273382365769,0.6900033264720689,0.70139773512077,-0.01139440864870101,,,,,,,,,,0.6301172013450027,0.7212658643747161,-0.09114866302971346,0.2532212262467761,0.231705942001644,0.021515284245132105
RBF_I,adwin,none,clean,0.6880011273162827,0.6869400408652152,0.0010610864510673945,0.6870581595475339,0.6864901552363382,0.0005680043111957467,0.688930772397469,0.6881779537107521,0.0007528186867169125,0.6865706175403394,0.6862698066134673,0.0003008109268721748,0.8720279951409706,0.8706776669301869,0.0013503282107835874,0.7377849280780843,0.7392376430067052,-0.0014527149286208314,,,,,,,,,,,,,0.21820615796519408,0.18875502008032122,0.029451137884872847
RBF_I,d3_oof,learned_features,attacked,0.6507418229857674,0.6525518896724548,-0.0018100666866874527,0.6500155056749796,0.6518273389145112,-0.0018118332395316201,0.6540180026084365,0.6553623659939705,-0.0013443633855340026,0.6498674126417678,0.6517635509351548,-0.0018961382933870223,0.8498372822292461,0.8508907746793578,-0.001053492450111746,0.6941397765036107,0.6963588733950979,-0.0022190968914871565,,,,,,,,,,0.6781069595707842,0.6851653747395097,-0.007058415168725567,0.26121178110086024,0.25847442102346335,0.0027373600773969286
RBF_I,d3_oof,learned_features,clean,0.6688184316212218,0.6656647643204396,0.003153667300782111,0.6684228949385123,0.6649083854064157,0.0035145095320965325,0.6704961017451514,0.6674752272216967,0.003020874523454601,0.667839771359045,0.6641810554105386,0.0036587159485063823,0.8629233278368694,0.8611481763992556,0.0017751514376138644,0.7207916539837145,0.7182535536289719,0.0025381003547425562,,,,,,,,,,,,,0.21777636863242436,0.2537574860846896,-0.03598111745226524
RBF_I,d3_oof,learned_features_label,attacked,0.6512659442236256,0.6526144859309142,-0.0013485417072885912,0.6498521891637304,0.6513442775689812,-0.001492088405250811,0.6552992195269934,0.6567236305653438,-0.0014244110383503001,0.6501810252939996,0.6518569301513438,-0.001675904857344226,0.8493786834377749,0.8498743707232098,-0.0004956872854349697,0.6926933858124901,0.6946890726536049,-0.00199568684111481,,,,,,,,,,0.689107876869398,0.6871459299922001,0.001961946877197892,0.24934122258669414,0.2456834920539647,0.0036577305327294683
RBF_I,d3_oof,learned_features_label,clean,0.6701317550905376,0.6742746424293665,-0.004142887338828986,0.6696248916826121,0.6736290825060828,-0.004004190823470625,0.6719553612349244,0.6765023148888737,-0.00454695365394923,0.6696832520072212,0.6734009802884117,-0.0037177282811905097,0.8610531028550209,0.8642825324221555,-0.0032294295671344564,0.7191282701209366,0.7237983173820522,-0.004670047261115677,,,,,,,,,,,,,0.23413090960332553,0.2343056436271401,-0.0001747340238145434
