state,action,q_value,selected,visits,mean_reward,rejected_fraction
00,update,4.385148022852666,True,754,0.5691777188328913,0.26525198938992045
00,reset,4.300739060196916,False,281,0.5570818505338078,0.4626334519572954
01,update,3.430735954579423,False,16,0.5137499999999999,0.375
01,reset,4.627134268965983,True,530,0.4969433962264151,0.6056603773584905
10,update,3.7206646381455295,True,26,0.5392307692307692,0.07692307692307693
10,reset,0.0,False,0,,
11,update,4.160581334716303,True,44,0.4540909090909091,0.36363636363636365
11,reset,0.3589558154241055,False,1,0.42,1.0
