stream,mode,level,detector,filter,accuracy_confirmed,accuracy_no_reset,accuracy_difference,macro_f1_confirmed,macro_f1_no_reset,macro_f1_difference,macro_precision_confirmed,macro_precision_no_reset,macro_precision_difference,macro_recall_confirmed,macro_recall_no_reset,macro_recall_difference,roc_auc_confirmed,roc_auc_no_reset,roc_auc_difference,average_precision_confirmed,average_precision_no_reset,average_precision_difference,malicious_precision_confirmed,malicious_precision_no_reset,malicious_precision_difference,malicious_recall_confirmed,malicious_recall_no_reset,malicious_recall_difference,benign_fpr_confirmed,benign_fpr_no_reset,benign_fpr_difference,poison_admission_rate_confirmed,poison_admission_rate_no_reset,poison_admission_rate_difference,legitimate_withhold_rate_confirmed,legitimate_withhold_rate_no_reset,legitimate_withhold_rate_difference,category
RBF_I,clean,none,adwin,learned_features,0.6607834848164589,0.6656647643204396,-0.0048812795039807995,0.6594732912567643,0.6649083854064157,-0.005435094149651376,0.6623272497318468,0.6674752272216967,-0.0051479774898500015,0.658609273504451,0.6641810554105386,-0.005571781906087647,0.8572995615235891,0.8611481763992556,-0.003848614875666493,0.7069438498197028,0.7182535536289719,-0.011309703809269175,,,,,,,,,,,,,0.2678743042344818,0.2537574860846896,0.014116818149792163,0
RBF_I,clean,none,adwin,learned_features_label,0.6666103008525329,0.6742746424293665,-0.007664341576833637,0.6657808813648497,0.6736290825060828,-0.00784820114123308,0.6681171831625149,0.6765023148888737,-0.008385131726358797,0.6658853398801283,0.6734009802884117,-0.007515640408283342,0.8604327702455158,0.8642825324221555,-0.0038497621766396075,0.7120356386213139,0.7237983173820522,-0.011762678760738296,,,,,,,,,,,,,0.2628422461776932,0.2343056436271401,0.028536602550553163,0
RBF_I,clean,none,adwin,none,0.6880011273162827,0.6869400408652152,0.0010610864510673945,0.6870581595475339,0.6864901552363382,0.0005680043111957467,0.688930772397469,0.6881779537107521,0.0007528186867169125,0.6865706175403394,0.6862698066134673,0.0003008109268721748,0.8720279951409706,0.8706776669301869,0.0013503282107835874,0.7377849280780843,0.7392376430067052,-0.0014527149286208314,,,,,,,,,,,,,0.21820615796519408,0.18875502008032122,0.029451137884872847,0
RBF_I,clean,none,d3_oof,learned_features,0.6688184316212218,0.6656647643204396,0.003153667300782111,0.6684228949385123,0.6649083854064157,0.0035145095320965325,0.6704961017451514,0.6674752272216967,0.003020874523454601,0.667839771359045,0.6641810554105386,0.0036587159485063823,0.8629233278368694,0.8611481763992556,0.0017751514376138644,0.7207916539837145,0.7182535536289719,0.0025381003547425562,,,,,,,,,,,,,0.21777636863242436,0.2537574860846896,-0.03598111745226524,0
RBF_I,clean,none,d3_oof,learned_features_label,0.6701317550905376,0.6742746424293665,-0.004142887338828986,0.6696248916826121,0.6736290825060828,-0.004004190823470625,0.6719553612349244,0.6765023148888737,-0.00454695365394923,0.6696832520072212,0.6734009802884117,-0.0037177282811905097,0.8610531028550209,0.8642825324221555,-0.0032294295671344564,0.7191282701209366,0.7237983173820522,-0.004670047261115677,,,,,,,,,,,,,0.23413090960332553,0.2343056436271401,-0.0001747340238145434,0
RBF_I,clean,none,d3_oof,none,0.6873599661805114,0.6869400408652152,0.00041992531529622124,0.6864430442176057,0.6864901552363382,-4.7111018732448606e-05,0.6883368123144908,0.6881779537107521,0.00015885860373883917,0.6858299201078454,0.6862698066134673,-0.0004398865056218411,0.872513500418957,0.8706776669301869,0.0018358334887700705,0.7384208090112865,0.7392376430067052,-0.0008168339954186162,,,,,,,,,,,,,0.19946452476572954,0.18875502008032122,0.010709504685408303,0
RBF_I,clean,none,hddm_w,learned_features,0.6558289297541041,0.6656647643204396,-0.009835834566335485,0.6550010922823982,0.6649083854064157,-0.009907293124017391,0.6567971794710203,0.6674752272216967,-0.010678047750676415,0.6554274636580865,0.6641810554105386,-0.008753591752452236,0.8545027119724894,0.8611481763992556,-0.006645464426766205,0.6973412064561084,0.7182535536289719,-0.0209123471728635,,,,,,,,,,,,,0.3157711547946171,0.2537574860846896,0.062013668709927465,0
RBF_I,clean,none,hddm_w,learned_features_label,0.6630888466145283,0.6742746424293665,-0.011185795814838287,0.6624315846069325,0.6736290825060828,-0.01119749789915018,0.6645811780193435,0.6765023148888737,-0.011921136869530188,0.6627107980933545,0.6734009802884117,-0.010690182195057166,0.8589550291888948,0.8642825324221555,-0.0053275032332606624,0.7079981498902285,0.7237983173820522,-0.01580016749182389,,,,,,,,,,,,,0.27957725639399705,0.2343056436271401,0.04527161276685695,0
RBF_I,clean,none,hddm_w,none,0.67906855492144,0.6869400408652152,-0.007871485943775144,0.6783713674815249,0.6864901552363382,-0.00811878775481334,0.6803369143513698,0.6881779537107521,-0.00784103935938226,0.6779768207458323,0.6862698066134673,-0.008292985867634902,0.8668942492634363,0.8706776669301869,-0.003783417666750758,0.7298867135043959,0.7392376430067052,-0.009350929502309277,,,,,,,,,,,,,0.24497991967871482,0.18875502008032122,0.0562248995983936,0
RBF_I,clean,none,hellinger,learned_features,0.667247234552244,0.6656647643204396,0.00158247023180443,0.6668315715724397,0.6649083854064157,0.001923186166023938,0.6687328575070676,0.6674752272216967,0.0012576302853708106,0.6663534402625086,0.6641810554105386,0.0021723848519700217,0.8624997025792016,0.8611481763992556,0.001351526179946087,0.72068686703241,0.7182535536289719,0.0024333134034381456,,,,,,,,,,,,,0.23098992461072357,0.2537574860846896,-0.022767561473966042,0
