stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,host_rows,status,folder
SEA_A,splice,severe,119.0,2268888980.0,,SEA_A__s119,SEA_A__s119__splice__severe,41783,complete,results/per_dataset_study/filters/profiles/SEA_A/SEA_A__s119__splice__severe
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s115__clean__none
RBF_I,instance,moderate,115.0,2781123431.0,,RBF_I__s115,RBF_I__s115__instance__moderate,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s115__instance__moderate
RBF_I,concept,moderate,115.0,816888935.0,,RBF_I__s115,RBF_I__s115__concept__moderate,47503,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s115__concept__moderate
RBF_I,instance,severe,115.0,2375605529.0,,RBF_I__s115,RBF_I__s115__instance__severe,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s115__instance__severe
RBF_I,concept,severe,115.0,1773327730.0,,RBF_I__s115,RBF_I__s115__concept__severe,41852,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s115__concept__severe
RBF_I,clean,none,116.0,,,RBF_I__s116,RBF_I__s116__clean__none,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s116__clean__none
RBF_I,splice,moderate,115.0,1439472368.0,,RBF_I__s115,RBF_I__s115__splice__moderate,47514,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s115__splice__moderate
RBF_I,splice,severe,115.0,1488950345.0,,RBF_I__s115,RBF_I__s115__splice__severe,41807,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s115__splice__severe
RBF_I,instance,moderate,116.0,2934809029.0,,RBF_I__s116,RBF_I__s116__instance__moderate,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s116__instance__moderate
RBF_I,instance,severe,116.0,1132950715.0,,RBF_I__s116,RBF_I__s116__instance__severe,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s116__instance__severe
RBF_I,concept,moderate,116.0,3612327157.0,,RBF_I__s116,RBF_I__s116__concept__moderate,47500,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s116__concept__moderate
RBF_I,concept,severe,116.0,87307388.0,,RBF_I__s116,RBF_I__s116__concept__severe,41806,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s116__concept__severe
RBF_I,splice,moderate,116.0,2889189400.0,,RBF_I__s116,RBF_I__s116__splice__moderate,47517,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s116__splice__moderate
RBF_I,clean,none,117.0,,,RBF_I__s117,RBF_I__s117__clean__none,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s117__clean__none
RBF_I,instance,moderate,117.0,670137400.0,,RBF_I__s117,RBF_I__s117__instance__moderate,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s117__instance__moderate
RBF_I,splice,severe,116.0,51810913.0,,RBF_I__s116,RBF_I__s116__splice__severe,41774,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s116__splice__severe
RBF_I,instance,severe,117.0,2977372565.0,,RBF_I__s117,RBF_I__s117__instance__severe,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s117__instance__severe
RBF_I,splice,moderate,117.0,559821452.0,,RBF_I__s117,RBF_I__s117__splice__moderate,47507,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s117__splice__moderate
RBF_I,concept,moderate,117.0,1695553040.0,,RBF_I__s117,RBF_I__s117__concept__moderate,47497,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s117__concept__moderate
RBF_I,concept,severe,117.0,4269849707.0,,RBF_I__s117,RBF_I__s117__concept__severe,41821,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s117__concept__severe
RBF_I,splice,severe,117.0,3664738830.0,,RBF_I__s117,RBF_I__s117__splice__severe,41836,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s117__splice__severe
RBF_I,clean,none,118.0,,,RBF_I__s118,RBF_I__s118__clean__none,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s118__clean__none
