epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon,variant
0,SEA_A__s112__clean__none,27,adwin,SEA_A,53.48,57000,1,2,0.1,alarm
0,SEA_A__s112__instance__severe,27,adwin,SEA_A,53.4,57000,4,2,0.1,alarm
0,SEA_A__s112__splice__severe,27,adwin,SEA_A,53.78,57000,1,2,0.1,alarm
0,SEA_A__s112__concept__moderate,27,adwin,SEA_A,52.94,57000,0,2,0.1,alarm
0,SEA_A__s112__concept__severe,27,adwin,SEA_A,53.54,57000,1,2,0.1,alarm
0,SEA_A__s112__splice__moderate,27,adwin,SEA_A,53.68,57000,2,2,0.1,alarm
1,SEA_A__s112__clean__none,27,adwin,SEA_A,54.02,57000,2,2,0.1,alarm
1,SEA_A__s112__splice__severe,27,adwin,SEA_A,53.88,57000,1,2,0.1,alarm
1,SEA_A__s112__concept__severe,27,adwin,SEA_A,53.78,57000,0,2,0.1,alarm
1,SEA_A__s112__instance__moderate,27,adwin,SEA_A,53.96,57000,2,2,0.1,alarm
1,SEA_A__s112__instance__severe,27,adwin,SEA_A,53.5,57000,1,2,0.1,alarm
1,SEA_A__s112__concept__moderate,27,adwin,SEA_A,53.14,57000,1,2,0.1,alarm
1,SEA_A__s112__splice__moderate,27,adwin,SEA_A,53.7,57000,2,2,0.1,alarm
2,SEA_A__s112__instance__severe,27,adwin,SEA_A,53.84,57000,2,2,0.1,alarm
2,SEA_A__s112__splice__severe,27,adwin,SEA_A,54.02,57000,3,2,0.1,alarm
2,SEA_A__s112__concept__severe,27,adwin,SEA_A,54.0,57000,11,2,0.1,alarm
2,SEA_A__s112__concept__moderate,27,adwin,SEA_A,54.08,57000,15,2,0.1,alarm
2,SEA_A__s112__clean__none,27,adwin,SEA_A,53.86,57000,1,2,0.1,alarm
2,SEA_A__s112__splice__moderate,27,adwin,SEA_A,54.1,57000,35,2,0.1,alarm
2,SEA_A__s112__instance__moderate,27,adwin,SEA_A,53.84,57000,1,2,0.1,alarm
3,SEA_A__s112__concept__moderate,27,adwin,SEA_A,54.08,57000,15,2,0.1,alarm
3,SEA_A__s112__clean__none,27,adwin,SEA_A,54.26,57000,39,2,0.1,alarm
3,SEA_A__s112__instance__moderate,27,adwin,SEA_A,54.38,57000,28,2,0.1,alarm
3,SEA_A__s112__instance__severe,27,adwin,SEA_A,53.52,57000,1,2,0.1,alarm
3,SEA_A__s112__splice__severe,27,adwin,SEA_A,54.14,57000,29,2,0.1,alarm
3,SEA_A__s112__splice__moderate,27,adwin,SEA_A,53.52,57000,2,2,0.1,alarm
3,SEA_A__s112__concept__severe,27,adwin,SEA_A,54.0,57000,9,2,0.1,alarm
0,SEA_A__s112__clean__none,37,adwin,SEA_A,54.26,57000,2,2,0.1,alarm
0,SEA_A__s112__splice__severe,37,adwin,SEA_A,53.62,57000,1,2,0.1,alarm
0,SEA_A__s112__instance__moderate,37,adwin,SEA_A,53.88,57000,0,2,0.1,alarm
0,SEA_A__s112__concept__moderate,37,adwin,SEA_A,53.78,57000,0,2,0.1,alarm
0,SEA_A__s112__splice__moderate,37,adwin,SEA_A,54.06,57000,1,2,0.1,alarm
0,SEA_A__s112__concept__severe,37,adwin,SEA_A,53.68,57000,1,2,0.1,alarm
0,SEA_A__s112__instance__severe,37,adwin,SEA_A,53.44,57000,1,2,0.1,alarm
1,SEA_A__s112__concept__moderate,37,adwin,SEA_A,53.4,57000,1,2,0.1,alarm
1,SEA_A__s112__splice__moderate,37,adwin,SEA_A,53.5,57000,0,2,0.1,alarm
1,SEA_A__s112__instance__severe,37,adwin,SEA_A,53.18,57000,4,2,0.1,alarm
1,SEA_A__s112__splice__severe,37,adwin,SEA_A,53.86,57000,1,2,0.1,alarm
1,SEA_A__s112__clean__none,37,adwin,SEA_A,54.16,57000,1,2,0.1,alarm
1,SEA_A__s112__concept__severe,37,adwin,SEA_A,53.56,57000,0,2,0.1,alarm
1,SEA_A__s112__instance__moderate,37,adwin,SEA_A,53.72,57000,1,2,0.1,alarm
2,SEA_A__s112__clean__none,37,adwin,SEA_A,53.56,57000,0,2,0.1,alarm
2,SEA_A__s112__instance__severe,37,adwin,SEA_A,53.38,57000,2,2,0.1,alarm
2,SEA_A__s112__instance__moderate,37,adwin,SEA_A,54.3,57000,3,2,0.1,alarm
2,SEA_A__s112__splice__severe,37,adwin,SEA_A,54.0,57000,3,2,0.1,alarm
2,SEA_A__s112__concept__moderate,37,adwin,SEA_A,53.56,57000,1,2,0.1,alarm
2,SEA_A__s112__splice__moderate,37,adwin,SEA_A,54.06,57000,2,2,0.1,alarm
2,SEA_A__s112__concept__severe,37,adwin,SEA_A,53.8,57000,10,2,0.1,alarm
3,SEA_A__s112__concept__severe,37,adwin,SEA_A,54.04,57000,8,2,0.1,alarm
