stream,policy,guarded,detector,population,resets_per_100k,rejected_update_blocks,reset_requests,reset_rejections,unexposed_false_alarm_rate,unexposed_blocks
RBF_I,confirmed,False,adwin,attacked,2.4444444444444446,0.0,6.111111111111111,0.0,0.0,0.05555555555555555
RBF_I,confirmed,False,adwin,clean,1.0666666666666667,0.0,2.6666666666666665,0.0,0.04402515723270434,53.0
RBF_I,confirmed,False,d3_oof,attacked,0.511111111111111,0.0,1.277777777777778,0.0,0.0,0.05555555555555555
RBF_I,confirmed,False,d3_oof,clean,0.6666666666666666,0.0,1.6666666666666667,0.0,0.03144654088050307,53.0
RBF_I,confirmed,False,hddm_w,attacked,3.911111111111111,0.0,9.777777777777777,0.0,1.0,0.05555555555555555
RBF_I,confirmed,False,hddm_w,clean,2.4,0.0,6.0,0.0,0.3270440251572327,53.0
RBF_I,confirmed,False,hellinger,attacked,2.0,0.0,5.0,0.0,0.0,0.05555555555555555
RBF_I,confirmed,False,hellinger,clean,1.3333333333333333,0.0,3.3333333333333335,0.0,0.10062893081761004,53.0
RBF_I,confirmed,True,adwin,attacked,0.35555555555555546,69.44444444444444,11.0,10.111111111111112,0.0,0.05555555555555555
RBF_I,confirmed,True,adwin,clean,0.0,56.0,5.333333333333333,5.333333333333333,0.050314465408804965,53.0
RBF_I,confirmed,True,d3_oof,attacked,0.04444444444444443,63.111111111111114,1.8333333333333333,1.7222222222222223,0.0,0.05555555555555555
RBF_I,confirmed,True,d3_oof,clean,0.3999999999999999,56.333333333333336,1.6666666666666667,0.6666666666666666,0.025157232704402437,53.0
RBF_I,confirmed,True,hddm_w,attacked,1.222222222222222,78.16666666666667,17.444444444444446,14.388888888888891,1.0,0.05555555555555555
RBF_I,confirmed,True,hddm_w,clean,0.1333333333333333,61.333333333333336,11.333333333333334,11.0,0.32075471698113206,53.0
RBF_I,confirmed,True,hellinger,attacked,0.31111111111111106,66.72222222222223,5.666666666666667,4.888888888888889,0.0,0.05555555555555555
RBF_I,confirmed,True,hellinger,clean,0.26666666666666666,50.666666666666664,3.6666666666666665,3.0,0.08805031446540877,53.0
RBF_I,immediate,False,adwin,attacked,19.799999999999997,0.0,49.5,0.0,0.0,0.05555555555555555
RBF_I,immediate,False,adwin,clean,6.8,0.0,17.0,0.0,0.0566037735849056,53.0
RBF_I,immediate,False,d3_oof,attacked,2.6666666666666665,0.0,6.666666666666667,0.0,0.0,0.05555555555555555
RBF_I,immediate,False,d3_oof,clean,2.533333333333333,0.0,6.333333333333333,0.0,0.025157232704402437,53.0
