dataset,policy,guarded,detector,population,accuracy_difference,macro_f1_difference,poison_admission_rate_difference,clean_withhold_rate_difference
SEA,confirmed,False,adwin,clean,2.6697222226780393,3.0751860712935346,,0.0
SEA,confirmed,False,d3_oof,attacked,0.7079975607300474,0.8383730187238481,0.0,0.0
SEA,confirmed,False,d3_oof,clean,1.5630115413583316,1.793824064745279,,0.0
SEA,confirmed,False,hddm_w,attacked,0.9732740567474486,1.2013142801103327,0.0,0.0
SEA,confirmed,False,hddm_w,clean,1.5016312513748058,1.773897028430408,,0.0
SEA,confirmed,False,hellinger,attacked,1.5812289071063053,1.8900717748518285,0.0,0.0
SEA,confirmed,False,hellinger,clean,2.3915329951539372,2.7942617847308853,,0.0
SEA,confirmed,True,adwin,attacked,1.695452893470546,1.9979377548307629,-11.73407790779441,10.254860967887614
SEA,confirmed,True,adwin,clean,2.2772177256940918,2.6167174618743814,,6.961178045515393
SEA,confirmed,True,d3_oof,attacked,0.6309473349321458,0.7456986605802802,-2.5112511626766048,2.2814833070582767
SEA,confirmed,True,d3_oof,clean,1.0980634769633624,1.2559963043110283,,1.3386880856760393
SEA,confirmed,True,hddm_w,attacked,1.5189237935677429,1.8039241290114336,-11.913210891831271,10.951471689147146
SEA,confirmed,True,hddm_w,clean,1.3897487562975597,1.639949279847789,,0.40160642570281296
SEA,confirmed,True,hellinger,attacked,1.036602725246416,1.2182335477048871,-7.110627988740504,5.803859896470722
SEA,confirmed,True,hellinger,clean,1.0599263240072394,1.2263937814943282,,3.212851405622493
SEA,immediate,False,adwin,attacked,-0.6183937669908717,-0.5487890812355,0.0,0.0
SEA,immediate,False,adwin,clean,1.2927767413714302,1.5479371032468252,,0.0
SEA,immediate,False,d3_oof,attacked,1.1159316000170547,1.3565767109001827,0.0,0.0
SEA,immediate,False,d3_oof,clean,1.8153800787990966,2.1547296616535205,,0.0
SEA,immediate,False,hddm_w,attacked,-0.6256088186412785,-0.5264966345035599,0.0,0.0
SEA,immediate,False,hddm_w,clean,2.205708454490496,2.6016693497113406,,0.0
SEA,immediate,False,hellinger,attacked,0.36191982550804597,0.5186766917361387,0.0,0.0
SEA,immediate,False,hellinger,clean,1.012154380281712,1.234333520250049,,0.0
SEA,immediate,True,adwin,attacked,1.253048636099117,1.4750961368433304,-35.24594477680885,26.13658899436783
SEA,immediate,True,adwin,clean,1.4073454004424242,1.6325538728528304,,20.61579651941098
SEA,immediate,True,d3_oof,attacked,1.147877482809415,1.3713189600042544,-10.938831574327699,9.586362184948399
SEA,immediate,True,d3_oof,clean,1.5997824858269614,1.874033654578285,,16.06425702811245
SEA,immediate,True,hddm_w,attacked,1.3812322083649897,1.648427721697374,-34.85421950529407,25.802631803818667
SEA,immediate,True,hddm_w,clean,1.1504791911312224,1.3642963596892062,,2.0080321285140594
SEA,immediate,True,hellinger,attacked,1.5504531456693356,1.8174149739244763,-26.84711094616208,24.18865663994393
SEA,immediate,True,hellinger,clean,1.5045993615366182,1.7375616774161848,,25.702811244979923
