stream,mode,level,detector,filter,alarm_rate,resets_per_100k,rejected_update_rate,event_recall,detection_delay,unexposed_false_alarm_rate,unexposed_blocks
RBF_I,clean,none,adwin,learned_features,0.06157965194109772,0.26773761713520755,0.22623828647925034,1.0,7.555555555555556,0.05031446540880503,53.0
RBF_I,clean,none,adwin,learned_features_label,0.06291834002677375,0.13386880856760378,0.24364123159303883,1.0,7.111111111111111,0.0440251572327044,53.0
RBF_I,clean,none,adwin,none,0.06157965194109772,0.13386880856760378,0.21954484605087013,1.0,7.0,0.0440251572327044,53.0
RBF_I,clean,none,d3_oof,learned_features,0.020080321285140562,0.0,0.1713520749665328,1.0,36.111111111111114,0.0,53.0
RBF_I,clean,none,d3_oof,learned_features_label,0.032128514056224904,0.13386880856760378,0.21552878179384205,0.888888888888889,20.277777777777775,0.031446540880503145,53.0
RBF_I,clean,none,d3_oof,none,0.029451137884872827,0.26773761713520755,0.1994645247657296,0.888888888888889,14.138888888888888,0.025157232704402514,53.0
RBF_I,clean,none,hddm_w,learned_features,0.3815261044176707,0.6693440428380187,0.2797858099062918,1.0,2.777777777777778,0.38364779874213834,53.0
RBF_I,clean,none,hddm_w,learned_features_label,0.39625167336010714,0.40160642570281135,0.26238286479250333,1.0,4.333333333333333,0.3962264150943396,53.0
RBF_I,clean,none,hddm_w,none,0.3668005354752342,0.13386880856760378,0.24631860776439088,1.0,5.0,0.33962264150943394,53.0
RBF_I,clean,none,hellinger,learned_features,0.1004016064257028,0.0,0.18607764390896922,1.0,6.111111111111111,0.09433962264150943,53.0
RBF_I,clean,none,hellinger,learned_features_label,0.0856760374832664,0.4016064257028112,0.30522088353413657,1.0,7.666666666666667,0.08176100628930817,53.0
RBF_I,clean,none,hellinger,none,0.09236947791164658,0.26773761713520755,0.21151271753681392,1.0,9.555555555555555,0.0880503144654088,53.0
RBF_I,concept,moderate,adwin,learned_features,0.42034805890227583,0.9370816599732263,0.250334672021419,1.0,3.1111111111111107,,0.0
RBF_I,concept,moderate,adwin,learned_features_label,0.42302543507362783,1.0709504685408302,0.27576974564926376,1.0,3.6666666666666665,,0.0
RBF_I,concept,moderate,adwin,none,0.428380187416332,0.13386880856760378,0.27576974564926376,1.0,7.111111111111111,,0.0
RBF_I,concept,moderate,d3_oof,learned_features,0.028112449799196786,0.13386880856760378,0.22356091030789826,1.0,35.666666666666664,,0.0
RBF_I,concept,moderate,d3_oof,learned_features_label,0.03882195448460509,0.0,0.19143239625167338,1.0,14.444444444444445,,0.0
RBF_I,concept,moderate,d3_oof,none,0.03480589022757697,0.13386880856760378,0.24631860776439088,1.0,17.666666666666668,,0.0
RBF_I,concept,moderate,hddm_w,learned_features,0.6760374832663989,2.2757697456492636,0.34270414993306564,1.0,2.222222222222222,,0.0
RBF_I,concept,moderate,hddm_w,learned_features_label,0.6680053547523427,1.7402945113788488,0.3239625167336011,1.0,2.0,,0.0
RBF_I,concept,moderate,hddm_w,none,0.674698795180723,1.7402945113788484,0.3386880856760375,1.0,2.6666666666666665,,0.0
RBF_I,concept,moderate,hellinger,learned_features,0.09103078982597056,0.13386880856760378,0.22356091030789826,1.0,10.888888888888888,,0.0
RBF_I,concept,moderate,hellinger,learned_features_label,0.07095046854082998,0.13386880856760378,0.2289156626506024,1.0,13.777777777777777,,0.0
RBF_I,concept,moderate,hellinger,none,0.08299866131191432,0.26773761713520755,0.27309236947791166,1.0,15.333333333333334,,0.0
RBF_I,concept,severe,adwin,learned_features,0.4109772423025435,0.9370816599732263,0.3132530120481927,1.0,2.2222222222222223,,0.0
RBF_I,concept,severe,adwin,learned_features_label,0.42302543507362783,0.6693440428380187,0.3279785809906292,1.0,3.5555555555555554,,0.0
RBF_I,concept,severe,adwin,none,0.4243641231593039,0.6693440428380187,0.3373493975903614,1.0,3.222222222222222,,0.0
