stream,detector,filter,population,alarm_rate,resets_per_100k,rejected_update_rate,event_recall,detection_delay,unexposed_false_alarm_rate,unexposed_blocks
RBF_I,adwin,learned_features,attacked,0.26595269968763946,0.44622936189201257,0.2675145024542615,1.0,5.537037037037037,0.0,0.05555555555555555
RBF_I,adwin,learned_features,clean,0.06157965194109772,0.26773761713520755,0.22623828647925034,1.0,7.555555555555556,0.05031446540880503,53.0
RBF_I,adwin,learned_features_label,attacked,0.26706827309236947,0.46854082998661317,0.28313253012048195,1.0,5.314814814814815,0.0,0.05555555555555555
RBF_I,adwin,learned_features_label,clean,0.06291834002677375,0.13386880856760378,0.24364123159303883,1.0,7.111111111111111,0.0440251572327044,53.0
RBF_I,adwin,none,attacked,0.2748772869254797,0.3569834895136101,0.28023203926818385,1.0,7.018518518518518,0.0,0.05555555555555555
RBF_I,adwin,none,clean,0.06157965194109772,0.13386880856760378,0.21954484605087013,1.0,7.0,0.0440251572327044,53.0
RBF_I,d3_oof,learned_features,attacked,0.02967425256581883,0.06693440428380189,0.2300312360553324,0.9629629629629629,23.583333333333332,0.0,0.05555555555555555
RBF_I,d3_oof,learned_features,clean,0.020080321285140562,0.0,0.1713520749665328,1.0,36.111111111111114,0.0,53.0
RBF_I,d3_oof,learned_features_label,attacked,0.02900490852298081,0.04462293618920126,0.24252565818830882,0.9074074074074074,27.60185185185185,0.0,0.05555555555555555
RBF_I,d3_oof,learned_features_label,clean,0.032128514056224904,0.13386880856760378,0.21552878179384205,0.888888888888889,20.277777777777775,0.031446540880503145,53.0
RBF_I,d3_oof,none,attacked,0.03078982597054886,0.06693440428380189,0.2583668005354752,0.888888888888889,23.583333333333332,0.0,0.05555555555555555
RBF_I,d3_oof,none,clean,0.029451137884872827,0.26773761713520755,0.1994645247657296,0.888888888888889,14.138888888888888,0.025157232704402514,53.0
RBF_I,hddm_w,learned_features,attacked,0.6300758589915216,1.1825078090138332,0.32284694332887104,1.0,1.4814814814814816,0.0,0.05555555555555555
RBF_I,hddm_w,learned_features,clean,0.3815261044176707,0.6693440428380187,0.2797858099062918,1.0,2.777777777777778,0.38364779874213834,53.0
RBF_I,hddm_w,learned_features_label,attacked,0.643908969210174,1.1378848728246318,0.33087907184292725,1.0,1.3333333333333333,0.0,0.05555555555555555
RBF_I,hddm_w,learned_features_label,clean,0.39625167336010714,0.40160642570281135,0.26238286479250333,1.0,4.333333333333333,0.3962264150943396,53.0
RBF_I,hddm_w,none,attacked,0.6490406068719322,1.2271307452030344,0.30879071842927264,1.0,1.5,1.0,0.05555555555555555
RBF_I,hddm_w,none,clean,0.3668005354752342,0.13386880856760378,0.24631860776439088,1.0,5.0,0.33962264150943394,53.0
RBF_I,hellinger,learned_features,attacked,0.09616242748772869,0.2677376171352075,0.2527889335118251,1.0,10.444444444444445,0.0,0.05555555555555555
RBF_I,hellinger,learned_features,clean,0.1004016064257028,0.0,0.18607764390896922,1.0,6.111111111111111,0.09433962264150943,53.0
RBF_I,hellinger,learned_features_label,attacked,0.0783132530120482,0.20080321285140565,0.2639446675591254,1.0,14.777777777777777,0.0,0.05555555555555555
RBF_I,hellinger,learned_features_label,clean,0.0856760374832664,0.4016064257028112,0.30522088353413657,1.0,7.666666666666667,0.08176100628930817,53.0
RBF_I,hellinger,none,attacked,0.08143685854529227,0.31236055332440876,0.26885319053993756,1.0,18.25925925925926,0.0,0.05555555555555555
RBF_I,hellinger,none,clean,0.09236947791164658,0.26773761713520755,0.21151271753681392,1.0,9.555555555555555,0.0880503144654088,53.0
SEA_A,adwin,learned_features,attacked,0.2726461401160196,1.7402945113788488,0.22757697456492634,0.8518518518518517,2.935185185185185,0.006172839506172839,7.333333333333333
SEA_A,adwin,learned_features,clean,0.032128514056224904,0.8032128514056226,0.11512717536813921,0.888888888888889,2.5,0.020257826887661142,181.0
SEA_A,adwin,learned_features_label,attacked,0.17893797411869702,0.9817045961624276,0.12605979473449355,0.9259259259259259,3.0185185185185186,0.044392336059002724,7.333333333333333
SEA_A,adwin,learned_features_label,clean,0.03480589022757697,0.9370816599732263,0.08701472556894245,0.888888888888889,2.388888888888889,0.020257826887661142,181.0
SEA_A,adwin,none,attacked,0.2768853190539938,1.5841142347166446,0.22378402498884428,0.8518518518518517,2.5,0.007575757575757576,7.333333333333333
SEA_A,adwin,none,clean,0.0321285140562249,0.8032128514056226,0.15796519410977242,1.0,2.8611111111111107,0.022099447513812154,181.0
SEA_A,d3_oof,learned_features,attacked,0.02677376171352075,0.22311468094600628,0.14123159303882196,0.5555555555555556,8.907407407407407,0.04249639249639249,7.333333333333333
SEA_A,d3_oof,learned_features,clean,0.020080321285140562,0.26773761713520755,0.1004016064257028,0.3333333333333333,6.75,0.022099447513812154,181.0
SEA_A,d3_oof,learned_features_label,attacked,0.026104417670682733,0.11155734047300314,0.07987505577867023,0.5000000000000001,8.51388888888889,0.012235449735449735,7.333333333333333
SEA_A,d3_oof,learned_features_label,clean,0.024096385542168672,0.0,0.0749665327978581,0.4444444444444445,12.5,0.02578268876611418,181.0
SEA_A,d3_oof,none,attacked,0.025211958946898705,0.17849174475680504,0.1325301204819277,0.4259259259259259,8.534722222222221,0.029635642135642137,7.333333333333333
SEA_A,d3_oof,none,clean,0.028112449799196786,0.40160642570281135,0.10575635876840696,0.7777777777777778,6.888888888888889,0.023941068139963165,181.0
SEA_A,hddm_w,learned_features,attacked,0.24988844265952703,1.3163766175814369,0.19031682284694332,0.7037037037037037,3.5462962962962963,0.0,7.333333333333333
SEA_A,hddm_w,learned_features,clean,0.0013386880856760374,0.13386880856760378,0.08835341365461846,0.11111111111111112,1.75,0.0,181.0
SEA_A,hddm_w,learned_features_label,attacked,0.0142793395805444,0.04462293618920126,0.07452030343596609,0.14814814814814817,8.854166666666666,0.0,7.333333333333333
SEA_A,hddm_w,learned_features_label,clean,0.0,0.0,0.0749665327978581,0.0,,0.0,181.0
SEA_A,hddm_w,none,attacked,0.25524319500223114,1.3163766175814369,0.2278000892458724,0.7777777777777778,3.675925925925926,0.0,7.333333333333333
SEA_A,hddm_w,none,clean,0.002677376171352075,0.26773761713520755,0.09638554216867469,0.22222222222222224,2.75,0.0,181.0
SEA_A,hellinger,learned_features,attacked,0.08991521642124052,0.8255243195002232,0.17246764837126283,1.0,6.398148148148148,0.04208553791887125,7.333333333333333
SEA_A,hellinger,learned_features,clean,0.09370816599732262,0.5354752342704151,0.10575635876840696,0.888888888888889,3.638888888888889,0.09576427255985266,181.0
SEA_A,hellinger,learned_features_label,attacked,0.08723784024988845,0.535475234270415,0.09058456046407853,0.9259259259259259,6.060185185185186,0.038065175565175566,7.333333333333333
SEA_A,hellinger,learned_features_label,clean,0.08969210174029452,0.26773761713520755,0.07228915662650602,0.888888888888889,6.722222222222222,0.09208103130755063,181.0
SEA_A,hellinger,none,attacked,0.0887996430165105,0.8032128514056226,0.18317715305667112,0.8703703703703703,6.594907407407407,0.045149911816578486,7.333333333333333
SEA_A,hellinger,none,clean,0.08835341365461848,0.5354752342704151,0.11914323962516733,0.888888888888889,5.638888888888889,0.07734806629834254,181.0
radar,adwin,learned_features,attacked,0.7670498084291189,6.8315605817419245,0.20383141762452106,,,,
radar,adwin,learned_features,clean,0.6827586206896552,5.526655751521558,0.21379310344827587,,,,
radar,adwin,learned_features_label,attacked,0.7662835249042145,6.8699401355719365,0.21417624521072798,,,,
radar,adwin,learned_features_label,clean,0.7103448275862069,4.835823782581363,0.2413793103448276,,,,
radar,adwin,none,attacked,0.7739463601532567,6.985078797061969,0.21264367816091956,,,,
radar,adwin,none,clean,0.6827586206896552,5.526655751521558,0.21379310344827587,,,,
radar,d3_oof,learned_features,attacked,0.031034482758620686,1.458423045540411,0.1674329501915709,,,,
radar,d3_oof,learned_features,clean,0.027586206896551724,2.072495906820584,0.11724137931034483,,,,
