dataset,series,category,metric,reference,mean_difference,display_difference,annotation
RBF,rl_alarm,4,macro_recall,confirmed,-6.34338247634516,-6.34338247634516,-6.3
RBF,rl_alarm,5,macro_recall,confirmed,-8.169814698706443,-8.169814698706443,-8.2
RBF,rl_alarm,6,macro_recall,confirmed,-7.336560804822319,-7.336560804822319,-7.3
RBF,rl,0,macro_recall,confirmed,-11.25037742404696,-11.25037742404696,-11.3
RBF,rl,1,macro_recall,confirmed,-8.998778886319753,-8.998778886319753,-9.0
RBF,rl,2,macro_recall,confirmed,-7.237075315161561,-7.237075315161561,-7.2
RBF,rl,3,macro_recall,confirmed,-9.022611556778529,-9.022611556778529,-9.0
RBF,rl,4,macro_recall,confirmed,-8.357952334101581,-8.357952334101581,-8.4
RBF,rl,5,macro_recall,confirmed,-9.58837336837605,-9.58837336837605,-9.6
RBF,rl,6,macro_recall,confirmed,-8.29317103760889,-8.29317103760889,-8.3
RBF,rl_alarm,0,roc_auc,confirmed,-0.0692219092240457,-69.2219092240457,-69
RBF,rl_alarm,1,roc_auc,confirmed,-0.0617756249480042,-61.7756249480042,-62
RBF,rl_alarm,2,roc_auc,confirmed,-0.045364949184545,-45.364949184545,-45
RBF,rl_alarm,3,roc_auc,confirmed,-0.0574786193490403,-57.4786193490403,-57
RBF,rl_alarm,4,roc_auc,confirmed,-0.0462448191842788,-46.2448191842788,-46
RBF,rl_alarm,5,roc_auc,confirmed,-0.058019022859116,-58.019022859116,-58
RBF,rl_alarm,6,roc_auc,confirmed,-0.0525372728589166,-52.5372728589166,-53
RBF,rl,0,roc_auc,confirmed,-0.0714301197697816,-71.4301197697816,-71
RBF,rl,1,roc_auc,confirmed,-0.0614745037947547,-61.474503794754696,-61
RBF,rl,2,roc_auc,confirmed,-0.0461564080375049,-46.156408037504896,-46
RBF,rl,3,roc_auc,confirmed,-0.0653491757951185,-65.3491757951185,-65
RBF,rl,4,roc_auc,confirmed,-0.0577483227625971,-57.7483227625971,-58
RBF,rl,5,roc_auc,confirmed,-0.0667340119792653,-66.7340119792653,-67
RBF,rl,6,roc_auc,confirmed,-0.0586237310783712,-58.62373107837119,-59
RADAR,rl_alarm,0,accuracy,confirmed,-5.630588928126286,-5.630588928126286,-5.6
RADAR,rl_alarm,1,accuracy,confirmed,-0.8113546872669889,-0.8113546872669889,-0.8
RADAR,rl_alarm,2,accuracy,confirmed,0.8762427222320198,0.8762427222320198,+0.9
RADAR,rl_alarm,3,accuracy,confirmed,-3.179177659298034,-3.179177659298034,-3.2
RADAR,rl_alarm,4,accuracy,confirmed,-2.502652645853628,-2.502652645853628,-2.5
RADAR,rl_alarm,5,accuracy,confirmed,-2.183887440203343,-2.183887440203343,-2.2
RADAR,rl_alarm,6,accuracy,confirmed,0.5799826716942569,0.5799826716942569,+0.6
RADAR,rl,0,accuracy,confirmed,-4.223521941483021,-4.223521941483021,-4.2
RADAR,rl,1,accuracy,confirmed,0.8457145035844346,0.8457145035844346,+0.8
RADAR,rl,2,accuracy,confirmed,2.1248116328325497,2.1248116328325497,+2.1
RADAR,rl,3,accuracy,confirmed,0.6720337847039404,0.6720337847039404,+0.7
RADAR,rl,4,accuracy,confirmed,1.72618207902,1.72618207902,+1.7
RADAR,rl,5,accuracy,confirmed,-3.781418310410134,-3.781418310410134,-3.8
RADAR,rl,6,accuracy,confirmed,-0.9775940804155816,-0.9775940804155816,-1.0
RADAR,rl_alarm,0,macro_f1,confirmed,-6.15686330177266,-6.15686330177266,-6.2
RADAR,rl_alarm,1,macro_f1,confirmed,0.3834105435040831,0.3834105435040831,+0.4
RADAR,rl_alarm,2,macro_f1,confirmed,1.670844344948358,1.670844344948358,+1.7
RADAR,rl_alarm,3,macro_f1,confirmed,-2.689283807728121,-2.689283807728121,-2.7
RADAR,rl_alarm,4,macro_f1,confirmed,-3.045538449171224,-3.045538449171224,-3.0
RADAR,rl_alarm,5,macro_f1,confirmed,-3.196617997694657,-3.196617997694657,-3.2
RADAR,rl_alarm,6,macro_f1,confirmed,0.3264004930124648,0.3264004930124648,+0.3
RADAR,rl,0,macro_f1,confirmed,-2.966738852634846,-2.966738852634846,-3.0
RADAR,rl,1,macro_f1,confirmed,2.9627914142551948,2.9627914142551948,+3.0
RADAR,rl,2,macro_f1,confirmed,4.791716399087389,4.791716399087389,+4.8
RADAR,rl,3,macro_f1,confirmed,1.765712802408485,1.765712802408485,+1.8
RADAR,rl,4,macro_f1,confirmed,2.5287096676542,2.5287096676542,+2.5
RADAR,rl,5,macro_f1,confirmed,-3.745399074521773,-3.745399074521773,-3.7
RADAR,rl,6,macro_f1,confirmed,-0.2268119564728369,-0.2268119564728369,-0.2
RADAR,rl_alarm,0,macro_recall,confirmed,-5.666620949887117,-5.666620949887117,-5.7
RADAR,rl_alarm,1,macro_recall,confirmed,1.4375616290558355,1.4375616290558355,+1.4
RADAR,rl_alarm,2,macro_recall,confirmed,3.20306138760856,3.20306138760856,+3.2
RADAR,rl_alarm,3,macro_recall,confirmed,-2.1647063174011643,-2.1647063174011643,-2.2
RADAR,rl_alarm,4,macro_recall,confirmed,-2.1672053690491637,-2.1672053690491637,-2.2
RADAR,rl_alarm,5,macro_recall,confirmed,-2.824014567087058,-2.824014567087058,-2.8
RADAR,rl_alarm,6,macro_recall,confirmed,0.7556320976718508,0.7556320976718508,+0.8
RADAR,rl,0,macro_recall,confirmed,-2.111520988397793,-2.111520988397793,-2.1
RADAR,rl,1,macro_recall,confirmed,3.6734355983422025,3.6734355983422025,+3.7
RADAR,rl,2,macro_recall,confirmed,6.168200191300064,6.168200191300064,+6.2
RADAR,rl,3,macro_recall,confirmed,2.3488302673743724,2.3488302673743724,+2.3
RADAR,rl,4,macro_recall,confirmed,3.2235277862569283,3.2235277862569283,+3.2
RADAR,rl,5,macro_recall,confirmed,-3.5067253979522888,-3.5067253979522888,-3.5
RADAR,rl,6,macro_recall,confirmed,-0.667872954128886,-0.667872954128886,-0.7
RADAR,rl_alarm,0,roc_auc,confirmed,-0.1059578489581095,-105.95784895810951,-106
RADAR,rl_alarm,1,roc_auc,confirmed,-0.012461583257507,-12.461583257507,-12
RADAR,rl_alarm,2,roc_auc,confirmed,0.0075682713946286,7.5682713946286,+8
RADAR,rl_alarm,3,roc_auc,confirmed,-0.0829407807250339,-82.9407807250339,-83
RADAR,rl_alarm,4,roc_auc,confirmed,-0.0473624827044249,-47.3624827044249,-47
RADAR,rl_alarm,5,roc_auc,confirmed,-0.0796699339198892,-79.6699339198892,-80
RADAR,rl_alarm,6,roc_auc,confirmed,-0.0337426415803097,-33.7426415803097,-34
RADAR,rl,0,roc_auc,confirmed,-0.1069146912755026,-106.9146912755026,-107
RADAR,rl,1,roc_auc,confirmed,0.0032435064565226,3.2435064565225997,+3
RADAR,rl,2,roc_auc,confirmed,0.0150866500304561,15.086650030456099,+15
RADAR,rl,3,roc_auc,confirmed,-0.0582140372861071,-58.2140372861071,-58
RADAR,rl,4,roc_auc,confirmed,-0.0143427942616543,-14.3427942616543,-14
RADAR,rl,5,roc_auc,confirmed,-0.1072670781319953,-107.2670781319953,-107
RADAR,rl,6,roc_auc,confirmed,-0.0539786983589685,-53.9786983589685,-54
