dataset,base_key,attack_seed,category,mode,level,series,reference,metric,difference
RADAR,radar,0,4,concept,severe,rl,none,macro_recall,7.83738936390418
RADAR,radar,0,4,concept,severe,rl,none,roc_auc,-0.037499470592395556
RADAR,radar,0,4,concept,severe,rl,immediate,accuracy,3.744815765083931
RADAR,radar,0,4,concept,severe,rl,immediate,macro_f1,2.778159379798434
RADAR,radar,0,4,concept,severe,rl,immediate,macro_recall,1.8742415203528928
RADAR,radar,0,4,concept,severe,rl,immediate,roc_auc,0.017486679155435336
RADAR,radar,0,4,concept,severe,rl,confirmed,accuracy,0.8956783430487447
RADAR,radar,0,4,concept,severe,rl,confirmed,macro_f1,2.145149582157085
RADAR,radar,0,4,concept,severe,rl,confirmed,macro_recall,3.13466762997498
RADAR,radar,0,4,concept,severe,rl,confirmed,roc_auc,-0.02188389428792259
RADAR,radar,0,4,concept,severe,rl_alarm,none,accuracy,-4.158481032588657
RADAR,radar,0,4,concept,severe,rl_alarm,none,macro_f1,0.5151518345601458
RADAR,radar,0,4,concept,severe,rl_alarm,none,macro_recall,3.147039338608937
RADAR,radar,0,4,concept,severe,rl_alarm,none,roc_auc,-0.06292743536077772
RADAR,radar,0,4,concept,severe,rl_alarm,immediate,accuracy,0.7684655380332361
RADAR,radar,0,4,concept,severe,rl_alarm,immediate,macro_f1,-1.2380004052434168
RADAR,radar,0,4,concept,severe,rl_alarm,immediate,macro_recall,-2.8161085049423495
RADAR,radar,0,4,concept,severe,rl_alarm,immediate,roc_auc,-0.007941285612946825
RADAR,radar,0,4,concept,severe,rl_alarm,confirmed,accuracy,-2.08067188400195
RADAR,radar,0,4,concept,severe,rl_alarm,confirmed,macro_f1,-1.8710102028847653
RADAR,radar,0,4,concept,severe,rl_alarm,confirmed,macro_recall,-1.5556823953202625
RADAR,radar,0,4,concept,severe,rl_alarm,confirmed,roc_auc,-0.04731185905630475
RADAR,radar,0,5,splice,moderate,rl,none,accuracy,-7.420568038274766
RADAR,radar,0,5,splice,moderate,rl,none,macro_f1,-1.0801052711718884
RADAR,radar,0,5,splice,moderate,rl,none,macro_recall,-2.2899011157721083
RADAR,radar,0,5,splice,moderate,rl,none,roc_auc,-0.1683707204928614
RADAR,radar,0,5,splice,moderate,rl,immediate,accuracy,2.5299424232339662
RADAR,radar,0,5,splice,moderate,rl,immediate,macro_f1,2.310921015417783
RADAR,radar,0,5,splice,moderate,rl,immediate,macro_recall,3.0200805112430507
RADAR,radar,0,5,splice,moderate,rl,immediate,roc_auc,0.0013798370459302545
RADAR,radar,0,5,splice,moderate,rl,confirmed,accuracy,-4.247762593352011
RADAR,radar,0,5,splice,moderate,rl,confirmed,macro_f1,-4.687698468029739
RADAR,radar,0,5,splice,moderate,rl,confirmed,macro_recall,-4.875115696340693
RADAR,radar,0,5,splice,moderate,rl,confirmed,roc_auc,-0.11131641847229068
RADAR,radar,0,5,splice,moderate,rl_alarm,none,accuracy,-6.3563461476527365
RADAR,radar,0,5,splice,moderate,rl_alarm,none,macro_f1,-0.9174116258178433
RADAR,radar,0,5,splice,moderate,rl_alarm,none,macro_recall,-1.9722592438443043
RADAR,radar,0,5,splice,moderate,rl_alarm,none,roc_auc,-0.14271006514517282
RADAR,radar,0,5,splice,moderate,rl_alarm,immediate,accuracy,3.5941643138559964
RADAR,radar,0,5,splice,moderate,rl_alarm,immediate,macro_f1,2.473614660771828
RADAR,radar,0,5,splice,moderate,rl_alarm,immediate,macro_recall,3.3377223831708545
RADAR,radar,0,5,splice,moderate,rl_alarm,immediate,roc_auc,0.02704049239361883
RADAR,radar,0,5,splice,moderate,rl_alarm,confirmed,accuracy,-3.183540702729981
RADAR,radar,0,5,splice,moderate,rl_alarm,confirmed,macro_f1,-4.525004822675694
RADAR,radar,0,5,splice,moderate,rl_alarm,confirmed,macro_recall,-4.557473824412889
RADAR,radar,0,5,splice,moderate,rl_alarm,confirmed,roc_auc,-0.0856557631246021
RADAR,radar,0,6,splice,severe,rl,none,accuracy,-8.304974360625927
RADAR,radar,0,6,splice,severe,rl,none,macro_f1,-1.8767144051475337
RADAR,radar,0,6,splice,severe,rl,none,macro_recall,-2.167551351912528
RADAR,radar,0,6,splice,severe,rl,none,roc_auc,-0.14347578698635532
RADAR,radar,0,6,splice,severe,rl,immediate,accuracy,-0.10967855059705878
RADAR,radar,0,6,splice,severe,rl,immediate,macro_f1,-1.7283937206867772
RADAR,radar,0,6,splice,severe,rl,immediate,macro_recall,-2.3232767181776968
RADAR,radar,0,6,splice,severe,rl,immediate,roc_auc,0.015968907660356746
RADAR,radar,0,6,splice,severe,rl,confirmed,accuracy,-0.6743531112566314
RADAR,radar,0,6,splice,severe,rl,confirmed,macro_f1,0.3564042606344353
RADAR,radar,0,6,splice,severe,rl,confirmed,macro_recall,-0.3382816074941286
RADAR,radar,0,6,splice,severe,rl,confirmed,roc_auc,-0.06925865016155175
RADAR,radar,0,6,splice,severe,rl_alarm,none,accuracy,-6.39213034034346
RADAR,radar,0,6,splice,severe,rl_alarm,none,macro_f1,-0.06674277861548061
RADAR,radar,0,6,splice,severe,rl_alarm,none,macro_recall,0.5725141840625392
RADAR,radar,0,6,splice,severe,rl_alarm,none,roc_auc,-0.12396087451734739
RADAR,radar,0,6,splice,severe,rl_alarm,immediate,accuracy,1.8031654696854083
RADAR,radar,0,6,splice,severe,rl_alarm,immediate,macro_f1,0.08157790584527591
RADAR,radar,0,6,splice,severe,rl_alarm,immediate,macro_recall,0.41678881779737
RADAR,radar,0,6,splice,severe,rl_alarm,immediate,roc_auc,0.035483820129364685
RADAR,radar,0,6,splice,severe,rl_alarm,confirmed,accuracy,1.2384909090258356
RADAR,radar,0,6,splice,severe,rl_alarm,confirmed,macro_f1,2.166375887166488
RADAR,radar,0,6,splice,severe,rl_alarm,confirmed,macro_recall,2.4017839284809384
RADAR,radar,0,6,splice,severe,rl_alarm,confirmed,roc_auc,-0.04974373769254381
RADAR,radar,1,0,clean,none,rl,none,accuracy,-3.6876414034748284
RADAR,radar,1,0,clean,none,rl,none,macro_f1,2.7199690850081892
RADAR,radar,1,0,clean,none,rl,none,macro_recall,1.985447980861632
RADAR,radar,1,0,clean,none,rl,none,roc_auc,-0.15899504809197107
RADAR,radar,1,0,clean,none,rl,immediate,accuracy,2.5505022006545586
RADAR,radar,1,0,clean,none,rl,immediate,macro_f1,2.810473768899663
RADAR,radar,1,0,clean,none,rl,immediate,macro_recall,2.685350302115591
RADAR,radar,1,0,clean,none,rl,immediate,roc_auc,0.014019575271338902
RADAR,radar,1,0,clean,none,rl,confirmed,accuracy,-4.249762200332108
RADAR,radar,1,0,clean,none,rl,confirmed,macro_f1,-2.749882443109586
RADAR,radar,1,0,clean,none,rl,confirmed,macro_recall,-1.9272420705176763
RADAR,radar,1,0,clean,none,rl,confirmed,roc_auc,-0.0995718810995917
RADAR,radar,1,0,clean,none,rl_alarm,none,accuracy,-5.083091055328959
RADAR,radar,1,0,clean,none,rl_alarm,none,macro_f1,-0.1616728714349036
RADAR,radar,1,0,clean,none,rl_alarm,none,macro_recall,-1.1356337570224861
RADAR,radar,1,0,clean,none,rl_alarm,none,roc_auc,-0.16211089630021625
RADAR,radar,1,0,clean,none,rl_alarm,immediate,accuracy,1.1550525488004282
RADAR,radar,1,0,clean,none,rl_alarm,immediate,macro_f1,-0.07116818754343002
RADAR,radar,1,0,clean,none,rl_alarm,immediate,macro_recall,-0.43573143576852713
RADAR,radar,1,0,clean,none,rl_alarm,immediate,roc_auc,0.010903727063093727
RADAR,radar,1,0,clean,none,rl_alarm,confirmed,accuracy,-5.645211852186238
RADAR,radar,1,0,clean,none,rl_alarm,confirmed,macro_f1,-5.631524399552679
RADAR,radar,1,0,clean,none,rl_alarm,confirmed,macro_recall,-5.048323808401794
RADAR,radar,1,0,clean,none,rl_alarm,confirmed,roc_auc,-0.10268772930783687
RADAR,radar,1,1,instance,moderate,rl,none,accuracy,1.5339198162807266
RADAR,radar,1,1,instance,moderate,rl,none,macro_f1,10.86081877511133
RADAR,radar,1,1,instance,moderate,rl,none,macro_recall,11.58925343023735
RADAR,radar,1,1,instance,moderate,rl,none,roc_auc,-0.02802210206598832
RADAR,radar,1,1,instance,moderate,rl,immediate,accuracy,1.1512907461445954
RADAR,radar,1,1,instance,moderate,rl,immediate,macro_f1,0.39231543994037166
RADAR,radar,1,1,instance,moderate,rl,immediate,macro_recall,-0.19112654508840476
RADAR,radar,1,1,instance,moderate,rl,immediate,roc_auc,-0.008252539005637494
RADAR,radar,1,1,instance,moderate,rl,confirmed,accuracy,0.253294712159402
RADAR,radar,1,1,instance,moderate,rl,confirmed,macro_f1,2.918099130774854
RADAR,radar,1,1,instance,moderate,rl,confirmed,macro_recall,3.160442334805852
RADAR,radar,1,1,instance,moderate,rl,confirmed,roc_auc,-0.03437517695162373
RADAR,radar,1,1,instance,moderate,rl_alarm,none,accuracy,-0.5341759771282373
RADAR,radar,1,1,instance,moderate,rl_alarm,none,macro_f1,6.481563865568635
RADAR,radar,1,1,instance,moderate,rl_alarm,none,macro_recall,7.124556661010195
RADAR,radar,1,1,instance,moderate,rl_alarm,none,roc_auc,-0.03243784527851834
RADAR,radar,1,1,instance,moderate,rl_alarm,immediate,accuracy,-0.9168050472643685
RADAR,radar,1,1,instance,moderate,rl_alarm,immediate,macro_f1,-3.986939469602324
RADAR,radar,1,1,instance,moderate,rl_alarm,immediate,macro_recall,-4.65582331431556
RADAR,radar,1,1,instance,moderate,rl_alarm,immediate,roc_auc,-0.012668282218167515
RADAR,radar,1,1,instance,moderate,rl_alarm,confirmed,accuracy,-1.8148010812495619
RADAR,radar,1,1,instance,moderate,rl_alarm,confirmed,macro_f1,-1.461155778767842
RADAR,radar,1,1,instance,moderate,rl_alarm,confirmed,macro_recall,-1.3042544344213036
RADAR,radar,1,1,instance,moderate,rl_alarm,confirmed,roc_auc,-0.03879092016415375
RADAR,radar,1,2,instance,severe,rl,none,accuracy,-2.3190617705909466
RADAR,radar,1,2,instance,severe,rl,none,macro_f1,2.4082207581544166
RADAR,radar,1,2,instance,severe,rl,none,macro_recall,3.7951056209983793
RADAR,radar,1,2,instance,severe,rl,none,roc_auc,-0.017467328396875925
RADAR,radar,1,2,instance,severe,rl,immediate,accuracy,-1.1287199302096096
RADAR,radar,1,2,instance,severe,rl,immediate,macro_f1,-1.7136498966146774
RADAR,radar,1,2,instance,severe,rl,immediate,macro_recall,-2.2759362118176805
RADAR,radar,1,2,instance,severe,rl,immediate,roc_auc,-0.01836584771186711
RADAR,radar,1,2,instance,severe,rl,confirmed,accuracy,2.1994006194435034
RADAR,radar,1,2,instance,severe,rl,confirmed,macro_f1,3.9492694695559827
RADAR,radar,1,2,instance,severe,rl,confirmed,macro_recall,5.726544938144129
RADAR,radar,1,2,instance,severe,rl,confirmed,roc_auc,0.014991284706251107
RADAR,radar,1,2,instance,severe,rl_alarm,none,accuracy,-1.7433268307887384
RADAR,radar,1,2,instance,severe,rl_alarm,none,macro_f1,2.6317020531486213
RADAR,radar,1,2,instance,severe,rl_alarm,none,macro_recall,4.189000708252149
RADAR,radar,1,2,instance,severe,rl_alarm,none,roc_auc,-0.02442924947570435
RADAR,radar,1,2,instance,severe,rl_alarm,immediate,accuracy,-0.5529849904074013
RADAR,radar,1,2,instance,severe,rl_alarm,immediate,macro_f1,-1.490168601620473
RADAR,radar,1,2,instance,severe,rl_alarm,immediate,macro_recall,-1.8820411245639102
RADAR,radar,1,2,instance,severe,rl_alarm,immediate,roc_auc,-0.025327768790695537
RADAR,radar,1,2,instance,severe,rl_alarm,confirmed,accuracy,2.7751355592457116
RADAR,radar,1,2,instance,severe,rl_alarm,confirmed,macro_f1,4.172750764550187
RADAR,radar,1,2,instance,severe,rl_alarm,confirmed,macro_recall,6.120440025397899
RADAR,radar,1,2,instance,severe,rl_alarm,confirmed,roc_auc,0.008029363627422681
RADAR,radar,1,3,concept,moderate,rl,none,accuracy,1.3306033394059669
RADAR,radar,1,3,concept,moderate,rl,none,macro_f1,6.379805763972462
RADAR,radar,1,3,concept,moderate,rl,none,macro_recall,6.966293438931482
RADAR,radar,1,3,concept,moderate,rl,none,roc_auc,-0.06542662972210667
RADAR,radar,1,3,concept,moderate,rl,immediate,accuracy,2.039971840220123
RADAR,radar,1,3,concept,moderate,rl,immediate,macro_f1,1.521752139946586
RADAR,radar,1,3,concept,moderate,rl,immediate,macro_recall,0.8747496968816049
RADAR,radar,1,3,concept,moderate,rl,immediate,roc_auc,0.0022202384395416663
RADAR,radar,1,3,concept,moderate,rl,confirmed,accuracy,0.8603780074268763
RADAR,radar,1,3,concept,moderate,rl,confirmed,macro_f1,1.635456238977484
RADAR,radar,1,3,concept,moderate,rl,confirmed,macro_recall,2.446128995819008
RADAR,radar,1,3,concept,moderate,rl,confirmed,roc_auc,-0.06483501609607756
RADAR,radar,1,3,concept,moderate,rl_alarm,none,accuracy,-2.755430878667531
RADAR,radar,1,3,concept,moderate,rl_alarm,none,macro_f1,2.2906958778257938
RADAR,radar,1,3,concept,moderate,rl_alarm,none,macro_recall,2.9031965515033784
RADAR,radar,1,3,concept,moderate,rl_alarm,none,roc_auc,-0.08918508257310076
RADAR,radar,1,3,concept,moderate,rl_alarm,immediate,accuracy,-2.046062377853375
RADAR,radar,1,3,concept,moderate,rl_alarm,immediate,macro_f1,-2.567357746200083
RADAR,radar,1,3,concept,moderate,rl_alarm,immediate,macro_recall,-3.188347190546498
RADAR,radar,1,3,concept,moderate,rl_alarm,immediate,roc_auc,-0.021538214411452428
RADAR,radar,1,3,concept,moderate,rl_alarm,confirmed,accuracy,-3.2256562106466213
RADAR,radar,1,3,concept,moderate,rl_alarm,confirmed,macro_f1,-2.453653647169185
