dataset,category,mode,level,series,metric,mean,sd,defined,realizations
RADAR,1,instance,moderate,rl_alarm,accuracy,0.6259044904976119,0.007731799516864758,3,3
RADAR,1,instance,moderate,rl_alarm,clean_withhold_rate,0.30550636241656054,0.013846994316621522,3,3
RADAR,1,instance,moderate,rl_alarm,macro_f1,0.48516247102542986,0.017036449700424346,3,3
RADAR,1,instance,moderate,rl_alarm,macro_recall,0.4759156803939235,0.01569687963098882,3,3
RADAR,1,instance,moderate,rl_alarm,poison_admission_rate,0.696181210794618,0.0121108298255947,3,3
RADAR,1,instance,moderate,rl_alarm,resets_per_100k,39.10353428561671,0.9157004520486918,3,3
RADAR,1,instance,moderate,rl_alarm,roc_auc,0.796614411342596,0.003494601559238085,3,3
RADAR,1,instance,moderate,rl_alarm,seconds_per_100k,165.092182112459,15.940437291638785,3,3
RADAR,2,instance,severe,confirmed,accuracy,0.6072920087615313,0.010580503621984504,3,3
RADAR,2,instance,severe,confirmed,clean_withhold_rate,0.15507377042204487,0.011122831909045245,3,3
RADAR,2,instance,severe,confirmed,macro_f1,0.45211595130048843,0.007055010099206642,3,3
RADAR,2,instance,severe,confirmed,macro_recall,0.4254258106126024,0.012668011292069051,3,3
RADAR,2,instance,severe,confirmed,poison_admission_rate,0.8450693045320721,0.01039499209332304,3,3
RADAR,2,instance,severe,confirmed,resets_per_100k,6.876354212007627,0.11910194866037459,3,3
RADAR,2,instance,severe,confirmed,roc_auc,0.7740261011672308,0.008223761915036987,3,3
RADAR,2,instance,severe,confirmed,seconds_per_100k,81.15514324475986,3.1637979526213402,3,3
RADAR,2,instance,severe,immediate,accuracy,0.6239130913771801,0.012348428865483756,3,3
RADAR,2,instance,severe,immediate,clean_withhold_rate,0.30184775983290724,0.007517901230338804,3,3
RADAR,2,instance,severe,immediate,macro_f1,0.494651771539442,0.0071155039536216986,3,3
RADAR,2,instance,severe,immediate,macro_recall,0.4835949847326979,0.008215126560260907,3,3
RADAR,2,instance,severe,immediate,poison_admission_rate,0.6983143219618325,0.007264059119029875,3,3
RADAR,2,instance,severe,immediate,resets_per_100k,26.611490800469515,0.899199993303946,3,3
RADAR,2,instance,severe,immediate,roc_auc,0.7979212592269835,0.016670128428058914,3,3
RADAR,2,instance,severe,immediate,seconds_per_100k,52.329339594934915,0.7390757574715103,3,3
RADAR,2,instance,severe,none,accuracy,0.6234110673107939,0.024900719667095346,3,3
RADAR,2,instance,severe,none,clean_withhold_rate,0.10076633577273347,0.012236506886337983,3,3
RADAR,2,instance,severe,none,macro_f1,0.41461779041774566,0.04197397917508422,3,3
RADAR,2,instance,severe,none,macro_recall,0.39328145766155514,0.03784114367961866,3,3
RADAR,2,instance,severe,none,poison_admission_rate,0.8998876443317189,0.011743446354203997,3,3
RADAR,2,instance,severe,none,resets_per_100k,0.0,0.0,3,3
RADAR,2,instance,severe,none,roc_auc,0.7991247017049239,0.013671003336967625,3,3
RADAR,2,instance,severe,none,seconds_per_100k,237.8228124082502,19.700969833956165,3,3
RADAR,2,instance,severe,rl,accuracy,0.6285401250898568,0.018531809077724205,3,3
RADAR,2,instance,severe,rl,clean_withhold_rate,0.3136773389787242,0.007603680995860891,3,3
RADAR,2,instance,severe,rl,macro_f1,0.5000331152913623,0.028059169484076784,3,3
RADAR,2,instance,severe,rl,macro_recall,0.48710781252560303,0.027695013647646264,3,3
RADAR,2,instance,severe,rl,poison_admission_rate,0.6869457932287166,0.007514603417712065,3,3
RADAR,2,instance,severe,rl,resets_per_100k,34.03795334943776,0.1819312317176373,3,3
RADAR,2,instance,severe,rl,roc_auc,0.7891127511976871,0.01717962067693847,3,3
RADAR,2,instance,severe,rl,seconds_per_100k,59.883646936349145,1.192113749031739,3,3
RADAR,2,instance,severe,rl_alarm,accuracy,0.6160544359838515,0.01411722803255438,3,3
RADAR,2,instance,severe,rl_alarm,clean_withhold_rate,0.2954130430410999,0.009294232380711547,3,3
RADAR,2,instance,severe,rl_alarm,macro_f1,0.46882439474997195,0.015793782305325726,3,3
RADAR,2,instance,severe,rl_alarm,macro_recall,0.457456424488688,0.014214108850197093,3,3
RADAR,2,instance,severe,rl_alarm,poison_admission_rate,0.7047349357206256,0.009541804068366796,3,3
RADAR,2,instance,severe,rl_alarm,resets_per_100k,40.43296276660485,0.7146116919622472,3,3
RADAR,2,instance,severe,rl_alarm,roc_auc,0.7815943725618596,0.006562015969931279,3,3
RADAR,2,instance,severe,rl_alarm,seconds_per_100k,163.12651303975213,13.779468939115596,3,3
RADAR,3,concept,moderate,confirmed,accuracy,0.6584680825400514,0.008706889633625349,3,3
RADAR,3,concept,moderate,confirmed,clean_withhold_rate,0.13765960945018307,0.018182000769527657,3,3
RADAR,3,concept,moderate,confirmed,macro_f1,0.5108779357096916,0.007077406398945438,3,3
RADAR,3,concept,moderate,confirmed,macro_recall,0.5122474126127629,0.009460766550261328,3,3
RADAR,3,concept,moderate,confirmed,poison_admission_rate,0.8521347814254647,0.013934049221611549,3,3
RADAR,3,concept,moderate,confirmed,resets_per_100k,7.6327531753284665,0.8991999933039455,3,3
RADAR,3,concept,moderate,confirmed,roc_auc,0.9015072600107349,0.004385639567754564,3,3
RADAR,3,concept,moderate,confirmed,seconds_per_100k,171.1329240733587,5.092645993788271,3,3
RADAR,3,concept,moderate,immediate,accuracy,0.6435643009398445,0.0037608246782395794,3,3
RADAR,3,concept,moderate,immediate,clean_withhold_rate,0.4105757899741245,0.007881524829039022,3,3
RADAR,3,concept,moderate,immediate,macro_f1,0.5144567082441599,0.016924759055641524,3,3
RADAR,3,concept,moderate,immediate,macro_recall,0.5266966555185012,0.019374825054951476,3,3
RADAR,3,concept,moderate,immediate,poison_admission_rate,0.5565531383308815,0.019538166484337257,3,3
RADAR,3,concept,moderate,immediate,resets_per_100k,38.64511067148286,2.0663415803260246,3,3
RADAR,3,concept,moderate,immediate,roc_auc,0.828940070872906,0.0037213334217535378,3,3
RADAR,3,concept,moderate,immediate,seconds_per_100k,95.0518096363889,3.2633465002334163,3,3
RADAR,3,concept,moderate,none,accuracy,0.6427627714322283,0.008472720368925055,3,3
RADAR,3,concept,moderate,none,clean_withhold_rate,0.08841911982209032,0.010375698517812972,3,3
RADAR,3,concept,moderate,none,macro_f1,0.4502873973657211,0.014286564279832428,3,3
RADAR,3,concept,moderate,none,macro_recall,0.45180942787984396,0.016579086025738633,3,3
RADAR,3,concept,moderate,none,poison_admission_rate,0.8946526414067405,0.014412714869892729,3,3
RADAR,3,concept,moderate,none,resets_per_100k,0.0,0.0,3,3
RADAR,3,concept,moderate,none,roc_auc,0.896908641872113,0.014979038929739263,3,3
RADAR,3,concept,moderate,none,seconds_per_100k,288.2757178260349,6.761058425470098,3,3
RADAR,3,concept,moderate,rl,accuracy,0.6651884203870909,0.006944508155958505,3,3
RADAR,3,concept,moderate,rl,clean_withhold_rate,0.3790467854688506,0.006026553797656373,3,3
RADAR,3,concept,moderate,rl,macro_f1,0.5285350637337765,0.008205252469355245,3,3
RADAR,3,concept,moderate,rl,macro_recall,0.5357357152865065,0.007630344209363361,3,3
RADAR,3,concept,moderate,rl,poison_admission_rate,0.6183177280017006,0.025968449217445587,3,3
RADAR,3,concept,moderate,rl,resets_per_100k,28.26181581135135,1.586039707462123,3,3
RADAR,3,concept,moderate,rl,roc_auc,0.8432932227246278,0.009933333474776426,3,3
RADAR,3,concept,moderate,rl,seconds_per_100k,117.82390563623748,1.0913679166219992,3,3
RADAR,3,concept,moderate,rl_alarm,accuracy,0.6266763059470711,0.011358838547421628,3,3
RADAR,3,concept,moderate,rl_alarm,clean_withhold_rate,0.3387074742156139,0.010961248582818437,3,3
RADAR,3,concept,moderate,rl_alarm,macro_f1,0.48398509763241043,0.023175980405941574,3,3
