stream,condition,mode,level,left,right,comparison,alarm_rate_difference,poison_alarm_rate_difference,unexposed_alarm_rate_difference,event_recall_difference,detection_delay_difference,seconds_per_100k_difference
RBF_I,RBF_I__s115__instance__moderate,instance,moderate,adwin,hddm_w,passive_detector,-0.4576271186440679,-0.4576271186440679,,0.0,1.9999999999999998,-0.1021166083713372
RBF_I,RBF_I__s115__instance__moderate,instance,moderate,adwin,hellinger,passive_detector,-0.01694915254237289,-0.01694915254237289,,0.0,-3.3333333333333335,-0.0090541648872507
RBF_I,RBF_I__s115__instance__moderate,instance,moderate,d3_oof,hddm_w,passive_detector,-0.576271186440678,-0.576271186440678,,-1.0,,0.0626543678420907
RBF_I,RBF_I__s115__instance__moderate,instance,moderate,d3_oof,hellinger,passive_detector,-0.135593220338983,-0.135593220338983,,-1.0,,0.1557168113261772
RBF_I,RBF_I__s115__instance__moderate,instance,moderate,hddm_w,hellinger,passive_detector,0.44067796610169496,0.44067796610169496,,0.0,-5.333333333333333,0.0930624434840865
RBF_I,RBF_I__s115__instance__severe,instance,severe,adwin,d3_oof,passive_detector,0.0677966101694916,0.0677966101694916,,0.6666666666666667,-15.666666666666668,-0.15277839852691
RBF_I,RBF_I__s115__instance__severe,instance,severe,adwin,hddm_w,passive_detector,-0.4915254237288136,-0.4915254237288136,,0.0,2.666666666666666,-0.1018976351770106
RBF_I,RBF_I__s115__instance__severe,instance,severe,adwin,hellinger,passive_detector,-0.05084745762711859,-0.05084745762711859,,0.0,-2.666666666666667,-0.009219028482524
RBF_I,RBF_I__s115__instance__severe,instance,severe,d3_oof,hddm_w,passive_detector,-0.5593220338983051,-0.5593220338983051,,-0.6666666666666667,18.333333333333332,0.05088076334989938
RBF_I,RBF_I__s115__instance__severe,instance,severe,d3_oof,hellinger,passive_detector,-0.11864406779661019,-0.11864406779661019,,-0.6666666666666667,13.0,0.143559370044386
RBF_I,RBF_I__s115__instance__severe,instance,severe,hddm_w,hellinger,passive_detector,0.44067796610169496,0.44067796610169496,,0.0,-5.333333333333333,0.0926786066944866
RBF_I,RBF_I__s115__splice__moderate,splice,moderate,adwin,d3_oof,passive_detector,0.4237288135593221,0.7142857142857143,,0.6666666666666667,-2.666666666666667,-0.157300981663866
RBF_I,RBF_I__s115__splice__moderate,splice,moderate,adwin,hddm_w,passive_detector,-0.25423728813559326,-0.1071428571428571,,0.0,2.666666666666666,-0.11721104485332029
RBF_I,RBF_I__s115__splice__moderate,splice,moderate,adwin,hellinger,passive_detector,0.3559322033898305,0.6785714285714286,,0.0,-4.333333333333333,-0.009563128066171598
