experiment,stream,condition,mode,level,detector,method,shared_detector_reference,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,malicious_recall,benign_fpr,resets_per_100k,training_visits_per_100k
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,confirmed_screened,False,0.5486748741386835,0.5564317573595005,,0.22033898305084745,,,5.0,104500.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,confirmed_unscreened,False,0.5685517977854329,0.5753256021409456,,0.0,,,5.0,104500.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,immediate_screened,False,0.5460595451951422,0.5534344335414808,,0.23728813559322035,,,8.333333333333334,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,immediate_unscreened,False,0.5554568757524287,0.5625691347011597,,0.0,,,10.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,none_screened,True,0.5657780650090587,0.5694736842105264,,0.1864406779661017,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,none_unscreened,True,0.5688001187280656,0.5729884032114184,,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,confirmed_screened,False,0.587426708626134,0.5903479036574487,,0.2711864406779661,,,1.6666666666666667,98166.66666666667
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,confirmed_unscreened,False,0.59191677940246,0.5953077609277431,,0.0,,,1.6666666666666667,98166.66666666667
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,immediate_screened,False,0.5651084522511982,0.5708652988403211,,0.23728813559322035,,,5.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,immediate_unscreened,False,0.5800645089332415,0.5852809991079393,,0.0,,,5.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,none_screened,True,0.5657780650090587,0.5694736842105264,,0.1864406779661017,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,none_unscreened,True,0.5688001187280656,0.5729884032114184,,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hddm_w,confirmed_screened,False,0.5773888549656139,0.5823193577163247,,0.22033898305084745,,,3.3333333333333335,107666.66666666667
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hddm_w,confirmed_unscreened,False,0.5616254802287947,0.5685102586975914,,0.0,,,5.0,104500.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hddm_w,immediate_screened,False,0.5640159112600747,0.5701516503122213,,0.2711864406779661,,,29.999999999999996,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hddm_w,immediate_unscreened,False,0.571224133506061,0.5769313113291704,,0.0,,,46.666666666666664,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hddm_w,none_screened,True,0.5657780650090587,0.5694736842105264,,0.1864406779661017,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hddm_w,none_unscreened,True,0.5688001187280656,0.5729884032114184,,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hellinger,confirmed_screened,False,0.5685779165668049,0.5735414808206958,,0.2711864406779661,,,3.3333333333333335,104500.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hellinger,confirmed_unscreened,False,0.594108303488219,0.5981088314005353,,0.0,,,1.6666666666666667,98166.66666666667
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hellinger,immediate_screened,False,0.566651437739619,0.5730240856378234,,0.1864406779661017,,,8.333333333333334,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hellinger,immediate_unscreened,False,0.5795872205879506,0.5849063336306869,,0.0,,,8.333333333333334,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hellinger,none_screened,True,0.5657780650090587,0.5694736842105264,,0.1864406779661017,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hellinger,none_unscreened,True,0.5688001187280656,0.5729884032114184,,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,adwin,confirmed_screened,False,0.5571621270947,0.5615013788602825,0.5968175968175968,0.30743321474433194,,,1.6666666666666667,110833.33333333334
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,adwin,confirmed_unscreened,False,0.5776520473057749,0.5828473991116351,1.0,0.0,,,6.666666666666667,107666.66666666667
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,adwin,immediate_screened,False,0.5423025232640397,0.5497968549354778,0.30829530829530827,0.39551186240868996,,,14.999999999999998,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,adwin,immediate_unscreened,False,0.5355770238929455,0.542955181777993,1.0,0.0,,,38.333333333333336,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,adwin,none_screened,True,0.5183993923135573,0.5228932909500452,0.7138177138177139,0.2484895690798476,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,adwin,none_unscreened,True,0.5582205899787389,0.5621960718270425,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,d3_oof,confirmed_screened,False,0.5897932240147341,0.5928888701766204,0.6640926640926641,0.23954276572005978,,,1.6666666666666667,98166.66666666667
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,d3_oof,confirmed_unscreened,False,0.5582205899787389,0.5621960718270425,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,d3_oof,immediate_screened,False,0.5971754499186572,0.5997094920320822,0.806013806013806,0.20508178430835947,,,1.6666666666666667,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,d3_oof,immediate_unscreened,False,0.5781900725440475,0.5825316295812896,1.0,0.0,,,3.3333333333333335,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,d3_oof,none_screened,True,0.5183993923135573,0.5228932909500452,0.7138177138177139,0.2484895690798476,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,d3_oof,none_unscreened,True,0.5582205899787389,0.5621960718270425,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,hddm_w,confirmed_screened,False,0.5567789295857759,0.5624486874513188,0.5611325611325612,0.341010041471065,,,3.3333333333333335,107666.66666666667
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,hddm_w,confirmed_unscreened,False,0.5426838628129949,0.5500705218617772,1.0,0.0,,,8.333333333333334,110833.33333333334
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,hddm_w,immediate_screened,False,0.5479898932518948,0.5558175273140644,0.2636012636012636,0.42746773887964973,,,31.666666666666664,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,hddm_w,immediate_unscreened,False,0.5355061832880053,0.542260488811233,1.0,0.0,,,61.666666666666664,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,hddm_w,none_screened,True,0.5183993923135573,0.5228932909500452,0.7138177138177139,0.2484895690798476,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,hddm_w,none_unscreened,True,0.5582205899787389,0.5621960718270425,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,hellinger,confirmed_screened,False,0.5897932240147341,0.5928888701766204,0.6640926640926641,0.23954276572005978,,,1.6666666666666667,98166.66666666667
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,hellinger,confirmed_unscreened,False,0.5803181401560036,0.585605119676652,1.0,0.0,,,3.3333333333333335,101333.33333333334
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,hellinger,immediate_screened,False,0.5456583899380232,0.5519230364398038,0.7278577278577278,0.21101825147885397,,,5.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,hellinger,immediate_unscreened,False,0.5565738009658614,0.5626802517735722,1.0,0.0,,,10.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,hellinger,none_screened,True,0.5183993923135573,0.5228932909500452,0.7138177138177139,0.2484895690798476,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__moderate,concept,moderate,hellinger,none_unscreened,True,0.5582205899787389,0.5621960718270425,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,adwin,confirmed_screened,False,0.5283421758447234,0.5326388225174424,0.6981264966896746,0.23807703335563413,,,1.6666666666666667,110833.33333333334
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,adwin,confirmed_unscreened,False,0.5438846749689968,0.5500812386504826,1.0,0.0,,,5.0,104500.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,adwin,immediate_screened,False,0.543798825790305,0.5509414125967695,0.16276940414142838,0.374247347796999,,,13.333333333333334,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,adwin,immediate_unscreened,False,0.5171970671769099,0.5250167256045112,1.0,0.0,,,29.999999999999996,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,adwin,none_screened,True,0.5055880081027292,0.5092468699225844,0.7721510071841104,0.21779126445570104,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,adwin,none_unscreened,True,0.5278571394625233,0.5326388225174424,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,d3_oof,confirmed_screened,False,0.5055880081027292,0.5092468699225844,0.7721510071841104,0.21779126445570104,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,d3_oof,confirmed_unscreened,False,0.5278571394625233,0.5326388225174424,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,d3_oof,immediate_screened,False,0.5055880081027292,0.5092468699225844,0.7721510071841104,0.21779126445570104,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,d3_oof,immediate_unscreened,False,0.5278571394625233,0.5326388225174424,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,d3_oof,none_screened,True,0.5055880081027292,0.5092468699225844,0.7721510071841104,0.21779126445570104,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,d3_oof,none_unscreened,True,0.5278571394625233,0.5326388225174424,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,hddm_w,confirmed_screened,False,0.5277726745780834,0.534454745292937,0.7034793632906043,0.21719392143744623,,,6.666666666666667,110833.33333333334
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,hddm_w,confirmed_unscreened,False,0.542528567628015,0.548623721685941,1.0,0.0,,,5.0,104500.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,hddm_w,immediate_screened,False,0.5462575894427999,0.5545493644270286,0.11741090294407663,0.49505399980885023,,,23.333333333333332,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,hddm_w,immediate_unscreened,False,0.514774755078258,0.52238841632419,1.0,0.0,,,65.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,hddm_w,none_screened,True,0.5055880081027292,0.5092468699225844,0.7721510071841104,0.21779126445570104,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,hddm_w,none_unscreened,True,0.5278571394625233,0.5326388225174424,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,hellinger,confirmed_screened,False,0.5277411242253109,0.5316352862467744,0.6965065502183406,0.2602265124725222,,,1.6666666666666667,101333.33333333334
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,hellinger,confirmed_unscreened,False,0.5506592596059923,0.5564847558061742,1.0,0.0,,,3.3333333333333335,101333.33333333334
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,hellinger,immediate_screened,False,0.5341915558133399,0.5405237503584058,0.43435695168333566,0.3528863614642072,,,6.666666666666667,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,hellinger,immediate_unscreened,False,0.5310889798554186,0.5380865908439262,1.0,0.0,,,13.333333333333334,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,hellinger,none_screened,True,0.5055880081027292,0.5092468699225844,0.7721510071841104,0.21779126445570104,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__concept__severe,concept,severe,hellinger,none_unscreened,True,0.5278571394625233,0.5326388225174424,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__instance__moderate,instance,moderate,adwin,confirmed_screened,False,0.5757600795685511,0.5783586083853702,0.6940708689042218,0.30493273542600896,,,1.6666666666666667,104500.0
E1_fixed,RBF_I,RBF_I__s115__instance__moderate,instance,moderate,adwin,confirmed_unscreened,False,0.5645437792371407,0.5704014272970562,1.0,0.0,,,3.3333333333333335,101333.33333333334
E1_fixed,RBF_I,RBF_I__s115__instance__moderate,instance,moderate,adwin,immediate_screened,False,0.5565696450538113,0.5631757359500446,0.7607297392117881,0.23693130381692246,,,8.333333333333334,95000.0
E1_fixed,RBF_I,RBF_I__s115__instance__moderate,instance,moderate,adwin,immediate_unscreened,False,0.547604479631823,0.5547903657448706,1.0,0.0,,,10.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__instance__moderate,instance,moderate,adwin,none_screened,True,0.5704104383025628,0.5739696699375557,0.8457490352005613,0.15223478389018716,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__instance__moderate,instance,moderate,adwin,none_unscreened,True,0.5517536798846111,0.5564495985727029,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__instance__moderate,instance,moderate,d3_oof,confirmed_screened,False,0.5704104383025628,0.5739696699375557,0.8457490352005613,0.15223478389018716,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__instance__moderate,instance,moderate,d3_oof,confirmed_unscreened,False,0.5517536798846111,0.5564495985727029,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__instance__moderate,instance,moderate,d3_oof,immediate_screened,False,0.5704104383025628,0.5739696699375557,0.8457490352005613,0.15223478389018716,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__instance__moderate,instance,moderate,d3_oof,immediate_unscreened,False,0.5517536798846111,0.5564495985727029,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__instance__moderate,instance,moderate,d3_oof,none_screened,True,0.5704104383025628,0.5739696699375557,0.8457490352005613,0.15223478389018716,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__instance__moderate,instance,moderate,d3_oof,none_unscreened,True,0.5517536798846111,0.5564495985727029,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,RBF_I__s115__instance__moderate,instance,moderate,hddm_w,confirmed_screened,False,0.5714321243202057,0.5739696699375557,0.710209332241843,0.28783763868713025,,,1.6666666666666667,107666.66666666667
