stream,condition,mode,level,detector,left,right,comparison,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,malicious_recall_difference,benign_fpr_difference,resets_per_100k_difference,training_visits_per_100k_difference
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E2_RL / RL_2state,cross_experiment,-0.02144396183300523,-0.018365744870651235,,-0.15932203389830504,,,-23.666666666666668,9500.0
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E2_RL / RL_4state,cross_experiment,-0.019723916069250724,-0.0165066904549509,,-0.04406779661016949,,,-4.333333333333332,9500.0
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E2_RL / confirmed_screened,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E2_RL / error_rule,cross_experiment,-0.01859128807678312,-0.017270294380017814,,-0.13559322033898305,,,-11.666666666666668,9500.0
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E2_RL / none_screened,cross_experiment,-0.01710319087037515,-0.013041926851025898,,0.033898305084745756,,,5.0,9500.0
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E2_RL / selected_map,cross_experiment,-0.01710319087037515,-0.013041926851025898,,0.033898305084745756,,,5.0,9500.0
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E3_filter / confirmed_screened_filter_learned_features,cross_experiment,-0.0030912858974661006,-0.0002569134701159159,,-0.02975914362176632,,,2.0,7618.6666666666715
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E3_filter / confirmed_screened_filter_learned_features_label,cross_experiment,-0.0026682076795911946,-0.002665477252453141,,-0.009266726137377335,,,1.333333333333333,2310.6666666666715
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E3_filter / confirmed_screened_filter_none,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E3_filter / confirmed_screened_filter_oracle_blocks,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E3_filter / confirmed_screened_filter_oracle_rows,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E3_filter / confirmed_screened_filter_random_blocks,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E3_filter / confirmed_screened_filter_random_rows,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
RBF_I,RBF_I__s115__clean__none,clean,none,adwin,E1_fixed / confirmed_screened,E3_filter / none_screened_filter_learned_features,cross_experiment,0.005000905884870233,0.00812845673505802,,-0.029930419268510283,,,5.0,15372.0
