stream,detector,filter,filter_seed,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,malicious_recall,benign_fpr
RBF_I,adwin,learned_features,7.0,0.3299811818438918,0.3377511961722488,0.5089693985226873,0.4342182817010019,0.5,11821.0,,
RBF_I,adwin,learned_features,17.0,0.3419910354037297,0.34980861244019135,0.7766443897291594,0.2594642934642796,0.5,11872.5,,
RBF_I,adwin,learned_features,27.0,0.33929404725953993,0.34923444976076556,0.8712627506155469,0.2110326990438799,0.5,11926.0,,
RBF_I,adwin,learned_features,37.0,0.33176491401525016,0.3382775119617225,0.253253605346465,0.4729517826378751,0.5,11883.0,,
RBF_I,adwin,learned_features,47.0,0.3632797188572601,0.37224880382775116,0.5912768202602884,0.34841681327259016,0.5,11785.5,,
RBF_I,adwin,learned_features_label,7.0,0.33332521940709725,0.3390430622009569,0.6102708406612734,0.4203495018124203,0.0,10573.0,,
RBF_I,adwin,learned_features_label,17.0,0.3325437520703086,0.33593301435406697,0.4322898346816743,0.4409104746761199,0.0,10905.0,,
RBF_I,adwin,learned_features_label,27.0,0.33344250818403237,0.3388516746411483,0.6144917340837144,0.31593456165719935,0.5,11706.0,,
RBF_I,adwin,learned_features_label,37.0,0.33336146635422503,0.33894736842105266,0.7038339781920506,0.3156316110256041,0.5,11761.0,,
RBF_I,adwin,learned_features_label,47.0,0.34499989057752856,0.35325358851674643,0.696095673584242,0.28984313113771437,0.5,12059.5,,
RBF_I,adwin,none,,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.3153435233098701,0.5,12350.0,,
RBF_I,adwin,oracle_blocks,,0.3184156847862005,0.3203349282296651,0.0,0.6363636363636364,0.5,7125.0,,
RBF_I,adwin,oracle_rows,,0.35112853363164076,0.3575598086124402,0.0,0.27176524014962294,1.0,11618.5,,
RBF_I,adwin,random_blocks,7.0,0.3184156847862005,0.3203349282296651,0.0,0.6363636363636364,0.5,7125.0,,
RBF_I,adwin,random_blocks,17.0,0.3184156847862005,0.3203349282296651,0.0,0.6363636363636364,0.5,7125.0,,
RBF_I,adwin,random_blocks,27.0,0.3184156847862005,0.3203349282296651,0.0,0.6363636363636364,0.5,7125.0,,
RBF_I,adwin,random_blocks,37.0,0.3184156847862005,0.3203349282296651,0.0,0.6363636363636364,0.5,7125.0,,
RBF_I,adwin,random_blocks,47.0,0.3184156847862005,0.3203349282296651,0.0,0.6363636363636364,0.5,7125.0,,
RBF_I,adwin,random_rows,7.0,0.3356787224152674,0.34210526315789475,0.4695743932465705,0.4039461261756516,0.5,10928.5,,
