stream,detector,filter,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,malicious_recall,benign_fpr
RBF_I,adwin,learned_features,0.34126217947593435,0.34946411483253587,0.6002813928948294,0.3452167740239253,0.5,11857.6,,
RBF_I,adwin,learned_features_label,0.3355345673186384,0.3412057416267943,0.6113964122405909,0.3565338560618116,0.3,11400.9,,
RBF_I,adwin,none,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.3153435233098701,0.5,12350.0,,
RBF_I,adwin,oracle_blocks,0.3184156847862005,0.3203349282296651,0.0,0.6363636363636364,0.5,7125.0,,
RBF_I,adwin,oracle_rows,0.35112853363164076,0.3575598086124402,0.0,0.27176524014962294,1.0,11618.5,,
RBF_I,adwin,random_blocks,0.3184156847862005,0.3203349282296651,0.0,0.6363636363636364,0.5,7125.0,,
RBF_I,adwin,random_rows,0.3358114462781744,0.34338755980861246,0.4982061202954625,0.3832940951515948,0.5,10928.5,,
RBF_I,d3_oof,learned_features,0.33783595480980966,0.34654545454545455,0.6002813928948294,0.37981007545933204,0.0,10954.0,,
RBF_I,d3_oof,learned_features_label,0.3355345673186384,0.3412057416267943,0.6113964122405909,0.38263911921970634,0.0,10856.3,,
RBF_I,d3_oof,none,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,0.0,11400.0,,
RBF_I,d3_oof,oracle_blocks,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,d3_oof,oracle_rows,0.35112853363164076,0.3575598086124402,0.0,0.362835665714593,0.0,9978.5,,
RBF_I,d3_oof,random_blocks,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,d3_oof,random_rows,0.3358114462781744,0.34338755980861246,0.4982061202954625,0.42874864060614026,0.0,9978.5,,
RBF_I,hddm_w,learned_features,0.34126217947593435,0.34946411483253587,0.6526204713330989,0.33644180158919357,0.7,12219.3,,
RBF_I,hddm_w,learned_features_label,0.3355345673186384,0.3412057416267943,0.6113964122405909,0.38263911921970634,0.0,10856.3,,
RBF_I,hddm_w,none,0.34357187532061073,0.3530622009569378,0.8040801969750264,0.2700921400145799,0.5,12350.0,,
RBF_I,hddm_w,oracle_blocks,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,hddm_w,oracle_rows,0.35112853363164076,0.3575598086124402,0.0,0.362835665714593,0.0,9978.5,,
RBF_I,hddm_w,random_blocks,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,hddm_w,random_rows,0.3358114462781744,0.34338755980861246,0.511712979247274,0.42208372671104366,0.1,10116.0,,
RBF_I,hellinger,learned_features,0.33783595480980966,0.34654545454545455,0.6002813928948294,0.37981007545933204,0.0,10954.0,,
RBF_I,hellinger,learned_features_label,0.3355345673186384,0.3412057416267943,0.6113964122405909,0.38263911921970634,0.0,10856.3,,
RBF_I,hellinger,none,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,0.0,11400.0,,
RBF_I,hellinger,oracle_blocks,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,hellinger,oracle_rows,0.35112853363164076,0.3575598086124402,0.0,0.362835665714593,0.0,9978.5,,
RBF_I,hellinger,random_blocks,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,hellinger,random_rows,0.3358114462781744,0.34338755980861246,0.4982061202954625,0.42874864060614026,0.0,9978.5,,
RBF_I,none,learned_features,0.33783595480980966,0.34654545454545455,0.6002813928948294,0.37981007545933204,0.0,10954.0,,
RBF_I,none,learned_features_label,0.3355345673186384,0.3412057416267943,0.6113964122405909,0.38263911921970634,0.0,10856.3,,
RBF_I,none,none,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,0.0,11400.0,,
SEA_A,adwin,learned_features,0.8687659557519277,0.8814066985645933,0.7937150837988827,0.26169866172513706,0.3,11649.8,,
SEA_A,adwin,learned_features_label,0.8813731430943236,0.8922966507177034,0.2884776536312849,0.19547607592429772,0.0,10012.8,,
SEA_A,adwin,none,0.8601748226884922,0.8741626794258373,0.9053770949720671,0.1356625841861803,0.5,12350.0,,
SEA_A,adwin,oracle_blocks,0.8572996231209832,0.8716267942583732,0.0,0.5909090909090909,0.5,7125.0,,
SEA_A,adwin,oracle_rows,0.8597479431053936,0.8744019138755981,0.0,0.22721280828320112,1.0,11620.5,,
SEA_A,adwin,random_blocks,0.8572996231209832,0.8716267942583732,0.0,0.5909090909090909,0.5,7125.0,,
SEA_A,adwin,random_rows,0.8485011405915305,0.8648803827751197,0.5328212290502793,0.3273050835270714,0.5,10918.0,,
SEA_A,d3_oof,learned_features,0.8689992024867195,0.8815311004784689,0.7937150837988827,0.24427282440456294,0.0,10925.8,,
SEA_A,d3_oof,learned_features_label,0.8813731430943236,0.8922966507177034,0.2884776536312849,0.19547607592429772,0.0,10012.8,,
SEA_A,d3_oof,none,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,0.0,11400.0,,
SEA_A,d3_oof,oracle_blocks,0.8573356692411499,0.8719138755980861,0.0,0.5909090909090909,0.0,6175.0,,
SEA_A,d3_oof,oracle_rows,0.8631482436455138,0.8773684210526316,0.0,0.18390935455264484,0.0,9968.0,,
SEA_A,d3_oof,random_blocks,0.8573356692411499,0.8719138755980861,0.0,0.5909090909090909,0.0,6175.0,,
SEA_A,d3_oof,random_rows,0.8485371867116973,0.8651674641148326,0.5328212290502793,0.3273050835270714,0.0,9968.0,,
SEA_A,hddm_w,learned_features,0.8699599218816708,0.8823349282296651,0.6881983240223464,0.29630287976970926,0.2,11287.6,,
SEA_A,hddm_w,learned_features_label,0.8813731430943236,0.8922966507177034,0.2884776536312849,0.19547607592429772,0.0,10012.8,,
SEA_A,hddm_w,none,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,0.0,11400.0,,
SEA_A,hddm_w,oracle_blocks,0.8573356692411499,0.8719138755980861,0.0,0.5909090909090909,0.0,6175.0,,
SEA_A,hddm_w,oracle_rows,0.8631482436455138,0.8773684210526316,0.0,0.18390935455264484,0.0,9968.0,,
SEA_A,hddm_w,random_blocks,0.8573356692411499,0.8719138755980861,0.0,0.5909090909090909,0.0,6175.0,,
SEA_A,hddm_w,random_rows,0.8560961373537752,0.8711866028708133,0.5588687150837989,0.3138724444550967,0.4,10519.7,,
SEA_A,hellinger,learned_features,0.8689992024867195,0.8815311004784689,0.7937150837988827,0.24427282440456294,0.0,10925.8,,
SEA_A,hellinger,learned_features_label,0.8813731430943236,0.8922966507177034,0.2884776536312849,0.19547607592429772,0.0,10012.8,,
SEA_A,hellinger,none,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,0.0,11400.0,,
SEA_A,hellinger,oracle_blocks,0.8573356692411499,0.8719138755980861,0.0,0.5909090909090909,0.0,6175.0,,
SEA_A,hellinger,oracle_rows,0.8631482436455138,0.8773684210526316,0.0,0.18390935455264484,0.0,9968.0,,
SEA_A,hellinger,random_blocks,0.8573356692411499,0.8719138755980861,0.0,0.5909090909090909,0.0,6175.0,,
SEA_A,hellinger,random_rows,0.8516678123590588,0.8676746411483253,0.5453212290502794,0.32026580063753807,0.1,10106.8,,
SEA_A,none,learned_features,0.8689992024867195,0.8815311004784689,0.7937150837988827,0.24427282440456294,0.0,10925.8,,
SEA_A,none,learned_features_label,0.8813731430943236,0.8922966507177034,0.2884776536312849,0.19547607592429772,0.0,10012.8,,
SEA_A,none,none,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,0.0,11400.0,,
radar,adwin,learned_features,0.15946346138437303,0.6062946912242687,0.7061884669479606,0.3415954163610446,0.5,13342.9,0.20564663023679416,0.05555968071282717
radar,adwin,learned_features_label,0.19822649830014175,0.6701841820151679,0.7059071729957805,0.3545243807772006,0.4,12595.6,0.5071558678116055,0.07120846482272136
radar,adwin,none,0.22408879568683948,0.7160346695557963,0.8136427566807314,0.31733320584227764,0.5,13300.0,0.4864689045016914,0.06255801002413217
radar,adwin,oracle_blocks,0.17737184917559984,0.6131094257854821,0.0,0.7272727272727273,0.0,7125.0,0.7555295342180588,0.13773900129942454
radar,adwin,oracle_rows,0.1995212252107742,0.6728060671722644,0.0,0.363349508761026,0.5,11625.0,0.36677075201665366,0.04872842027102283
radar,adwin,random_blocks,0.17737184917559984,0.6131094257854821,0.0,0.7272727272727273,0.0,7125.0,0.7555295342180588,0.13773900129942454
radar,adwin,random_rows,0.18479772403622546,0.6663271939328277,0.5435302390998593,0.4558291301125905,0.2,11758.5,0.3508977361436378,0.055411175051048825
