stream,mode_screened,level_screened,base_seed_screened,attack_seed_screened,attack_assignment_screened,base_key_screened,condition,rows_screened,training_visits_screened,accepted_training_visits_screened,accepted_refit_rows_screened,resets_screened,seconds_screened,pending_candidate_screened,audit_rows_reserved_screened,policy,guarded_screened,host_n_screened,host_accuracy_screened,host_macro_f1_screened,poison_rows_screened,poison_rows_admitted_screened,poison_admission_rate_screened,clean_rows_screened,clean_rows_withheld_screened,clean_withhold_rate_screened,malicious_recall_screened,benign_fpr_screened,detector,status_screened,folder_screened,mode_unscreened,level_unscreened,base_seed_unscreened,attack_seed_unscreened,attack_assignment_unscreened,base_key_unscreened,rows_unscreened,training_visits_unscreened,accepted_training_visits_unscreened,accepted_refit_rows_unscreened,resets_unscreened,seconds_unscreened,pending_candidate_unscreened,audit_rows_reserved_unscreened,guarded_unscreened,host_n_unscreened,host_accuracy_unscreened,host_macro_f1_unscreened,poison_rows_unscreened,poison_rows_admitted_unscreened,poison_admission_rate_unscreened,clean_rows_unscreened,clean_rows_withheld_unscreened,clean_withhold_rate_unscreened,malicious_recall_unscreened,benign_fpr_unscreened,status_unscreened,folder_unscreened,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,malicious_recall_difference,benign_fpr_difference
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,13300,9500,2850,1,0.5707424999854993,False,600,confirmed,True,10450,0.3475598086124402,0.33479347114531915,2843,2286,0.8040801969750264,7607,1343,0.1765479163927961,,,hddm_w,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hddm_w/RBF_I__s9913__instance__severe/confirmed_screened,instance,severe,9913.0,821989827.0,,RBF_I__s9913,12000,11400,11400,0,0,0.46704379201401025,False,600,False,10450,0.33043062200956935,0.31277587835964565,2843,2843,1.0,7607,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hddm_w/RBF_I__s9913__instance__severe/confirmed_unscreened,0.0220175927856735,0.017129186602870827,-0.19591980302497358,0.1765479163927961,1,1900,,
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,6650,1900,2,0.5111311670043506,False,600,immediate,True,10450,0.3964593301435407,0.3865408864243334,2843,1513,0.5321843123461133,7607,3420,0.44958590771657686,,,hddm_w,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hddm_w/RBF_I__s9913__instance__severe/immediate_screened,instance,severe,9913.0,821989827.0,,RBF_I__s9913,12000,11400,11400,4750,5,0.4527953330252785,False,600,False,10450,0.43894736842105264,0.43498240229468677,2843,2843,1.0,7607,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hddm_w/RBF_I__s9913__instance__severe/immediate_unscreened,-0.04844151587035339,-0.042488038277511964,-0.4678156876538867,0.44958590771657686,-3,0,,
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,11400,7600,0,0,0.5142035000026226,False,600,confirmed,True,10450,0.3585645933014354,0.35235027949590225,0,0,,10450,3800,0.36363636363636365,,,hellinger,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__clean__none/confirmed_screened,clean,none,9913.0,,,RBF_I__s9913,12000,11400,11400,0,0,0.4509240420011338,False,600,False,10450,0.36995215311004787,0.3630090291100171,0,0,,10450,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__clean__none/confirmed_unscreened,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,0,0,,
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,11400,7600,0,0,0.5125131670210976,False,600,immediate,True,10450,0.3585645933014354,0.35235027949590225,0,0,,10450,3800,0.36363636363636365,,,hellinger,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__clean__none/immediate_screened,clean,none,9913.0,,,RBF_I__s9913,12000,11400,11400,0,0,0.45857299998169765,False,600,False,10450,0.36995215311004787,0.3630090291100171,0,0,,10450,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__clean__none/immediate_unscreened,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,0,0,,
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,7600,0,0,0.5227177499909885,False,600,confirmed,True,10450,0.3475598086124402,0.33479347114531915,2843,1766,0.6211748153359128,7607,2723,0.35795977389246747,,,hellinger,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__instance__severe/confirmed_screened,instance,severe,9913.0,821989827.0,,RBF_I__s9913,12000,11400,11400,0,0,0.4631764160003513,False,600,False,10450,0.33043062200956935,0.31277587835964565,2843,2843,1.0,7607,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__instance__severe/confirmed_unscreened,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,0,0,,
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,7600,0,0,0.5133516660134774,False,600,immediate,True,10450,0.3475598086124402,0.33479347114531915,2843,1766,0.6211748153359128,7607,2723,0.35795977389246747,,,hellinger,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__instance__severe/immediate_screened,instance,severe,9913.0,821989827.0,,RBF_I__s9913,12000,11400,11400,0,0,0.45737691698013805,False,600,False,10450,0.33043062200956935,0.31277587835964565,2843,2843,1.0,7607,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__instance__severe/immediate_unscreened,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,0,0,,
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,11400,7600,0,0,0.5152564590098336,False,600,none,True,10450,0.3585645933014354,0.35235027949590225,0,0,,10450,3800,0.36363636363636365,,,none,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/none/RBF_I__s9913__clean__none/none_screened,clean,none,9913.0,,,RBF_I__s9913,12000,11400,11400,0,0,0.45001933301682584,False,600,False,10450,0.36995215311004787,0.3630090291100171,0,0,,10450,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/none/RBF_I__s9913__clean__none/none_unscreened,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,0,0,,
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,7600,0,0,0.5164552500064019,False,600,none,True,10450,0.3475598086124402,0.33479347114531915,2843,1766,0.6211748153359128,7607,2723,0.35795977389246747,,,none,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/none/RBF_I__s9913__instance__severe/none_screened,instance,severe,9913.0,821989827.0,,RBF_I__s9913,12000,11400,11400,0,0,0.44993066700408235,False,600,False,10450,0.33043062200956935,0.31277587835964565,2843,2843,1.0,7607,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/none/RBF_I__s9913__instance__severe/none_unscreened,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,0,0,,
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,12000,13300,10450,2850,1,0.16069399999105372,False,600,confirmed,True,10450,0.8664114832535885,0.8503867963132563,0,0,,10450,1900,0.18181818181818182,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/adwin/SEA_A__s9913__clean__none/confirmed_screened,clean,none,9913.0,,,SEA_A__s9913,12000,11400,11400,0,0,0.12807395798154175,False,600,False,10450,0.88,0.8674801403756076,0,0,,10450,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/adwin/SEA_A__s9913__clean__none/confirmed_unscreened,-0.0170933440623513,-0.013588516746411483,,0.18181818181818182,1,1900,,
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,12000,11400,8550,950,1,0.15162670801510103,False,600,immediate,True,10450,0.8679425837320575,0.8516195355737766,0,0,,10450,2850,0.2727272727272727,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/adwin/SEA_A__s9913__clean__none/immediate_screened,clean,none,9913.0,,,SEA_A__s9913,12000,11400,11400,1900,2,0.13397712499136105,False,600,False,10450,0.8904306220095694,0.8784806850430298,0,0,,10450,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/adwin/SEA_A__s9913__clean__none/immediate_unscreened,-0.02686114946925322,-0.02248803827751189,,0.2727272727272727,-1,0,,
