rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,condition,stream,mode,level,base_seed,arm,feedback_fraction,delay_blocks,no_feedback_blocks,status,host_macro_f1_reference,host_accuracy_reference,poison_admission_rate_reference,clean_withhold_rate_reference,resets_reference,training_visits_reference,seconds_reference,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,seconds_difference
60000,57000,41800,0,0,0.7892574580037035,False,3000,none,True,56050,0.9082604817127564,0.8990646712983215,0,0,,56050,15200,0.2711864406779661,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,no_reset,0.05,1,0,complete,0.9011040894066082,0.9100981266726137,,0.6610169491525424,2,60800,0.6910542080004234,-0.0020394181082867835,-0.0018376449598572764,,-0.3898305084745763,-2,-3800,0.09820325000328012
60000,57000,50350,0,0,0.8608490000042366,False,3000,none,True,56050,0.9015700267618199,0.8919644297837805,0,0,,56050,6650,0.11864406779661017,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,no_reset,0.01,5,4,complete,0.8958488232320195,0.9047100802854594,,0.2033898305084746,1,58900,0.7331439160043374,-0.0038843934482389875,-0.003140053523639552,,-0.08474576271186442,-1,-1900,0.12770508399989922
60000,60800,22800,5700,2,0.6910542080004234,False,3000,confirmed,True,56050,0.9100981266726137,0.9011040894066082,0,0,,56050,37050,0.6610169491525424,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,confirmed,0.05,1,0,complete,0.9011040894066082,0.9100981266726137,,0.6610169491525424,2,60800,0.6910542080004234,0.0,0.0,,0.0,0,0,0.0
60000,58900,47500,2850,1,0.7331439160043374,False,3000,confirmed,True,56050,0.9047100802854594,0.8958488232320195,0,0,,56050,11400,0.2033898305084746,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,confirmed,0.01,5,4,complete,0.8958488232320195,0.9047100802854594,,0.2033898305084746,1,58900,0.7331439160043374,0.0,0.0,,0.0,0,0,0.0
60000,57000,36100,32300,34,0.6152245409903117,False,3000,rl,True,56050,0.912792149866191,0.9041118463841458,0,0,,56050,20900,0.3728813559322034,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_persistence_7,0.05,1,0,complete,0.9011040894066082,0.9100981266726137,,0.6610169491525424,2,60800,0.6910542080004234,0.0030077569775375235,0.002694023193577255,,-0.288135593220339,32,-3800,-0.07582966701011173
60000,57000,43700,38000,40,0.6078424169973005,False,3000,rl,True,56050,0.9101159678858163,0.9012088987170797,0,0,,56050,13300,0.23728813559322035,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_persistence_7,0.01,5,4,complete,0.8958488232320195,0.9047100802854594,,0.2033898305084746,1,58900,0.7331439160043374,0.005360075485060123,0.0054058876003568734,,0.033898305084745756,39,-1900,-0.1253014990070369
60000,57000,35150,0,0,0.7499852500041015,False,3000,none,True,56050,0.8996610169491526,0.8895560459772032,14252,8714,0.6114229581813079,41798,16312,0.3902579070768936,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,no_reset,0.05,1,0,complete,0.8895560459772032,0.8996610169491526,0.6114229581813079,0.3902579070768936,0,57000,0.7409228339965921,0.0,0.0,0.0,0.0,0,0,0.009062416007509455
60000,57000,49400,0,0,0.7919590000092285,False,3000,none,True,56050,0.8960035682426405,0.8854498302746361,14252,12383,0.868860510805501,41798,5731,0.13711182353222642,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,no_reset,0.01,5,4,complete,0.8854498302746361,0.8960035682426405,0.868860510805501,0.13711182353222642,0,57000,0.7833387499995297,0.0,0.0,0.0,0.0,0,0,0.008620250009698793
60000,57000,35150,0,0,0.7409228339965921,False,3000,confirmed,True,56050,0.8996610169491526,0.8895560459772032,14252,8714,0.6114229581813079,41798,16312,0.3902579070768936,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,confirmed,0.05,1,0,complete,0.8895560459772032,0.8996610169491526,0.6114229581813079,0.3902579070768936,0,57000,0.7409228339965921,0.0,0.0,0.0,0.0,0,0,0.0
60000,57000,49400,0,0,0.7833387499995297,False,3000,confirmed,True,56050,0.8960035682426405,0.8854498302746361,14252,12383,0.868860510805501,41798,5731,0.13711182353222642,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,confirmed,0.01,5,4,complete,0.8854498302746361,0.8960035682426405,0.868860510805501,0.13711182353222642,0,57000,0.7833387499995297,0.0,0.0,0.0,0.0,0,0,0.0
60000,57000,38950,32300,34,0.6167530000093393,False,3000,rl,True,56050,0.9054415700267618,0.8974530340350046,14252,9658,0.677659275891103,41798,13456,0.32192927891286666,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,q_alarm_persistence_7,0.05,1,0,complete,0.8895560459772032,0.8996610169491526,0.6114229581813079,0.3902579070768936,0,57000,0.7409228339965921,0.00789698805780148,0.005780553077609274,0.0662363177097951,-0.06832862816402696,34,0,-0.12416983398725279
60000,57000,35150,28500,30,0.6008096669975203,False,3000,rl,True,56050,0.9038180196253345,0.8950850949924882,14252,8747,0.613738422677519,41798,16345,0.3910474185367721,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,q_alarm_persistence_7,0.01,5,4,complete,0.8854498302746361,0.8960035682426405,0.868860510805501,0.13711182353222642,0,57000,0.7833387499995297,0.009635264717852143,0.007814451382693988,-0.255122088127982,0.25393559500454566,30,0,-0.18252908300200943
60000,57000,46550,0,0,2.570236166997347,False,3000,none,True,56050,0.5328278322925959,0.5246615264744932,0,0,,56050,10450,0.1864406779661017,RBF_I__s9917__clean__none,RBF_I,clean,none,9917,no_reset,0.05,1,0,complete,0.4960799057864767,0.5035682426404996,,0.2711864406779661,3,64600,2.496161500006565,0.02858162068801645,0.029259589652096296,,-0.0847457627118644,-3,-7600,0.07407466699078213
60000,57000,49400,0,0,2.524148749987944,False,3000,none,True,56050,0.5290276538804639,0.5225831002555164,0,0,,56050,7600,0.13559322033898305,RBF_I__s9917__clean__none,RBF_I,clean,none,9917,no_reset,0.01,5,4,complete,0.5439077804251312,0.551364852809991,,0.2542372881355932,1,60800,2.516166000001249,-0.021324680169614862,-0.022337198929527124,,-0.11864406779661016,-1,-3800,0.007982749986695126
60000,64600,45600,8550,3,2.496161500006565,False,3000,confirmed,True,56050,0.5035682426404996,0.4960799057864767,0,0,,56050,15200,0.2711864406779661,RBF_I__s9917__clean__none,RBF_I,clean,none,9917,confirmed,0.05,1,0,complete,0.4960799057864767,0.5035682426404996,,0.2711864406779661,3,64600,2.496161500006565,0.0,0.0,,0.0,0,0,0.0
60000,60800,44650,2850,1,2.516166000001249,False,3000,confirmed,True,56050,0.551364852809991,0.5439077804251312,0,0,,56050,14250,0.2542372881355932,RBF_I__s9917__clean__none,RBF_I,clean,none,9917,confirmed,0.01,5,4,complete,0.5439077804251312,0.551364852809991,,0.2542372881355932,1,60800,2.516166000001249,0.0,0.0,,0.0,0,0,0.0
60000,57000,31350,13300,14,2.2916410000034375,False,3000,rl,True,56050,0.5053702051739518,0.49924190797620105,0,0,,56050,25650,0.4576271186440678,RBF_I__s9917__clean__none,RBF_I,clean,none,9917,q_alarm_persistence_7,0.05,1,0,complete,0.4960799057864767,0.5035682426404996,,0.2711864406779661,3,64600,2.496161500006565,0.0031620021897243444,0.0018019625334522171,,0.1864406779661017,11,-7600,-0.20452050000312738
60000,57000,38000,18050,19,2.2046229999978095,False,3000,rl,True,56050,0.4961819803746655,0.49004009971036777,0,0,,56050,19000,0.3389830508474576,RBF_I__s9917__clean__none,RBF_I,clean,none,9917,q_alarm_persistence_7,0.01,5,4,complete,0.5439077804251312,0.551364852809991,,0.2542372881355932,1,60800,2.516166000001249,-0.053867680714763444,-0.05518287243532555,,0.0847457627118644,18,-3800,-0.3115430000034394
60000,57000,34200,0,0,2.4904525419988204,False,3000,none,True,56050,0.4863514719000892,0.4693114529727782,14242,8377,0.5881898609745823,41808,16935,0.40506601607347875,RBF_I__s9917__instance__severe,RBF_I,instance,severe,9917,no_reset,0.05,1,0,complete,0.4833432285916314,0.5023193577163247,0.6257548097177362,0.3724167623421355,1,58900,2.5350595409981906,-0.014031775618853215,-0.01596788581623554,-0.03756494874315397,0.03264925373134325,-1,-1900,-0.04460699899937026
60000,57000,46550,0,0,2.4460813330078963,False,3000,none,True,56050,0.5022123104371097,0.4914287465462658,14242,11638,0.8171605111641623,41808,7846,0.18766743207041714,RBF_I__s9917__instance__severe,RBF_I,instance,severe,9917,no_reset,0.01,5,4,complete,0.4737126351566201,0.48620874219446925,0.7435051256845948,0.2534682357443552,1,60800,2.4927383340109373,0.017716111389645683,0.01600356824264043,0.07365538547956751,-0.06580080367393804,-1,-3800,-0.04665700100304093
60000,60800,44650,2850,1,2.4927383340109373,True,3000,confirmed,True,56050,0.48620874219446925,0.4737126351566201,14242,10589,0.7435051256845948,41808,10597,0.2534682357443552,RBF_I__s9917__instance__severe,RBF_I,instance,severe,9917,confirmed,0.01,5,4,complete,0.4737126351566201,0.48620874219446925,0.7435051256845948,0.2534682357443552,1,60800,2.4927383340109373,0.0,0.0,0.0,0.0,0,0,0.0
60000,58900,37050,2850,1,2.5350595409981906,False,3000,confirmed,True,56050,0.5023193577163247,0.4833432285916314,14242,8912,0.6257548097177362,41808,15570,0.3724167623421355,RBF_I__s9917__instance__severe,RBF_I,instance,severe,9917,confirmed,0.05,1,0,complete,0.4833432285916314,0.5023193577163247,0.6257548097177362,0.3724167623421355,1,58900,2.5350595409981906,0.0,0.0,0.0,0.0,0,0,0.0
60000,57000,26600,19950,21,2.2292667500005336,False,3000,rl,True,56050,0.48526315789473684,0.4656627007311193,14242,6515,0.45744979637691335,41808,22673,0.5423124760811328,RBF_I__s9917__instance__severe,RBF_I,instance,severe,9917,q_alarm_persistence_7,0.05,1,0,complete,0.4833432285916314,0.5023193577163247,0.6257548097177362,0.3724167623421355,1,58900,2.5350595409981906,-0.017680527860512107,-0.017056199821587903,-0.16830501334082287,0.16989571373899726,20,-1900,-0.305792790997657
60000,57000,37050,18050,19,2.199260374996811,False,3000,rl,True,56050,0.48119536128456736,0.4616584210624969,14242,9175,0.6442213172307261,41808,14883,0.3559845005740528,RBF_I__s9917__instance__severe,RBF_I,instance,severe,9917,q_alarm_persistence_7,0.01,5,4,complete,0.4737126351566201,0.48620874219446925,0.7435051256845948,0.2534682357443552,1,60800,2.4927383340109373,-0.012054214094123217,-0.005013380909901888,-0.09928380845386875,0.10251626482969761,18,-3800,-0.2934779590141261
