experiment,stream,condition,mode,level,detector,left,right,comparison,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,malicious_recall_difference,benign_fpr_difference,resets_per_100k_difference,training_visits_per_100k_difference
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,confirmed_screened,immediate_unscreened,policy,-0.1358505689063464,-0.13043062200956934,,0.36363636363636365,,,-58.333333333333336,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,confirmed_screened,none_screened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,confirmed_screened,none_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,confirmed_unscreened,immediate_screened,policy,-0.014884786632869518,-0.009760765550239192,,-0.45454545454545453,,,-8.333333333333334,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,confirmed_unscreened,immediate_unscreened,policy,-0.12519181929223155,-0.1190430622009569,,0.0,,,-58.333333333333336,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,confirmed_unscreened,none_screened,policy,0.010658749614114837,0.011387559808612446,,-0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,confirmed_unscreened,none_unscreened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,immediate_screened,immediate_unscreened,policy,-0.11030703265936204,-0.1092822966507177,,0.45454545454545453,,,-50.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,immediate_screened,none_screened,policy,0.025543536246984355,0.02114832535885164,,0.09090909090909088,,,8.333333333333334,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,immediate_screened,none_unscreened,policy,0.014884786632869518,0.009760765550239192,,0.45454545454545453,,,8.333333333333334,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,immediate_unscreened,none_screened,policy,0.1358505689063464,0.13043062200956934,,-0.36363636363636365,,,58.333333333333336,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,immediate_unscreened,none_unscreened,policy,0.12519181929223155,0.1190430622009569,,0.0,,,58.333333333333336,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,none_screened,none_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,confirmed_screened,confirmed_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,confirmed_screened,immediate_screened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,confirmed_screened,immediate_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,confirmed_screened,none_screened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,confirmed_screened,none_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,confirmed_unscreened,immediate_screened,policy,0.010658749614114837,0.011387559808612446,,-0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,confirmed_unscreened,immediate_unscreened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,confirmed_unscreened,none_screened,policy,0.010658749614114837,0.011387559808612446,,-0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,confirmed_unscreened,none_unscreened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,immediate_screened,immediate_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
