experiment,detector,method,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,malicious_recall,benign_fpr,resets_per_100k,training_visits_per_100k
E1_fixed,adwin,confirmed_screened,0.4759451645653141,0.6477531833128571,0.780064888996237,0.25611310444610935,0.4864689045016914,0.06255801002413217,4.166666666666667,105555.55555555556
E1_fixed,adwin,confirmed_unscreened,0.45832025888080424,0.6427358087921468,1.0,0.0,0.4903721051262035,0.06292927417857805,4.166666666666667,102916.66666666667
E1_fixed,adwin,immediate_screened,0.4733586256005229,0.634212236984661,0.7534814314486526,0.317414323200246,0.166016133229248,0.044830146649341006,11.111111111111112,95000.0
E1_fixed,adwin,immediate_unscreened,0.513353460595276,0.6673651206712733,1.0,0.0,0.4587561800676555,0.16261369964729905,33.333333333333336,95000.0
E1_fixed,adwin,none_screened,0.4574229093508247,0.6138113184073154,0.748770936816209,0.2862308743088174,0.2444704657819412,0.06255801002413217,0.0,95000.0
E1_fixed,adwin,none_unscreened,0.4648347072615549,0.6449929413309695,1.0,0.0,0.5027322404371585,0.06292927417857805,0.0,95000.0
E1_fixed,d3_oof,confirmed_screened,0.4574229093508247,0.6138113184073154,0.748770936816209,0.2862308743088174,0.2444704657819412,0.06255801002413217,0.0,95000.0
E1_fixed,d3_oof,confirmed_unscreened,0.4648347072615549,0.6449929413309695,1.0,0.0,0.5027322404371585,0.06292927417857805,0.0,95000.0
E1_fixed,d3_oof,immediate_screened,0.4574229093508247,0.6138113184073154,0.748770936816209,0.2862308743088174,0.2444704657819412,0.06255801002413217,0.0,95000.0
E1_fixed,d3_oof,immediate_unscreened,0.4648347072615549,0.6449929413309695,1.0,0.0,0.5027322404371585,0.06292927417857805,0.0,95000.0
E1_fixed,d3_oof,none_screened,0.4574229093508247,0.6138113184073154,0.748770936816209,0.2862308743088174,0.2444704657819412,0.06255801002413217,0.0,95000.0
E1_fixed,d3_oof,none_unscreened,0.4648347072615549,0.6449929413309695,1.0,0.0,0.5027322404371585,0.06292927417857805,0.0,95000.0
E1_fixed,hddm_w,confirmed_screened,0.47595717993870307,0.6478488770927614,0.8410333495426082,0.24102931001434594,0.4864689045016914,0.06255801002413217,2.777777777777778,102916.66666666667
E1_fixed,hddm_w,confirmed_unscreened,0.4698322378255158,0.659853901966578,1.0,0.0,0.6061670569867291,0.06292927417857805,2.777777777777778,100277.7777777778
E1_fixed,hddm_w,immediate_screened,0.46505280612688243,0.6274020296481378,0.5145919672713636,0.4392934830085913,0.166016133229248,0.044830146649341006,12.5,95000.0
E1_fixed,hddm_w,immediate_unscreened,0.514798310369425,0.6737967345231985,1.0,0.0,0.4587561800676555,0.1299424540560609,40.27777777777778,95000.0
E1_fixed,hddm_w,none_screened,0.4574229093508247,0.6138113184073154,0.748770936816209,0.2862308743088174,0.2444704657819412,0.06255801002413217,0.0,95000.0
E1_fixed,hddm_w,none_unscreened,0.4648347072615549,0.6449929413309695,1.0,0.0,0.5027322404371585,0.06292927417857805,0.0,95000.0
E1_fixed,hellinger,confirmed_screened,0.4574229093508247,0.6138113184073154,0.748770936816209,0.27107935915730225,0.2444704657819412,0.06255801002413217,2.777777777777778,100277.7777777778
