experiment,stream,detector,method,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,malicious_recall,benign_fpr,resets_per_100k,training_visits_per_100k
E1_fixed,RBF_I,adwin,confirmed_screened,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.3153435233098701,,,4.166666666666667,102916.66666666667
E1_fixed,RBF_I,adwin,confirmed_unscreened,0.33789245373483134,0.3501913875598086,1.0,0.0,,,4.166666666666667,102916.66666666667
E1_fixed,RBF_I,adwin,immediate_screened,0.4098252224750576,0.41086124401913876,0.8111150193457615,0.27140671869211375,,,12.5,95000.0
E1_fixed,RBF_I,adwin,immediate_unscreened,0.4587820103815351,0.46220095693779906,1.0,0.0,,,33.333333333333336,95000.0
E1_fixed,RBF_I,adwin,none_screened,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,,,0.0,95000.0
E1_fixed,RBF_I,adwin,none_unscreened,0.33789245373483134,0.3501913875598086,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,d3_oof,confirmed_screened,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,,,0.0,95000.0
E1_fixed,RBF_I,d3_oof,confirmed_unscreened,0.33789245373483134,0.3501913875598086,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,d3_oof,immediate_screened,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,,,0.0,95000.0
E1_fixed,RBF_I,d3_oof,immediate_unscreened,0.33789245373483134,0.3501913875598086,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,d3_oof,none_screened,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,,,0.0,95000.0
E1_fixed,RBF_I,d3_oof,none_unscreened,0.33789245373483134,0.3501913875598086,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,hddm_w,confirmed_screened,0.34357187532061073,0.3530622009569378,0.8040801969750264,0.2700921400145799,,,4.166666666666667,102916.66666666667
E1_fixed,RBF_I,hddm_w,confirmed_unscreened,0.33789245373483134,0.3501913875598086,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,hddm_w,immediate_screened,0.38221735108361,0.38808612440191387,0.5321843123461133,0.4520656811310157,,,12.5,95000.0
E1_fixed,RBF_I,hddm_w,immediate_unscreened,0.4615916253484677,0.4639712918660287,1.0,0.0,,,50.0,95000.0
E1_fixed,RBF_I,hddm_w,none_screened,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,,,0.0,95000.0
E1_fixed,RBF_I,hddm_w,none_unscreened,0.33789245373483134,0.3501913875598086,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,hellinger,confirmed_screened,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,,,0.0,95000.0
E1_fixed,RBF_I,hellinger,confirmed_unscreened,0.33789245373483134,0.3501913875598086,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,hellinger,immediate_screened,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,,,0.0,95000.0
E1_fixed,RBF_I,hellinger,immediate_unscreened,0.33789245373483134,0.3501913875598086,1.0,0.0,,,0.0,95000.0
E1_fixed,RBF_I,hellinger,none_screened,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,,,0.0,95000.0
E1_fixed,RBF_I,hellinger,none_unscreened,0.33789245373483134,0.3501913875598086,1.0,0.0,,,0.0,95000.0
E1_fixed,SEA_A,adwin,confirmed_screened,0.8601748226884922,0.8741626794258373,0.9053770949720671,0.1356625841861803,,,4.166666666666667,102916.66666666667
E1_fixed,SEA_A,adwin,confirmed_unscreened,0.8726368682379393,0.884354066985646,1.0,0.0,,,0.0,95000.0
E1_fixed,SEA_A,adwin,immediate_screened,0.8607911923187523,0.8749282296650718,0.9053770949720671,0.18111712964072574,,,4.166666666666667,95000.0
E1_fixed,SEA_A,adwin,immediate_unscreened,0.8781371405716504,0.8895693779904306,1.0,0.0,,,8.333333333333334,95000.0
E1_fixed,SEA_A,adwin,none_screened,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,,,0.0,95000.0
E1_fixed,SEA_A,adwin,none_unscreened,0.8726368682379393,0.884354066985646,1.0,0.0,,,0.0,95000.0
E1_fixed,SEA_A,d3_oof,confirmed_screened,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,,,0.0,95000.0
E1_fixed,SEA_A,d3_oof,confirmed_unscreened,0.8726368682379393,0.884354066985646,1.0,0.0,,,0.0,95000.0
E1_fixed,SEA_A,d3_oof,immediate_screened,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,,,0.0,95000.0
E1_fixed,SEA_A,d3_oof,immediate_unscreened,0.8726368682379393,0.884354066985646,1.0,0.0,,,0.0,95000.0
E1_fixed,SEA_A,d3_oof,none_screened,0.8602108688086589,0.8744497607655501,0.9053770949720671,0.1356625841861803,,,0.0,95000.0
E1_fixed,SEA_A,d3_oof,none_unscreened,0.8726368682379393,0.884354066985646,1.0,0.0,,,0.0,95000.0
