rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,condition,stream,mode,level,base_seed,arm,feedback_fraction,delay_blocks,no_feedback_blocks,status
60000,57000,42750,0,0,0.7871804999886081,False,3000,none,True,56050,0.8956289027653881,0.8856521903994463,14226,10552,0.7417404751862786,41824,10576,0.2528691660290742,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,no_reset,0.05,1,0,complete
60000,57000,42750,0,0,0.7956887089967495,False,3000,confirmed,True,56050,0.8956289027653881,0.8856521903994463,14226,10552,0.7417404751862786,41824,10576,0.2528691660290742,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,confirmed,0.05,1,0,complete
60000,57000,23750,4750,5,0.6880466660077218,False,3000,rl,True,56050,0.9068688670829617,0.8993749175283317,14226,5805,0.4080556727119359,41824,24829,0.5936543611323641,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,error_rule,0.05,1,0,complete
60000,57000,35150,34200,36,0.6563960000057705,False,3000,rl,True,56050,0.903550401427297,0.895395314636066,14226,8653,0.6082524954309012,41824,16277,0.3891784621270084,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,selected_map,0.05,1,0,complete
60000,57000,35150,34200,36,0.6533653750084341,False,3000,rl,True,56050,0.903550401427297,0.895395314636066,14226,8653,0.6082524954309012,41824,16277,0.3891784621270084,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,q_alarm_7,0.05,1,0,complete
60000,57000,42750,0,0,0.8007093750056811,False,3000,rl,True,56050,0.8956289027653881,0.8856521903994463,14226,10552,0.7417404751862786,41824,10576,0.2528691660290742,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,q_alarm_17,0.05,1,0,complete
60000,57000,35150,34200,36,0.6591175840003416,False,3000,rl,True,56050,0.903550401427297,0.895395314636066,14226,8653,0.6082524954309012,41824,16277,0.3891784621270084,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,q_alarm_27,0.05,1,0,complete
60000,57000,35150,29450,31,0.6659737919981126,False,3000,rl,True,56050,0.903800178412132,0.8954594264353235,14226,8644,0.6076198509770843,41824,16268,0.38896327467482783,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,q_alarm_persistence_7,0.05,1,0,complete
60000,57000,42750,0,0,0.8051432089996524,False,3000,rl,True,56050,0.8956289027653881,0.8856521903994463,14226,10552,0.7417404751862786,41824,10576,0.2528691660290742,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,q_alarm_persistence_17,0.05,1,0,complete
60000,57000,35150,34200,36,0.6531202500045765,False,3000,rl,True,56050,0.903550401427297,0.895395314636066,14226,8653,0.6082524954309012,41824,16277,0.3891784621270084,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,q_alarm_persistence_27,0.05,1,0,complete
