experiment,stream,condition,mode,level,detector,left,right,comparison,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,malicious_recall_difference,benign_fpr_difference,resets_per_100k_difference,training_visits_per_100k_difference
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,confirmed_screened,confirmed_unscreened,policy,-0.01987692364674931,-0.01889384478144518,,0.22033898305084745,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,confirmed_screened,immediate_screened,policy,0.0026153289435413285,0.002997323818019648,,-0.01694915254237289,,,-3.333333333333334,9500.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,confirmed_screened,immediate_unscreened,policy,-0.006782001613745203,-0.0061373773416592,,0.22033898305084745,,,-5.0,9500.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,confirmed_screened,none_screened,policy,-0.01710319087037515,-0.013041926851025898,,0.033898305084745756,,,5.0,9500.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,confirmed_screened,none_unscreened,policy,-0.02012524458938203,-0.01655664585191796,,0.22033898305084745,,,5.0,9500.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,confirmed_unscreened,immediate_screened,policy,0.02249225259029064,0.021891168599464828,,-0.23728813559322035,,,-3.333333333333334,9500.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,confirmed_unscreened,immediate_unscreened,policy,0.013094922033004108,0.012756467439785979,,0.0,,,-5.0,9500.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,confirmed_unscreened,none_screened,policy,0.0027737327763741604,0.005851917930419281,,-0.1864406779661017,,,5.0,9500.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,confirmed_unscreened,none_unscreened,policy,-0.0002483209426327182,0.0023371989295272178,,0.0,,,5.0,9500.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,immediate_screened,immediate_unscreened,policy,-0.009397330557286532,-0.009134701159678849,,0.23728813559322035,,,-1.666666666666666,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,immediate_screened,none_screened,policy,-0.01971851981391648,-0.016039250669045546,,0.05084745762711865,,,8.333333333333334,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,immediate_screened,none_unscreened,policy,-0.022740573532923358,-0.01955396966993761,,0.23728813559322035,,,8.333333333333334,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,immediate_unscreened,none_screened,policy,-0.010321189256629948,-0.0069045495093666975,,-0.1864406779661017,,,10.0,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,immediate_unscreened,none_unscreened,policy,-0.013343242975636826,-0.010419268510258761,,0.0,,,10.0,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,adwin,none_screened,none_unscreened,policy,-0.0030220537190068786,-0.0035147190008920637,,0.1864406779661017,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,confirmed_screened,confirmed_unscreened,policy,-0.004490070776326016,-0.004959857270294354,,0.2711864406779661,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,confirmed_screened,immediate_screened,policy,0.022318256374935785,0.019482604817127602,,0.033898305084745756,,,-3.333333333333333,3166.6666666666715
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,confirmed_screened,immediate_unscreened,policy,0.007362199692892535,0.005066904549509421,,0.2711864406779661,,,-3.333333333333333,3166.6666666666715
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,confirmed_screened,none_screened,policy,0.021648643617075303,0.02087421944692236,,0.0847457627118644,,,1.6666666666666667,3166.6666666666715
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,confirmed_screened,none_unscreened,policy,0.018626589898068424,0.017359500446030296,,0.2711864406779661,,,1.6666666666666667,3166.6666666666715
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,confirmed_unscreened,immediate_screened,policy,0.0268083271512618,0.024442462087421957,,-0.23728813559322035,,,-3.333333333333333,3166.6666666666715
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,confirmed_unscreened,immediate_unscreened,policy,0.011852270469218551,0.010026761819803776,,0.0,,,-3.333333333333333,3166.6666666666715
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,confirmed_unscreened,none_screened,policy,0.02613871439340132,0.025834076717216714,,-0.1864406779661017,,,1.6666666666666667,3166.6666666666715
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,confirmed_unscreened,none_unscreened,policy,0.02311666067439444,0.02231935771632465,,0.0,,,1.6666666666666667,3166.6666666666715
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,immediate_screened,immediate_unscreened,policy,-0.01495605668204325,-0.014415700267618181,,0.23728813559322035,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,immediate_screened,none_screened,policy,-0.0006696127578604827,0.0013916146297947574,,0.05084745762711865,,,5.0,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,immediate_screened,none_unscreened,policy,-0.0036916664768673613,-0.0021231043710973063,,0.23728813559322035,,,5.0,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,immediate_unscreened,none_screened,policy,0.014286443924182768,0.01580731489741294,,-0.1864406779661017,,,5.0,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,immediate_unscreened,none_unscreened,policy,0.01126439020517589,0.012292595896520875,,0.0,,,5.0,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,d3_oof,none_screened,none_unscreened,policy,-0.0030220537190068786,-0.0035147190008920637,,0.1864406779661017,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hddm_w,confirmed_screened,confirmed_unscreened,policy,0.015763374736819213,0.013809099018733284,,0.22033898305084745,,,-1.6666666666666665,3166.6666666666715
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hddm_w,confirmed_screened,immediate_screened,policy,0.013372943705539209,0.012167707404103445,,-0.05084745762711865,,,-26.666666666666664,12666.666666666672
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hddm_w,confirmed_screened,immediate_unscreened,policy,0.006164721459552824,0.005388046387154288,,0.22033898305084745,,,-43.33333333333333,12666.666666666672
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hddm_w,confirmed_screened,none_screened,policy,0.011610789956555179,0.01284567350579835,,0.033898305084745756,,,3.3333333333333335,12666.666666666672
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hddm_w,confirmed_screened,none_unscreened,policy,0.0085887362375483,0.009330954504906286,,0.22033898305084745,,,3.3333333333333335,12666.666666666672
E1_fixed,RBF_I,RBF_I__s115__clean__none,clean,none,hddm_w,confirmed_unscreened,immediate_screened,policy,-0.0023904310312800048,-0.001641391614629839,,-0.2711864406779661,,,-24.999999999999996,9500.0
