experiment,stream,detector,method,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,malicious_recall,benign_fpr,resets_per_100k,training_visits_per_100k
E1_fixed,radar,adwin,confirmed_screened,0.223968592919558,0.7416797453160425,0.8272763952453276,0.17370137964212798,0.6115237021283185,0.19343778663021485,6.651724958081303,113188.3770481934
E1_fixed,radar,adwin,confirmed_unscreened,0.2785750784791413,0.7537281070079729,1.0,0.0,0.6631364133999009,0.1935176301398205,8.822911146179058,111763.28938655109
E1_fixed,radar,adwin,immediate_screened,0.2296041000795069,0.714731244527299,0.5620971237160447,0.40409064914661064,0.6498036990211568,0.253148960576171,31.81774668375982,94999.75820881089
E1_fixed,radar,adwin,immediate_unscreened,0.3248318140678497,0.77586725487566,1.0,0.0,0.8312350628857087,0.22488095990089163,67.46467628107386,94999.75820881089
E1_fixed,radar,adwin,none_screened,0.2719570715862961,0.835037192476781,0.8657000947770106,0.13052753994793923,0.8206572971597319,0.09141287449919136,0.0,94999.75820881089
E1_fixed,radar,adwin,none_unscreened,0.3103215161060842,0.8454462637689308,1.0,0.0,0.8296543526937642,0.0879170636544082,0.0,94999.75820881089
E1_fixed,radar,d3_oof,confirmed_screened,0.255213460482907,0.80689106567868,0.8445646801917835,0.1475861336616115,0.7785340335203832,0.12120415453776391,1.1250692065597456,98037.44506652218
E1_fixed,radar,d3_oof,confirmed_unscreened,0.2972380362317493,0.8038102338969111,1.0,0.0,0.7442261423696188,0.13107490723233534,1.8159011754999403,98449.97044226075
E1_fixed,radar,d3_oof,immediate_screened,0.24072617310295458,0.7879097148104524,0.8085166415209816,0.1866791738757649,0.6918602185089736,0.13890965652224466,1.8948534005216768,94999.75820881089
E1_fixed,radar,d3_oof,immediate_unscreened,0.2588612515523755,0.7732468007271152,1.0,0.0,0.6279686657645102,0.1606218109479086,3.8291829135542215,94999.75820881089
E1_fixed,radar,d3_oof,none_screened,0.2719570715862961,0.835037192476781,0.8657000947770106,0.13052753994793923,0.8206572971597319,0.09141287449919136,0.0,94999.75820881089
E1_fixed,radar,d3_oof,none_unscreened,0.3103215161060842,0.8454462637689308,1.0,0.0,0.8296543526937642,0.0879170636544082,0.0,94999.75820881089
E1_fixed,radar,hddm_w,confirmed_screened,0.22520831099694413,0.7453095096244766,0.8270009834094901,0.1781976756875391,0.6039183140441378,0.1868818507764203,6.35565411424979,112625.84244491355
E1_fixed,radar,hddm_w,confirmed_unscreened,0.27567027087275814,0.7606168279677715,1.0,0.0,0.6604065548309545,0.18502985897797622,8.526840302347546,111200.75478327122
E1_fixed,radar,hddm_w,immediate_screened,0.24328886532063088,0.7434526648318686,0.5829357132837286,0.38393405006071063,0.6721504304471024,0.21912456100911096,24.573880038015496,94999.75820881089
E1_fixed,radar,hddm_w,immediate_unscreened,0.3250592380013069,0.7784404965086118,1.0,0.0,0.8288435359802354,0.22199318353267317,63.71444559254138,94999.75820881089
E1_fixed,radar,hddm_w,none_screened,0.2719570715862961,0.835037192476781,0.8657000947770106,0.13052753994793923,0.8206572971597319,0.09141287449919136,0.0,94999.75820881089
E1_fixed,radar,hddm_w,none_unscreened,0.3103215161060842,0.8454462637689308,1.0,0.0,0.8296543526937642,0.0879170636544082,0.0,94999.75820881089
E1_fixed,radar,hellinger,confirmed_screened,0.23769610153729884,0.7748610421309048,0.8191882991907152,0.1792066504656642,0.6962808623816239,0.15679808091638026,2.269876469374925,100400.09040029765
E1_fixed,radar,hellinger,confirmed_unscreened,0.27325048311672395,0.7702497523752052,1.0,0.0,0.6993118410736147,0.16033702630925098,3.177827057124895,101037.62961734818
