experiment,detector,method,left,right,comparison,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,malicious_recall_difference,benign_fpr_difference,resets_per_100k_difference,training_visits_per_100k_difference
E1_fixed,adwin,confirmed_screened,RBF_I,SEA_A,dataset_descriptive,-0.35957930272264527,-0.36325190930322404,0.008053136782143921,-0.05635842437163896,,,0.7142857142857144,4071.428571428565
E1_fixed,adwin,confirmed_screened,RBF_I,radar,dataset_descriptive,0.31265682986699045,-0.19987235320668284,-0.17201247850833679,0.08069240209406056,,,-3.7945821009384457,-6426.472286288641
E1_fixed,adwin,confirmed_screened,SEA_A,radar,dataset_descriptive,0.6722361325896358,0.1633795560965412,-0.1800656152904807,0.13705082646569952,,,-4.508867815224161,-10497.900857717206
E1_fixed,adwin,confirmed_unscreened,RBF_I,SEA_A,dataset_descriptive,-0.3506625725817606,-0.35458031012962865,0.0,0.0,,,1.4285714285714284,2714.2857142857247
E1_fixed,adwin,confirmed_unscreened,RBF_I,radar,dataset_descriptive,0.26303267520086704,-0.2071542935294033,0.0,0.0,,,-3.965768289036201,-7534.71795797965
E1_fixed,adwin,confirmed_unscreened,SEA_A,radar,dataset_descriptive,0.6136952477826276,0.14742601660022536,0.0,0.0,,,-5.394339717607629,-10249.003672265375
E1_fixed,adwin,immediate_screened,RBF_I,SEA_A,dataset_descriptive,-0.3773808590461877,-0.38094658860103137,0.026659539774669005,-0.07951984104694265,,,3.761904761904761,0.0
E1_fixed,adwin,immediate_screened,RBF_I,radar,dataset_descriptive,0.28715026261631793,-0.19231883571007047,-0.0710853985711895,-0.06355582562860612,,,-20.055841921855063,0.24179118910979014
E1_fixed,adwin,immediate_screened,SEA_A,radar,dataset_descriptive,0.6645311216625056,0.1886277528909609,-0.09774493834585851,0.01596401541833653,,,-23.81774668375982,0.24179118910979014
E1_fixed,adwin,immediate_unscreened,RBF_I,SEA_A,dataset_descriptive,-0.36598873593001746,-0.3701054811738843,0.0,0.0,,,-1.1904761904761862,0.0
E1_fixed,adwin,immediate_unscreened,RBF_I,radar,dataset_descriptive,0.19037705951823997,-0.25496121619216083,0.0,0.0,,,-45.607533423931,0.24179118910979014
E1_fixed,adwin,immediate_unscreened,SEA_A,radar,dataset_descriptive,0.5563657954482575,0.11514426498172348,0.0,0.0,,,-44.41705723345482,0.24179118910979014
E1_fixed,adwin,none_screened,RBF_I,SEA_A,dataset_descriptive,-0.3510427663393756,-0.3568418426612001,-0.027579646558709925,0.01601070429813342,,,0.0,0.0
E1_fixed,adwin,none_screened,RBF_I,radar,dataset_descriptive,0.2663061715104138,-0.2924680200913661,-0.14101006117098258,0.09885506388666926,,,0.0,0.24179118910979014
E1_fixed,adwin,none_screened,SEA_A,radar,dataset_descriptive,0.6173489378497894,0.06437382256983404,-0.11343041461227266,0.08284435958853584,,,0.0,0.24179118910979014
E1_fixed,adwin,none_unscreened,RBF_I,SEA_A,dataset_descriptive,-0.3229325721542161,-0.33014048370292226,0.0,0.0,,,0.0,0.0
E1_fixed,adwin,none_unscreened,RBF_I,radar,dataset_descriptive,0.24658582256002398,-0.2843514094124263,0.0,0.0,,,0.0,0.24179118910979014
E1_fixed,adwin,none_unscreened,SEA_A,radar,dataset_descriptive,0.5695183947142402,0.045789074290495946,0.0,0.0,,,0.0,0.24179118910979014
E1_fixed,d3_oof,confirmed_screened,RBF_I,SEA_A,dataset_descriptive,-0.34684312067684364,-0.3526284872007679,-0.055146702264575076,0.01849052441970908,,,0.1904761904761904,723.8095238095266
E1_fixed,d3_oof,confirmed_screened,RBF_I,radar,dataset_descriptive,0.28752166802760887,-0.25987460993090317,-0.14917449265248828,0.08785451504994501,,,-0.5536406351311742,-1227.9212569983647
E1_fixed,d3_oof,confirmed_screened,SEA_A,radar,dataset_descriptive,0.6343647887044526,0.09275387726986473,-0.0940277903879132,0.06936399063023593,,,-0.7441168256073647,-1951.7307808078913
E1_fixed,d3_oof,confirmed_unscreened,RBF_I,SEA_A,dataset_descriptive,-0.3257094615822482,-0.3322988613383371,0.0,0.0,,,0.2857142857142857,542.8571428571449
E1_fixed,d3_oof,confirmed_unscreened,RBF_I,radar,dataset_descriptive,0.2593526535045975,-0.24281288569128412,0.0,0.0,,,-1.0539964135951783,-2002.3513946416933
E1_fixed,d3_oof,confirmed_unscreened,SEA_A,radar,dataset_descriptive,0.5850621150868458,0.08948597564705296,0.0,0.0,,,-1.339710699309464,-2545.2085374988383
E1_fixed,d3_oof,immediate_screened,RBF_I,SEA_A,dataset_descriptive,-0.35044241932496645,-0.3560544904119419,0.005825855276526903,-0.010427291353230173,,,-0.5714285714285716,0.0
E1_fixed,d3_oof,immediate_screened,RBF_I,radar,dataset_descriptive,0.30109814552755626,-0.24206430286910763,-0.11044056422394344,0.06412532072392838,,,-1.0853295909978673,0.24179118910979014
E1_fixed,d3_oof,immediate_screened,SEA_A,radar,dataset_descriptive,0.6515405648525228,0.1139901875428343,-0.11626641950047034,0.07455261207715855,,,-0.5139010195692957,0.24179118910979014
E1_fixed,d3_oof,immediate_unscreened,RBF_I,SEA_A,dataset_descriptive,-0.33698507398833877,-0.34236126132916833,0.0,0.0,,,-0.38095238095238093,0.0
E1_fixed,d3_oof,immediate_unscreened,RBF_I,radar,dataset_descriptive,0.29139555132016415,-0.21845522891748392,0.0,0.0,,,-1.6387067230780308,0.24179118910979014
E1_fixed,d3_oof,immediate_unscreened,SEA_A,radar,dataset_descriptive,0.6283806253085029,0.12390603241168441,0.0,0.0,,,-1.2577543421256498,0.24179118910979014
E1_fixed,d3_oof,none_screened,RBF_I,SEA_A,dataset_descriptive,-0.3510427663393756,-0.3568418426612001,-0.027579646558709925,0.01601070429813342,,,0.0,0.0
E1_fixed,d3_oof,none_screened,RBF_I,radar,dataset_descriptive,0.2663061715104138,-0.2924680200913661,-0.14101006117098258,0.09885506388666926,,,0.0,0.24179118910979014
E1_fixed,d3_oof,none_screened,SEA_A,radar,dataset_descriptive,0.6173489378497894,0.06437382256983404,-0.11343041461227266,0.08284435958853584,,,0.0,0.24179118910979014
E1_fixed,d3_oof,none_unscreened,RBF_I,SEA_A,dataset_descriptive,-0.3229325721542161,-0.33014048370292226,0.0,0.0,,,0.0,0.0
E1_fixed,d3_oof,none_unscreened,RBF_I,radar,dataset_descriptive,0.24658582256002398,-0.2843514094124263,0.0,0.0,,,0.0,0.24179118910979014
E1_fixed,d3_oof,none_unscreened,SEA_A,radar,dataset_descriptive,0.5695183947142402,0.045789074290495946,0.0,0.0,,,0.0,0.24179118910979014
E1_fixed,hddm_w,confirmed_screened,RBF_I,SEA_A,dataset_descriptive,-0.3670340682816353,-0.37079675852293836,0.007279959665571378,-0.030042618228498186,,,1.9999999999999996,9590.476190476169
E1_fixed,hddm_w,confirmed_screened,RBF_I,radar,dataset_descriptive,0.30311694521525867,-0.2117770981068957,-0.15267949933739133,0.07814989438921902,,,-2.3556541142497904,-1611.556730627839
E1_fixed,hddm_w,confirmed_screened,SEA_A,radar,dataset_descriptive,0.670151013496894,0.15901966041604265,-0.1599594590029627,0.1081925126177172,,,-4.3556541142497895,-11202.032921104008
E1_fixed,hddm_w,confirmed_unscreened,RBF_I,SEA_A,dataset_descriptive,-0.35854320769635095,-0.36257677243531683,0.0,0.0,,,3.761904761904762,7147.619047619039
E1_fixed,hddm_w,confirmed_unscreened,RBF_I,radar,dataset_descriptive,0.2546584878752916,-0.2250250021342971,0.0,0.0,,,-2.0982688737761173,-3986.469068985505
E1_fixed,hddm_w,confirmed_unscreened,SEA_A,radar,dataset_descriptive,0.6132016955716426,0.13755177030101973,0.0,0.0,,,-5.860173635680879,-11134.088116604544
E1_fixed,hddm_w,immediate_screened,RBF_I,SEA_A,dataset_descriptive,-0.3675906481719827,-0.3715493459556818,-0.14766011164454884,0.08193593889944312,,,23.71428571428571,0.0
E1_fixed,hddm_w,immediate_screened,RBF_I,radar,dataset_descriptive,0.28521858611172024,-0.21004404236740593,-0.2206847114803986,0.06929776143857341,,,5.759453295317837,0.24179118910979014
E1_fixed,hddm_w,immediate_screened,SEA_A,radar,dataset_descriptive,0.652809234283703,0.16150530358827586,-0.07302459983584975,-0.012638177460869704,,,-17.954832418967875,0.24179118910979014
E1_fixed,hddm_w,immediate_unscreened,RBF_I,SEA_A,dataset_descriptive,-0.36103014478959605,-0.3662988726212286,0.0,0.0,,,38.66666666666667,0.0
E1_fixed,hddm_w,immediate_unscreened,RBF_I,radar,dataset_descriptive,0.19350680397184444,-0.2550160421000375,0.0,0.0,,,-2.523969402065191,0.24179118910979014
E1_fixed,hddm_w,immediate_unscreened,SEA_A,radar,dataset_descriptive,0.5545369487614404,0.11128283052119115,0.0,0.0,,,-41.19063606873186,0.24179118910979014
E1_fixed,hddm_w,none_screened,RBF_I,SEA_A,dataset_descriptive,-0.3510427663393756,-0.3568418426612001,-0.027579646558709925,0.01601070429813342,,,0.0,0.0
E1_fixed,hddm_w,none_screened,RBF_I,radar,dataset_descriptive,0.2663061715104138,-0.2924680200913661,-0.14101006117098258,0.09885506388666926,,,0.0,0.24179118910979014
E1_fixed,hddm_w,none_screened,SEA_A,radar,dataset_descriptive,0.6173489378497894,0.06437382256983404,-0.11343041461227266,0.08284435958853584,,,0.0,0.24179118910979014
E1_fixed,hddm_w,none_unscreened,RBF_I,SEA_A,dataset_descriptive,-0.3229325721542161,-0.33014048370292226,0.0,0.0,,,0.0,0.0
E1_fixed,hddm_w,none_unscreened,RBF_I,radar,dataset_descriptive,0.24658582256002398,-0.2843514094124263,0.0,0.0,,,0.0,0.24179118910979014
E1_fixed,hddm_w,none_unscreened,SEA_A,radar,dataset_descriptive,0.5695183947142402,0.045789074290495946,0.0,0.0,,,0.0,0.24179118910979014
E1_fixed,hellinger,confirmed_screened,RBF_I,SEA_A,dataset_descriptive,-0.3543953337332545,-0.35938431758097256,-0.06340947413726339,0.03223240992108706,,,1.333333333333333,5428.57142857142
E1_fixed,hellinger,confirmed_screened,RBF_I,radar,dataset_descriptive,0.2997823122043408,-0.23280183156036083,-0.15197357410231627,0.08034183819807778,,,0.015837816339360433,2471.3381711309194
E1_fixed,hellinger,confirmed_screened,SEA_A,radar,dataset_descriptive,0.6541776459375953,0.12658248602061173,-0.08856409996505288,0.04810942827699072,,,-1.3174955169939726,-2957.233257440501
E1_fixed,hellinger,confirmed_unscreened,RBF_I,SEA_A,dataset_descriptive,-0.3347213097342365,-0.3401281037806625,0.0,0.0,,,1.7142857142857146,3257.142857142855
