stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,resets,training_visits,seconds,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,policy,guarded,detector,status,folder,rows,accepted_training_visits,accepted_refit_rows,pending_candidate,audit_rows_reserved
RBF_I,instance,moderate,115.0,2781123431.0,,RBF_I__s115,RBF_I__s115__instance__moderate,6,57000,2.2318619590078015,56050,0.5547903657448706,0.547604479631823,8551,8551,1.0,47499,0,0.0,,,immediate,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s115__instance__moderate/immediate_unscreened,60000.0,57000.0,5700.0,False,3000.0
RBF_I,instance,severe,115.0,2375605529.0,,RBF_I__s115,RBF_I__s115__instance__severe,2,60800,2.6957449999899836,56050,0.551935771632471,0.5480370402039694,14252,9719,0.6819393769295538,41798,13517,0.3233886788841571,,,confirmed,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s115__instance__severe/confirmed_screened,,,,,
RBF_I,instance,severe,115.0,2375605529.0,,RBF_I__s115,RBF_I__s115__instance__severe,1,58900,2.2439828749920707,56050,0.5647992863514719,0.5626086415069318,14252,14252,1.0,41798,0,0.0,,,confirmed,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s115__instance__severe/confirmed_unscreened,60000.0,58900.0,2850.0,False,3000.0
RBF_I,instance,severe,115.0,2375605529.0,,RBF_I__s115,RBF_I__s115__instance__severe,4,57000,2.450216500001261,56050,0.5423193577163247,0.536934812632248,14252,10397,0.7295116474880718,41798,11345,0.2714244700703383,,,immediate,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s115__instance__severe/immediate_screened,60000.0,41800.0,3800.0,False,3000.0
RBF_I,instance,severe,115.0,2375605529.0,,RBF_I__s115,RBF_I__s115__instance__severe,6,57000,2.207090000010794,56050,0.5584834968777876,0.5525426835508109,14252,14252,1.0,41798,0,0.0,,,immediate,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s115__instance__severe/immediate_unscreened,60000.0,57000.0,5700.0,False,3000.0
RBF_I,splice,moderate,115.0,1439472368.0,,RBF_I__s115,RBF_I__s115__splice__moderate,5,66500,2.8200410419958644,47514,0.5418192532727196,0.5333167280251009,8536,7091,0.8307169634489222,47514,9955,0.20951719493202003,,,confirmed,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s115__splice__moderate/confirmed_screened,,,,,
RBF_I,splice,moderate,115.0,1439472368.0,,RBF_I__s115,RBF_I__s115__splice__moderate,5,66500,2.3514649579883553,47514,0.5479648103716799,0.539967500479952,8536,8536,1.0,47514,0,0.0,,,confirmed,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s115__splice__moderate/confirmed_unscreened,60000.0,66500.0,14250.0,True,3000.0
RBF_I,splice,moderate,115.0,1439472368.0,,RBF_I__s115,RBF_I__s115__splice__moderate,10,57000,2.4476877080160193,47514,0.5426611104095636,0.5345553186622206,8536,2266,0.2654639175257732,47514,18430,0.3878856758008166,,,immediate,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s115__splice__moderate/immediate_screened,60000.0,32300.0,9500.0,False,3000.0
RBF_I,splice,moderate,115.0,1439472368.0,,RBF_I__s115,RBF_I__s115__splice__moderate,20,57000,2.1813456660020165,47514,0.5283705855116386,0.5194672635838561,8536,8536,1.0,47514,0,0.0,,,immediate,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s115__splice__moderate/immediate_unscreened,60000.0,57000.0,19000.0,False,3000.0
RBF_I,splice,severe,115.0,1488950345.0,,RBF_I__s115,RBF_I__s115__splice__severe,2,66500,2.8738620840013027,41807,0.5616045159901452,0.5547534019589986,14243,6719,0.47174050410728074,41807,12426,0.2972229530939795,,,confirmed,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s115__splice__severe/confirmed_screened,,,,,
RBF_I,splice,severe,115.0,1488950345.0,,RBF_I__s115,RBF_I__s115__splice__severe,3,62700,2.3870293750078417,41807,0.5529456789532853,0.5450498532133318,14243,14243,1.0,41807,0,0.0,,,confirmed,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s115__splice__severe/confirmed_unscreened,60000.0,62700.0,8550.0,False,3000.0
RBF_I,splice,severe,115.0,1488950345.0,,RBF_I__s115,RBF_I__s115__splice__severe,7,57000,2.4303396249888465,41807,0.5414404286363528,0.531740036676557,14243,3084,0.2165274169767605,41807,14491,0.346616595307006,,,immediate,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s115__splice__severe/immediate_screened,60000.0,31350.0,6650.0,False,3000.0
RBF_I,splice,severe,115.0,1488950345.0,,RBF_I__s115,RBF_I__s115__splice__severe,13,57000,2.1997108339855913,41807,0.5191953500609946,0.5085895766323547,14243,14243,1.0,41807,0,0.0,,,immediate,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s115__splice__severe/immediate_unscreened,60000.0,57000.0,12350.0,False,3000.0
