stream,condition,mode,level,view,threshold,rows,poison_rows,prevalence,roc_auc,average_precision,poison_recall,poison_precision,legitimate_rejection,tn,fp,fn,tp
radar,radar__evaluation__clean__none__aNone,clean,none,features,0.16262373929923965,9230,0,0.0,,,,0.0,0.06153846153846154,8662,568,0,0
radar,radar__evaluation__clean__none__aNone,clean,none,features_label,0.37161777023164844,9230,0,0.0,,,,0.0,0.2315276273022752,7093,2137,0,0
radar,radar__evaluation__instance__severe__a0,instance,severe,features,0.16262373929923965,9230,2489,0.2696641386782232,0.5082447027416106,0.27365465392214544,0.06187223784652471,0.2711267605633803,0.06141522029372497,6327,414,2335,154
radar,radar__evaluation__instance__severe__a0,instance,severe,features_label,0.37161777023164844,9230,2489,0.2696641386782232,0.3774391628163176,0.3117807246845871,0.38007231820008036,0.3736176935229068,0.23527666518320725,5155,1586,1543,946
