condition,detector,policy,stream,mode,level,host_accuracy,host_macro_f1,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,benign_fpr
RBF_I__base_s0__clean__none__anone,adwin,confirmed,RBF_I,clean,none,0.04115409004438808,0.04207281920795536,,0.1927710843373494,-3.0,3800.0,31.144364199833944,,
RBF_I__base_s0__clean__none__anone,adwin,immediate,RBF_I,clean,none,0.05343901923483407,0.05368426529345016,,0.2891566265060241,-9.0,0.0,8.111091500148177,,
RBF_I__base_s0__clean__none__anone,d3_oof,confirmed,RBF_I,clean,none,0.008852251109701892,0.008543031033468429,,0.18072289156626506,-1.0,-1900.0,25.138598500285298,,
RBF_I__base_s0__clean__none__anone,d3_oof,immediate,RBF_I,clean,none,0.06428239272880998,0.06460478705383166,,0.20883534136546184,-5.0,0.0,32.33095429977402,,
RBF_I__base_s0__clean__none__anone,hddm_w,confirmed,RBF_I,clean,none,0.05064468399915456,0.05098734871339361,,0.23293172690763053,-7.0,13300.0,31.82550789997913,,
RBF_I__base_s0__clean__none__anone,hddm_w,immediate,RBF_I,clean,none,0.006539843584865701,0.006667645202632744,,0.4497991967871486,-64.0,0.0,3.027141399914399,,
RBF_I__base_s0__clean__none__anone,hellinger,confirmed,RBF_I,clean,none,0.021868526738533123,0.021975112640742145,,0.21686746987951808,-3.0,0.0,26.14324040012434,,
RBF_I__base_s0__clean__none__anone,hellinger,immediate,RBF_I,clean,none,0.10626928767702393,0.10612251949906015,,0.3253012048192771,-22.0,0.0,12.24520490015857,,
RBF_I__base_s0__clean__none__anone,none,none,RBF_I,clean,none,-0.02058338617628408,-0.021255374027481455,,0.18072289156626506,0.0,0.0,24.867621900048107,,
RBF_I__base_s0__concept__moderate__a0,adwin,confirmed,RBF_I,concept,moderate,0.03883190755587407,0.03939395807313906,-0.37998146431881374,0.23996854829479006,-9.0,1900.0,13.809345399960876,,
RBF_I__base_s0__concept__moderate__a0,adwin,immediate,RBF_I,concept,moderate,0.02800794255087269,0.028830687608532024,-0.5947426067907995,0.3768382078499873,-46.0,0.0,4.59616359998472,,
RBF_I__base_s0__concept__moderate__a0,d3_oof,confirmed,RBF_I,concept,moderate,-0.045973236191357736,-0.04587961327627876,-0.35928328699413037,0.2294531284991266,1.0,5700.0,12.922650799853727,,
RBF_I__base_s0__concept__moderate__a0,d3_oof,immediate,RBF_I,concept,moderate,0.04095688827179855,0.04071516310209322,-0.4027298003201618,0.24066526328361773,-4.0,0.0,19.608033400028944,,
RBF_I__base_s0__concept__moderate__a0,hddm_w,confirmed,RBF_I,concept,moderate,0.023086148808368456,0.02296859526837358,-0.37624624371612325,0.3304568957366019,-6.0,22800.0,12.854177700122818,,
RBF_I__base_s0__concept__moderate__a0,hddm_w,immediate,RBF_I,concept,moderate,0.010923495717691134,0.01109463307581493,-0.5361024517651023,0.45341713819341806,-86.0,0.0,2.4448027000762522,,
RBF_I__base_s0__concept__moderate__a0,hellinger,confirmed,RBF_I,concept,moderate,0.009355886992828744,0.009998989449251039,-0.32218384025612945,0.27384880289435315,-4.0,1900.0,20.959448700072244,,
RBF_I__base_s0__concept__moderate__a0,hellinger,immediate,RBF_I,concept,moderate,0.043206282378584926,0.04364930859528027,-0.42143398769904794,0.36027132072279205,-10.0,0.0,10.16247949982062,,
RBF_I__base_s0__concept__moderate__a0,none,none,RBF_I,concept,moderate,-0.029675081988424612,-0.029217566688371166,-0.2746931783076362,0.2491701626829499,0.0,0.0,24.3007868998684,,
RBF_I__base_s0__concept__severe__a0,adwin,confirmed,RBF_I,concept,severe,0.006052154668684029,0.006033085486478407,-0.5651515406492436,0.29310607643103537,-4.0,17100.0,13.401368499966338,,
RBF_I__base_s0__concept__severe__a0,adwin,immediate,RBF_I,concept,severe,0.029250199009750122,0.028829216409999026,-0.7119970381838683,0.46910408915636803,-46.0,0.0,4.833672399865463,,
RBF_I__base_s0__concept__severe__a0,d3_oof,confirmed,RBF_I,concept,severe,-0.008282193002760785,-0.007192378468213967,-0.40078757383504704,0.2838867027612956,-2.0,3800.0,26.137263300130144,,
RBF_I__base_s0__concept__severe__a0,d3_oof,immediate,RBF_I,concept,severe,0.031423780677141355,0.03196707925674391,-0.5252006798714303,0.3601427224533809,-5.0,0.0,11.298628500197083,,
RBF_I__base_s0__concept__severe__a0,hddm_w,confirmed,RBF_I,concept,severe,0.03507652701169217,0.03591045327983844,-0.3804082594281676,0.3014503717671501,-6.0,17100.0,15.346223700093105,,
RBF_I__base_s0__concept__severe__a0,hddm_w,immediate,RBF_I,concept,severe,0.021764045007254706,0.0219326573834403,-0.8325395890480117,0.5252050788417351,-115.0,0.0,5.578423200175166,,
RBF_I__base_s0__concept__severe__a0,hellinger,confirmed,RBF_I,concept,severe,0.011364727003788211,0.011552918670633017,-0.38698820322097505,0.272425999424142,-6.0,5700.0,11.751876400085166,,
