condition,detector,policy,stream,mode,level,host_accuracy,host_macro_f1,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,benign_fpr
RBF_I__base_s0__concept__severe__a0,hellinger,immediate,RBF_I,concept,severe,0.073608202024536,0.07431045800161795,-0.5043501674435824,0.3135038701045013,-23.0,0.0,7.056468799943104,,
RBF_I__base_s0__concept__severe__a0,none,none,RBF_I,concept,severe,-0.027545207675848338,-0.026741160527101293,-0.3730878616024098,0.23954563674651522,0.0,0.0,24.977472099941224,,
RBF_I__base_s0__instance__moderate__a0,adwin,confirmed,RBF_I,instance,moderate,-0.02178820545339255,-0.02169865455059683,-0.17897870906128865,0.17630431753488465,-1.0,1900.0,27.901256100041792,,
RBF_I__base_s0__instance__moderate__a0,adwin,immediate,RBF_I,instance,moderate,0.11657577679137598,0.11559202517547373,-0.2681029155665412,0.26452116965583133,-15.0,0.0,25.71938900020905,,
RBF_I__base_s0__instance__moderate__a0,d3_oof,confirmed,RBF_I,instance,moderate,-0.03269076305220886,-0.03201904633312369,-0.21307791697095668,0.21281127455859228,0.0,0.0,27.09886569995433,,
RBF_I__base_s0__instance__moderate__a0,d3_oof,immediate,RBF_I,instance,moderate,0.05213274149228486,0.05191851550807447,-0.21619571934160997,0.2169864840655294,-6.0,0.0,26.13626780011691,,
RBF_I__base_s0__instance__moderate__a0,hddm_w,confirmed,RBF_I,instance,moderate,0.04241386599027697,0.0417955191386421,-0.23038031571260043,0.23338376097298805,-5.0,15200.0,26.076128399930894,,
RBF_I__base_s0__instance__moderate__a0,hddm_w,immediate,RBF_I,instance,moderate,0.010767279644895322,0.010701851139810259,-0.4575304758159654,0.4578846268686426,-62.0,0.0,4.580630199983716,,
RBF_I__base_s0__instance__moderate__a0,hellinger,confirmed,RBF_I,instance,moderate,-0.011350665821179495,-0.010648006831499024,-0.2471771248806247,0.24459064036467146,1.0,5700.0,18.67166469991207,,
RBF_I__base_s0__instance__moderate__a0,hellinger,immediate,RBF_I,instance,moderate,0.08898752906362295,0.0882485765993044,-0.3310769057918095,0.3290055138642833,-16.0,0.0,13.327937200199813,,
RBF_I__base_s0__instance__moderate__a0,none,none,RBF_I,instance,moderate,-0.03269076305220886,-0.03201904633312369,-0.21307791697095668,0.21281127455859228,0.0,0.0,26.079731799894944,,
RBF_I__base_s0__instance__severe__a0,adwin,confirmed,RBF_I,instance,severe,-0.02632424434580427,-0.02709208625971804,-0.23509197493430367,0.23756955967175736,0.0,5700.0,22.0197688001208,,
RBF_I__base_s0__instance__severe__a0,adwin,immediate,RBF_I,instance,severe,0.09478334390192344,0.09524474021304952,-0.3001313927632909,0.3015644576885307,-13.0,0.0,12.050980099942535,,
RBF_I__base_s0__instance__severe__a0,d3_oof,confirmed,RBF_I,instance,severe,-0.015578101881209006,-0.017824612484920843,-0.2761437908496732,0.272070028106058,-1.0,0.0,12.479026600020006,,
RBF_I__base_s0__instance__severe__a0,d3_oof,immediate,RBF_I,instance,severe,0.06785880363559504,0.06722983422179518,-0.2851222963412169,0.28514668201776666,-9.0,0.0,16.739398799836636,,
RBF_I__base_s0__instance__severe__a0,hddm_w,confirmed,RBF_I,instance,severe,-0.014762206721623317,-0.014851747813775962,-0.34332255238865306,0.3407097626223291,-1.0,9500.0,9.415284400107339,,
RBF_I__base_s0__instance__severe__a0,hddm_w,immediate,RBF_I,instance,severe,0.015058127245825448,0.014946691797207423,-0.46400175190351056,0.46112559683044935,-51.0,0.0,2.98406029981561,,
RBF_I__base_s0__instance__severe__a0,hellinger,confirmed,RBF_I,instance,severe,0.012686535616148853,0.01168500565123698,-0.26327403813759176,0.2602970889347917,-3.0,0.0,24.577335600275546,,
RBF_I__base_s0__instance__severe__a0,hellinger,immediate,RBF_I,instance,severe,0.0963052208835341,0.09697216371841,-0.2922646721919008,0.29347691126838465,-21.0,0.0,15.322686099912971,,
RBF_I__base_s0__instance__severe__a0,none,none,RBF_I,instance,severe,-0.030712322976114925,-0.03107665723732922,-0.24487905127686815,0.24501371440181505,0.0,0.0,24.014167200075462,,
RBF_I__base_s0__splice__moderate__a0,adwin,confirmed,RBF_I,splice,moderate,0.061679665918400906,0.06259791850753327,-0.4173283577901855,0.25696210722267293,-9.0,1900.0,25.586329700192437,,
RBF_I__base_s0__splice__moderate__a0,adwin,immediate,RBF_I,splice,moderate,0.024548427397478423,0.025419156634678752,-0.6954069751129317,0.40150018167429036,-39.0,0.0,5.094722699839622,,
RBF_I__base_s0__splice__moderate__a0,d3_oof,confirmed,RBF_I,splice,moderate,-0.029799560995276475,-0.029539586649894534,-0.3882607109789288,0.32358928669198495,-1.0,1900.0,23.34885279973969,,
RBF_I__base_s0__splice__moderate__a0,d3_oof,immediate,RBF_I,splice,moderate,0.09295253074775145,0.09389206666863747,-0.17367638393984453,0.22925802228869788,-7.0,0.0,27.594389300094917,,
RBF_I__base_s0__splice__moderate__a0,hddm_w,confirmed,RBF_I,splice,moderate,0.048698664569531425,0.04912255498159779,-0.4151398670070986,0.3282779765963695,-8.0,15200.0,17.58210409991443,,
RBF_I__base_s0__splice__moderate__a0,hddm_w,immediate,RBF_I,splice,moderate,0.015818106705025703,0.015964982394348515,-0.6651889677618473,0.4683314336341329,-94.0,0.0,3.65229869983159,,
RBF_I__base_s0__splice__moderate__a0,hellinger,confirmed,RBF_I,splice,moderate,0.041804996291853525,0.04174949259567351,-0.38270531129878516,0.2347331378882977,-4.0,1900.0,19.51518699992448,,
RBF_I__base_s0__splice__moderate__a0,hellinger,immediate,RBF_I,splice,moderate,0.11690865018490959,0.11829090821071109,-0.4989478409696697,0.30868204012761996,-22.0,0.0,20.102059199940413,,
RBF_I__base_s0__splice__moderate__a0,none,none,RBF_I,splice,moderate,-0.030755217536297508,-0.030479891839097162,-0.3710614180297972,0.31718340144045315,0.0,0.0,22.491150400135666,,
RBF_I__base_s0__splice__severe__a0,adwin,confirmed,RBF_I,splice,severe,0.06263058626881857,0.06312912208906196,-0.48745459437642946,0.23329907502569372,-5.0,13300.0,21.377647300017998,,
RBF_I__base_s0__splice__severe__a0,adwin,immediate,RBF_I,splice,severe,0.055425047716928466,0.05660314199200378,-0.7384804251311718,0.3474978259150921,-26.0,0.0,6.3092176001518965,,
RBF_I__base_s0__splice__severe__a0,d3_oof,confirmed,RBF_I,splice,severe,-0.010887365460849563,-0.010324861064974211,-0.32333849051526975,0.24549089143128197,-1.0,0.0,18.27902100002393,,
RBF_I__base_s0__splice__severe__a0,d3_oof,immediate,RBF_I,splice,severe,0.0400313971742543,0.04128378523039844,-0.36623839634064304,0.2847317122753916,-4.0,0.0,21.389435400022194,,
RBF_I__base_s0__splice__severe__a0,hddm_w,confirmed,RBF_I,splice,severe,0.04383745750652224,0.044228556730797175,-0.6501076281447599,0.3342556723851688,-8.0,26600.0,13.458333499962464,,
RBF_I__base_s0__splice__severe__a0,hddm_w,immediate,RBF_I,splice,severe,0.020684864980856754,0.021190538899875544,-0.7821202744517691,0.5366996826400732,-105.0,0.0,2.870124999899417,,
RBF_I__base_s0__splice__severe__a0,hellinger,confirmed,RBF_I,splice,severe,0.062359531527054646,0.0638001776990127,-0.3747477465357191,0.276509718441887,-6.0,-1900.0,21.29030969995074,,
RBF_I__base_s0__splice__severe__a0,hellinger,immediate,RBF_I,splice,severe,0.10894706526772302,0.10994602749672477,-0.48994349522400105,0.3236619495612301,-20.0,0.0,15.84639719990082,,
RBF_I__base_s0__splice__severe__a0,none,none,RBF_I,splice,severe,-0.040471861129620534,-0.040393471576702145,-0.288292075877842,0.2518945597054538,0.0,0.0,17.290323599940166,,
RBF_I__base_s1__clean__none__anone,adwin,confirmed,RBF_I,clean,none,0.005601352779539215,0.0037324779951565246,,0.1927710843373494,-2.0,5700.0,31.600642200326547,,
RBF_I__base_s1__clean__none__anone,adwin,immediate,RBF_I,clean,none,0.1009258084971465,0.10230982566908298,,0.23293172690763053,-16.0,0.0,17.71559050003998,,
RBF_I__base_s1__clean__none__anone,d3_oof,confirmed,RBF_I,clean,none,-0.003428450644684,-0.004746512536855763,,0.20481927710843373,0.0,1900.0,14.998208499979228,,
RBF_I__base_s1__clean__none__anone,d3_oof,immediate,RBF_I,clean,none,0.04759247516381315,0.04798210782329049,,0.20080321285140562,-6.0,0.0,16.047871500253677,,
RBF_I__base_s1__clean__none__anone,hddm_w,confirmed,RBF_I,clean,none,0.014601564151342283,0.014899854878868135,,0.21686746987951808,-5.0,7600.0,30.00247270008549,,
RBF_I__base_s1__clean__none__anone,hddm_w,immediate,RBF_I,clean,none,0.007731980553794093,0.007775848708721389,,0.42168674698795183,-49.0,0.0,4.998263200046495,,
RBF_I__base_s1__clean__none__anone,hellinger,confirmed,RBF_I,clean,none,0.021762840837032282,0.021165138111002513,,0.13654618473895583,-2.0,1900.0,36.28452400001697,,
RBF_I__base_s1__clean__none__anone,hellinger,immediate,RBF_I,clean,none,0.04851405622489957,0.0487565079979696,,0.2971887550200803,-17.0,0.0,9.936936100013554,,
RBF_I__base_s1__clean__none__anone,none,none,RBF_I,clean,none,-0.006916085394208404,-0.006865026257187323,,0.17269076305220885,0.0,0.0,30.279039399931207,,
RBF_I__base_s1__concept__moderate__a1,adwin,confirmed,RBF_I,concept,moderate,0.05017710737881087,0.05127605554589165,-0.44347532496764397,0.20042983363846215,-7.0,17100.0,25.982391900150105,,
RBF_I__base_s1__concept__moderate__a1,adwin,immediate,RBF_I,concept,moderate,0.021829976916341698,0.02314926313608634,-0.7552473130380958,0.4052425774098543,-54.0,0.0,6.207600999856368,,
RBF_I__base_s1__concept__moderate__a1,d3_oof,confirmed,RBF_I,concept,moderate,0.02826255671416067,0.029734278583674167,-0.3087614653086489,0.21952360105070445,-3.0,0.0,27.03363830014132,,
RBF_I__base_s1__concept__moderate__a1,d3_oof,immediate,RBF_I,concept,moderate,0.02916301838732782,0.0301980503109045,-0.27764335152777,0.28646621030008756,-4.0,0.0,17.645086199976504,,
RBF_I__base_s1__concept__moderate__a1,hddm_w,confirmed,RBF_I,concept,moderate,0.06147516516755547,0.06227707687711381,-0.4500872207529121,0.2937843269919605,-11.0,22800.0,16.912117900094017,,
RBF_I__base_s1__concept__moderate__a1,hddm_w,immediate,RBF_I,concept,moderate,0.0168650003979941,0.016847286926475857,-0.6860615609701198,0.42220210140889913,-87.0,0.0,3.566619100049138,,
RBF_I__base_s1__concept__moderate__a1,hellinger,confirmed,RBF_I,concept,moderate,0.03432699196051903,0.03489681218200702,-0.3778909459231332,0.24510964737721883,-6.0,0.0,17.610383399995044,,
RBF_I__base_s1__concept__moderate__a1,hellinger,immediate,RBF_I,concept,moderate,0.07951424818912689,0.0823868075131281,-0.39330932417984354,0.24238338772586165,-18.0,0.0,21.53631140035577,,
RBF_I__base_s1__concept__moderate__a1,none,none,RBF_I,concept,moderate,-0.007820584255353036,-0.006994914581591183,-0.23183838838557203,0.17641088911884104,0.0,0.0,24.273277200059965,,
RBF_I__base_s1__concept__severe__a1,adwin,confirmed,RBF_I,concept,severe,0.04902054844772019,0.050574494812612,-0.50945939116225,0.2850539812970185,-8.0,19000.0,21.012903599767014,,
RBF_I__base_s1__concept__severe__a1,adwin,immediate,RBF_I,concept,severe,0.06776303536861361,0.07085872196897536,-0.8506039522229147,0.4013127077560373,-64.0,0.0,7.367183200083673,,
RBF_I__base_s1__concept__severe__a1,d3_oof,confirmed,RBF_I,concept,severe,0.00036683578737073397,0.0007016415098930473,-0.30374500918142155,0.1824020407357033,-1.0,0.0,26.74187280004844,,
RBF_I__base_s1__concept__severe__a1,d3_oof,immediate,RBF_I,concept,severe,0.05236157592654256,0.05452411500013188,-0.33432166983945144,0.2257733180579149,-5.0,0.0,28.46826699981466,,
RBF_I__base_s1__concept__severe__a1,hddm_w,confirmed,RBF_I,concept,severe,0.004407673075946361,0.0018998793410232029,-0.4058188311797706,0.29832779317233943,-6.0,13300.0,7.648230500053614,,
RBF_I__base_s1__concept__severe__a1,hddm_w,immediate,RBF_I,concept,severe,0.01906417368827984,0.018876454064707615,-0.7215418049495443,0.42846419964896637,-98.0,0.0,3.6054117002058774,,
RBF_I__base_s1__concept__severe__a1,hellinger,confirmed,RBF_I,concept,severe,0.042321562607581575,0.04377492148170614,-0.3597432571303425,0.27623299151762787,-5.0,3800.0,24.895553200040013,,
RBF_I__base_s1__concept__severe__a1,hellinger,immediate,RBF_I,concept,severe,0.036740015012049154,0.03774349427960211,-0.4574369514311225,0.3400116258726459,-18.0,0.0,6.071906300028786,,
RBF_I__base_s1__concept__severe__a1,none,none,RBF_I,concept,severe,0.005209068180663801,0.006480540836978688,-0.3680318064657423,0.1876731888188452,0.0,0.0,26.656493100104854,,
RBF_I__base_s1__instance__moderate__a1,adwin,confirmed,RBF_I,instance,moderate,0.009659691397167602,0.00881402146472221,-0.3024566717146222,0.3009826175258348,-2.0,1900.0,13.402480100048706,,
RBF_I__base_s1__instance__moderate__a1,adwin,immediate,RBF_I,instance,moderate,0.05149017121116051,0.05556295442405834,-0.339923719782377,0.34162136869561754,-11.0,0.0,10.40987589978613,,
RBF_I__base_s1__instance__moderate__a1,d3_oof,confirmed,RBF_I,instance,moderate,-0.017505812724582515,-0.01826946072587221,-0.26549441920466654,0.26025426597375706,-1.0,0.0,21.99366130004637,,
RBF_I__base_s1__instance__moderate__a1,d3_oof,immediate,RBF_I,instance,moderate,0.022413865990276838,0.023256326200354338,-0.30927141174491,0.3092308304959879,-5.0,0.0,11.128262399928644,,
RBF_I__base_s1__instance__moderate__a1,hddm_w,confirmed,RBF_I,instance,moderate,0.014757979285563327,0.014239287165572878,-0.2579785742329912,0.25685940704458116,-5.0,-3800.0,8.886689899954945,,
RBF_I__base_s1__instance__moderate__a1,hddm_w,immediate,RBF_I,instance,moderate,0.009342633692665414,0.009649952086392855,-0.4673004655336811,0.47033729566135035,-63.0,0.0,4.376516199903563,,
RBF_I__base_s1__instance__moderate__a1,hellinger,confirmed,RBF_I,instance,moderate,0.0182667512153879,0.01844782021002811,-0.23422513881877838,0.23270214841805548,-5.0,-1900.0,25.1885591999162,,
RBF_I__base_s1__instance__moderate__a1,hellinger,immediate,RBF_I,instance,moderate,0.0708814204185162,0.07520480699454446,-0.3002692242974928,0.301370885849113,-21.0,0.0,13.731278800172731,,
RBF_I__base_s1__instance__moderate__a1,none,none,RBF_I,instance,moderate,-0.011976326358063893,-0.012549751266500708,-0.2851814459588311,0.28040439639209125,0.0,0.0,22.64251030003652,,
RBF_I__base_s1__instance__severe__a1,adwin,confirmed,RBF_I,instance,severe,0.001496512365250502,0.002603662798481232,-0.23942213681264957,0.23611957478502268,-3.0,-1900.0,21.86279970011674,,
RBF_I__base_s1__instance__severe__a1,adwin,immediate,RBF_I,instance,severe,0.07475797928556327,0.08032190903295311,-0.3323724756414147,0.33365495294197306,-13.0,0.0,16.729459799826145,,
RBF_I__base_s1__instance__severe__a1,d3_oof,confirmed,RBF_I,instance,severe,-0.020629887972944516,-0.01947408703159359,-0.2594652911230235,0.2615726634617555,-1.0,1900.0,24.164870499866083,,
RBF_I__base_s1__instance__severe__a1,d3_oof,immediate,RBF_I,instance,severe,0.021868526738533012,0.023335863399004064,-0.3376993358281919,0.3372322657819306,-5.0,0.0,12.367926200153306,,
RBF_I__base_s1__instance__severe__a1,hddm_w,confirmed,RBF_I,instance,severe,0.025191291481716283,0.027653334279877928,-0.263578436330535,0.2655562326494685,-5.0,13300.0,15.671931099845096,,
RBF_I__base_s1__instance__severe__a1,hddm_w,immediate,RBF_I,instance,severe,0.020659480025364663,0.022064209652550293,-0.548548599170628,0.5453935044123953,-77.0,0.0,4.327386800199747,,
RBF_I__base_s1__instance__severe__a1,hellinger,confirmed,RBF_I,instance,severe,0.0016656098076516246,0.0014063117597813424,-0.3047098884056505,0.3053919245265985,-1.0,1900.0,11.435753100086004,,
RBF_I__base_s1__instance__severe__a1,hellinger,immediate,RBF_I,instance,severe,0.0811033608116678,0.08951783258120882,-0.2855433060247463,0.2850057552982599,-22.0,0.0,20.316990199964494,,
RBF_I__base_s1__instance__severe__a1,none,none,RBF_I,instance,severe,-0.022659057281758543,-0.022898190949816266,-0.21551869458211115,0.21195860699212313,0.0,0.0,22.125633700052276,,
RBF_I__base_s1__splice__moderate__a1,adwin,confirmed,RBF_I,splice,moderate,0.033734819828787566,0.03509707949283192,-0.4222003929273085,0.26083515827194903,-7.0,19000.0,19.6096252000425,,
RBF_I__base_s1__splice__moderate__a1,adwin,immediate,RBF_I,splice,moderate,0.011586701174596925,0.01265228727972878,-0.5989896154925625,0.43279912402946447,-39.0,0.0,4.7181639997288585,,
RBF_I__base_s1__splice__moderate__a1,d3_oof,confirmed,RBF_I,splice,moderate,0.028424248457097345,0.031032057612073727,-0.28043783328655625,0.2765180171212423,-2.0,-3800.0,25.745607200078666,,
RBF_I__base_s1__splice__moderate__a1,d3_oof,immediate,RBF_I,splice,moderate,0.0801164642643839,0.08519459296170084,-0.3836093179904575,0.338602428827394,-11.0,0.0,23.8296171000693,,
RBF_I__base_s1__splice__moderate__a1,hddm_w,confirmed,RBF_I,splice,moderate,0.04082221779812867,0.04131997461422021,-0.24849845635700252,0.22071471232331277,-6.0,7600.0,10.826656800229102,,
RBF_I__base_s1__splice__moderate__a1,hddm_w,immediate,RBF_I,splice,moderate,0.01471730041807695,0.015115379766484915,-0.6102161100196464,0.421351781803703,-82.0,0.0,3.343661799794063,,
RBF_I__base_s1__splice__moderate__a1,hellinger,confirmed,RBF_I,splice,moderate,0.014269360939677456,0.01482670029430011,-0.3491439797923098,0.20759506271152697,-6.0,-1900.0,22.77592490008101,,
RBF_I__base_s1__splice__moderate__a1,hellinger,immediate,RBF_I,splice,moderate,-0.0062412900656978465,-0.006455245884769978,-0.5309009261857984,0.31721083018116664,-2.0,0.0,9.50839600013569,,
RBF_I__base_s1__splice__moderate__a1,none,none,RBF_I,splice,moderate,-0.0036531953016125662,-0.002905542347343748,-0.28043783328655625,0.2765180171212423,0.0,0.0,24.117302200058475,,
RBF_I__base_s1__splice__severe__a1,adwin,confirmed,RBF_I,splice,severe,0.03700422131425085,0.038686384323082135,-0.47861980658422343,0.29002912029616923,-7.0,15200.0,15.818834700156003,,
RBF_I__base_s1__splice__severe__a1,adwin,immediate,RBF_I,splice,severe,0.0691155556558839,0.07330517959070448,-0.8415776527277016,0.3400133185850696,-33.0,0.0,6.217911999905482,,
RBF_I__base_s1__splice__severe__a1,d3_oof,confirmed,RBF_I,splice,severe,0.02761913361475421,0.03012113184923837,-0.28709101324257846,0.20942910675184542,-3.0,0.0,26.310666600009426,,
RBF_I__base_s1__splice__severe__a1,d3_oof,immediate,RBF_I,splice,severe,0.030858484390166807,0.03211215445170401,-0.3383765205377902,0.21905686358608548,-6.0,0.0,13.525264899944887,,
RBF_I__base_s1__splice__severe__a1,hddm_w,confirmed,RBF_I,splice,severe,-0.0018679879906995378,-0.00427800452961602,-0.47300940121979984,0.32407616424749996,-3.0,15200.0,8.814447100041434,,
RBF_I__base_s1__splice__severe__a1,hddm_w,immediate,RBF_I,splice,severe,0.021919230682408197,0.02345262738751208,-0.7953634127438758,0.4359127745547304,-94.0,0.0,4.655925099970773,,
RBF_I__base_s1__splice__severe__a1,hellinger,confirmed,RBF_I,splice,severe,0.03394546152283351,0.03549800760329824,-0.39063921555413283,0.20691211991241337,-2.0,3800.0,15.969436000101268,,
RBF_I__base_s1__splice__severe__a1,hellinger,immediate,RBF_I,splice,severe,0.05373146120679917,0.05724041218991549,-0.42992890116925564,0.23664191065261067,-10.0,0.0,17.01685779960826,,
RBF_I__base_s1__splice__severe__a1,none,none,RBF_I,splice,severe,-0.024447504458339875,-0.025842775323931866,-0.33790477474138225,0.22457617553443646,0.0,0.0,27.310854600043967,,
RBF_I__base_s2__clean__none__anone,adwin,confirmed,RBF_I,clean,none,0.03872754174593107,0.03905919754100973,,0.2891566265060241,-3.0,5700.0,27.547167500015348,,
RBF_I__base_s2__clean__none__anone,adwin,immediate,RBF_I,clean,none,0.028590150073980025,0.029643062903793704,,0.3373493975903614,-13.0,0.0,9.913222800241783,,
RBF_I__base_s2__clean__none__anone,d3_oof,confirmed,RBF_I,clean,none,-0.00013527795392098696,0.00017632886540575043,,0.2891566265060241,-1.0,0.0,16.316132799955085,,
RBF_I__base_s2__clean__none__anone,d3_oof,immediate,RBF_I,clean,none,0.07263157894736849,0.07291701144295581,,0.21285140562248997,-7.0,0.0,24.56772019993514,,
RBF_I__base_s2__clean__none__anone,hddm_w,confirmed,RBF_I,clean,none,0.04287465652082012,0.041692376511119345,,0.285140562248996,-5.0,9500.0,16.988423499977216,,
RBF_I__base_s2__clean__none__anone,hddm_w,immediate,RBF_I,clean,none,0.00948213908264628,0.009811410558122624,,0.44176706827309237,-57.0,0.0,4.693709500133991,,
RBF_I__base_s2__clean__none__anone,hellinger,confirmed,RBF_I,clean,none,0.009938702177129555,0.011004391293452986,,0.24899598393574296,-3.0,0.0,18.728646400151774,,
RBF_I__base_s2__clean__none__anone,hellinger,immediate,RBF_I,clean,none,0.06556753329105902,0.06778496560160252,,0.285140562248996,-18.0,0.0,18.50738130020909,,
RBF_I__base_s2__clean__none__anone,none,none,RBF_I,clean,none,-0.013870217712957156,-0.014214342777969846,,0.2289156626506024,0.0,0.0,23.42447209986858,,
RBF_I__base_s2__concept__moderate__a2,adwin,confirmed,RBF_I,concept,moderate,0.04198944538484517,0.04186884502119348,-0.3987391426169795,0.25076670317634175,-10.0,13300.0,22.065358999883756,,
RBF_I__base_s2__concept__moderate__a2,adwin,immediate,RBF_I,concept,moderate,0.02886587673006069,0.027785420508574687,-0.7357523115718689,0.3989893458130041,-53.0,0.0,5.245275699999183,,
RBF_I__base_s2__concept__moderate__a2,d3_oof,confirmed,RBF_I,concept,moderate,-0.018843970925022435,-0.019018928399325286,-0.2789296721770804,0.23894752563974908,0.0,5700.0,27.688082200009376,,
RBF_I__base_s2__concept__moderate__a2,d3_oof,immediate,RBF_I,concept,moderate,0.03470576520959867,0.035460416329399225,-0.2769963575231157,0.22510206113711043,-6.0,0.0,13.819984699832276,,
RBF_I__base_s2__concept__moderate__a2,hddm_w,confirmed,RBF_I,concept,moderate,0.0275067210992731,0.027264290207049457,-0.43037265340431496,0.2971721597132331,-7.0,15200.0,11.695432900218293,,
RBF_I__base_s2__concept__moderate__a2,hddm_w,immediate,RBF_I,concept,moderate,0.022403664243751842,0.02178233808003538,-0.7266461193611655,0.4573633376481131,-97.0,0.0,3.878682899987325,,
RBF_I__base_s2__concept__moderate__a2,hellinger,confirmed,RBF_I,concept,moderate,0.03084237777556509,0.03176756785746715,-0.3838049873914262,0.26287961764413026,-5.0,1900.0,19.889647599775344,,
RBF_I__base_s2__concept__moderate__a2,hellinger,immediate,RBF_I,concept,moderate,0.06986458229612669,0.07207128663098683,-0.3619781451386943,0.2951359155630788,-16.0,0.0,14.67759760003537,,
