stream,detector,arm,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,malicious_recall,benign_fpr
RBF_I,adwin,confirmed,0.535310562656101,0.5405295488735368,0.6688127216229457,0.24326949620790642,1.9523809523809523,,
RBF_I,adwin,error_rule,0.5300701387433546,0.5367935855317015,0.46873417004058143,0.35868918695624846,8.142857142857142,,
RBF_I,adwin,no_reset,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,adwin,q_alarm_17,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,adwin,q_alarm_27,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,adwin,q_alarm_7,0.5331886108185603,0.538646601489637,0.5075935517388845,0.42079925731532175,25.333333333333332,,
RBF_I,adwin,q_alarm_persistence_17,0.5300912687860778,0.5366082611489201,0.6155233025947592,0.3307053511215071,6.476190476190476,,
RBF_I,adwin,q_alarm_persistence_27,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,adwin,q_alarm_persistence_7,0.5302897126724416,0.535943033433173,0.4428653646687752,0.4055979366033388,20.238095238095237,,
RBF_I,adwin,selected_map,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,d3_oof,confirmed,0.5446862273819646,0.5487398349820557,0.6698309852633804,0.23424953192467962,0.38095238095238093,,
RBF_I,d3_oof,error_rule,0.5300701387433546,0.5367935855317015,0.46873417004058143,0.35868918695624846,8.142857142857142,,
RBF_I,d3_oof,no_reset,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,d3_oof,q_alarm_17,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,d3_oof,q_alarm_27,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,d3_oof,q_alarm_7,0.5450748259243002,0.5491018581292979,0.6878711672563457,0.24666381795528727,0.619047619047619,,
RBF_I,d3_oof,q_alarm_persistence_17,0.5300908297435625,0.5368027883364683,0.46919337118624943,0.35665784825616853,8.047619047619047,,
RBF_I,d3_oof,q_alarm_persistence_27,0.5236820226193746,0.5294832540653608,0.45650840052958325,0.3824329474646614,19.714285714285715,,
RBF_I,d3_oof,q_alarm_persistence_7,0.5377233225200283,0.5421137121525111,0.6666624699525597,0.2318753143633101,0.19047619047619047,,
RBF_I,d3_oof,selected_map,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,hddm_w,confirmed,0.5277463772326646,0.5337170309309304,0.6679438772843569,0.2543900192930098,2.5714285714285716,,
RBF_I,hddm_w,error_rule,0.5300701387433546,0.5367935855317015,0.46873417004058143,0.35868918695624846,8.142857142857142,,
RBF_I,hddm_w,no_reset,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,hddm_w,q_alarm_17,0.532510733403741,0.5384337671341504,0.34717078044951566,0.4141233348777703,19.190476190476193,,
RBF_I,hddm_w,q_alarm_27,0.5293811964257163,0.5352289185986774,0.5865738487754131,0.3657613138824428,10.857142857142858,,
RBF_I,hddm_w,q_alarm_7,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,hddm_w,q_alarm_persistence_17,0.5303398308314108,0.5369201343749246,0.4860104120136201,0.323275661553094,5.238095238095238,,
RBF_I,hddm_w,q_alarm_persistence_27,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,hddm_w,q_alarm_persistence_7,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,hddm_w,selected_map,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,hellinger,confirmed,0.5376803593830897,0.5421913504700416,0.655187432998709,0.2562505233329069,1.619047619047619,,
RBF_I,hellinger,error_rule,0.5300701387433546,0.5367935855317015,0.46873417004058143,0.35868918695624846,8.142857142857142,,
RBF_I,hellinger,no_reset,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,hellinger,q_alarm_17,0.5318243524907434,0.5372144882419077,0.33989235788808086,0.45953767926970757,29.571428571428573,,
RBF_I,hellinger,q_alarm_27,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,hellinger,q_alarm_7,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
RBF_I,hellinger,q_alarm_persistence_17,0.5305493803651374,0.537410411716361,0.49946753256577686,0.34876164870571963,7.904761904761905,,
RBF_I,hellinger,q_alarm_persistence_27,0.5370443747107582,0.5414467481047645,0.6927175917704272,0.22381376261655792,0.0,,
