stream,detector,arm,mode,level,feedback_fraction,delay_blocks,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,benign_fpr
RBF_I,adwin,confirmed,clean,none,0.05,1,0.5396274780112226,0.5457805530776093,,0.23163841807909602,2.6666666666666665,63966.666666666664,2.8178020416671643,,
RBF_I,adwin,confirmed,concept,moderate,0.05,1,0.533553969956424,0.5379989359412211,0.5595207533748028,0.33404415873117715,1.6666666666666667,65233.333333333336,2.900828971668185,,
RBF_I,adwin,confirmed,concept,severe,0.05,1,0.5292652883150483,0.5346742777688267,0.6734555321805068,0.16148675503473278,2.0,65866.66666666667,2.9606273056657906,,
RBF_I,adwin,confirmed,instance,moderate,0.05,1,0.5437227086050447,0.5497115670532263,0.7623729118706649,0.23722711765194657,1.3333333333333333,62066.666666666664,2.858038222004931,,
RBF_I,adwin,confirmed,instance,severe,0.05,1,0.5174938062880429,0.5231935771632471,0.7060919943862469,0.29374302341409736,1.3333333333333333,61433.333333333336,2.8117616803307706,,
RBF_I,adwin,confirmed,splice,moderate,0.05,1,0.540378982546409,0.5443465146755161,0.7755091006946065,0.18626830899140934,2.6666666666666665,63966.666666666664,2.850100402662065,,
RBF_I,adwin,confirmed,splice,severe,0.05,1,0.5431317048705154,0.5480014164351102,0.5359260372308464,0.2584786915528858,2.0,66500.0,2.9108913476666203,,
RBF_I,adwin,error_rule,clean,none,0.05,1,0.5496435111752915,0.5555040142729705,,0.3276836158192091,9.0,57000.0,2.590862763672097,,
RBF_I,adwin,error_rule,concept,moderate,0.05,1,0.5353885263003919,0.5415360595124296,0.3945369052747812,0.38434851228714306,9.666666666666666,57000.0,2.5797020833318434,,
RBF_I,adwin,error_rule,concept,severe,0.05,1,0.5252231513140937,0.5322595482975792,0.3583259087676816,0.4026063470631427,6.666666666666667,57000.0,2.5856971666653408,,
RBF_I,adwin,error_rule,instance,moderate,0.05,1,0.5353905170547666,0.5425810288432947,0.7223191718503403,0.2766845780802431,10.333333333333334,57000.0,2.5748899996688124,,
RBF_I,adwin,error_rule,instance,severe,0.05,1,0.5082160673359356,0.516176033303598,0.5891437903152102,0.40538903497183626,6.333333333333333,57000.0,2.5675270000016703,,
RBF_I,adwin,error_rule,splice,moderate,0.05,1,0.5335097117244384,0.5392173090349793,0.4601909934816808,0.3962093778618812,8.666666666666666,57000.0,2.5840713056677487,,
RBF_I,adwin,error_rule,splice,severe,0.05,1,0.523119486298565,0.5302811054570595,0.28788825055379486,0.31790284261028434,6.333333333333333,57000.0,2.583911666670853,,
RBF_I,adwin,no_reset,clean,none,0.05,1,0.5628239749638583,0.5661076419863217,,0.17514124293785313,0.0,57000.0,2.9844256110033407,,
RBF_I,adwin,no_reset,concept,moderate,0.05,1,0.5427019708044191,0.5463379055020028,0.6482568242585965,0.2500147241022886,0.0,57000.0,2.9081538333315016,,
RBF_I,adwin,no_reset,concept,severe,0.05,1,0.53313518045604,0.5365598376235649,0.6544739267074489,0.24588507149384597,0.0,57000.0,2.897387319331756,,
RBF_I,adwin,no_reset,instance,moderate,0.05,1,0.5582206462037187,0.563788284269997,0.800961825811596,0.19750694207508188,0.0,57000.0,2.95301579166456,,
RBF_I,adwin,no_reset,instance,severe,0.05,1,0.5022853643518714,0.5081593815046089,0.771864931650352,0.23283504090540744,0.0,57000.0,2.847735499662425,,
RBF_I,adwin,no_reset,splice,moderate,0.05,1,0.5384057866820443,0.5415330133666788,0.7087482971819311,0.24758770866759847,0.0,57000.0,2.8989539169948935,,
RBF_I,adwin,no_reset,splice,severe,0.05,1,0.5217376995133554,0.5276411724801768,0.5719997450126385,0.21772560813383027,0.0,57000.0,2.9044636389929415,,
RBF_I,adwin,q_alarm_17,clean,none,0.05,1,0.5628239749638583,0.5661076419863217,,0.17514124293785313,0.0,57000.0,2.9758096393343294,,
RBF_I,adwin,q_alarm_17,concept,moderate,0.05,1,0.5427019708044191,0.5463379055020028,0.6482568242585965,0.2500147241022886,0.0,57000.0,2.929635111000001,,
RBF_I,adwin,q_alarm_17,concept,severe,0.05,1,0.53313518045604,0.5365598376235649,0.6544739267074489,0.24588507149384597,0.0,57000.0,2.9304541523306398,,
RBF_I,adwin,q_alarm_17,instance,moderate,0.05,1,0.5582206462037187,0.563788284269997,0.800961825811596,0.19750694207508188,0.0,57000.0,2.938061500331969,,
RBF_I,adwin,q_alarm_17,instance,severe,0.05,1,0.5022853643518714,0.5081593815046089,0.771864931650352,0.23283504090540744,0.0,57000.0,2.8826215136699225,,
RBF_I,adwin,q_alarm_17,splice,moderate,0.05,1,0.5384057866820443,0.5415330133666788,0.7087482971819311,0.24758770866759847,0.0,57000.0,2.8969175973373544,,
RBF_I,adwin,q_alarm_17,splice,severe,0.05,1,0.5217376995133554,0.5276411724801768,0.5719997450126385,0.21772560813383027,0.0,57000.0,2.8839247359962124,,
RBF_I,adwin,q_alarm_27,clean,none,0.05,1,0.5628239749638583,0.5661076419863217,,0.17514124293785313,0.0,57000.0,3.003583763328303,,
RBF_I,adwin,q_alarm_27,concept,moderate,0.05,1,0.5427019708044191,0.5463379055020028,0.6482568242585965,0.2500147241022886,0.0,57000.0,2.8886265416658716,,
RBF_I,adwin,q_alarm_27,concept,severe,0.05,1,0.53313518045604,0.5365598376235649,0.6544739267074489,0.24588507149384597,0.0,57000.0,2.9228941806698763,,
RBF_I,adwin,q_alarm_27,instance,moderate,0.05,1,0.5582206462037187,0.563788284269997,0.800961825811596,0.19750694207508188,0.0,57000.0,2.9611161526700016,,
RBF_I,adwin,q_alarm_27,instance,severe,0.05,1,0.5022853643518714,0.5081593815046089,0.771864931650352,0.23283504090540744,0.0,57000.0,2.8618472776627946,,
RBF_I,adwin,q_alarm_27,splice,moderate,0.05,1,0.5384057866820443,0.5415330133666788,0.7087482971819311,0.24758770866759847,0.0,57000.0,2.8756063746647365,,
RBF_I,adwin,q_alarm_27,splice,severe,0.05,1,0.5217376995133554,0.5276411724801768,0.5719997450126385,0.21772560813383027,0.0,57000.0,2.858965638995869,,
RBF_I,adwin,q_alarm_7,clean,none,0.05,1,0.5548505718017508,0.5595242343146001,,0.45762711864406774,31.333333333333332,57000.0,2.4742965276624695,,
RBF_I,adwin,q_alarm_7,concept,moderate,0.05,1,0.5402202420056061,0.5450029092390368,0.6428781066278528,0.3623849247714093,21.333333333333332,57000.0,2.536545194341064,,
RBF_I,adwin,q_alarm_7,concept,severe,0.05,1,0.5320176963474569,0.5380773143420386,0.5354801250016349,0.3417239272362778,21.333333333333332,57000.0,2.5313096109991116,,
RBF_I,adwin,q_alarm_7,instance,moderate,0.05,1,0.535110216105149,0.540154623847755,0.48749104696963075,0.5077491496511546,28.666666666666668,57000.0,2.4868041390000144,,
RBF_I,adwin,q_alarm_7,instance,severe,0.05,1,0.5073787210975563,0.5134284864704134,0.4830100917523932,0.5131480683047073,28.333333333333332,57000.0,2.458831903000828,,
RBF_I,adwin,q_alarm_7,splice,moderate,0.05,1,0.5364455414736865,0.5417709543396992,0.48228461689198826,0.38684652936710573,24.333333333333332,57000.0,2.5407792366701565,,
RBF_I,adwin,q_alarm_7,splice,severe,0.05,1,0.5262972868987165,0.5325676878739154,0.41441732318980756,0.3761150832325298,22.0,57000.0,2.5552504863250456,,
RBF_I,adwin,q_alarm_persistence_17,clean,none,0.05,1,0.5505558810040885,0.556509069283378,,0.29943502824858753,9.0,57000.0,2.6150117776657376,,
RBF_I,adwin,q_alarm_persistence_17,concept,moderate,0.05,1,0.5332052325148263,0.539444752990729,0.6509693474296845,0.3171714701014186,5.333333333333333,57000.0,2.6206058193395925,,
RBF_I,adwin,q_alarm_persistence_17,concept,severe,0.05,1,0.5246811867928667,0.531789826521838,0.7164813842044842,0.28215205748920213,5.333333333333333,57000.0,2.6152310969967707,,
RBF_I,adwin,q_alarm_persistence_17,instance,moderate,0.05,1,0.5355445868407601,0.5427059173357122,0.7350358232209887,0.2656399972261132,10.0,57000.0,2.6139629166670297,,
RBF_I,adwin,q_alarm_persistence_17,instance,severe,0.05,1,0.5082282812164806,0.5161462979482605,0.5841028325332317,0.4112469291626248,5.666666666666667,57000.0,2.616222236334579,,
RBF_I,adwin,q_alarm_persistence_17,splice,moderate,0.05,1,0.5339967199727634,0.5398348017634458,0.5664680124086181,0.361986499555868,5.333333333333333,57000.0,2.6261065829943013,,
RBF_I,adwin,q_alarm_persistence_17,splice,severe,0.05,1,0.5244269931607591,0.5298271621990774,0.44008241577154833,0.3773054760667358,4.666666666666667,57000.0,2.6332644856641614,,
