stream,detector,arm,feedback_fraction,delay_blocks,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,benign_fpr
RBF_I,adwin,confirmed,0.01,5,0.35861234599159675,0.3782775119617225,0.36653805682216767,0.7278170572683009,0.0,11400.0,0.45538631249655737,,
RBF_I,adwin,confirmed,0.05,1,0.3827389744468541,0.40669856459330145,0.554191511750263,0.4561844261804783,0.0,11400.0,0.4706853745083208,,
RBF_I,adwin,error_rule,0.01,5,0.35861234599159675,0.3782775119617225,0.36653805682216767,0.6823625118137554,0.5,11400.0,0.44081958350579953,,
RBF_I,adwin,error_rule,0.05,1,0.3827412374227884,0.4019138755980861,0.554191511750263,0.5016389716350237,1.0,11400.0,0.45528224949521245,,
RBF_I,adwin,no_reset,0.01,5,0.35861234599159675,0.3782775119617225,0.36653805682216767,0.7278170572683009,0.0,11400.0,0.4583344999991823,,
RBF_I,adwin,no_reset,0.05,1,0.3827389744468541,0.40669856459330145,0.554191511750263,0.4561844261804783,0.0,11400.0,0.47468854199541965,,
RBF_I,adwin,q_alarm_7,0.01,5,0.35861234599159675,0.3782775119617225,0.36653805682216767,0.7278170572683009,0.0,11400.0,0.445981771008519,,
RBF_I,adwin,q_alarm_7,0.05,1,0.3827389744468541,0.40669856459330145,0.554191511750263,0.4561844261804783,0.0,11400.0,0.45955391650204547,,
RBF_I,adwin,q_alarm_persistence_7,0.01,5,0.35861234599159675,0.3782775119617225,0.36653805682216767,0.7278170572683009,0.0,11400.0,0.4491241040013847,,
RBF_I,adwin,q_alarm_persistence_7,0.05,1,0.3827389744468541,0.40669856459330145,0.554191511750263,0.4561844261804783,0.0,11400.0,0.4649021255027037,,
RBF_I,adwin,selected_map,0.01,5,0.35861234599159675,0.3782775119617225,0.36653805682216767,0.7278170572683009,0.0,11400.0,0.4422080414951779,,
RBF_I,adwin,selected_map,0.05,1,0.3827389744468541,0.40669856459330145,0.554191511750263,0.4561844261804783,0.0,11400.0,0.4579398130008485,,
RBF_I,d3_oof,confirmed,0.01,5,0.35861234599159675,0.3782775119617225,0.36653805682216767,0.7278170572683009,0.0,11400.0,0.46414406199619407,,
RBF_I,d3_oof,confirmed,0.05,1,0.3827389744468541,0.40669856459330145,0.554191511750263,0.4561844261804783,0.0,11400.0,0.48140012450312497,,
RBF_I,d3_oof,error_rule,0.01,5,0.35861234599159675,0.3782775119617225,0.36653805682216767,0.6823625118137554,0.5,11400.0,0.46554122899397044,,
RBF_I,d3_oof,error_rule,0.05,1,0.3827412374227884,0.4019138755980861,0.554191511750263,0.5016389716350237,1.0,11400.0,0.47255364599550376,,
RBF_I,d3_oof,no_reset,0.01,5,0.35861234599159675,0.3782775119617225,0.36653805682216767,0.7278170572683009,0.0,11400.0,0.4456696249981178,,
RBF_I,d3_oof,no_reset,0.05,1,0.3827389744468541,0.40669856459330145,0.554191511750263,0.4561844261804783,0.0,11400.0,0.46411341699422337,,
RBF_I,d3_oof,q_alarm_7,0.01,5,0.35861234599159675,0.3782775119617225,0.36653805682216767,0.7278170572683009,0.0,11400.0,0.49728087450785097,,
