stream,detector,arm,feedback_fraction,delay_blocks,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,benign_fpr
RBF_I,adwin,confirmed,0.01,1,0.5407792693901123,0.5458608385370205,0.8173313317513871,0.1578721216231756,1.8333333333333335,62066.66666666667,2.799695152668088,,
RBF_I,adwin,confirmed,0.01,5,0.5381999848101131,0.543502824858757,0.7758085905775989,0.2206455011653085,1.5,60800.0,2.7781882639974356,,
RBF_I,adwin,confirmed,0.02,1,0.5398287670757691,0.544689265536723,0.8019648385507182,0.19204030134385003,1.6666666666666667,61433.33333333333,2.808561930660896,,
RBF_I,adwin,confirmed,0.02,5,0.5281960989235397,0.5349658043413619,0.6513666153846495,0.27615319689024115,1.3333333333333335,61116.666666666664,2.781511152832536,,
RBF_I,adwin,confirmed,0.05,1,0.5285606421496327,0.5344870651204282,0.7060919943862469,0.2626907207465967,2.0,62700.0,2.814781860998967,,
RBF_I,adwin,confirmed,0.05,5,0.5285230250315982,0.5349420160570919,0.6207650290772442,0.3360375208170834,0.6666666666666666,62066.66666666667,2.8949243398334756,,
RBF_I,adwin,error_rule,0.01,1,0.5307250602553397,0.5372197442759441,0.7553782871555562,0.21722711320437504,11.0,57000.0,2.501734687500478,,
RBF_I,adwin,error_rule,0.01,5,0.526494440172073,0.5331103181683021,0.7050791882478563,0.2851175475347105,8.333333333333332,57000.0,2.532100256998092,,
RBF_I,adwin,error_rule,0.02,1,0.5299518281224999,0.5364079690752304,0.6818171918415549,0.29630300371208895,9.833333333333332,57000.0,2.5408803539952105,,
RBF_I,adwin,error_rule,0.02,5,0.5214903509348177,0.5276330657151354,0.5873752476521806,0.38414765022906017,8.166666666666668,57000.0,2.5184038818357903,,
RBF_I,adwin,error_rule,0.05,1,0.5289297892556135,0.5358400237882842,0.5891437903152102,0.36653632539552267,7.666666666666666,57000.0,2.5791948818368837,,
RBF_I,adwin,error_rule,0.05,5,0.5210731736571724,0.5277609277430866,0.5363007992397462,0.46885476916902025,6.333333333333333,57000.0,2.605417777662903,,
RBF_I,adwin,no_reset,0.01,1,0.5453584423772999,0.5494528694617902,0.874892440495262,0.11003064776532812,0.0,57000.0,2.8932529653296415,,
RBF_I,adwin,no_reset,0.01,5,0.5377095875855431,0.5423966696402023,0.7525677037277347,0.21206179190567787,0.0,57000.0,2.86501449282999,,
RBF_I,adwin,no_reset,0.02,1,0.5391705735452393,0.5450817722271781,0.7899555974215687,0.16932019751265898,0.0,57000.0,2.885602597331551,,
RBF_I,adwin,no_reset,0.02,5,0.5363112338503169,0.541900089206066,0.6953962928820311,0.2853923397461837,0.0,57000.0,2.857935041494784,,
RBF_I,adwin,no_reset,0.05,1,0.5325546696578649,0.5371335117454653,0.771864931650352,0.20398814192163028,0.0,57000.0,2.916080555332883,,
RBF_I,adwin,no_reset,0.05,5,0.517481293529104,0.5230686886708296,0.6954706484766993,0.31930381395035584,0.0,57000.0,2.859904569500941,,
RBF_I,adwin,q_alarm_persistence_17,0.01,1,0.5306774045523123,0.5370145703241154,0.7674233802419067,0.21452937917390347,10.5,57000.0,2.511584652835154,,
RBF_I,adwin,q_alarm_persistence_17,0.01,5,0.5259045341878165,0.5325602140945584,0.7108795437535163,0.28231837054059594,8.0,57000.0,2.5400478541705525,,
RBF_I,adwin,q_alarm_persistence_17,0.02,1,0.5299767966618908,0.5364466250371692,0.6866820061366247,0.2933443294533524,9.666666666666668,57000.0,2.547082826330249,,
RBF_I,adwin,q_alarm_persistence_17,0.02,5,0.5210872188975414,0.5270443056794529,0.5876777555067083,0.384199214028847,7.166666666666666,57000.0,2.5523902848362923,,
RBF_I,adwin,q_alarm_persistence_17,0.05,1,0.5293920811102846,0.5363276836158193,0.5841028325332317,0.35534097870560616,7.333333333333334,57000.0,2.615617007000158,,
RBF_I,adwin,q_alarm_persistence_17,0.05,5,0.5137185437269395,0.521495688373476,0.5454201395240298,0.4684832295247585,6.0,57000.0,2.576424374996956,,
RBF_I,adwin,q_alarm_persistence_27,0.01,1,0.5453584423772999,0.5494528694617902,0.874892440495262,0.11003064776532812,0.0,57000.0,2.939056951664194,,
RBF_I,adwin,q_alarm_persistence_27,0.01,5,0.5377095875855431,0.5423966696402023,0.7525677037277347,0.21206179190567787,0.0,57000.0,2.8605331318394747,,
RBF_I,adwin,q_alarm_persistence_27,0.02,1,0.5391705735452393,0.5450817722271781,0.7899555974215687,0.16932019751265898,0.0,57000.0,2.8897234651619024,,
RBF_I,adwin,q_alarm_persistence_27,0.02,5,0.5363112338503169,0.541900089206066,0.6953962928820311,0.2853923397461837,0.0,57000.0,2.8309109930026657,,
RBF_I,adwin,q_alarm_persistence_27,0.05,1,0.5325546696578649,0.5371335117454653,0.771864931650352,0.20398814192163028,0.0,57000.0,2.9157035693327393,,
RBF_I,adwin,q_alarm_persistence_27,0.05,5,0.517481293529104,0.5230686886708296,0.6954706484766993,0.31930381395035584,0.0,57000.0,2.8541554513309775,,
RBF_I,adwin,q_alarm_persistence_7,0.01,1,0.5212922042683712,0.5263603925066904,0.671471437916401,0.28516717794716157,27.333333333333336,57000.0,2.4391759513382567,,
RBF_I,adwin,q_alarm_persistence_7,0.01,5,0.5156582461948493,0.5212161760333036,0.6169666209906531,0.3579897089688747,25.666666666666664,57000.0,2.4466883263327572,,
