epoch,condition,seed,reward,training_visits,resets,states,epsilon,variant
3,SEA_A__s112__concept__moderate,17,54.06,57000,13,2,0.1,alarm
3,SEA_A__s112__splice__severe,17,54.06,57000,31,2,0.1,alarm
3,RBF_I__s112__clean__none,17,32.84,57000,29,2,0.1,alarm
3,RBF_I__s112__splice__moderate,17,32.8,57000,17,2,0.1,alarm
3,RBF_I__s112__splice__severe,17,30.94,57000,23,2,0.1,alarm
3,RBF_I__s112__instance__severe,17,30.24,57000,2,2,0.1,alarm
3,RBF_I__s112__instance__moderate,17,31.52,57000,30,2,0.1,alarm
3,RBF_I__s112__concept__moderate,17,33.38,57000,2,2,0.1,alarm
3,RBF_I__s112__concept__severe,17,30.12,57000,10,2,0.1,alarm
3,SEA_A__s112__instance__severe,17,53.52,57000,2,2,0.1,alarm
3,SEA_A__s112__splice__moderate,17,53.76,57000,1,2,0.1,alarm
3,SEA_A__s112__clean__none,17,54.42,57000,2,2,0.1,alarm
3,SEA_A__s112__concept__severe,17,53.56,57000,0,2,0.1,alarm
3,SEA_A__s112__instance__moderate,17,54.22,57000,1,2,0.1,alarm
0,SEA_A__s112__splice__severe,27,53.46,57000,9,2,0.1,alarm
0,SEA_A__s112__clean__none,27,53.7,57000,4,2,0.1,alarm
0,RBF_I__s112__instance__severe,27,30.24,57000,7,2,0.1,alarm
0,RBF_I__s112__concept__severe,27,29.88,57000,9,2,0.1,alarm
0,SEA_A__s112__instance__moderate,27,53.66,57000,0,2,0.1,alarm
0,RBF_I__s112__instance__moderate,27,31.7,57000,7,2,0.1,alarm
0,SEA_A__s112__instance__severe,27,54.12,57000,2,2,0.1,alarm
0,RBF_I__s112__concept__moderate,27,31.96,57000,10,2,0.1,alarm
0,SEA_A__s112__splice__moderate,27,53.86,57000,4,2,0.1,alarm
0,RBF_I__s112__splice__moderate,27,32.06,57000,11,2,0.1,alarm
0,SEA_A__s112__concept__moderate,27,53.86,57000,9,2,0.1,alarm
0,SEA_A__s112__concept__severe,27,53.28,57000,10,2,0.1,alarm
0,RBF_I__s112__clean__none,27,34.5,57000,0,2,0.1,alarm
0,RBF_I__s112__splice__severe,27,30.66,57000,9,2,0.1,alarm
1,SEA_A__s112__splice__moderate,27,54.02,57000,2,2,0.1,alarm
1,SEA_A__s112__clean__none,27,54.14,57000,6,2,0.1,alarm
1,SEA_A__s112__concept__moderate,27,53.86,57000,9,2,0.1,alarm
1,RBF_I__s112__splice__severe,27,30.7,57000,9,2,0.1,alarm
1,SEA_A__s112__instance__moderate,27,54.38,57000,24,2,0.1,alarm
1,SEA_A__s112__instance__severe,27,54.08,57000,28,2,0.1,alarm
1,RBF_I__s112__concept__moderate,27,32.76,57000,25,2,0.1,alarm
1,RBF_I__s112__clean__none,27,32.660000000000004,57000,21,2,0.1,alarm
1,RBF_I__s112__instance__moderate,27,31.64,57000,29,2,0.1,alarm
1,RBF_I__s112__instance__severe,27,30.68,57000,4,2,0.1,alarm
1,SEA_A__s112__splice__severe,27,54.0,57000,32,2,0.1,alarm
1,SEA_A__s112__concept__severe,27,53.78,57000,20,2,0.1,alarm
1,RBF_I__s112__concept__severe,27,31.94,57000,25,2,0.1,alarm
1,RBF_I__s112__splice__moderate,27,32.1,57000,29,2,0.1,alarm
2,SEA_A__s112__instance__moderate,27,54.32,57000,28,2,0.1,alarm
2,SEA_A__s112__concept__severe,27,53.8,57000,19,2,0.1,alarm
2,RBF_I__s112__splice__severe,27,32.04,57000,22,2,0.1,alarm
2,SEA_A__s112__instance__severe,27,52.9,57000,1,2,0.1,alarm
2,RBF_I__s112__splice__moderate,27,31.52,57000,13,2,0.1,alarm
2,RBF_I__s112__concept__moderate,27,31.44,57000,12,2,0.1,alarm
2,SEA_A__s112__splice__severe,27,54.1,57000,30,2,0.1,alarm
2,SEA_A__s112__concept__moderate,27,53.98,57000,23,2,0.1,alarm
2,SEA_A__s112__splice__moderate,27,54.2,57000,30,2,0.1,alarm
2,RBF_I__s112__instance__moderate,27,31.62,57000,21,2,0.1,alarm
2,SEA_A__s112__clean__none,27,54.32,57000,3,2,0.1,alarm
2,RBF_I__s112__instance__severe,27,29.86,57000,6,2,0.1,alarm
2,RBF_I__s112__clean__none,27,32.7,57000,29,2,0.1,alarm
2,RBF_I__s112__concept__severe,27,30.12,57000,10,2,0.1,alarm
3,RBF_I__s112__clean__none,27,32.04,57000,4,2,0.1,alarm
3,RBF_I__s112__instance__moderate,27,31.42,57000,30,2,0.1,alarm
3,RBF_I__s112__splice__moderate,27,33.8,57000,1,2,0.1,alarm
3,SEA_A__s112__concept__severe,27,53.5,57000,10,2,0.1,alarm
3,RBF_I__s112__concept__moderate,27,31.38,57000,12,2,0.1,alarm
3,SEA_A__s112__splice__severe,27,53.36,57000,6,2,0.1,alarm
3,SEA_A__s112__clean__none,27,54.12,57000,3,2,0.1,alarm
3,RBF_I__s112__splice__severe,27,30.68,57000,9,2,0.1,alarm
3,SEA_A__s112__instance__severe,27,54.06,57000,30,2,0.1,alarm
3,RBF_I__s112__instance__severe,27,30.06,57000,33,2,0.1,alarm
3,SEA_A__s112__instance__moderate,27,53.8,57000,1,2,0.1,alarm
3,SEA_A__s112__concept__moderate,27,53.9,57000,7,2,0.1,alarm
3,SEA_A__s112__splice__moderate,27,53.98,57000,9,2,0.1,alarm
3,RBF_I__s112__concept__severe,27,31.1,57000,7,2,0.1,alarm
0,SEA_A__s112__concept__moderate,7,53.5,57000,2,2,0.1,alarm
0,RBF_I__s112__splice__moderate,7,31.22,57000,3,2,0.1,alarm
0,RBF_I__s112__instance__moderate,7,34.26,57000,0,2,0.1,alarm
0,SEA_A__s112__splice__severe,7,53.76,57000,2,2,0.1,alarm
0,RBF_I__s112__clean__none,7,32.84,57000,1,2,0.1,alarm
0,SEA_A__s112__clean__none,7,54.2,57000,1,2,0.1,alarm
0,SEA_A__s112__concept__severe,7,53.64,57000,1,2,0.1,alarm
0,SEA_A__s112__instance__moderate,7,54.04,57000,2,2,0.1,alarm
0,RBF_I__s112__splice__severe,7,31.96,57000,1,2,0.1,alarm
0,RBF_I__s112__concept__moderate,7,33.06,57000,2,2,0.1,alarm
0,SEA_A__s112__instance__severe,7,53.18,57000,2,2,0.1,alarm
0,SEA_A__s112__splice__moderate,7,53.62,57000,1,2,0.1,alarm
0,RBF_I__s112__instance__severe,7,30.62,57000,1,2,0.1,alarm
0,RBF_I__s112__concept__severe,7,32.02,57000,19,2,0.1,alarm
1,RBF_I__s112__instance__moderate,7,32.14,57000,0,2,0.1,alarm
1,SEA_A__s112__splice__severe,7,54.16,57000,27,2,0.1,alarm
1,RBF_I__s112__concept__moderate,7,32.5,57000,19,2,0.1,alarm
1,SEA_A__s112__concept__severe,7,54.02,57000,7,2,0.1,alarm
1,RBF_I__s112__splice__severe,7,32.6,57000,17,2,0.1,alarm
1,RBF_I__s112__clean__none,7,32.48,57000,1,2,0.1,alarm
1,RBF_I__s112__concept__severe,7,32.12,57000,15,2,0.1,alarm
1,SEA_A__s112__concept__moderate,7,53.54,57000,1,2,0.1,alarm
1,RBF_I__s112__instance__severe,7,31.36,57000,1,2,0.1,alarm
1,SEA_A__s112__instance__moderate,7,53.94,57000,1,2,0.1,alarm
1,RBF_I__s112__splice__moderate,7,32.36,57000,2,2,0.1,alarm
1,SEA_A__s112__clean__none,7,53.56,57000,1,2,0.1,alarm
1,SEA_A__s112__instance__severe,7,53.36,57000,3,2,0.1,alarm
1,SEA_A__s112__splice__moderate,7,53.78,57000,1,2,0.1,alarm
2,RBF_I__s112__clean__none,7,32.56,57000,8,2,0.1,alarm
2,SEA_A__s112__instance__severe,7,54.26,57000,1,2,0.1,alarm
2,RBF_I__s112__splice__severe,7,31.92,57000,1,2,0.1,alarm
2,SEA_A__s112__clean__none,7,54.28,57000,38,2,0.1,alarm
2,RBF_I__s112__instance__moderate,7,31.6,57000,31,2,0.1,alarm
2,RBF_I__s112__concept__moderate,7,32.58,57000,2,2,0.1,alarm
2,SEA_A__s112__splice__severe,7,53.66,57000,8,2,0.1,alarm
2,SEA_A__s112__concept__severe,7,53.54,57000,10,2,0.1,alarm
2,RBF_I__s112__concept__severe,7,29.82,57000,12,2,0.1,alarm
2,SEA_A__s112__splice__moderate,7,54.02,57000,35,2,0.1,alarm
2,SEA_A__s112__instance__moderate,7,54.4,57000,28,2,0.1,alarm
2,RBF_I__s112__splice__moderate,7,32.18,57000,30,2,0.1,alarm
2,RBF_I__s112__instance__severe,7,30.66,57000,24,2,0.1,alarm
2,SEA_A__s112__concept__moderate,7,54.04,57000,16,2,0.1,alarm
3,SEA_A__s112__splice__severe,7,53.92,57000,30,2,0.1,alarm
3,RBF_I__s112__splice__severe,7,31.92,57000,17,2,0.1,alarm
3,SEA_A__s112__instance__moderate,7,53.78,57000,1,2,0.1,alarm
3,RBF_I__s112__concept__moderate,7,33.28,57000,1,2,0.1,alarm
3,SEA_A__s112__clean__none,7,54.1,57000,6,2,0.1,alarm
3,SEA_A__s112__instance__severe,7,53.74,57000,5,2,0.1,alarm
3,RBF_I__s112__concept__severe,7,31.82,57000,17,2,0.1,alarm
3,SEA_A__s112__concept__severe,7,54.02,57000,8,2,0.1,alarm
3,RBF_I__s112__clean__none,7,32.72,57000,20,2,0.1,alarm
3,RBF_I__s112__instance__severe,7,30.1,57000,34,2,0.1,alarm
3,RBF_I__s112__splice__moderate,7,32.76,57000,2,2,0.1,alarm
3,RBF_I__s112__instance__moderate,7,31.74,57000,4,2,0.1,alarm
3,SEA_A__s112__concept__moderate,7,53.7,57000,27,2,0.1,alarm
3,SEA_A__s112__splice__moderate,7,54.04,57000,36,2,0.1,alarm
0,RBF_I__s112__splice__severe,17,31.46,57000,20,4,0.1,alarm_persistence
0,SEA_A__s112__splice__severe,17,54.1,57000,29,4,0.1,alarm_persistence
0,RBF_I__s112__instance__severe,17,30.06,57000,31,4,0.1,alarm_persistence
0,SEA_A__s112__concept__severe,17,54.0,57000,9,4,0.1,alarm_persistence
0,RBF_I__s112__splice__moderate,17,32.72,57000,18,4,0.1,alarm_persistence
0,RBF_I__s112__clean__none,17,32.72,57000,27,4,0.1,alarm_persistence
0,RBF_I__s112__instance__moderate,17,32.14,57000,26,4,0.1,alarm_persistence
0,SEA_A__s112__instance__moderate,17,54.34,57000,27,4,0.1,alarm_persistence
0,SEA_A__s112__clean__none,17,54.28,57000,37,4,0.1,alarm_persistence
0,RBF_I__s112__concept__moderate,17,32.660000000000004,57000,18,4,0.1,alarm_persistence
0,SEA_A__s112__instance__severe,17,54.1,57000,28,4,0.1,alarm_persistence
0,RBF_I__s112__concept__severe,17,32.04,57000,18,4,0.1,alarm_persistence
0,SEA_A__s112__splice__moderate,17,54.02,57000,35,4,0.1,alarm_persistence
0,SEA_A__s112__concept__moderate,17,54.02,57000,17,4,0.1,alarm_persistence
1,RBF_I__s112__splice__severe,17,31.76,57000,18,4,0.1,alarm_persistence
1,SEA_A__s112__instance__severe,17,54.1,57000,29,4,0.1,alarm_persistence
1,SEA_A__s112__concept__moderate,17,53.66,57000,14,4,0.1,alarm_persistence
1,RBF_I__s112__instance__moderate,17,31.38,57000,31,4,0.1,alarm_persistence
1,SEA_A__s112__clean__none,17,54.48,57000,5,4,0.1,alarm_persistence
1,SEA_A__s112__splice__moderate,17,54.14,57000,4,4,0.1,alarm_persistence
1,RBF_I__s112__splice__moderate,17,32.04,57000,6,4,0.1,alarm_persistence
1,SEA_A__s112__splice__severe,17,54.14,57000,5,4,0.1,alarm_persistence
1,RBF_I__s112__clean__none,17,32.4,57000,5,4,0.1,alarm_persistence
1,RBF_I__s112__concept__severe,17,32.58,57000,5,4,0.1,alarm_persistence
1,RBF_I__s112__concept__moderate,17,32.46,57000,6,4,0.1,alarm_persistence
1,SEA_A__s112__concept__severe,17,53.94,57000,6,4,0.1,alarm_persistence
1,RBF_I__s112__instance__severe,17,30.08,57000,33,4,0.1,alarm_persistence
1,SEA_A__s112__instance__moderate,17,54.56,57000,7,4,0.1,alarm_persistence
2,SEA_A__s112__instance__severe,17,53.66,57000,6,4,0.1,alarm_persistence
2,SEA_A__s112__clean__none,17,54.38,57000,6,4,0.1,alarm_persistence
2,RBF_I__s112__splice__severe,17,32.36,57000,4,4,0.1,alarm_persistence
2,RBF_I__s112__concept__severe,17,31.72,57000,19,4,0.1,alarm_persistence
2,RBF_I__s112__clean__none,17,32.56,57000,8,4,0.1,alarm_persistence
2,SEA_A__s112__concept__severe,17,54.0,57000,7,4,0.1,alarm_persistence
2,RBF_I__s112__concept__moderate,17,32.54,57000,21,4,0.1,alarm_persistence
2,SEA_A__s112__instance__moderate,17,54.32,57000,28,4,0.1,alarm_persistence
2,SEA_A__s112__splice__severe,17,54.1,57000,30,4,0.1,alarm_persistence
2,RBF_I__s112__splice__moderate,17,33.08,57000,15,4,0.1,alarm_persistence
2,SEA_A__s112__concept__moderate,17,53.98,57000,15,4,0.1,alarm_persistence
2,SEA_A__s112__splice__moderate,17,54.14,57000,33,4,0.1,alarm_persistence
2,RBF_I__s112__instance__severe,17,29.94,57000,32,4,0.1,alarm_persistence
2,RBF_I__s112__instance__moderate,17,31.92,57000,9,4,0.1,alarm_persistence
3,SEA_A__s112__concept__moderate,17,54.06,57000,13,4,0.1,alarm_persistence
3,SEA_A__s112__splice__severe,17,54.06,57000,31,4,0.1,alarm_persistence
3,RBF_I__s112__clean__none,17,32.84,57000,29,4,0.1,alarm_persistence
3,RBF_I__s112__splice__moderate,17,32.8,57000,17,4,0.1,alarm_persistence
3,RBF_I__s112__splice__severe,17,30.94,57000,23,4,0.1,alarm_persistence
3,RBF_I__s112__instance__severe,17,30.28,57000,33,4,0.1,alarm_persistence
3,RBF_I__s112__instance__moderate,17,32.34,57000,7,4,0.1,alarm_persistence
3,RBF_I__s112__concept__moderate,17,33.36,57000,7,4,0.1,alarm_persistence
3,RBF_I__s112__concept__severe,17,31.8,57000,0,4,0.1,alarm_persistence
3,SEA_A__s112__instance__severe,17,53.52,57000,2,4,0.1,alarm_persistence
3,SEA_A__s112__splice__moderate,17,54.24,57000,3,4,0.1,alarm_persistence
3,SEA_A__s112__clean__none,17,54.28,57000,3,4,0.1,alarm_persistence
3,SEA_A__s112__concept__severe,17,53.72,57000,5,4,0.1,alarm_persistence
3,SEA_A__s112__instance__moderate,17,54.22,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__splice__severe,27,53.56,57000,5,4,0.1,alarm_persistence
0,SEA_A__s112__clean__none,27,53.82,57000,4,4,0.1,alarm_persistence
0,RBF_I__s112__instance__severe,27,29.32,57000,3,4,0.1,alarm_persistence
0,RBF_I__s112__concept__severe,27,30.28,57000,7,4,0.1,alarm_persistence
0,SEA_A__s112__instance__moderate,27,53.72,57000,0,4,0.1,alarm_persistence
0,RBF_I__s112__instance__moderate,27,31.36,57000,6,4,0.1,alarm_persistence
0,SEA_A__s112__instance__severe,27,53.74,57000,1,4,0.1,alarm_persistence
0,RBF_I__s112__concept__moderate,27,31.2,57000,6,4,0.1,alarm_persistence
0,SEA_A__s112__splice__moderate,27,54.02,57000,1,4,0.1,alarm_persistence
0,RBF_I__s112__splice__moderate,27,32.1,57000,9,4,0.1,alarm_persistence
0,SEA_A__s112__concept__moderate,27,53.84,57000,3,4,0.1,alarm_persistence
0,SEA_A__s112__concept__severe,27,53.72,57000,5,4,0.1,alarm_persistence
0,RBF_I__s112__clean__none,27,32.38,57000,2,4,0.1,alarm_persistence
0,RBF_I__s112__splice__severe,27,33.74,57000,3,4,0.1,alarm_persistence
1,SEA_A__s112__splice__moderate,27,54.18,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__clean__none,27,54.34,57000,4,4,0.1,alarm_persistence
1,SEA_A__s112__concept__moderate,27,54.3,57000,2,4,0.1,alarm_persistence
1,RBF_I__s112__splice__severe,27,32.06,57000,5,4,0.1,alarm_persistence
1,SEA_A__s112__instance__moderate,27,53.76,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__instance__severe,27,52.98,57000,4,4,0.1,alarm_persistence
1,RBF_I__s112__concept__moderate,27,32.160000000000004,57000,14,4,0.1,alarm_persistence
1,RBF_I__s112__clean__none,27,32.42,57000,15,4,0.1,alarm_persistence
1,RBF_I__s112__instance__moderate,27,31.08,57000,17,4,0.1,alarm_persistence
1,RBF_I__s112__instance__severe,27,30.78,57000,4,4,0.1,alarm_persistence
1,SEA_A__s112__splice__severe,27,54.06,57000,23,4,0.1,alarm_persistence
1,SEA_A__s112__concept__severe,27,53.82,57000,16,4,0.1,alarm_persistence
1,RBF_I__s112__concept__severe,27,32.3,57000,14,4,0.1,alarm_persistence
1,RBF_I__s112__splice__moderate,27,32.34,57000,21,4,0.1,alarm_persistence
2,SEA_A__s112__instance__moderate,27,54.14,57000,25,4,0.1,alarm_persistence
2,SEA_A__s112__concept__severe,27,53.5,57000,14,4,0.1,alarm_persistence
2,RBF_I__s112__splice__severe,27,30.98,57000,21,4,0.1,alarm_persistence
2,SEA_A__s112__instance__severe,27,53.98,57000,28,4,0.1,alarm_persistence
2,RBF_I__s112__splice__moderate,27,32.54,57000,23,4,0.1,alarm_persistence
2,RBF_I__s112__concept__moderate,27,32.58,57000,21,4,0.1,alarm_persistence
2,SEA_A__s112__splice__severe,27,54.06,57000,22,4,0.1,alarm_persistence
2,SEA_A__s112__concept__moderate,27,54.3,57000,16,4,0.1,alarm_persistence
2,SEA_A__s112__splice__moderate,27,53.84,57000,28,4,0.1,alarm_persistence
2,RBF_I__s112__instance__moderate,27,31.88,57000,15,4,0.1,alarm_persistence
2,SEA_A__s112__clean__none,27,54.32,57000,3,4,0.1,alarm_persistence
2,RBF_I__s112__instance__severe,27,29.48,57000,4,4,0.1,alarm_persistence
2,RBF_I__s112__clean__none,27,32.18,57000,15,4,0.1,alarm_persistence
2,RBF_I__s112__concept__severe,27,30.22,57000,5,4,0.1,alarm_persistence
3,RBF_I__s112__clean__none,27,32.52,57000,19,4,0.1,alarm_persistence
3,RBF_I__s112__instance__moderate,27,32.2,57000,1,4,0.1,alarm_persistence
3,RBF_I__s112__splice__moderate,27,32.38,57000,18,4,0.1,alarm_persistence
3,SEA_A__s112__concept__severe,27,53.26,57000,16,4,0.1,alarm_persistence
3,RBF_I__s112__concept__moderate,27,32.92,57000,18,4,0.1,alarm_persistence
3,SEA_A__s112__splice__severe,27,54.02,57000,22,4,0.1,alarm_persistence
3,SEA_A__s112__clean__none,27,54.16,57000,33,4,0.1,alarm_persistence
3,RBF_I__s112__splice__severe,27,30.82,57000,20,4,0.1,alarm_persistence
3,SEA_A__s112__instance__severe,27,54.16,57000,26,4,0.1,alarm_persistence
3,RBF_I__s112__instance__severe,27,29.78,57000,20,4,0.1,alarm_persistence
3,SEA_A__s112__instance__moderate,27,54.44,57000,26,4,0.1,alarm_persistence
3,SEA_A__s112__concept__moderate,27,54.36,57000,17,4,0.1,alarm_persistence
3,SEA_A__s112__splice__moderate,27,54.08,57000,33,4,0.1,alarm_persistence
3,RBF_I__s112__concept__severe,27,31.96,57000,18,4,0.1,alarm_persistence
0,SEA_A__s112__concept__moderate,7,53.5,57000,2,4,0.1,alarm_persistence
0,RBF_I__s112__splice__moderate,7,31.22,57000,3,4,0.1,alarm_persistence
0,RBF_I__s112__instance__moderate,7,34.26,57000,0,4,0.1,alarm_persistence
0,SEA_A__s112__splice__severe,7,53.76,57000,2,4,0.1,alarm_persistence
0,RBF_I__s112__clean__none,7,32.84,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__clean__none,7,54.2,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__concept__severe,7,53.64,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__instance__moderate,7,54.04,57000,2,4,0.1,alarm_persistence
0,RBF_I__s112__splice__severe,7,31.96,57000,1,4,0.1,alarm_persistence
0,RBF_I__s112__concept__moderate,7,33.06,57000,2,4,0.1,alarm_persistence
0,SEA_A__s112__instance__severe,7,53.18,57000,2,4,0.1,alarm_persistence
0,SEA_A__s112__splice__moderate,7,53.62,57000,1,4,0.1,alarm_persistence
0,RBF_I__s112__instance__severe,7,30.62,57000,1,4,0.1,alarm_persistence
0,RBF_I__s112__concept__severe,7,33.3,57000,1,4,0.1,alarm_persistence
1,RBF_I__s112__instance__moderate,7,32.14,57000,0,4,0.1,alarm_persistence
1,SEA_A__s112__splice__severe,7,53.74,57000,3,4,0.1,alarm_persistence
1,RBF_I__s112__concept__moderate,7,34.160000000000004,57000,2,4,0.1,alarm_persistence
1,SEA_A__s112__concept__severe,7,53.9,57000,1,4,0.1,alarm_persistence
1,RBF_I__s112__splice__severe,7,34.3,57000,0,4,0.1,alarm_persistence
1,RBF_I__s112__clean__none,7,32.48,57000,1,4,0.1,alarm_persistence
1,RBF_I__s112__concept__severe,7,34.5,57000,0,4,0.1,alarm_persistence
1,SEA_A__s112__concept__moderate,7,53.54,57000,1,4,0.1,alarm_persistence
1,RBF_I__s112__instance__severe,7,31.36,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__instance__moderate,7,53.94,57000,1,4,0.1,alarm_persistence
1,RBF_I__s112__splice__moderate,7,32.36,57000,2,4,0.1,alarm_persistence
1,SEA_A__s112__clean__none,7,53.56,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__instance__severe,7,53.36,57000,3,4,0.1,alarm_persistence
1,SEA_A__s112__splice__moderate,7,53.78,57000,1,4,0.1,alarm_persistence
2,RBF_I__s112__clean__none,7,32.54,57000,2,4,0.1,alarm_persistence
2,SEA_A__s112__instance__severe,7,54.14,57000,27,4,0.1,alarm_persistence
2,RBF_I__s112__splice__severe,7,31.2,57000,17,4,0.1,alarm_persistence
2,SEA_A__s112__clean__none,7,53.56,57000,1,4,0.1,alarm_persistence
2,RBF_I__s112__instance__moderate,7,32.82,57000,1,4,0.1,alarm_persistence
2,RBF_I__s112__concept__moderate,7,32.84,57000,14,4,0.1,alarm_persistence
2,SEA_A__s112__splice__severe,7,54.0,57000,22,4,0.1,alarm_persistence
2,SEA_A__s112__concept__severe,7,53.9,57000,7,4,0.1,alarm_persistence
2,RBF_I__s112__concept__severe,7,32.12,57000,13,4,0.1,alarm_persistence
2,SEA_A__s112__splice__moderate,7,53.58,57000,2,4,0.1,alarm_persistence
2,SEA_A__s112__instance__moderate,7,53.88,57000,0,4,0.1,alarm_persistence
2,RBF_I__s112__splice__moderate,7,35.54,57000,0,4,0.1,alarm_persistence
2,RBF_I__s112__instance__severe,7,32.94,57000,1,4,0.1,alarm_persistence
2,SEA_A__s112__concept__moderate,7,53.8,57000,16,4,0.1,alarm_persistence
3,SEA_A__s112__splice__severe,7,53.9,57000,23,4,0.1,alarm_persistence
3,RBF_I__s112__splice__severe,7,31.02,57000,12,4,0.1,alarm_persistence
3,SEA_A__s112__instance__moderate,7,54.22,57000,24,4,0.1,alarm_persistence
3,RBF_I__s112__concept__moderate,7,32.660000000000004,57000,15,4,0.1,alarm_persistence
3,SEA_A__s112__clean__none,7,54.14,57000,29,4,0.1,alarm_persistence
3,SEA_A__s112__instance__severe,7,54.2,57000,21,4,0.1,alarm_persistence
3,RBF_I__s112__concept__severe,7,30.28,57000,9,4,0.1,alarm_persistence
3,SEA_A__s112__concept__severe,7,53.56,57000,0,4,0.1,alarm_persistence
3,RBF_I__s112__clean__none,7,32.84,57000,1,4,0.1,alarm_persistence
3,RBF_I__s112__instance__severe,7,30.06,57000,21,4,0.1,alarm_persistence
3,RBF_I__s112__splice__moderate,7,32.8,57000,4,4,0.1,alarm_persistence
3,RBF_I__s112__instance__moderate,7,31.96,57000,1,4,0.1,alarm_persistence
3,SEA_A__s112__concept__moderate,7,53.22,57000,7,4,0.1,alarm_persistence
3,SEA_A__s112__splice__moderate,7,53.74,57000,32,4,0.1,alarm_persistence
