epoch,condition,seed,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__concept__moderate,7,53.5,57000,2,2,0.1
0,RBF_I__s112__splice__moderate,7,31.22,57000,3,2,0.1
0,RBF_I__s112__instance__moderate,7,34.26,57000,0,2,0.1
0,SEA_A__s112__splice__severe,7,53.76,57000,2,2,0.1
0,RBF_I__s112__clean__none,7,32.84,57000,1,2,0.1
0,SEA_A__s112__clean__none,7,54.2,57000,1,2,0.1
0,SEA_A__s112__concept__severe,7,53.64,57000,1,2,0.1
0,SEA_A__s112__instance__moderate,7,54.04,57000,2,2,0.1
0,RBF_I__s112__splice__severe,7,31.96,57000,1,2,0.1
0,RBF_I__s112__concept__moderate,7,33.06,57000,2,2,0.1
0,SEA_A__s112__instance__severe,7,53.18,57000,2,2,0.1
0,SEA_A__s112__splice__moderate,7,53.62,57000,1,2,0.1
0,RBF_I__s112__instance__severe,7,30.62,57000,1,2,0.1
0,RBF_I__s112__concept__severe,7,32.02,57000,19,2,0.1
1,RBF_I__s112__instance__moderate,7,32.14,57000,0,2,0.1
1,SEA_A__s112__splice__severe,7,54.16,57000,27,2,0.1
1,RBF_I__s112__concept__moderate,7,32.5,57000,19,2,0.1
1,SEA_A__s112__concept__severe,7,54.019999999999996,57000,7,2,0.1
1,RBF_I__s112__splice__severe,7,32.6,57000,17,2,0.1
1,RBF_I__s112__clean__none,7,32.48,57000,1,2,0.1
1,RBF_I__s112__concept__severe,7,32.12,57000,15,2,0.1
1,SEA_A__s112__concept__moderate,7,53.54,57000,1,2,0.1
1,RBF_I__s112__instance__severe,7,31.36,57000,1,2,0.1
1,SEA_A__s112__instance__moderate,7,53.94,57000,1,2,0.1
1,RBF_I__s112__splice__moderate,7,32.36,57000,2,2,0.1
1,SEA_A__s112__clean__none,7,53.56,57000,1,2,0.1
1,SEA_A__s112__instance__severe,7,53.36,57000,3,2,0.1
1,SEA_A__s112__splice__moderate,7,53.78,57000,1,2,0.1
2,RBF_I__s112__clean__none,7,32.56,57000,8,2,0.1
2,SEA_A__s112__instance__severe,7,54.26,57000,1,2,0.1
2,RBF_I__s112__splice__severe,7,31.92,57000,1,2,0.1
2,SEA_A__s112__clean__none,7,54.28,57000,38,2,0.1
2,RBF_I__s112__instance__moderate,7,31.6,57000,31,2,0.1
2,RBF_I__s112__concept__moderate,7,32.58,57000,2,2,0.1
2,SEA_A__s112__splice__severe,7,53.66,57000,8,2,0.1
2,SEA_A__s112__concept__severe,7,53.54,57000,10,2,0.1
2,RBF_I__s112__concept__severe,7,29.82,57000,12,2,0.1
2,SEA_A__s112__splice__moderate,7,54.02,57000,35,2,0.1
2,SEA_A__s112__instance__moderate,7,54.4,57000,28,2,0.1
2,RBF_I__s112__splice__moderate,7,32.18,57000,30,2,0.1
2,RBF_I__s112__instance__severe,7,30.66,57000,24,2,0.1
2,SEA_A__s112__concept__moderate,7,54.04,57000,16,2,0.1
3,SEA_A__s112__splice__severe,7,53.92,57000,30,2,0.1
3,RBF_I__s112__splice__severe,7,31.92,57000,17,2,0.1
3,SEA_A__s112__instance__moderate,7,53.78,57000,1,2,0.1
3,RBF_I__s112__concept__moderate,7,33.28,57000,1,2,0.1
3,SEA_A__s112__clean__none,7,54.1,57000,6,2,0.1
3,SEA_A__s112__instance__severe,7,53.74,57000,5,2,0.1
3,RBF_I__s112__concept__severe,7,31.82,57000,17,2,0.1
3,SEA_A__s112__concept__severe,7,54.02,57000,8,2,0.1
3,RBF_I__s112__clean__none,7,32.72,57000,20,2,0.1
3,RBF_I__s112__instance__severe,7,30.1,57000,34,2,0.1
3,RBF_I__s112__splice__moderate,7,32.76,57000,2,2,0.1
3,RBF_I__s112__instance__moderate,7,31.740000000000002,57000,4,2,0.1
3,SEA_A__s112__concept__moderate,7,53.7,57000,27,2,0.1
3,SEA_A__s112__splice__moderate,7,54.04,57000,36,2,0.1
