condition,dataset,base_key,attack_seed,mode,level,series,category,source_run,rows,audit_rows,policy,learner_resets,events_path,alarm_rate,alarm_blocks,monitored_blocks,poison_exposed_blocks,poison_alarm_blocks,poison_alarm_rate,unexposed_blocks,unexposed_alarm_blocks,unexposed_alarm_rate,event_recall,detected_events,scheduled_events,detection_delay,seconds_per_100k
radar__instance__severe__a0,RADAR,radar,0.0,instance,severe,hellinger,2,radar__instance__severe__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/severe/radar__instance__severe__a0/hellinger/alarms.parquet,0.06198347107438017,30,484,484,30,0.06198347107438017,0,0,,,,,,0.442647306833987
radar__instance__severe__a1,RADAR,radar,1.0,instance,severe,adwin,2,radar__instance__severe__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/severe/radar__instance__severe__a1/adwin/alarms.parquet,0.6694214876033058,324,484,484,324,0.6694214876033058,0,0,,,,,,0.1397498522290352
radar__instance__severe__a1,RADAR,radar,1.0,instance,severe,d3_oof,2,radar__instance__severe__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/severe/radar__instance__severe__a1/d3_oof/alarms.parquet,0.024793388429752067,12,484,484,12,0.024793388429752067,0,0,,,,,,16.81439937407628
radar__instance__severe__a1,RADAR,radar,1.0,instance,severe,hddm_w,2,radar__instance__severe__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/severe/radar__instance__severe__a1/hddm_w/alarms.parquet,0.5847107438016529,283,484,484,283,0.5847107438016529,0,0,,,,,,0.9208624180956242
radar__instance__severe__a1,RADAR,radar,1.0,instance,severe,hellinger,2,radar__instance__severe__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/severe/radar__instance__severe__a1/hellinger/alarms.parquet,0.06198347107438017,30,484,484,30,0.06198347107438017,0,0,,,,,,0.49235854181088556
radar__instance__severe__a2,RADAR,radar,2.0,instance,severe,adwin,2,radar__instance__severe__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/severe/radar__instance__severe__a2/adwin/alarms.parquet,0.6342975206611571,307,484,484,307,0.6342975206611571,0,0,,,,,,0.10237287916122807
radar__instance__severe__a2,RADAR,radar,2.0,instance,severe,d3_oof,2,radar__instance__severe__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/severe/radar__instance__severe__a2/d3_oof/alarms.parquet,0.024793388429752067,12,484,484,12,0.024793388429752067,0,0,,,,,,16.91948289207414
radar__instance__severe__a2,RADAR,radar,2.0,instance,severe,hddm_w,2,radar__instance__severe__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/severe/radar__instance__severe__a2/hddm_w/alarms.parquet,0.6033057851239669,292,484,484,292,0.6033057851239669,0,0,,,,,,0.9584758834335463
radar__instance__severe__a2,RADAR,radar,2.0,instance,severe,hellinger,2,radar__instance__severe__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/instance/severe/radar__instance__severe__a2/hellinger/alarms.parquet,0.06198347107438017,30,484,484,30,0.06198347107438017,0,0,,,,,,0.41281390800373624
radar__concept__moderate__a0,RADAR,radar,0.0,concept,moderate,adwin,3,radar__concept__moderate__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/moderate/radar__concept__moderate__a0/adwin/alarms.parquet,0.859504132231405,416,484,282,275,0.975177304964539,47,30,0.6382978723404256,,,,,0.09550121522846776
