dataset,category,mode,level,series,metric,mean,sd,defined,runs
RADAR,3,concept,moderate,d3_oof,poison_alarm_rate,0.026436540961154293,0.007918745496190236,3,3
RADAR,3,concept,moderate,d3_oof,seconds_per_100k,13.593511919328781,0.45685453906495027,3,3
RADAR,3,concept,moderate,d3_oof,unexposed_alarm_rate,0.04088443888193575,0.018829009756189834,3,3
RADAR,3,concept,moderate,hddm_w,alarm_rate,0.7224517906336088,0.006312087734098899,3,3
RADAR,3,concept,moderate,hddm_w,detection_delay,,,0,3
RADAR,3,concept,moderate,hddm_w,event_recall,,,0,3
RADAR,3,concept,moderate,hddm_w,poison_alarm_rate,0.8482025245784373,0.03448805192733839,3,3
RADAR,3,concept,moderate,hddm_w,seconds_per_100k,1.8279479172637416,0.03397789666032788,3,3
RADAR,3,concept,moderate,hddm_w,unexposed_alarm_rate,0.5338617716590183,0.1305567864157013,3,3
RADAR,3,concept,moderate,hellinger,alarm_rate,0.06336088154269973,0.006312087734098954,3,3
RADAR,3,concept,moderate,hellinger,detection_delay,,,0,3
RADAR,3,concept,moderate,hellinger,event_recall,,,0,3
RADAR,3,concept,moderate,hellinger,poison_alarm_rate,0.04918304502193958,0.011903865014862167,3,3
RADAR,3,concept,moderate,hellinger,seconds_per_100k,0.4314584471350537,0.04728740680323369,3,3
RADAR,3,concept,moderate,hellinger,unexposed_alarm_rate,0.0686969823390349,0.022885853513748527,3,3
RADAR,4,concept,severe,adwin,alarm_rate,0.9090909090909091,0.01446280991735538,3,3
RADAR,4,concept,severe,adwin,detection_delay,,,0,3
RADAR,4,concept,severe,adwin,event_recall,,,0,3
RADAR,4,concept,severe,adwin,poison_alarm_rate,0.9660905083336698,0.011036494810173329,3,3
RADAR,4,concept,severe,adwin,seconds_per_100k,0.14084046244712511,0.0031762138445958765,3,3
RADAR,4,concept,severe,adwin,unexposed_alarm_rate,0.5555555555555556,0.25458753860865785,3,3
RADAR,4,concept,severe,d3_oof,alarm_rate,0.03236914600550964,0.005199610492610711,3,3
RADAR,4,concept,severe,d3_oof,detection_delay,,,0,3
RADAR,4,concept,severe,d3_oof,event_recall,,,0,3
RADAR,4,concept,severe,d3_oof,poison_alarm_rate,0.032946563202606464,0.004415300425671538,3,3
RADAR,4,concept,severe,d3_oof,seconds_per_100k,10.663977956680604,0.3576803681224403,3,3
RADAR,4,concept,severe,d3_oof,unexposed_alarm_rate,0.08333333333333333,0.14433756729740646,3,3
RADAR,4,concept,severe,hddm_w,alarm_rate,0.7672176308539944,0.021702412199158045,3,3
RADAR,4,concept,severe,hddm_w,detection_delay,,,0,3
RADAR,4,concept,severe,hddm_w,event_recall,,,0,3
RADAR,4,concept,severe,hddm_w,poison_alarm_rate,0.8275188441576801,0.015019672451185238,3,3
RADAR,4,concept,severe,hddm_w,seconds_per_100k,1.914340526511478,0.029920678839361673,3,3
RADAR,4,concept,severe,hddm_w,unexposed_alarm_rate,0.4444444444444444,0.25458753860865774,3,3
RADAR,4,concept,severe,hellinger,alarm_rate,0.06198347107438016,0.00413223140495868,3,3
RADAR,4,concept,severe,hellinger,detection_delay,,,0,3
RADAR,4,concept,severe,hellinger,event_recall,,,0,3
RADAR,4,concept,severe,hellinger,poison_alarm_rate,0.04410748784953619,0.007254999310364652,3,3
