dataset,series,category,mode,level,profile,metric,mean,sd,defined,realizations
RADAR,adwin,3,concept,moderate,confirmed_unscreened,accuracy,0.6906130298574373,0.0042092403935426,3,3
RADAR,adwin,3,concept,moderate,confirmed_unscreened,macro_f1,0.5649413061527832,0.0150134692978622,3,3
RADAR,adwin,3,concept,moderate,confirmed_unscreened,macro_recall,0.5642786287818391,0.01649353785428,3,3
RADAR,adwin,3,concept,moderate,confirmed_unscreened,roc_auc,0.903974176040282,0.005123002612919,3,3
RADAR,adwin,3,concept,moderate,immediate_screened,accuracy,0.6435643009398445,0.0037608246782395,3,3
RADAR,adwin,3,concept,moderate,immediate_screened,macro_f1,0.5144567082441599,0.0169247590556415,3,3
RADAR,adwin,3,concept,moderate,immediate_screened,macro_recall,0.5266966555185012,0.0193748250549514,3,3
RADAR,adwin,3,concept,moderate,immediate_screened,roc_auc,0.828940070872906,0.0037213334217535,3,3
RADAR,adwin,3,concept,moderate,immediate_unscreened,accuracy,0.7050847547787842,0.0124386817188601,3,3
RADAR,adwin,3,concept,moderate,immediate_unscreened,macro_f1,0.6525508369950535,0.0042650663544056,3,3
RADAR,adwin,3,concept,moderate,immediate_unscreened,macro_recall,0.6833538179330773,0.0069876931241269,3,3
RADAR,adwin,3,concept,moderate,immediate_unscreened,roc_auc,0.837981045030013,0.0065178485060572,3,3
RADAR,adwin,4,concept,severe,confirmed_screened,accuracy,0.6422432538691353,0.0135303639160763,3,3
RADAR,adwin,4,concept,severe,confirmed_screened,macro_f1,0.4892433057264911,0.0181419863588733,3,3
RADAR,adwin,4,concept,severe,confirmed_screened,macro_recall,0.493115411909659,0.0146693600936078,3,3
RADAR,adwin,4,concept,severe,confirmed_screened,roc_auc,0.8807695183840788,0.0100384259102879,3,3
RADAR,adwin,4,concept,severe,confirmed_unscreened,accuracy,0.6496574694895851,0.0126529181398437,3,3
RADAR,adwin,4,concept,severe,confirmed_unscreened,macro_f1,0.5030487004807391,0.0100093301156394,3,3
RADAR,adwin,4,concept,severe,confirmed_unscreened,macro_recall,0.5096060341323733,0.0061371911097034,3,3
RADAR,adwin,4,concept,severe,confirmed_unscreened,roc_auc,0.8944983759618444,0.0077413906740698,3,3
RADAR,adwin,4,concept,severe,immediate_screened,accuracy,0.6091185303688725,0.0066619620605581,3,3
RADAR,adwin,4,concept,severe,immediate_screened,macro_f1,0.4708369729385957,0.0084798116250037,3,3
RADAR,adwin,4,concept,severe,immediate_screened,macro_recall,0.4885870307109531,0.0038545488329062,3,3
RADAR,adwin,4,concept,severe,immediate_screened,roc_auc,0.8373494687212549,0.0050392722224531,3,3
RADAR,adwin,4,concept,severe,immediate_unscreened,accuracy,0.6913585177117348,0.0065298507287007,3,3
RADAR,adwin,4,concept,severe,immediate_unscreened,macro_f1,0.6289994780224046,0.0069874951821015,3,3
RADAR,adwin,4,concept,severe,immediate_unscreened,macro_recall,0.661892317413341,0.0053966467450962,3,3
RADAR,adwin,4,concept,severe,immediate_unscreened,roc_auc,0.8451906561627235,0.0038748263360656,3,3
RADAR,adwin,5,splice,moderate,confirmed_screened,accuracy,0.6444198520905631,0.0127343333750835,3,3
RADAR,adwin,5,splice,moderate,confirmed_screened,macro_f1,0.5116848032816823,0.0083568204655372,3,3
RADAR,adwin,5,splice,moderate,confirmed_screened,macro_recall,0.5003591869565546,0.0085545186864262,3,3
RADAR,adwin,5,splice,moderate,confirmed_screened,roc_auc,0.854552088173608,0.0178006990849723,3,3
RADAR,adwin,5,splice,moderate,confirmed_unscreened,accuracy,0.6484070949269743,0.0217810627425598,3,3
RADAR,adwin,5,splice,moderate,confirmed_unscreened,macro_f1,0.53944759741722,0.030700705294023,3,3
RADAR,adwin,5,splice,moderate,confirmed_unscreened,macro_recall,0.52986573943148,0.0355603502606294,3,3
RADAR,adwin,5,splice,moderate,confirmed_unscreened,roc_auc,0.8377105298052694,0.0215109980132965,3,3
RADAR,adwin,5,splice,moderate,immediate_screened,accuracy,0.5921055194840719,0.0160147058843475,3,3
RADAR,adwin,5,splice,moderate,immediate_screened,macro_f1,0.4717926197251277,0.0193629923732411,3,3
RADAR,adwin,5,splice,moderate,immediate_screened,macro_recall,0.45900468742891,0.0268641777349112,3,3
RADAR,adwin,5,splice,moderate,immediate_screened,roc_auc,0.7443755465533407,0.0108005194907067,3,3
RADAR,adwin,5,splice,moderate,immediate_unscreened,accuracy,0.6702492856879857,0.0200020836581929,3,3
RADAR,adwin,5,splice,moderate,immediate_unscreened,macro_f1,0.6339056690431325,0.0153081245180726,3,3
RADAR,adwin,5,splice,moderate,immediate_unscreened,macro_recall,0.6476221328881717,0.0141742699612154,3,3
RADAR,adwin,5,splice,moderate,immediate_unscreened,roc_auc,0.7700876073398112,0.0190363193911702,3,3
RADAR,adwin,6,splice,severe,confirmed_screened,accuracy,0.6165198926444092,0.01704721041572,3,3
RADAR,adwin,6,splice,severe,confirmed_screened,macro_f1,0.4719025768094608,0.0289935692162055,3,3
RADAR,adwin,6,splice,severe,confirmed_screened,macro_recall,0.4599822181093003,0.0289053719623393,3,3
RADAR,adwin,6,splice,severe,confirmed_screened,roc_auc,0.8218624803026606,0.0241865783411986,3,3
RADAR,adwin,6,splice,severe,confirmed_unscreened,accuracy,0.6460720168068963,0.0230633380980979,3,3
RADAR,adwin,6,splice,severe,confirmed_unscreened,macro_f1,0.5202880055957922,0.039475545080204,3,3
RADAR,adwin,6,splice,severe,confirmed_unscreened,macro_recall,0.5026644879622434,0.0369873382091449,3,3
RADAR,adwin,6,splice,severe,confirmed_unscreened,roc_auc,0.8233943828536466,0.0061602433044192,3,3
RADAR,adwin,6,splice,severe,immediate_screened,accuracy,0.5910163518049639,0.0246724420291798,3,3
RADAR,adwin,6,splice,severe,immediate_screened,macro_f1,0.4696195259883822,0.0167615600931878,3,3
RADAR,adwin,6,splice,severe,immediate_screened,macro_recall,0.4598543676957298,0.0189999891119176,3,3
RADAR,adwin,6,splice,severe,immediate_screened,roc_auc,0.7453945586921972,0.010772706415169,3,3
RADAR,adwin,6,splice,severe,immediate_unscreened,accuracy,0.646908327010621,0.0128737834480409,3,3
