rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,condition,stream,mode,level,base_seed,arm,detector,feedback_fraction,delay_blocks,no_feedback_blocks,status,host_macro_f1_reference,host_accuracy_reference,poison_admission_rate_reference,clean_withhold_rate_reference,resets_reference,training_visits_reference,seconds_reference,malicious_recall_reference,benign_fpr_reference,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,seconds_difference,malicious_recall_difference,benign_fpr_difference
60000,57000,38000,6650,7,2.575400042012916,False,3000,rl,True,41836,0.5115689836504446,0.504456327350451,14214,4551,0.3201772899957788,41836,9337,0.22318099244669662,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,error_rule,adwin,0.05,1,0,complete,0.542233253446572,0.5457022659910126,0.5818207401153792,0.2439525767281767,1,64600,2.9345597920037108,,,-0.037776926096121044,-0.034133282340568005,-0.2616434501196004,-0.02077158428148007,6,-7600,-0.3591597499907948,,
60000,57000,39900,0,0,2.8922504169895547,False,3000,rl,True,41836,0.5409694999521942,0.5391931298920223,14214,8626,0.6068664696777825,41836,11512,0.27516971029735154,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,selected_map,adwin,0.05,1,0,complete,0.542233253446572,0.5457022659910126,0.5818207401153792,0.2439525767281767,1,64600,2.9345597920037108,,,-0.003040123554549745,-0.004732766038818337,0.02504572956240325,0.031217133569174854,-1,-7600,-0.0423093750141561,,
60000,57000,35150,20900,22,2.5271416249888716,False,3000,rl,True,41836,0.5196481499187303,0.5143637390663993,14214,7789,0.5479808639369635,41836,15425,0.36870159671096664,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,q_alarm_7,adwin,0.05,1,0,complete,0.542233253446572,0.5457022659910126,0.5818207401153792,0.2439525767281767,1,64600,2.9345597920037108,,,-0.02786951438017271,-0.026054116072282252,-0.03383987617841566,0.12474901998278995,21,-7600,-0.4074181670148391,,
60000,57000,39900,0,0,2.8657509589975234,False,3000,rl,True,41836,0.5409694999521942,0.5391931298920223,14214,8626,0.6068664696777825,41836,11512,0.27516971029735154,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,q_alarm_17,adwin,0.05,1,0,complete,0.542233253446572,0.5457022659910126,0.5818207401153792,0.2439525767281767,1,64600,2.9345597920037108,,,-0.003040123554549745,-0.004732766038818337,0.02504572956240325,0.031217133569174854,-1,-7600,-0.06880883300618734,,
60000,57000,39900,0,0,2.8395917499874486,False,3000,rl,True,41836,0.5409694999521942,0.5391931298920223,14214,8626,0.6068664696777825,41836,11512,0.27516971029735154,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,q_alarm_27,adwin,0.05,1,0,complete,0.542233253446572,0.5457022659910126,0.5818207401153792,0.2439525767281767,1,64600,2.9345597920037108,,,-0.003040123554549745,-0.004732766038818337,0.02504572956240325,0.031217133569174854,-1,-7600,-0.09496804201626219,,
60000,57000,36100,25650,27,2.345052165997913,False,3000,rl,True,47507,0.5216704906645336,0.5168966242078818,8543,3623,0.4240898981622381,47507,15980,0.3363714820973751,,,RBF_I__s117__splice__moderate,RBF_I,splice,moderate,117.0,q_alarm_persistence_37,d3_oof,0.05,1,0,complete,0.5419767450037329,0.5423832277348601,0.7717429474423505,0.17892100111562506,0,57000,3.0167992079950636,,,-0.02508012079585109,-0.020712737070326503,-0.3476530492801124,0.15745048098175005,27,0,-0.6717470419971505,,
60000,57000,46550,0,0,2.8043725839816034,False,3000,rl,True,47507,0.5423832277348601,0.5419767450037329,8543,6593,0.7717429474423505,47507,8500,0.17892100111562506,,,RBF_I__s117__splice__moderate,RBF_I,splice,moderate,117.0,q_alarm_37,d3_oof,0.05,1,0,complete,0.5419767450037329,0.5423832277348601,0.7717429474423505,0.17892100111562506,0,57000,3.0167992079950636,,,0.0,0.0,0.0,0.0,0,0,-0.21242662401346024,,
60000,57000,32300,20900,22,2.551952916997834,False,3000,rl,True,41836,0.5177120183573956,0.5115381075620729,14214,5083,0.35760517799352753,41836,15569,0.3721436083755617,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,q_alarm_persistence_7,adwin,0.05,1,0,complete,0.542233253446572,0.5457022659910126,0.5818207401153792,0.2439525767281767,1,64600,2.9345597920037108,,,-0.030695145884499175,-0.027990247633617016,-0.22421556212185167,0.12819103164738502,21,-7600,-0.38260687500587665,,
60000,57000,34200,3800,4,2.6458280829974683,False,3000,rl,True,41836,0.5317908021799407,0.5289968741411759,14214,6398,0.45011960039397775,41836,14984,0.3581604359881442,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,q_alarm_persistence_17,adwin,0.05,1,0,complete,0.542233253446572,0.5457022659910126,0.5818207401153792,0.2439525767281767,1,64600,2.9345597920037108,,,-0.013236379305396118,-0.013911463811071889,-0.13170113972140146,0.11420785925996749,3,-7600,-0.28873170900624245,,
60000,57000,39900,0,0,2.874064082992845,False,3000,rl,True,41836,0.5409694999521942,0.5391931298920223,14214,8626,0.6068664696777825,41836,11512,0.27516971029735154,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,q_alarm_persistence_27,adwin,0.05,1,0,complete,0.542233253446572,0.5457022659910126,0.5818207401153792,0.2439525767281767,1,64600,2.9345597920037108,,,-0.003040123554549745,-0.004732766038818337,0.02504572956240325,0.031217133569174854,-1,-7600,-0.06049570901086554,,
