stream,repetition,input_seed,mode,level,condition,shared_clean_reference,within_dataset_weight,dataset_weight,input_rows,base_seed,attack_seed,attack_assignment,base_key,alarm_rate,alarm_blocks,monitored_blocks,poison_exposed_blocks,poison_alarm_blocks,poison_alarm_rate,unexposed_blocks,unexposed_alarm_blocks,unexposed_alarm_rate,event_recall,detected_events,scheduled_events,detection_delay,seconds_per_100k,detector,learner_resets,status,folder
SEA_A,1,115,concept,moderate,SEA_A__s115__concept__moderate,False,0.02857142857142857,0.3333333333333333,60000,115.0,2983410498.0,,SEA_A__s115,0.0338983050847457,2,59,33,2,0.0606060606060606,2,0,0.0,0.3333333333333333,1.0,3.0,4.18,0.007960131818739,hellinger,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hellinger/SEA_A__s115__concept__moderate
SEA_A,1,115,concept,severe,SEA_A__s115__concept__severe,False,0.02857142857142857,0.3333333333333333,60000,115.0,3074832534.0,,SEA_A__s115,0.7457627118644068,44,59,44,42,0.9545454545454546,0,0,,1.0,3.0,3.0,0.18,0.013201590142368,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s115__concept__severe
SEA_A,1,115,concept,severe,SEA_A__s115__concept__severe,False,0.02857142857142857,0.3333333333333333,60000,115.0,3074832534.0,,SEA_A__s115,0.0338983050847457,2,59,44,2,0.0454545454545454,0,0,,0.6666666666666666,2.0,3.0,10.18,0.1332621468463912,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/d3_oof/SEA_A__s115__concept__severe
SEA_A,1,115,concept,severe,SEA_A__s115__concept__severe,False,0.02857142857142857,0.3333333333333333,60000,115.0,3074832534.0,,SEA_A__s115,0.6440677966101694,38,59,44,38,0.8636363636363636,0,0,,1.0,3.0,3.0,0.18,0.1390495832796053,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hddm_w/SEA_A__s115__concept__severe
SEA_A,1,115,concept,severe,SEA_A__s115__concept__severe,False,0.02857142857142857,0.3333333333333333,60000,115.0,3074832534.0,,SEA_A__s115,0.0677966101694915,4,59,44,4,0.0909090909090909,0,0,,0.6666666666666666,2.0,3.0,5.68,0.0077900100829234,hellinger,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hellinger/SEA_A__s115__concept__severe
SEA_A,1,115,splice,moderate,SEA_A__s115__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000,115.0,1669518770.0,,SEA_A__s115,0.0677966101694915,4,59,37,4,0.1081081081081081,1,0,0.0,1.0,3.0,3.0,5.513333333333333,0.0130063947775245,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s115__splice__moderate
SEA_A,1,115,splice,moderate,SEA_A__s115__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000,115.0,1669518770.0,,SEA_A__s115,0.0169491525423728,1,59,37,1,0.027027027027027,1,0,0.0,0.3333333333333333,1.0,3.0,18.18,0.1358438115858007,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/d3_oof/SEA_A__s115__splice__moderate
SEA_A,1,115,splice,moderate,SEA_A__s115__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000,115.0,1669518770.0,,SEA_A__s115,0.0,0,59,37,0,0.0,1,0,0.0,0.0,0.0,3.0,,0.0870359015728657,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hddm_w/SEA_A__s115__splice__moderate
SEA_A,1,115,splice,moderate,SEA_A__s115__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000,115.0,1669518770.0,,SEA_A__s115,0.0847457627118644,5,59,37,4,0.1081081081081081,1,0,0.0,1.0,3.0,3.0,3.513333333333333,0.0076269517497469,hellinger,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hellinger/SEA_A__s115__splice__moderate
SEA_A,1,115,splice,severe,SEA_A__s115__splice__severe,False,0.02857142857142857,0.3333333333333333,60000,115.0,3823887799.0,,SEA_A__s115,0.0847457627118644,5,59,57,5,0.087719298245614,0,0,,1.0,3.0,3.0,5.846666666666667,0.0136592282797209,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s115__splice__severe
