stream,detector,filter,filter_seed,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,malicious_recall,benign_fpr
RBF_I,adwin,learned_features,7.0,0.5290003996013757,0.5327996655944258,0.6229062752653465,0.29533841974720915,1.9142857142857144,59967.02857142857,,
RBF_I,adwin,learned_features,17.0,0.5256251582603904,0.5300111060906648,0.6467852083911363,0.2987190510787956,2.0,60526.857142857145,,
RBF_I,adwin,learned_features,27.0,0.5281066360897358,0.5335012504819082,0.635179101273961,0.2875943578242591,1.742857142857143,61294.45714285714,,
RBF_I,adwin,learned_features,37.0,0.5268156343091742,0.5315505089685375,0.6439333189963478,0.2917485790147004,1.8571428571428572,60884.42857142857,,
RBF_I,adwin,learned_features,47.0,0.526638818732604,0.5321288891451099,0.6408572092563144,0.2800201551194097,1.7428571428571427,60950.37142857142,,
RBF_I,adwin,learned_features_label,7.0,0.5260199010380713,0.5324107977015392,0.6447665609153146,0.29735237887362204,2.0285714285714285,60597.37142857142,,
RBF_I,adwin,learned_features_label,17.0,0.525483535019419,0.5316080664692302,0.6305199607992545,0.29180984401536236,1.9714285714285715,60436.17142857143,,
RBF_I,adwin,learned_features_label,27.0,0.5182030977525244,0.5246300648527727,0.6151058733570793,0.284127296870852,2.2,61165.37142857142,,
RBF_I,adwin,learned_features_label,37.0,0.5237707978937381,0.529768501545571,0.6660753973764912,0.2855179985756923,1.9714285714285715,61209.74285714286,,
RBF_I,adwin,learned_features_label,47.0,0.522606772871813,0.5285596079289432,0.6396324742371565,0.29491484191429723,1.7714285714285716,60317.05714285715,,
RBF_I,adwin,none,,0.5366254227865485,0.5418073921093597,0.6552639167369908,0.25439378173618854,1.7142857142857142,64057.142857142855,,
RBF_I,adwin,oracle_blocks,,0.4663256260800934,0.474669408106329,0.0,0.5945803735172327,0.2857142857142857,26627.14285714286,,
RBF_I,adwin,oracle_rows,,0.5324727675182964,0.5379543084143599,0.0,0.22763892036920777,2.0571428571428574,52834.02857142857,,
RBF_I,adwin,random_blocks,7.0,0.4488450174032466,0.45775732986946266,0.2114638488425968,0.6600107200937915,0.31428571428571433,26681.428571428572,,
RBF_I,adwin,random_blocks,17.0,0.4522935183432883,0.4612849756615948,0.24227869390605972,0.6489250525758605,0.2857142857142857,26627.14285714286,,
RBF_I,adwin,random_blocks,27.0,0.4538325539151454,0.462540027063263,0.23924938583729405,0.6488564377531391,0.2857142857142857,26627.14285714286,,
RBF_I,adwin,random_blocks,37.0,0.44763916587247105,0.4567677508989843,0.24318411535926512,0.6592898349710415,0.2857142857142857,26627.14285714286,,
RBF_I,adwin,random_blocks,47.0,0.45074463850958313,0.4598507137014613,0.20708953933150367,0.6679254291804344,0.2857142857142857,26627.14285714286,,
RBF_I,adwin,random_rows,7.0,0.5220948960791546,0.5276130977134701,0.5449451968470638,0.389183615713289,1.8571428571428572,53103.74285714286,,
RBF_I,adwin,random_rows,17.0,0.5182978354782073,0.5239968526277734,0.5462061185808289,0.389418506299572,1.9142857142857144,53015.114285714284,,
RBF_I,adwin,random_rows,27.0,0.5201285089958673,0.5259344460304665,0.5429485487123774,0.390611517877737,2.257142857142857,52828.71428571428,,
RBF_I,adwin,random_rows,37.0,0.5203078527193713,0.5264380084659536,0.5588403930836654,0.3764217163094589,2.0,52735.25714285714,,
RBF_I,adwin,random_rows,47.0,0.5173834685875491,0.5236573229661559,0.5509363009393603,0.3884067618752125,2.085714285714286,52535.0,,
RBF_I,d3_oof,learned_features,7.0,0.5323066118886967,0.5359152619907123,0.6609560066181684,0.27428084174801215,0.37142857142857144,54559.485714285714,,
RBF_I,d3_oof,learned_features,17.0,0.5360626270058387,0.5400217081652514,0.6704299183836376,0.2708146161451413,0.39999999999999997,54843.857142857145,,
RBF_I,d3_oof,learned_features,27.0,0.5360512345688284,0.5405922584523861,0.6668924581028186,0.2599960568140371,0.2285714285714286,55223.114285714284,,
RBF_I,d3_oof,learned_features,37.0,0.5319098789011573,0.5362690572908441,0.6528619647535897,0.28078763274739293,0.5142857142857143,55351.34285714286,,
RBF_I,d3_oof,learned_features,47.0,0.5311334847408792,0.535979270994451,0.6611408951084797,0.2832569337031992,0.2857142857142857,55313.857142857145,,
RBF_I,d3_oof,learned_features_label,7.0,0.5334892589018329,0.5388265442892607,0.6729961660335712,0.27673498587223266,0.42857142857142855,55213.62857142858,,
RBF_I,d3_oof,learned_features_label,17.0,0.5241422175108087,0.5296987499623297,0.6755335089305495,0.28569538519765114,0.4,55053.6,,
RBF_I,d3_oof,learned_features_label,27.0,0.5318352011562048,0.5370243933239799,0.6730616363710022,0.2635100210157152,0.2285714285714286,55066.4,,
RBF_I,d3_oof,learned_features_label,37.0,0.5306233890132331,0.5360437222589945,0.6886631428181841,0.26042367743226097,0.37142857142857144,55568.22857142857,,
RBF_I,d3_oof,learned_features_label,47.0,0.5291095760877201,0.534175329869533,0.6660145631012445,0.29161447381515276,0.4571428571428572,55181.6,,
RBF_I,d3_oof,none,,0.5427351285105159,0.5470164557477768,0.6953901875392953,0.2354406487115565,0.34285714285714286,58085.71428571428,,
RBF_I,d3_oof,oracle_blocks,,0.4679234135277333,0.47585661340771807,0.0,0.5911905430087581,0.028571428571428574,25758.571428571428,,
