stream,repetition,input_seed,mode,level,condition,shared_clean_reference,within_dataset_weight,dataset_weight,input_rows,base_seed,attack_seed,attack_assignment,base_key,filter_rows_withheld,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,filter_poison_recall,filter_legitimate_rejection,detector,filter,filter_seed,status,folder
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,,,58900,,,1,0.8489456249953946,,,confirmed,True,56050,0.9085459411239964,0.9010489231629448,0,0,,56050,7600,0.135593220338983,,,,0.0,adwin,none,,complete,results/per_dataset_study/filters/runs/SEA_A/adwin/SEA_A__s115__clean__none/none
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,0.0,60000.0,58900,51300.0,2850.0,1,0.7957554170279764,False,3000.0,confirmed,True,56050,0.9085459411239964,0.9010489231629448,0,0,,56050,7600,0.135593220338983,,,,0.0,adwin,oracle_blocks,,complete,results/per_dataset_study/filters/runs/SEA_A/adwin/SEA_A__s115__clean__none/oracle_blocks
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,0.0,60000.0,58900,51300.0,2850.0,1,0.7883797090034932,False,3000.0,confirmed,True,56050,0.9085459411239964,0.9010489231629448,0,0,,56050,7600,0.135593220338983,,,,0.0,adwin,oracle_rows,,complete,results/per_dataset_study/filters/runs/SEA_A/adwin/SEA_A__s115__clean__none/oracle_rows
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,0.0,60000.0,58900,51300.0,2850.0,1,0.8059015000180807,False,3000.0,confirmed,True,56050,0.9085459411239964,0.9010489231629448,0,0,,56050,7600,0.135593220338983,,,,0.0,adwin,random_blocks,17.0,complete,results/per_dataset_study/filters/runs/SEA_A/adwin/SEA_A__s115__clean__none/random_blocks_seed_17
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,0.0,60000.0,58900,51300.0,2850.0,1,0.7985197920061182,False,3000.0,confirmed,True,56050,0.9085459411239964,0.9010489231629448,0,0,,56050,7600,0.135593220338983,,,,0.0,adwin,random_blocks,27.0,complete,results/per_dataset_study/filters/runs/SEA_A/adwin/SEA_A__s115__clean__none/random_blocks_seed_27
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,0.0,60000.0,58900,51300.0,2850.0,1,0.7984997080056928,False,3000.0,confirmed,True,56050,0.9085459411239964,0.9010489231629448,0,0,,56050,7600,0.135593220338983,,,,0.0,adwin,random_blocks,37.0,complete,results/per_dataset_study/filters/runs/SEA_A/adwin/SEA_A__s115__clean__none/random_blocks_seed_37
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,0.0,60000.0,58900,51300.0,2850.0,1,0.8105044159747194,False,3000.0,confirmed,True,56050,0.9085459411239964,0.9010489231629448,0,0,,56050,7600,0.135593220338983,,,,0.0,adwin,random_blocks,47.0,complete,results/per_dataset_study/filters/runs/SEA_A/adwin/SEA_A__s115__clean__none/random_blocks_seed_47
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,0.0,60000.0,58900,51300.0,2850.0,1,0.7844187080045231,False,3000.0,confirmed,True,56050,0.9085459411239964,0.9010489231629448,0,0,,56050,7600,0.135593220338983,,,,0.0,adwin,random_blocks,7.0,complete,results/per_dataset_study/filters/runs/SEA_A/adwin/SEA_A__s115__clean__none/random_blocks_seed_7
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,0.0,60000.0,58900,51300.0,2850.0,1,0.7819939579931088,False,3000.0,confirmed,True,56050,0.9085459411239964,0.9010489231629448,0,0,,56050,7600,0.135593220338983,,,,0.0,adwin,random_rows,17.0,complete,results/per_dataset_study/filters/runs/SEA_A/adwin/SEA_A__s115__clean__none/random_rows_seed_17
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,0.0,60000.0,58900,51300.0,2850.0,1,0.7891416659986135,False,3000.0,confirmed,True,56050,0.9085459411239964,0.9010489231629448,0,0,,56050,7600,0.135593220338983,,,,0.0,adwin,random_rows,27.0,complete,results/per_dataset_study/filters/runs/SEA_A/adwin/SEA_A__s115__clean__none/random_rows_seed_27
