stream,condition,mode,level,view,threshold,rows,poison_rows,prevalence,roc_auc,average_precision,poison_recall,poison_precision,legitimate_rejection,tn,fp,fn,tp
radar,radar__evaluation__clean__none__aNone,clean,none,features,0.16721900414859447,9230,0,0.0,,,,0.0,0.0504875406283857,8764,466,0,0
radar,radar__evaluation__clean__none__aNone,clean,none,features_label,0.4149735907044238,9230,0,0.0,,,,,0.0,9230,0,0,0
radar,radar__evaluation__instance__severe__a0,instance,severe,features,0.16721900414859447,9230,2489,0.2696641386782232,0.5073640737834217,0.27282364053413266,0.04901566894335074,0.26180257510729615,0.05103100430203234,6397,344,2367,122
radar,radar__evaluation__instance__severe__a0,instance,severe,features_label,0.4149735907044238,9230,2489,0.2696641386782232,0.3391736278700605,0.2503122669980171,0.0,,0.0,6741,0,2489,0
