dataset,base_key,attack_seed,category,mode,level,condition,run_id,detector,policy,guarded,series,rows,common_host_rows,mask_sha256,correct,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k,rl_seed,rl_variant,rl_model_sha256
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__adwin__rl__guarded__r27,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,120378,0.6461444321585383,0.5316994665308271,0.5176581365030323,0.8100254145234509,0.6290495508548247,0.3698600673417916,50.747494084616285,48.59663979391191,27.0,alarm_persistence,0a24fb29e2f8ac2436f8f56cb1e859c75c0ae9f60ab00c18cb51e1c1087e6ece
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__adwin__rl_alarm__guarded__r7,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,113682,0.6102027890199783,0.5052235296539972,0.49286105420320153,0.7669834435160985,0.6028107794842075,0.3968454339448719,60.23686289718681,43.791002613736666,7.0,alarm,614752e0deaab2c0ecc723986570cc1361ecc29bec792bf4f32c287d3091403d
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__adwin__rl_alarm__guarded__r17,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,127415,0.6839164367532287,0.5014248391348928,0.48996094721754935,0.847014775619013,0.9244277021153288,0.0766467372517891,0.0,462.0629043450952,17.0,alarm,d0d03fcb4738304e5544919813738da49b3c4443844935a5d66b5ec1a0bf3b22
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__adwin__rl_alarm__guarded__r27,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,113682,0.6102027890199783,0.5052235296539972,0.49286105420320153,0.7669834435160985,0.6028107794842075,0.3968454339448719,60.23686289718681,44.30863171554946,27.0,alarm,45fea17bc000cf33d753b33091e96dd90d974f0c6d2206d30b0d446455727242
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__adwin__confirmed__guarded,adwin,confirmed,True,confirmed,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115317,0.6189788622773776,0.4587905983998679,0.4378270909733571,0.7766469531259795,0.833365160931912,0.1677106292524414,7.01388129624778,81.31136863514656,,,
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__adwin__immediate__guarded,adwin,immediate,True,immediate,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,114429,0.6142124078109735,0.4871913412283002,0.4763717850423583,0.7990883938851192,0.6901930488524703,0.3101657853241221,25.58003766866837,51.5503290747994,,,
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__guarded,none,none,True,none,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115565,0.6203100342454724,0.3774561332991747,0.3561800625357998,0.7857553786716405,0.8953855768896913,0.1056972189069029,0.0,248.1509192516512,,,
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__adwin__rl__guarded__r7,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,116781,0.6268370709922598,0.495822144046166,0.4787787206581623,0.7780511849675182,0.6843512378042429,0.3164876394249058,36.92602211848096,57.5953064550396,7.0,alarm_persistence,3a5f4752cf8b526120b9204c5321f67ab138e19a0c925f64d3a3f26bb4481cfd
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__adwin__rl__guarded__r17,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,111385,0.5978733454283904,0.45970646963921535,0.44594716967697345,0.7550726493675066,0.7186729627443491,0.2810713175998443,14.852925097936476,69.11715578861758,17.0,alarm_persistence,d99b5c89f5e521e295ec129257c10de8773c6d03940b28a23a1561f112b7f22a
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__adwin__rl__guarded__r27,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,113380,0.6085817650910886,0.4948000174012191,0.49278211322219023,0.7757716866989913,0.6348043470712822,0.3661215991357906,50.128622205535606,49.945091912801935,27.0,alarm_persistence,0a24fb29e2f8ac2436f8f56cb1e859c75c0ae9f60ab00c18cb51e1c1087e6ece
