dataset,category,mode,level,series,reference,metric,mean,sd,defined
RADAR,4,concept,severe,rl_alarm,immediate,macro_f1,-1.2049051703816798,0.06380181039063691,3
RADAR,4,concept,severe,rl_alarm,immediate,macro_recall,-1.7143672491785722,1.071163416908723,3
RADAR,4,concept,severe,rl_alarm,immediate,roc_auc,-0.003942433041601023,0.0035922902848653333,3
RADAR,4,concept,severe,rl_alarm,none,accuracy,-3.690926204355908,0.8017089017037918,3
RADAR,4,concept,severe,rl_alarm,none,macro_f1,1.1975792919211654,0.594596547605384,3
RADAR,4,concept,severe,rl_alarm,none,macro_recall,1.6760924883948334,1.352988315345921,3
RADAR,4,concept,severe,rl_alarm,none,roc_auc,-0.060239602870692445,0.0025562985894534507,3
RADAR,5,splice,moderate,rl,confirmed,accuracy,-3.781418310410134,0.4373452202033095,3
RADAR,5,splice,moderate,rl,confirmed,macro_f1,-3.745399074521773,3.264211318781848,3
RADAR,5,splice,moderate,rl,confirmed,macro_recall,-3.5067253979522888,3.851332201362697,3
RADAR,5,splice,moderate,rl,confirmed,roc_auc,-0.10726707813199536,0.02098421863074078,3
RADAR,5,splice,moderate,rl,immediate,accuracy,1.4500149502389945,0.9359958173450933,3
RADAR,5,splice,moderate,rl,immediate,macro_f1,0.24381928113369847,3.298450764583331,3
RADAR,5,splice,moderate,rl,immediate,macro_recall,0.6287245548121675,3.648872506213411,3
RADAR,5,splice,moderate,rl,immediate,roc_auc,0.002909463488271776,0.012493416558933332,3
RADAR,5,splice,moderate,rl,none,accuracy,-8.99413376563745,2.1016028882967497,3
RADAR,5,splice,moderate,rl,none,macro_f1,-3.2555297568618173,4.171075324364707,3
RADAR,5,splice,moderate,rl,none,macro_recall,-4.844884889000396,4.87310452710391,3
RADAR,5,splice,moderate,rl,none,roc_auc,-0.17117211976372526,0.0024294663812268725,3
RADAR,5,splice,moderate,rl_alarm,confirmed,accuracy,-2.183887440203343,1.1021607018653934,3
RADAR,5,splice,moderate,rl_alarm,confirmed,macro_f1,-3.196617997694657,1.4372348936568384,3
RADAR,5,splice,moderate,rl_alarm,confirmed,macro_recall,-2.824014567087058,2.0968560124640616,3
RADAR,5,splice,moderate,rl_alarm,confirmed,roc_auc,-0.07966993391988923,0.019090649792316627,3
RADAR,5,splice,moderate,rl_alarm,immediate,accuracy,3.047545820445785,1.0057906878341805,3
RADAR,5,splice,moderate,rl_alarm,immediate,macro_f1,0.7926003579608154,1.5302019220620418,3
RADAR,5,splice,moderate,rl_alarm,immediate,macro_recall,1.3114353856773988,1.9301030467713465,3
RADAR,5,splice,moderate,rl_alarm,immediate,roc_auc,0.030506607700377903,0.010543555255968425,3
RADAR,5,splice,moderate,rl_alarm,none,accuracy,-7.39660289543066,1.1721946476404206,3
RADAR,5,splice,moderate,rl_alarm,none,macro_f1,-2.7067486800347003,2.1033879076512783,3
RADAR,5,splice,moderate,rl_alarm,none,macro_recall,-4.162174058135165,2.86038815220822,3
RADAR,5,splice,moderate,rl_alarm,none,roc_auc,-0.14357497555161913,0.002556141237832048,3
RADAR,6,splice,severe,rl,confirmed,accuracy,-0.9775940804155817,1.8194795950613751,3
RADAR,6,splice,severe,rl,confirmed,macro_f1,-0.2268119564728369,2.4485166394361433,3
RADAR,6,splice,severe,rl,confirmed,macro_recall,-0.667872954128886,2.72367860394219,3
RADAR,6,splice,severe,rl,confirmed,roc_auc,-0.05397869835896855,0.040443251785882574,3
RADAR,6,splice,severe,rl,immediate,accuracy,1.5727600035289466,1.8495895527183697,3
RADAR,6,splice,severe,rl,immediate,macro_f1,0.0014931256350251647,1.536547478324925,3
RADAR,6,splice,severe,rl,immediate,macro_recall,-0.6550879127718493,1.4612057742473357,3
RADAR,6,splice,severe,rl,immediate,roc_auc,0.022489223251494866,0.022137106152047597,3
RADAR,6,splice,severe,rl,none,accuracy,-7.84267082502873,1.1080603559393838,3
RADAR,6,splice,severe,rl,none,macro_f1,-0.6825180266827973,2.3138591129824273,3
RADAR,6,splice,severe,rl,none,macro_recall,-1.9537068513688525,1.688151359290057,3
RADAR,6,splice,severe,rl,none,roc_auc,-0.144250055190547,0.02219404453015301,3
RADAR,6,splice,severe,rl_alarm,confirmed,accuracy,0.5799826716942569,1.4704711213764665,3
RADAR,6,splice,severe,rl_alarm,confirmed,macro_f1,0.3264004930124648,2.624138589873063,3
RADAR,6,splice,severe,rl_alarm,confirmed,macro_recall,0.7556320976718508,2.844079661423246,3
RADAR,6,splice,severe,rl_alarm,confirmed,roc_auc,-0.03374264158030971,0.025332586318380645,3
RADAR,6,splice,severe,rl_alarm,immediate,accuracy,3.130336755638785,1.3427745908527733,3
RADAR,6,splice,severe,rl_alarm,immediate,macro_f1,0.554705575120327,0.7703810373982618,3
RADAR,6,splice,severe,rl_alarm,immediate,macro_recall,0.7684171390288874,0.5573017532608704,3
RADAR,6,splice,severe,rl_alarm,immediate,roc_auc,0.04272528003015371,0.007657506390523063,3
RADAR,6,splice,severe,rl_alarm,none,accuracy,-6.285094072918891,0.5954152936289363,3
RADAR,6,splice,severe,rl_alarm,none,macro_f1,-0.12930557719749528,1.7597878517148178,3
RADAR,6,splice,severe,rl_alarm,none,macro_recall,-0.530201799568116,1.7197783629953491,3
RADAR,6,splice,severe,rl_alarm,none,roc_auc,-0.12401399841188816,0.005173441278171068,3
RBF,0,clean,none,rl,confirmed,accuracy,-10.915873702249213,1.2972299445928883,3
RBF,0,clean,none,rl,confirmed,macro_f1,-11.21012261561001,1.1352190717106823,3
