stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,alarm_rate,alarm_blocks,monitored_blocks,poison_exposed_blocks,poison_alarm_blocks,poison_alarm_rate,unexposed_blocks,unexposed_alarm_blocks,unexposed_alarm_rate,event_recall,detected_events,scheduled_events,detection_delay,seconds_per_100k,detector,learner_resets,status,folder
RBF_I,instance,severe,117.0,2977372565.0,,RBF_I__s117,RBF_I__s117__instance__severe,0.1016949152542373,6,59,59,6,0.1016949152542373,0,0,,1.0,3.0,3.0,3.0,0.014011455059517173,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s117__instance__severe
RBF_I,splice,moderate,117.0,559821452.0,,RBF_I__s117,RBF_I__s117__splice__moderate,0.3389830508474576,20,59,28,15,0.5357142857142857,0,0,,1.0,3.0,3.0,5.333333333333333,0.013836379803251475,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s117__splice__moderate
RBF_I,splice,severe,117.0,3664738830.0,,RBF_I__s117,RBF_I__s117__splice__severe,0.2711864406779661,16,59,29,11,0.3793103448275862,0,0,,1.0,3.0,3.0,7.333333333333333,0.014706733394026136,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s117__splice__severe
RBF_I,clean,none,118.0,,,RBF_I__s118,RBF_I__s118__clean__none,0.13559322033898305,8,59,0,0,,8,1,0.125,1.0,3.0,3.0,4.333333333333333,0.014886876500289267,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s118__clean__none
RBF_I,concept,moderate,118.0,3840731115.0,,RBF_I__s118,RBF_I__s118__concept__moderate,0.4915254237288136,29,59,28,25,0.8928571428571429,0,0,,1.0,3.0,3.0,2.6666666666666665,0.01407465329975821,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s118__concept__moderate
RBF_I,concept,severe,118.0,3811301496.0,,RBF_I__s118,RBF_I__s118__concept__severe,0.4915254237288136,29,59,29,24,0.8275862068965517,0,0,,1.0,3.0,3.0,1.0,0.013527081609936431,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s118__concept__severe
RBF_I,instance,moderate,118.0,2809264908.0,,RBF_I__s118,RBF_I__s118__instance__moderate,0.13559322033898305,8,59,59,8,0.13559322033898305,0,0,,1.0,3.0,3.0,3.0,0.017514369925872113,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s118__instance__moderate
RBF_I,instance,severe,118.0,217127006.0,,RBF_I__s118,RBF_I__s118__instance__severe,0.11864406779661017,7,59,59,7,0.11864406779661017,0,0,,1.0,3.0,3.0,4.666666666666667,0.013460484963919347,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s118__instance__severe
RBF_I,splice,moderate,118.0,2850602314.0,,RBF_I__s118,RBF_I__s118__splice__moderate,0.3220338983050847,19,59,29,16,0.5517241379310345,0,0,,1.0,3.0,3.0,4.666666666666667,0.013793686715265116,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s118__splice__moderate
RBF_I,splice,severe,118.0,3587607091.0,,RBF_I__s118,RBF_I__s118__splice__severe,0.423728813559322,25,59,29,19,0.6551724137931034,0,0,,1.0,3.0,3.0,2.6666666666666665,0.013982923264848068,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s118__splice__severe
RBF_I,clean,none,119.0,,,RBF_I__s119,RBF_I__s119__clean__none,0.11864406779661017,7,59,0,0,,8,0,0.0,1.0,3.0,3.0,4.333333333333333,0.015001460124040022,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s119__clean__none
RBF_I,concept,moderate,119.0,1226255551.0,,RBF_I__s119,RBF_I__s119__concept__moderate,0.5254237288135594,31,59,28,25,0.8928571428571429,0,0,,1.0,3.0,3.0,4.0,0.013819033241209885,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s119__concept__moderate
RBF_I,concept,severe,119.0,1687454488.0,,RBF_I__s119,RBF_I__s119__concept__severe,0.423728813559322,25,59,29,22,0.7586206896551724,0,0,,1.0,3.0,3.0,4.666666666666667,0.01356909813087744,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s119__concept__severe
RBF_I,instance,moderate,119.0,1785768086.0,,RBF_I__s119,RBF_I__s119__instance__moderate,0.11864406779661017,7,59,59,7,0.11864406779661017,0,0,,1.0,3.0,3.0,4.333333333333333,0.01351153191838724,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s119__instance__moderate
RBF_I,instance,severe,119.0,80988754.0,,RBF_I__s119,RBF_I__s119__instance__severe,0.1016949152542373,6,59,59,6,0.1016949152542373,0,0,,1.0,3.0,3.0,6.0,0.013430274945373336,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s119__instance__severe
RBF_I,splice,moderate,119.0,1925764227.0,,RBF_I__s119,RBF_I__s119__splice__moderate,0.3898305084745763,23,59,28,18,0.6428571428571429,0,0,,1.0,3.0,3.0,2.6666666666666665,0.013796871644444765,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s119__splice__moderate
RBF_I,splice,severe,119.0,3024123001.0,,RBF_I__s119,RBF_I__s119__splice__severe,0.3220338983050847,19,59,29,14,0.4827586206896552,0,0,,1.0,3.0,3.0,3.3333333333333335,0.013348405191209167,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/adwin/RBF_I__s119__splice__severe
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,0.05084745762711865,3,59,0,0,,8,0,0.0,1.0,3.0,3.0,7.666666666666667,0.15230646158064093,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s115__clean__none
RBF_I,concept,moderate,115.0,816888935.0,,RBF_I__s115,RBF_I__s115__concept__moderate,0.01694915254237288,1,59,26,1,0.038461538461538464,0,0,,0.3333333333333333,1.0,3.0,7.0,0.16428124838663885,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s115__concept__moderate
RBF_I,concept,severe,115.0,1773327730.0,,RBF_I__s115,RBF_I__s115__concept__severe,0.0,0,59,29,0,0.0,0,0,,0.0,0.0,3.0,,0.1804234748124145,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s115__concept__severe
RBF_I,instance,moderate,115.0,2781123431.0,,RBF_I__s115,RBF_I__s115__instance__moderate,0.0,0,59,59,0,0.0,0,0,,0.0,0.0,3.0,,0.17804590116914673,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s115__instance__moderate
RBF_I,instance,severe,115.0,2375605529.0,,RBF_I__s115,RBF_I__s115__instance__severe,0.01694915254237288,1,59,59,1,0.01694915254237288,0,0,,0.3333333333333333,1.0,3.0,20.0,0.16587770670109117,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s115__instance__severe
RBF_I,splice,moderate,115.0,1439472368.0,,RBF_I__s115,RBF_I__s115__splice__moderate,0.01694915254237288,1,59,28,1,0.03571428571428571,0,0,,0.3333333333333333,1.0,3.0,7.0,0.17047895996559723,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s115__splice__moderate
RBF_I,splice,severe,115.0,1488950345.0,,RBF_I__s115,RBF_I__s115__splice__severe,0.01694915254237288,1,59,29,1,0.034482758620689655,0,0,,0.3333333333333333,1.0,3.0,7.0,0.18676756696853167,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s115__splice__severe
