condition,stream,mode,level,detector,filter,malicious_precision,malicious_recall,benign_fpr,malicious_precision_difference,malicious_recall_difference,benign_fpr_difference
radar__clean__none__anone,radar,clean,none,d3_oof,oracle_rows,0.4455481972038263,0.8076324564653575,0.21576176007381365,0.0,0.0,0.0
radar__clean__none__anone,radar,clean,none,d3_oof,random_rows,0.4455481972038263,0.8076324564653575,0.21576176007381365,0.0,0.0,0.0
radar__clean__none__anone,radar,clean,none,d3_oof,oracle_blocks,0.4455481972038263,0.8076324564653575,0.21576176007381365,0.0,0.0,0.0
radar__clean__none__anone,radar,clean,none,d3_oof,random_blocks,0.4455481972038263,0.8076324564653575,0.21576176007381365,0.0,0.0,0.0
radar__clean__none__anone,radar,clean,none,d3_oof,learned_features,0.4455481972038263,0.8076324564653575,0.21576176007381365,0.0,0.0,0.0
radar__clean__none__anone,radar,clean,none,d3_oof,learned_features_label,0.46299943109710734,0.7839940718784735,0.1952084758435278,0.017451233893281015,-0.023638384586884054,-0.02055328423028585
radar__instance__severe__a0,radar,instance,severe,adwin,none,0.18647522420509105,0.3050759540570582,0.2857256486533781,0.0,0.0,0.0
radar__instance__severe__a0,radar,instance,severe,adwin,oracle_rows,0.4135393335466472,0.6703964431270841,0.20410111197721958,0.22706410934155613,0.36532048907002596,-0.08162453667615849
radar__instance__severe__a0,radar,instance,severe,adwin,random_rows,0.3067071288962041,0.4418673582808448,0.2144254784365505,0.12023190469111306,0.1367914042237866,-0.07130017021682758
radar__instance__severe__a0,radar,instance,severe,adwin,oracle_blocks,0.21112988516536813,1.0,0.8021348689966752,0.024654660960277075,0.6949240459429418,0.5164092203432971
radar__instance__severe__a0,radar,instance,severe,adwin,random_blocks,0.21112988516536813,1.0,0.8021348689966752,0.024654660960277075,0.6949240459429418,0.5164092203432971
radar__instance__severe__a0,radar,instance,severe,adwin,learned_features,0.18647522420509105,0.3050759540570582,0.2857256486533781,0.0,0.0,0.0
radar__instance__severe__a0,radar,instance,severe,adwin,learned_features_label,0.39255720779721087,0.7550944794368285,0.2508391530519718,0.20608198359211982,0.45001852537977033,-0.034886495601406275
radar__instance__severe__a0,radar,instance,severe,hddm_w,none,0.20463229397613095,0.3214523897739904,0.26822672245112233,0.0,0.0,0.0
radar__instance__severe__a0,radar,instance,severe,hddm_w,oracle_rows,0.38338405102338574,0.6815116709892552,0.23531283307615214,0.1787517570472548,0.36005928121526487,-0.032913889374970196
radar__instance__severe__a0,radar,instance,severe,hddm_w,random_rows,0.3138104385498835,0.5689514635050018,0.26708133819061103,0.10917814457375255,0.24749907373101143,-0.0011453842605113063
radar__instance__severe__a0,radar,instance,severe,hddm_w,oracle_blocks,0.21112988516536813,1.0,0.8021348689966752,0.0064975911892371785,0.6785476102260096,0.5339081465455529
