stream,detector,filter,population,metric,mean_difference,min_condition_difference,max_condition_difference,defined_conditions,positive_conditions
RBF_I,adwin,oracle_blocks,attacked,filter_legitimate_rejection,0.5067025591554608,0.22776139743245058,1.0,6,6
RBF_I,adwin,oracle_blocks,attacked,filter_poison_recall,1.0,1.0,1.0,6,6
RBF_I,adwin,oracle_blocks,attacked,legitimate_withhold_rate,0.3837564593863798,0.1565490768825987,0.7953789505786958,6,6
RBF_I,adwin,oracle_blocks,attacked,macro_f1,-0.12017384047739908,-0.34709365442877343,-0.0036599978052628637,6,0
RBF_I,adwin,oracle_blocks,attacked,macro_recall,-0.11492689144603942,-0.3320031565946446,-0.0037279121612175947,6,0
RBF_I,adwin,oracle_blocks,attacked,poison_admission_rate,-0.6301172013450027,-0.794062764495875,-0.5048966040736985,6,0
RBF_I,adwin,oracle_blocks,attacked,roc_auc,-0.09160809204883257,-0.27002550662217034,-0.0018020668469106809,6,0
RBF_I,adwin,oracle_blocks,attacked,scored_resets,-0.6666666666666666,-1.6666666666666667,0.0,6,0
RBF_I,adwin,oracle_blocks,attacked,total_seconds,-11.454692995444221,-21.756866778000283,-5.847739138333661,6,0
RBF_I,adwin,oracle_blocks,clean,accuracy,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_blocks,clean,filter_legitimate_rejection,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_blocks,clean,filter_poison_recall,,,,0,0
RBF_I,adwin,oracle_blocks,clean,legitimate_withhold_rate,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_blocks,clean,macro_f1,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_blocks,clean,macro_recall,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_blocks,clean,poison_admission_rate,,,,0,0
RBF_I,adwin,oracle_blocks,clean,roc_auc,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_blocks,clean,scored_resets,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_blocks,clean,total_seconds,0.3707045143328287,0.3707045143328287,0.3707045143328287,1,1
RBF_I,adwin,oracle_rows,attacked,accuracy,0.01350423990679341,-0.0017016345078099497,0.03227365602761926,6,4
RBF_I,adwin,oracle_rows,attacked,filter_legitimate_rejection,0.0,0.0,0.0,6,0
RBF_I,adwin,oracle_rows,attacked,filter_poison_recall,1.0,1.0,1.0,6,6
RBF_I,adwin,oracle_rows,attacked,legitimate_withhold_rate,-0.0375631193872218,-0.09938139797712046,0.038942563026339534,6,1
RBF_I,adwin,oracle_rows,attacked,macro_f1,0.013481594952312962,-0.002278934603564061,0.03225390474292363,6,4
RBF_I,adwin,oracle_rows,attacked,macro_recall,0.013290524780324635,-0.002245113729753778,0.03262933899826278,6,4
RBF_I,adwin,oracle_rows,attacked,poison_admission_rate,-0.6301172013450027,-0.794062764495875,-0.5048966040736985,6,0
RBF_I,adwin,oracle_rows,attacked,roc_auc,0.009650784544595866,-0.00014749379737484988,0.022715379823395592,6,5
RBF_I,adwin,oracle_rows,attacked,scored_resets,-0.611111111111111,-1.3333333333333333,-0.3333333333333333,6,0
RBF_I,adwin,oracle_rows,attacked,total_seconds,-1.4900515832218337,-3.3660705969996343,0.5917222636671772,6,1
RBF_I,adwin,oracle_rows,clean,accuracy,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_rows,clean,filter_legitimate_rejection,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_rows,clean,filter_poison_recall,,,,0,0
RBF_I,adwin,oracle_rows,clean,legitimate_withhold_rate,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_rows,clean,macro_f1,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_rows,clean,macro_recall,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_rows,clean,poison_admission_rate,,,,0,0
RBF_I,adwin,oracle_rows,clean,roc_auc,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_rows,clean,scored_resets,0.0,0.0,0.0,1,0
RBF_I,adwin,oracle_rows,clean,total_seconds,0.07423061166628031,0.07423061166628031,0.07423061166628031,1,1
RBF_I,adwin,random_blocks,attacked,accuracy,-0.1280827969885339,-0.33828929754104137,-0.016903868731786547,6,0
RBF_I,adwin,random_blocks,attacked,filter_legitimate_rejection,0.6068356687528119,0.40057616537655266,1.0,6,6
RBF_I,adwin,random_blocks,attacked,filter_poison_recall,0.6051820485555685,0.38523301668775484,1.0,6,6
RBF_I,adwin,random_blocks,attacked,legitimate_withhold_rate,0.4450433237708853,0.25403245589791545,0.7953789505786958,6,6
RBF_I,adwin,random_blocks,attacked,macro_f1,-0.1313237392059938,-0.34709365442877343,-0.01776009650020105,6,0
RBF_I,adwin,random_blocks,attacked,macro_recall,-0.12593945378068255,-0.3320031565946446,-0.018051972561880698,6,0
RBF_I,adwin,random_blocks,attacked,poison_admission_rate,-0.3558117510146687,-0.794062764495875,-0.10191392504913045,6,0
RBF_I,adwin,random_blocks,attacked,roc_auc,-0.10089971716190616,-0.27002550662217034,-0.01614774597472446,6,0
RBF_I,adwin,random_blocks,attacked,scored_resets,-0.8333333333333334,-1.6666666666666667,-0.3333333333333333,6,0
RBF_I,adwin,random_blocks,attacked,total_seconds,-11.046042483944094,-21.05774920866679,-5.809168944333578,6,0
RBF_I,adwin,random_blocks,clean,accuracy,0.0,0.0,0.0,1,0
RBF_I,adwin,random_blocks,clean,filter_legitimate_rejection,0.0,0.0,0.0,1,0
RBF_I,adwin,random_blocks,clean,filter_poison_recall,,,,0,0
RBF_I,adwin,random_blocks,clean,legitimate_withhold_rate,0.0,0.0,0.0,1,0
RBF_I,adwin,random_blocks,clean,macro_f1,0.0,0.0,0.0,1,0
RBF_I,adwin,random_blocks,clean,macro_recall,0.0,0.0,0.0,1,0
RBF_I,adwin,random_blocks,clean,poison_admission_rate,,,,0,0
RBF_I,adwin,random_blocks,clean,roc_auc,0.0,0.0,0.0,1,0
RBF_I,adwin,random_blocks,clean,scored_resets,0.0,0.0,0.0,1,0
RBF_I,adwin,random_blocks,clean,total_seconds,0.7259682779992241,0.7259682779992241,0.7259682779992241,1,1
RBF_I,adwin,random_rows,attacked,accuracy,-0.018792646190093007,-0.032527475270214934,-0.005638659730221114,6,0
RBF_I,adwin,random_rows,attacked,filter_legitimate_rejection,0.20070933908551178,0.15033536566353656,0.25103767630734747,6,6
RBF_I,adwin,random_rows,attacked,filter_poison_recall,0.20149140153036127,0.15090952688938922,0.25177899438433937,6,6
RBF_I,adwin,random_rows,attacked,legitimate_withhold_rate,0.16687113301779843,0.1230605718257645,0.21911735124184684,6,6
RBF_I,adwin,random_rows,attacked,macro_f1,-0.01897905672507962,-0.03334143492651446,-0.006056141605856584,6,0
RBF_I,adwin,random_rows,attacked,macro_recall,-0.019023174186208518,-0.03343893296804634,-0.007197866694004869,6,0
RBF_I,adwin,random_rows,attacked,poison_admission_rate,-0.11605663664137116,-0.21608133884482497,-0.022535603403120035,6,0
RBF_I,adwin,random_rows,attacked,roc_auc,-0.011972008654211804,-0.02171785199283412,-0.0021981355429798732,6,0
RBF_I,adwin,random_rows,attacked,scored_resets,0.16666666666666666,-0.6666666666666666,1.3333333333333333,6,2
RBF_I,adwin,random_rows,attacked,total_seconds,-5.990570333277598,-10.841528652666964,-1.4993535696667084,6,0
RBF_I,adwin,random_rows,clean,accuracy,0.0,0.0,0.0,1,0
RBF_I,adwin,random_rows,clean,filter_legitimate_rejection,0.0,0.0,0.0,1,0
RBF_I,adwin,random_rows,clean,filter_poison_recall,,,,0,0
RBF_I,adwin,random_rows,clean,legitimate_withhold_rate,0.0,0.0,0.0,1,0
RBF_I,adwin,random_rows,clean,macro_f1,0.0,0.0,0.0,1,0
