dataset,series,metric,mean_of_condition_means,minimum_condition_mean,maximum_condition_mean,defined_conditions
RADAR,adwin,alarm_rate,0.7764659582841401,0.6556473829201103,0.9090909090909091,7
RADAR,adwin,detection_delay,,,,0
RADAR,adwin,event_recall,,,,0
RADAR,adwin,poison_alarm_rate,0.8377402111025419,0.6556473829201103,0.9700653389512618,6
RADAR,adwin,seconds_per_100k,0.11715290760791987,0.09478299254154815,0.14084046244712511,7
RADAR,adwin,unexposed_alarm_rate,0.6579675505528604,0.5555555555555556,0.7063183320620392,5
RADAR,d3_oof,alarm_rate,0.028630460448642266,0.024793388429752067,0.03305785123966942,7
RADAR,d3_oof,detection_delay,,,,0
RADAR,d3_oof,event_recall,,,,0
RADAR,d3_oof,poison_alarm_rate,0.027864199270157444,0.024793388429752067,0.032946563202606464,6
RADAR,d3_oof,seconds_per_100k,15.63134889015991,10.663977956680604,17.459032745008187,7
RADAR,d3_oof,unexposed_alarm_rate,0.0681588725222579,0.024793388429752067,0.1574074074074074,5
RADAR,hddm_w,alarm_rate,0.6686343959071231,0.5702479338842975,0.7672176308539944,7
RADAR,hddm_w,detection_delay,,,,0
RADAR,hddm_w,event_recall,,,,0
RADAR,hddm_w,poison_alarm_rate,0.7405366206498049,0.5750688705234159,0.8482025245784373,6
RADAR,hddm_w,seconds_per_100k,1.628949434507223,0.949712856972746,2.025690409911776,7
RADAR,hddm_w,unexposed_alarm_rate,0.5497845650598455,0.4444444444444444,0.6170353419781337,5
RADAR,hellinger,alarm_rate,0.06739472648563558,0.06198347107438016,0.08677685950413223,7
RADAR,hellinger,detection_delay,,,,0
RADAR,hellinger,event_recall,,,,0
RADAR,hellinger,poison_alarm_rate,0.061593122083685024,0.04410748784953619,0.0832506384096715,6
RADAR,hellinger,seconds_per_100k,0.4118659538569109,0.38078037018182576,0.4492732522162029,7
RADAR,hellinger,unexposed_alarm_rate,0.06945077836808008,0.05555555555555555,0.0869438087973557,5
RBF,adwin,alarm_rate,0.23675655000956206,0.04149933065595716,0.4257028112449799,7
RBF,adwin,detection_delay,5.7936507936507935,2.777777777777778,11.444444444444445,7
RBF,adwin,event_recall,1.0,1.0,1.0,7
RBF,adwin,poison_alarm_rate,0.5746434396790198,0.04149933065595716,0.9763203021333061,6
RBF,adwin,seconds_per_100k,0.08976485135832003,0.07941891954590878,0.09859155965968967,7
RBF,adwin,unexposed_alarm_rate,0.018867924528301886,0.0,0.03773584905660377,2
RBF,d3_oof,alarm_rate,0.03098106712564544,0.020080321285140562,0.03614457831325301,7
RBF,d3_oof,detection_delay,22.25,12.916666666666666,38.0,7
RBF,d3_oof,event_recall,0.888888888888889,0.7777777777777777,1.0,7
RBF,d3_oof,poison_alarm_rate,0.03108834252961079,0.01904761904761905,0.0380952380952381,6
RBF,d3_oof,seconds_per_100k,0.9886971429212108,0.9396607069298625,1.0281624795868993,7
RBF,d3_oof,unexposed_alarm_rate,0.015723270440251572,0.0,0.031446540880503145,2
RBF,hddm_w,alarm_rate,0.5624402371390324,0.3453815261044177,0.6345381526104418,7
RBF,hddm_w,detection_delay,2.126984126984127,0.7777777777777777,3.5555555555555554,7
RBF,hddm_w,event_recall,1.0,1.0,1.0,7
RBF,hddm_w,poison_alarm_rate,0.8097989605497912,0.5408299866131192,0.9904761904761905,6
RBF,hddm_w,seconds_per_100k,0.7463190285888102,0.6403308397779862,0.8607077602607508,7
RBF,hddm_w,unexposed_alarm_rate,0.6666666666666666,0.3333333333333333,1.0,2
RBF,hellinger,alarm_rate,0.08471983170778351,0.06961178045515394,0.10174029451137885,7
RBF,hellinger,detection_delay,14.809523809523808,8.777777777777777,27.555555555555554,7
RBF,hellinger,event_recall,1.0,1.0,1.0,7
RBF,hellinger,poison_alarm_rate,0.08998041604345088,0.06712428974856248,0.1111111111111111,6
RBF,hellinger,seconds_per_100k,0.07260354109818028,0.06759085301309825,0.08056933311745525,7
RBF,hellinger,unexposed_alarm_rate,0.0440251572327044,0.0,0.0880503144654088,2
SEA,adwin,alarm_rate,0.22336966915280168,0.012048192771084336,0.7710843373493975,7
SEA,adwin,detection_delay,3.003968253968254,0.5277777777777778,5.833333333333333,7
