dataset,category,metric,error_aware_minus_alarm
RADAR,0,accuracy,1.407066986643265
RADAR,0,macro_f1,3.1901244491378136
RADAR,0,macro_recall,3.5550999614893235
RADAR,0,roc_auc,-0.0009568423173930881
RADAR,1,accuracy,1.6570691908514235
RADAR,1,macro_f1,2.5793808707511117
RADAR,1,macro_recall,2.235873969286367
RADAR,1,roc_auc,0.01570508971402973
RADAR,2,accuracy,1.2485689106005302
RADAR,2,macro_f1,3.120872054139031
RADAR,2,macro_recall,2.9651388036915045
RADAR,2,roc_auc,0.007518378635827568
RADAR,3,accuracy,3.8512114440019745
RADAR,3,macro_f1,4.4549966101366065
RADAR,3,macro_recall,4.513536584775537
RADAR,3,roc_auc,0.02472674343892674
RADAR,4,accuracy,4.228834724873628
RADAR,4,macro_f1,5.574248116825423
RADAR,4,macro_recall,5.3907331553060915
RADAR,4,roc_auc,0.033019688442770624
RADAR,5,accuracy,-1.5975308702067903
RADAR,5,macro_f1,-0.5487810768271167
RADAR,5,macro_recall,-0.6827108308652314
RADAR,5,roc_auc,-0.02759714421210613
RADAR,6,accuracy,-1.5575767521098385
RADAR,6,macro_f1,-0.5532124494853017
RADAR,6,macro_recall,-1.4235050518007366
RADAR,6,roc_auc,-0.020236056778658845
RBF,0,accuracy,-0.4069081007473354
RBF,0,macro_f1,-0.4196100286731343
RBF,0,macro_recall,-0.42091796551722754
RBF,0,roc_auc,-0.0022082105457358705
RBF,1,accuracy,0.045557818625925194
RBF,1,macro_f1,0.03938300869750636
RBF,1,macro_recall,0.027684040055498
RBF,1,roc_auc,0.00030112115324942845
RBF,2,accuracy,-0.11309213083783683
RBF,2,macro_f1,-0.19748636915296972
RBF,2,macro_recall,-0.23915453768572656
RBF,2,roc_auc,-0.0007914588529599106
RBF,3,accuracy,-1.0701846716233347
RBF,3,macro_f1,-1.1336672142163344
RBF,3,macro_recall,-1.159410155093628
RBF,3,roc_auc,-0.007870556446078184
RBF,4,accuracy,-1.9951007073690912
RBF,4,macro_f1,-2.0144476113887437
RBF,4,macro_recall,-2.014569857756421
RBF,4,roc_auc,-0.011503503578318308
RBF,5,accuracy,-1.3308003740034522
RBF,5,macro_f1,-1.3869615608400647
RBF,5,macro_recall,-1.418558669669608
RBF,5,roc_auc,-0.008714989120149267
RBF,6,accuracy,-0.983529199252105
RBF,6,macro_f1,-0.9728675408345842
RBF,6,macro_recall,-0.9566102327865703
RBF,6,roc_auc,-0.006086458219454564
SEA,0,accuracy,0.4880646083259406
SEA,0,macro_f1,0.5701590208382642
SEA,0,macro_recall,0.6715370956844935
SEA,0,roc_auc,0.0006553438143443261
SEA,1,accuracy,0.675649612601544
SEA,1,macro_f1,0.7904628183421081
SEA,1,macro_recall,0.9360508003889767
SEA,1,roc_auc,0.0014941237248076906
SEA,2,accuracy,0.29171772796491674
SEA,2,macro_f1,0.35659984194332434
SEA,2,macro_recall,0.45342629514815896
SEA,2,roc_auc,0.0005747581067339821
SEA,3,accuracy,0.40598650571010236
SEA,3,macro_f1,0.48228605129354934
SEA,3,macro_recall,0.5890594979999294
SEA,3,roc_auc,0.00025952888586492734
SEA,4,accuracy,0.3635869811037584
SEA,4,macro_f1,0.42704081172898106
SEA,4,macro_recall,0.502915448904262
SEA,4,roc_auc,0.0013030329750537788
SEA,5,accuracy,0.5932306059016105
SEA,5,macro_f1,0.6870281900970684
SEA,5,macro_recall,0.7870213186099188
SEA,5,roc_auc,0.0008201166164324055
SEA,6,accuracy,0.2870753269744582
SEA,6,macro_f1,0.3349205888375284
SEA,6,macro_recall,0.39875282250708316
SEA,6,roc_auc,-0.00022274831072318277
