condition,stream,mode,level,detector,granularity,accuracy_oracle_minus_random,macro_f1_oracle_minus_random,macro_recall_oracle_minus_random,roc_auc_oracle_minus_random,poison_admission_rate_oracle_minus_random,legitimate_withhold_rate_oracle_minus_random,filter_poison_recall_oracle_minus_random,filter_legitimate_rejection_oracle_minus_random,scored_resets_oracle_minus_random,total_seconds_oracle_minus_random
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,hddm_w,rows,0.01937945123534135,0.022324666696382223,0.026505474191748313,0.005480476202933571,-0.6674080064698746,-0.2636880777435411,0.7504380644291684,-0.2513572387950202,1,-1.2303284569989046
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,hddm_w,blocks,-0.010333073736723875,-0.013091449244266085,-0.01651877575904903,-0.010510944958952995,-0.1554960237228737,-0.0949728552240996,0.2069348968863728,-0.0693122947211594,0,0.39370975000019826
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,hellinger,rows,-0.01615706723552157,-0.018977791620588103,-0.02268982698329214,-0.0051744754701835705,-0.585692141798086,-0.3242474520028443,0.7504380644291684,-0.2513572387950202,-2,2.0543597920004686
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,hellinger,blocks,-0.010333073736723875,-0.013091449244266085,-0.01651877575904903,-0.010510944958952995,-0.1554960237228737,-0.0949728552240996,0.2069348968863728,-0.0693122947211594,0,0.542645708001146
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,d3_oof,rows,0.00883192812559963,0.010846935780097988,0.015491619215553643,0.0029329316939622485,-0.6501044615177247,-0.27939367261481507,0.7504380644291684,-0.2513572387950202,0,-0.18291308299922093
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,d3_oof,blocks,-0.010333073736723875,-0.013091449244266085,-0.01651877575904903,-0.010510944958952995,-0.1554960237228737,-0.0949728552240996,0.2069348968863728,-0.0693122947211594,0,0.4674380010001187
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,adwin,rows,0.004130997411905257,0.0037916838827206645,0.0006439088070882004,0.0011319175656108182,-0.7873421274207129,-0.1028021102926538,0.8501543642997476,-0.1507614971132789,1,-0.3915501659994334
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,adwin,blocks,0.010058729842723602,0.010757651833845583,0.009404154006178445,0.002070959115428428,-0.382879595846197,-0.030071670316543897,0.4121246140892506,-0.07308381445351386,0,-0.2124361249989306
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,hddm_w,rows,0.022008759705355208,0.02544842841966588,0.030104514727633314,0.00527000141237699,-0.7614650575357844,-0.1194405733625324,0.8501543642997476,-0.1507614971132789,1,-1.7951980419984466
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,hddm_w,blocks,0.010058729842723602,0.010757651833845583,0.009404154006178445,0.002070959115428428,-0.382879595846197,-0.030071670316543897,0.4121246140892506,-0.07308381445351386,0,-0.141954584001724
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,hellinger,rows,-0.01031753931913204,-0.012464468724103894,-0.01717750065235102,-0.0034847177101418048,-0.7231827111984283,-0.0705653991638463,0.8501543642997476,-0.1507614971132789,-1,1.1027186249993974
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,hellinger,blocks,0.010058729842723602,0.010757651833845583,0.009404154006178445,0.002070959115428428,-0.382879595846197,-0.030071670316543897,0.4121246140892506,-0.07308381445351386,0,-0.17539883399877043
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,d3_oof,rows,-0.014085208043002173,-0.01711733583879782,-0.022939358140931843,-0.0029089512331926803,-0.7019085040696043,-0.12206848496914201,0.8501543642997476,-0.1507614971132789,-2,2.3626511670008767
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,d3_oof,blocks,0.010058729842723602,0.010757651833845583,0.009404154006178445,0.002070959115428428,-0.382879595846197,-0.030071670316543897,0.4121246140892506,-0.07308381445351386,0,-0.17279829099970812
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,adwin,rows,0.013348922831981747,0.014769255011313986,0.01560730317458292,0.008402941828471566,-0.5014341957255343,-0.3074879347231206,0.8496625421822273,-0.1503258868600427,-10,0.9481109999978798
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,adwin,blocks,0.008890989601472832,0.010651558460725852,0.012537999821246704,0.0027056631447813784,-0.3677446569178852,-0.0461565252002587,0.4377390326209224,-0.07744663913627542,0,0.17561716699856333
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,hddm_w,rows,0.008552664311657243,0.010158592046389914,0.013721413921258585,0.006379611753106196,-0.5841676040494939,-0.25301258769092994,0.8496625421822273,-0.1503258868600427,-11,1.21343700000034
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,hddm_w,blocks,0.008890989601472832,0.010651558460725852,0.012537999821246704,0.0027056631447813784,-0.3677446569178852,-0.0461565252002587,0.4377390326209224,-0.07744663913627542,0,0.04702495800120232
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,hellinger,rows,0.014916164983332592,0.016415533915498104,0.01667540395715561,0.0075696357868719755,-0.6484251968503937,-0.13072789691029407,0.8496625421822273,-0.1503258868600427,-2,0.43158666800081846
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,hellinger,blocks,0.008890989601472832,0.010651558460725852,0.012537999821246704,0.0027056631447813784,-0.3677446569178852,-0.0461565252002587,0.4377390326209224,-0.07744663913627542,0,0.12667091699950106
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,d3_oof,rows,-0.0012736952087170073,-0.0010199517797007118,0.00013265046112687084,0.003073930415846804,-0.707339707536558,-0.17343151400567197,0.8496625421822273,-0.1503258868600427,-2,1.6851604579987907
