dataset,base_key,attack_seed,category,metric,error_aware_minus_alarm
RBF,RBF_I__base_s0,0,3,roc_auc,0.0003955260176422559
RBF,RBF_I__base_s0,0,4,accuracy,-2.1702622400206595
RBF,RBF_I__base_s0,0,4,macro_f1,-2.194599452709789
RBF,RBF_I__base_s0,0,4,macro_recall,-2.1635290544714803
RBF,RBF_I__base_s0,0,4,roc_auc,-0.010829606126055213
RBF,RBF_I__base_s0,0,5,accuracy,-1.8667972087562976
RBF,RBF_I__base_s0,0,5,macro_f1,-1.887306442595328
RBF,RBF_I__base_s0,0,5,macro_recall,-1.8695049187695147
RBF,RBF_I__base_s0,0,5,roc_auc,-0.009873798354881669
RBF,RBF_I__base_s0,0,6,accuracy,-2.1283346591514203
RBF,RBF_I__base_s0,0,6,macro_f1,-2.15940515982488
RBF,RBF_I__base_s0,0,6,macro_recall,-2.1082991311971675
RBF,RBF_I__base_s0,0,6,roc_auc,-0.011618818046430501
RBF,RBF_I__base_s1,1,0,accuracy,-1.234048234924046
RBF,RBF_I__base_s1,1,0,macro_f1,-1.2966150973157564
RBF,RBF_I__base_s1,1,0,macro_recall,-1.2756479814099002
RBF,RBF_I__base_s1,1,0,roc_auc,-0.006321501837878607
RBF,RBF_I__base_s1,1,1,accuracy,-0.009278558157332917
RBF,RBF_I__base_s1,1,1,macro_f1,-0.02735810597516064
RBF,RBF_I__base_s1,1,1,macro_recall,-0.03657519707447321
RBF,RBF_I__base_s1,1,1,roc_auc,5.360898388584445e-05
RBF,RBF_I__base_s1,1,2,accuracy,-0.11111639159137088
RBF,RBF_I__base_s1,1,2,macro_f1,-0.3505629059941118
RBF,RBF_I__base_s1,1,2,macro_recall,-0.4812527843188974
RBF,RBF_I__base_s1,1,2,roc_auc,0.0005237708524344908
RBF,RBF_I__base_s1,1,3,accuracy,-1.1616302200376136
RBF,RBF_I__base_s1,1,3,macro_f1,-1.262172477838476
RBF,RBF_I__base_s1,1,3,macro_recall,-1.3626946900613728
RBF,RBF_I__base_s1,1,3,roc_auc,-0.00699523668439217
RBF,RBF_I__base_s1,1,4,accuracy,-0.6046904243016797
RBF,RBF_I__base_s1,1,4,macro_f1,-0.603279348382479
RBF,RBF_I__base_s1,1,4,macro_recall,-0.6300610549231589
RBF,RBF_I__base_s1,1,4,roc_auc,-0.002605360097160947
RBF,RBF_I__base_s1,1,5,accuracy,-1.9763328875099244
RBF,RBF_I__base_s1,1,5,macro_f1,-2.1159008538545017
RBF,RBF_I__base_s1,1,5,macro_recall,-2.250763187796834
RBF,RBF_I__base_s1,1,5,roc_auc,-0.01274302429600116
RBF,RBF_I__base_s1,1,6,accuracy,0.23309548541569125
RBF,RBF_I__base_s1,1,6,macro_f1,0.28642440630403154
RBF,RBF_I__base_s1,1,6,macro_recall,0.2799580198094569
RBF,RBF_I__base_s1,1,6,roc_auc,-0.0011858557049082563
RBF,RBF_I__base_s2,2,0,accuracy,0.5273334105816652
RBF,RBF_I__base_s2,2,0,macro_f1,0.5230474017890465
RBF,RBF_I__base_s2,2,0,macro_recall,0.511527197807716
RBF,RBF_I__base_s2,2,0,roc_auc,0.0024106439741902186
RBF,RBF_I__base_s2,2,1,accuracy,-0.18266956575081572
RBF,RBF_I__base_s2,2,1,macro_f1,-0.1793855510057618
RBF,RBF_I__base_s2,2,1,macro_recall,-0.21231621001899192
RBF,RBF_I__base_s2,2,1,roc_auc,-0.0007928324748472937
RBF,RBF_I__base_s2,2,2,accuracy,-0.7947489315875185
RBF,RBF_I__base_s2,2,2,macro_f1,-0.8235771632802198
RBF,RBF_I__base_s2,2,2,macro_recall,-0.7989347937600533
RBF,RBF_I__base_s2,2,2,roc_auc,-0.006022852366376341
RBF,RBF_I__base_s2,2,3,accuracy,-2.24133739568636
RBF,RBF_I__base_s2,2,3,macro_f1,-2.300406802171338
RBF,RBF_I__base_s2,2,3,macro_recall,-2.3293882863374744
RBF,RBF_I__base_s2,2,3,roc_auc,-0.01701195867148464
RBF,RBF_I__base_s2,2,4,accuracy,-3.2103494577849343
RBF,RBF_I__base_s2,2,4,macro_f1,-3.2454640330739633
RBF,RBF_I__base_s2,2,4,macro_recall,-3.250119463874624
RBF,RBF_I__base_s2,2,4,roc_auc,-0.021075544511738764
RBF,RBF_I__base_s2,2,5,accuracy,-0.14927102574413453
RBF,RBF_I__base_s2,2,5,macro_f1,-0.15767738607036463
RBF,RBF_I__base_s2,2,5,macro_recall,-0.13540790244247525
RBF,RBF_I__base_s2,2,5,roc_auc,-0.003528144709564973
RBF,RBF_I__base_s2,2,6,accuracy,-1.0553484240205862
RBF,RBF_I__base_s2,2,6,macro_f1,-1.045621868982904
RBF,RBF_I__base_s2,2,6,macro_recall,-1.0414895869720002
RBF,RBF_I__base_s2,2,6,roc_auc,-0.005454700907024934
SEA,SEA_A__base_s0,0,0,accuracy,0.6322394152984079
SEA,SEA_A__base_s0,0,0,macro_f1,0.7383757911638589
SEA,SEA_A__base_s0,0,0,macro_recall,0.8661644947193015
SEA,SEA_A__base_s0,0,0,roc_auc,0.0015388955522360748
SEA,SEA_A__base_s0,0,1,accuracy,0.7017652014877807
SEA,SEA_A__base_s0,0,1,macro_f1,0.8390607581304277
SEA,SEA_A__base_s0,0,1,macro_recall,1.0596887913841058
SEA,SEA_A__base_s0,0,1,roc_auc,0.002542498758632439
SEA,SEA_A__base_s0,0,2,accuracy,0.5277794902355692
SEA,SEA_A__base_s0,0,2,macro_f1,0.625552189419909
SEA,SEA_A__base_s0,0,2,macro_recall,0.7407058201367778
SEA,SEA_A__base_s0,0,2,roc_auc,0.0008461309358608338
SEA,SEA_A__base_s0,0,3,accuracy,0.2866654336970642
SEA,SEA_A__base_s0,0,3,macro_f1,0.35095828975630905
SEA,SEA_A__base_s0,0,3,macro_recall,0.4540449572471683
SEA,SEA_A__base_s0,0,3,roc_auc,-0.0014722683417407456
SEA,SEA_A__base_s0,0,4,accuracy,0.5620286459938839
SEA,SEA_A__base_s0,0,4,macro_f1,0.6407933756922612
SEA,SEA_A__base_s0,0,4,macro_recall,0.686795570048937
SEA,SEA_A__base_s0,0,4,roc_auc,0.001122119161125812
SEA,SEA_A__base_s0,0,5,accuracy,0.5325743720417275
SEA,SEA_A__base_s0,0,5,macro_f1,0.6007257338414229
SEA,SEA_A__base_s0,0,5,macro_recall,0.6398776881821777
SEA,SEA_A__base_s0,0,5,roc_auc,0.0015460959642819017
SEA,SEA_A__base_s0,0,6,accuracy,0.08836282185643585
SEA,SEA_A__base_s0,0,6,macro_f1,0.10633721363658699
SEA,SEA_A__base_s0,0,6,macro_recall,0.1334047496267865
SEA,SEA_A__base_s0,0,6,roc_auc,-0.0007847908191853659
SEA,SEA_A__base_s1,1,0,accuracy,0.3866267830616721
SEA,SEA_A__base_s1,1,0,macro_f1,0.4449161191082185
SEA,SEA_A__base_s1,1,0,macro_recall,0.5036097791382255
SEA,SEA_A__base_s1,1,0,roc_auc,-5.2789014444165616e-05
SEA,SEA_A__base_s1,1,1,accuracy,0.5965583433381494
SEA,SEA_A__base_s1,1,1,macro_f1,0.6916576316568501
SEA,SEA_A__base_s1,1,1,macro_recall,0.7912687895151649
SEA,SEA_A__base_s1,1,1,roc_auc,0.0003514939695045127
SEA,SEA_A__base_s1,1,2,accuracy,0.29200496510183305
SEA,SEA_A__base_s1,1,2,macro_f1,0.3594801012237525
SEA,SEA_A__base_s1,1,2,macro_recall,0.46679425340673264
SEA,SEA_A__base_s1,1,2,roc_auc,0.0009398862743340564
SEA,SEA_A__base_s1,1,3,accuracy,0.5049888420867177
SEA,SEA_A__base_s1,1,3,macro_f1,0.6062419146664055
SEA,SEA_A__base_s1,1,3,macro_recall,0.7530399314547687
SEA,SEA_A__base_s1,1,3,roc_auc,0.0011735389923360762
SEA,SEA_A__base_s1,1,4,accuracy,0.31303203575959726
SEA,SEA_A__base_s1,1,4,macro_f1,0.3801502991789718
SEA,SEA_A__base_s1,1,4,macro_recall,0.49493585099503745
SEA,SEA_A__base_s1,1,4,roc_auc,0.0006608823546873088
SEA,SEA_A__base_s1,1,5,accuracy,0.5578956650319711
SEA,SEA_A__base_s1,1,5,macro_f1,0.6580188680990751
SEA,SEA_A__base_s1,1,5,macro_recall,0.7861250711588497
SEA,SEA_A__base_s1,1,5,roc_auc,-1.3044296930719845e-05
SEA,SEA_A__base_s1,1,6,accuracy,0.3778089792374595
SEA,SEA_A__base_s1,1,6,macro_f1,0.43961275091126684
SEA,SEA_A__base_s1,1,6,macro_recall,0.5219075866673473
SEA,SEA_A__base_s1,1,6,roc_auc,-0.00018295546446500666
SEA,SEA_A__base_s2,2,0,accuracy,0.44532762661774195
SEA,SEA_A__base_s2,2,0,macro_f1,0.5271851522427151
SEA,SEA_A__base_s2,2,0,macro_recall,0.6448370131959535
SEA,SEA_A__base_s2,2,0,roc_auc,0.00047992490524106923
SEA,SEA_A__base_s2,2,1,accuracy,0.7286252929787018
SEA,SEA_A__base_s2,2,1,macro_f1,0.8406700652390464
SEA,SEA_A__base_s2,2,1,macro_recall,0.9571948202676595
SEA,SEA_A__base_s2,2,1,roc_auc,0.0015883784462861206
SEA,SEA_A__base_s2,2,2,accuracy,0.05536872855734787
SEA,SEA_A__base_s2,2,2,macro_f1,0.08476723518631157
SEA,SEA_A__base_s2,2,2,macro_recall,0.15277881190096654
SEA,SEA_A__base_s2,2,2,roc_auc,-6.174288999294397e-05
SEA,SEA_A__base_s2,2,3,accuracy,0.42630524134652514
SEA,SEA_A__base_s2,2,3,macro_f1,0.4896579494579334
SEA,SEA_A__base_s2,2,3,macro_recall,0.5600936052978511
SEA,SEA_A__base_s2,2,3,roc_auc,0.0010773160069994514
SEA,SEA_A__base_s2,2,4,accuracy,0.2157002615577941
SEA,SEA_A__base_s2,2,4,macro_f1,0.2601787603157102
SEA,SEA_A__base_s2,2,4,macro_recall,0.3270149256688115
SEA,SEA_A__base_s2,2,4,roc_auc,0.0021260974093482155
SEA,SEA_A__base_s2,2,5,accuracy,0.6892217806311329
SEA,SEA_A__base_s2,2,5,macro_f1,0.8023399683507071
SEA,SEA_A__base_s2,2,5,macro_recall,0.935061196488729
SEA,SEA_A__base_s2,2,5,roc_auc,0.0009272981819460346
SEA,SEA_A__base_s2,2,6,accuracy,0.3950541798294793
SEA,SEA_A__base_s2,2,6,macro_f1,0.45881180196473137
SEA,SEA_A__base_s2,2,6,macro_recall,0.5409461312271158
SEA,SEA_A__base_s2,2,6,roc_auc,0.00029950135148082424
