dataset,series,reference,metric,mean_difference,min_condition_difference,max_condition_difference,defined_conditions,positive_conditions
RADAR,rl,confirmed,accuracy,-0.5162560474525446,-4.223521941483021,2.1248116328325497,7,4
RADAR,rl,confirmed,macro_f1,0.7299971999679732,-3.745399074521773,4.791716399087389,7,4
RADAR,rl,confirmed,macro_recall,1.3039820718278,-3.5067253979522888,6.1682001913000635,7,4
RADAR,rl,confirmed,roc_auc,-0.04605530611817845,-0.10726707813199536,0.015086650030456172,7,2
RADAR,rl,immediate,accuracy,2.1797055548028434,0.4627033712676735,5.038654429046274,7,7
RADAR,rl,immediate,macro_f1,1.3651636778831227,0.0014931256350251647,4.369342946443744,7,7
RADAR,rl,immediate,macro_recall,1.0350611334217823,-0.6550879127718493,3.67636590612752,7,5
RADAR,rl,immediate,roc_auc,0.009629956106207602,-0.008808508029296521,0.029077255401169604,7,6
RADAR,rl,none,accuracy,-2.464400328967384,-8.99413376563745,2.2425648954862614,7,3
RADAR,rl,none,macro_f1,4.122485589769622,-3.2555297568618173,8.541532487361664,7,5
RADAR,rl,none,macro_recall,3.7647596830195966,-4.844884889000396,9.382635486404787,7,5
RADAR,rl,none,roc_auc,-0.08218375110171956,-0.17117211976372526,-0.010011950507236836,7,0
RADAR,rl_alarm,confirmed,accuracy,-1.835919423831715,-5.630588928126286,0.8762427222320198,7,2
RADAR,rl_alarm,confirmed,macro_f1,-1.8153783107002508,-6.15686330177266,1.6708443449483579,7,3
RADAR,rl_alarm,confirmed,macro_recall,-1.060898869869751,-5.666620949887117,3.20306138760856,7,3
RADAR,rl_alarm,confirmed,roc_auc,-0.05065242853580654,-0.10595784895810952,0.007568271394628605,7,1
RADAR,rl_alarm,immediate,accuracy,0.8600421784236733,-1.6887994992773454,3.130336755638785,7,5
RADAR,rl_alarm,immediate,macro_f1,-1.1802118327851012,-3.0471610611749504,0.7926003579608154,7,2
RADAR,rl_alarm,immediate,macro_recall,-1.3298198082757686,-3.6096306079750065,1.3114353856773988,7,2
RADAR,rl_alarm,immediate,roc_auc,0.005032833688579515,-0.01632688666512409,0.04272528003015371,7,3
RADAR,rl_alarm,none,accuracy,-3.7840637053465542,-7.39660289543066,-0.7356631326942309,7,0
RADAR,rl_alarm,none,macro_f1,1.5771100791013979,-2.7067486800347003,5.420660433222633,7,5
RADAR,rl_alarm,none,macro_recall,1.3998787413220448,-4.162174058135165,6.417496682713282,7,4
RADAR,rl_alarm,none,roc_auc,-0.08678087351934764,-0.15750606132268316,-0.017530329143064405,7,0
RBF,rl,confirmed,accuracy,-8.563997300611593,-10.915873702249213,-6.629954102879746,7,0
RBF,rl,confirmed,macro_f1,-8.888689845979616,-11.21012261561001,-7.21004057945553,7,0
RBF,rl,confirmed,macro_recall,-8.964048560341903,-11.25037742404696,-7.237075315161561,7,0
RBF,rl,confirmed,roc_auc,-0.061073753316770514,-0.07143011976978164,-0.046156408037504947,7,0
RBF,rl,immediate,accuracy,-2.3094331525055156,-7.323857811964788,1.2220304697782198,7,2
RBF,rl,immediate,macro_f1,-2.4100431479582136,-7.623289631934424,1.2700728810249566,7,2
RBF,rl,immediate,macro_recall,-2.3848109601183296,-7.684983971817612,1.2843539443226064,7,2
