dataset,series,reference,metric,mean_difference,min_condition_difference,max_condition_difference,defined_conditions,positive_conditions
RBF,rl,immediate,roc_auc,-0.019997861712699634,-0.05369912508811955,0.004750277832634524,7,2
RBF,rl,none,accuracy,-9.46438362757855,-10.897949539505,-8.342172628196431,7,0
RBF,rl,none,macro_f1,-9.856439637540708,-11.218400002287362,-8.758478554416453,7,0
RBF,rl,none,macro_recall,-9.944832634392743,-11.312994305361327,-8.932013761825667,7,0
RBF,rl,none,roc_auc,-0.06651017665216616,-0.07310158467699579,-0.0597645432651965,7,0
RBF,rl_alarm,confirmed,accuracy,-7.727703391296274,-10.508965601501878,-5.88268821646238,7,0
RBF,rl_alarm,confirmed,macro_f1,-8.019310229349854,-10.790512586936872,-6.179517652434093,7,0
RBF,rl_alarm,confirmed,macro_recall,-8.080971791991377,-10.829459458529733,-6.34338247634516,7,0
RBF,rl_alarm,confirmed,roc_auc,-0.05580603108684956,-0.06922190922404577,-0.045364949184545034,7,0
RBF,rl_alarm,immediate,accuracy,-1.473139243190197,-7.369415630590715,2.5528308437816727,7,3
RBF,rl_alarm,immediate,macro_f1,-1.5406635313284531,-7.662672640631929,2.657034441865021,7,3
RBF,rl_alarm,immediate,macro_recall,-1.5017341917678035,-7.71266801187311,2.7029126139922144,7,3
RBF,rl_alarm,immediate,roc_auc,-0.014730139482778681,-0.054000246241368975,0.013465266952783791,7,2
RBF,rl_alarm,none,accuracy,-8.62808971826323,-9.69407989796112,-8.129122454398937,7,0
RBF,rl_alarm,none,macro_f1,-8.987060020910947,-10.000206756558372,-8.447590130437277,7,0
RBF,rl_alarm,none,macro_recall,-9.061755866042216,-10.054645191371236,-8.56119149694586,7,0
RBF,rl_alarm,none,roc_auc,-0.0612424544222452,-0.06545406361576767,-0.05813814081069594,7,0
SEA,rl,confirmed,accuracy,-0.45715898236827757,-0.7986834824832459,0.0009454496149937283,7,1
SEA,rl,confirmed,macro_f1,-0.552939729701939,-0.941077439309157,-0.05340107263645718,7,0
SEA,rl,confirmed,macro_recall,-0.7556859288092609,-1.188769803724432,-0.2684251917637474,7,0
SEA,rl,confirmed,roc_auc,0.0021629925451967804,0.00038592102361123537,0.0037383080204770693,7,7
SEA,rl,immediate,accuracy,0.04631214184318555,-0.9712477759263279,0.710886443144565,7,5
SEA,rl,immediate,macro_f1,0.03580502700465342,-1.0944735136774038,0.84777952087662,7,5
SEA,rl,immediate,macro_recall,-0.022837659454162083,-1.2159536380034086,1.076701242086416,7,3
SEA,rl,immediate,roc_auc,0.0037743246333666455,0.0018461131698474704,0.006701695979632068,7,7
SEA,rl,none,accuracy,1.3214031728484894,0.7201618251019615,2.2036851352778704,7,7
SEA,rl,none,macro_f1,1.5333951261350551,0.8661792697453449,2.5554033152568176,7,7
SEA,rl,none,macro_recall,1.7556318624175444,1.0725212928389238,2.953812473438903,7,7
SEA,rl,none,roc_auc,0.00638038822098447,0.0035838326057540857,0.010258462882973421,7,7
SEA,rl_alarm,confirmed,accuracy,-0.9007748921657533,-1.3050308890415623,-0.5494052579036457,7,0
SEA,rl_alarm,confirmed,macro_f1,-1.0741536329991994,-1.5407651485399096,-0.6880252253123165,7,0
SEA,rl_alarm,confirmed,macro_recall,-1.3755092544153784,-1.9317822386729595,-0.7218514869119064,7,0
SEA,rl_alarm,confirmed,roc_auc,0.0014652560005519336,-0.00035828242590200493,0.002991770648776019,7,6
SEA,rl_alarm,immediate,accuracy,-0.3973037679542903,-1.2629655038912446,0.03523683054302099,7,2
SEA,rl_alarm,immediate,macro_f1,-0.4854088762926071,-1.4510733556207283,0.0573167025345119,7,1
SEA,rl_alarm,immediate,macro_recall,-0.6426609850602796,-1.6693799331515677,0.14065044169743932,7,1
SEA,rl_alarm,immediate,roc_auc,0.003076588088721799,0.0012713550631134884,0.0052075722548243775,7,7
SEA,rl_alarm,none,accuracy,0.8777872630510135,0.35657484399820305,1.5280355226763263,7,7
SEA,rl_alarm,none,macro_f1,1.0121812228377947,0.43913845801636375,1.7649404969147096,7,7
SEA,rl_alarm,none,macro_recall,1.135808536811427,0.5696058439346618,2.0177616730499266,7,7
SEA,rl_alarm,none,roc_auc,0.005682651676339623,0.003806580916477268,0.008764339158165732,7,7
