stream,view,mode,roc_auc,average_precision,poison_recall,poison_precision,legitimate_rejection
RBF_I,features,concept,0.5101617181901902,0.2096755704606552,0.06429158006954656,0.22584353987261938,0.05692247711880702
RBF_I,features,instance,0.5006853071964311,0.20129432926752946,0.056394503468018685,0.2036354966329912,0.0552061773612878
RBF_I,features,splice,0.5001450932413722,0.2008751691463461,0.05710765784673275,0.2011358535482349,0.057084812148542725
RBF_I,features_label,concept,0.5162941816197073,0.21472012391934434,0.03356079546400112,0.2629596979524668,0.025859675314141874
RBF_I,features_label,instance,0.4626824054638505,0.17861016087191514,0.010780909814747603,0.06646455301617533,0.025084948097329307
RBF_I,features_label,splice,0.49853079523875454,0.20019944876035142,0.026214794733469906,0.2037674395157725,0.02587725288254368
SEA_A,features,concept,0.4996743701680039,0.2008689521082294,0.049513948436521404,0.1998815998748796,0.04973581845044026
SEA_A,features,instance,0.4994120270483608,0.2008024715507847,0.049758455254213935,0.20073402323612455,0.049841651197588814
SEA_A,features,splice,0.5000759529756098,0.2010847575627188,0.05009452056976065,0.20131320888887294,0.04997677469813206
SEA_A,features_label,concept,0.716218082981375,0.48482289564901193,0.4065916791144113,0.6636170392551746,0.04943833075257037
SEA_A,features_label,instance,0.9336199206772079,0.763313798485643,0.7662472404446009,0.7863853706664027,0.049263747065396844
SEA_A,features_label,splice,0.5002560164479055,0.20088679644921184,0.04929141992879371,0.20068820460642148,0.049218024473747714
radar,features,concept,0.9988188682089388,0.9969279430143775,0.632225815139253,0.9996275984044162,9.517229768333758e-05
radar,features,instance,0.4995881148011206,0.20038326322687547,6.118108206693393e-05,0.11904761904761903,0.0001016020297702187
radar,features,splice,0.5161596718890077,0.0497930600380987,0.00034396899145211387,0.1611111111111111,8.61011941675479e-05
radar,features_label,concept,0.992761418569911,0.9879095902817726,0.8687098846615294,0.9956938149848762,0.0014577433497998506
radar,features_label,instance,0.8999752876676835,0.8103150203808019,0.5170307904082514,0.9875909188793569,0.0015006057376547313
radar,features_label,splice,0.5174534410735507,0.04794274734404346,0.005358441974651237,0.08677885470267845,0.001574925347003396
