,,,,,host_accuracy,host_accuracy,host_accuracy,host_accuracy,host_accuracy,host_macro_f1,host_macro_f1,host_macro_f1,host_macro_f1,host_macro_f1,poison_admission_rate,poison_admission_rate,poison_admission_rate,poison_admission_rate,poison_admission_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,resets_per_100k,resets_per_100k,resets_per_100k,resets_per_100k,resets_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,detection_delay,detection_delay,detection_delay,detection_delay,detection_delay,commit_delay,commit_delay,commit_delay,commit_delay,commit_delay,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,malicious_precision,malicious_precision,malicious_precision,malicious_precision,malicious_precision,malicious_recall,malicious_recall,malicious_recall,malicious_recall,malicious_recall,benign_fpr,benign_fpr,benign_fpr,benign_fpr,benign_fpr,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,average_precision,average_precision,average_precision,average_precision,average_precision
,,,,,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
stream,mode,level,policy,guarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBF_I,clean,none,confirmed,False,0.6624473331924188,0.035530129925959865,0.6056647643204397,0.7070978651447897,12,0.6618670055756187,0.03621686461185594,0.6045415055928121,0.7075742756901842,12,,,,,0,0.0,0.0,0.0,0.0,12,1.3666666666666665,0.7523699927965004,0.3999999999999999,2.8,12,97596.66666666667,1429.5029863133511,95760.0,100320.0,12,18.33836390664801,0.4263305144114794,17.639206720050424,19.01586512001231,12,7.194444444444444,4.875124102711132,1.3333333333333333,16.333333333333332,12,15.506944444444443,9.995040331532245,7.666666666666667,37.25,12,0.0,0.0,0.0,0.0,12,0.19444444444444442,0.22285264114050715,0.0,0.6666666666666666,12,0.12578616352201252,0.12905974671760348,0.0188679245283018,0.3962264150943396,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,clean,none,confirmed,True,0.6834858733178327,0.030089458386099405,0.6199239061509194,0.7180596068484464,12,0.6827471359301787,0.03059688407578071,0.6189021071941019,0.7176690448014214,12,,,,,0,0.22389558232931725,0.047553413792753865,0.1365461847389558,0.2891566265060241,12,0.19999999999999996,0.3190896140869862,0.0,0.7999999999999999,12,99180.0,3048.624130802138,95000.0,105640.0,12,28.56229486000569,2.669929267670038,24.179659439995884,32.15301632005721,12,8.8125,5.377436610035444,4.333333333333333,21.33333333333333,12,11.625,5.297405025104273,8.0,19.5,4,0.027777777777777776,0.09622504486493763,0.0,0.3333333333333333,12,0.8888888888888888,0.1641219879724436,0.6666666666666666,1.0,12,0.12106918238993704,0.1337696615907527,0.0188679245283018,0.4339622641509434,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,clean,none,immediate,False,0.57738568308321,0.04028357985525598,0.5324793912492074,0.6478123018389347,12,0.5754873127688009,0.040767390442346584,0.5280425274268978,0.6462343458048384,12,,,,,0,0.0,0.0,0.0,0.0,12,17.099999999999998,20.061088522990786,2.0,54.4,12,95000.0,0.0,95000.0,95000.0,12,17.605946276662873,0.46493390926503314,17.03975511994213,18.64271828001365,12,7.388888888888889,5.889270046746174,0.6666666666666666,16.333333333333332,12,7.388888888888889,5.889270046746174,0.6666666666666666,16.333333333333332,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.1556603773584905,0.18801340489981064,0.0188679245283018,0.5471698113207547,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,clean,none,immediate,True,0.6283495385048968,0.057892187133902366,0.5419615303318537,0.7021686746987952,12,0.6269923092483437,0.05857077492104594,0.5378539379850205,0.7022501973350233,12,,,,,0,0.30856760374832665,0.08999492961202613,0.2008032128514056,0.4497991967871486,12,7.666666666666667,11.92684773817864,0.0,28.8,12,95000.0,0.0,95000.0,95000.0,12,23.009115850025168,3.6490089723082426,19.190899720042943,30.670108679961416,12,7.979166666666667,6.005061522489914,1.6666666666666667,21.33333333333333,12,19.26666666666667,13.310733161022746,2.6666666666666665,39.5,10,0.027777777777777776,0.09622504486493763,0.0,0.3333333333333333,12,0.3888888888888889,0.39780542762657006,0.0,1.0,12,0.16823899371069176,0.21579710258485363,0.0188679245283018,0.6037735849056604,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,clean,none,none,False,0.7001705065877545,0.029014197156352027,0.6666920312830269,0.7180131050517861,3,0.6999990144052384,0.029619013872134017,0.6658418734570843,0.718578675963701,3,,,,,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,95000.0,0.0,95000.0,95000.0,3,18.09621170669173,0.08951672983017889,18.01912388000637,18.19439072003588,3,,,,,0,,,,,0,1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,clean,none,none,True,0.686380610159938,0.029622303085404297,0.6528218135700697,0.7088902980342422,3,0.6858874333843588,0.030211393198121987,0.6516275306791145,0.7087114675377425,3,,,,,0,0.1941097724230254,0.03040914776867618,0.1726907630522088,0.2289156626506024,3,0.0,0.0,0.0,0.0,3,95000.0,0.0,95000.0,95000.0,3,28.57236282667145,1.3688836200031025,27.564179559983312,30.130739639978856,3,,,,,0,,,,,0,1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,clean,none,rl,True,0.5965668522041381,0.06053443035950513,0.5380173324878461,0.6850391037835553,9,0.5946974170800883,0.06142918762270278,0.5339074384244741,0.6855197414514087,9,,,,,0,0.4261490406068719,0.10681229407348698,0.2730923694779116,0.5301204819277109,9,29.200000000000003,22.289010745208056,0.0,52.400000000000006,9,95000.0,0.0,95000.0,95000.0,9,23.779516275568557,6.665980152081752,19.211952439974997,37.12967075994239,9,9.65,5.1782129049401675,4.666666666666667,16.5,5,12.177083333333334,19.053623030679443,1.3333333333333333,51.5,8,0.5555555555555556,0.4714045207910317,0.0,1.0,9,0.2222222222222222,0.37267799624996495,0.0,1.0,9,0.016771488469601654,0.028992278167587673,0.0,0.0754716981132075,9,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,clean,none,rl_alarm,True,0.6012757462598933,0.06862180362088614,0.5380173324878461,0.7088902980342422,9,0.5994878608706544,0.06957580337213223,0.5339074384244741,0.7087114675377425,9,,,,,0,0.39937527889335117,0.15597008869099746,0.1726907630522088,0.5301204819277109,9,33.06666666666667,24.87890672839142,0.0,52.400000000000006,9,95000.0,0.0,95000.0,95000.0,9,25.92874400002054,9.608853531784266,19.30073264008388,42.158632920030506,9,7.111111111111111,0.19245008972987515,7.0,7.333333333333333,3,1.7777777777777777,0.6885303726590963,1.3333333333333333,2.6666666666666665,6,0.6666666666666666,0.5,0.0,1.0,9,0.3333333333333333,0.5,0.0,1.0,9,0.016771488469601654,0.025740103056202644,0.0,0.0566037735849056,9,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
