condition,stream,mode,level,base_key,rl_seed,host_accuracy,host_macro_f1,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,roc_auc
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,RBF_I__base_s1,7.0,0.00022387168669901758,0.000824391327246099,0.13809014686849358,-0.01811868184350862,-39.0,0.0,1.5485676999669522,,
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,RBF_I__base_s1,17.0,-0.023533926666704286,-0.024033774987597067,-0.19813339173503602,0.1480831419203007,15.0,0.0,-24.793948900187388,,
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,RBF_I__base_s1,27.0,-0.0009876348121519163,-0.0009001427099994963,0.1912599605788507,-0.05924115784661754,-1.0,0.0,2.5742189998272806,,
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,RBF_I__base_s1,7.0,-1.1287254996106277e-05,0.0007447724054006066,0.18578480095688937,-0.05571389066036092,-25.0,0.0,1.6074161999858916,,
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,RBF_I__base_s1,17.0,-0.002236313675755608,-0.0021953270447965245,-0.0156206180941163,0.02087191127571042,0.0,0.0,-0.984571099979803,,
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,RBF_I__base_s1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3617902998812568,,
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,RBF_I__base_s1,7.0,0.0030860283238216546,0.0029164198357646276,0.00844130349430705,-0.007959500627202631,-31.0,0.0,2.0439208999741822,,
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,RBF_I__base_s1,17.0,-0.008526738533079725,-0.012374506949564879,-0.11467920838811907,0.11706389509558313,1.0,0.0,-16.675316500244662,,
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,RBF_I__base_s1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8210691998247128,,
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,RBF_I__base_s1,7.0,0.0050517860917354,0.004821698305593536,0.009726576986615498,-0.0074649603900061035,-25.0,0.0,-0.4141981001012027,,
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,RBF_I__base_s1,17.0,-0.06686243280907833,-0.0700206623856916,-0.18492843109738988,0.05231435397173001,20.0,0.0,-32.80822200002149,,
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,RBF_I__base_s1,27.0,0.0019211626518017555,0.002274044968728961,0.12029188885770425,-0.021222377065498788,-15.0,0.0,0.7014969999436289,,
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,RBF_I__base_s1,7.0,0.00011447342225756607,0.0005402171546861068,0.13620544484984565,0.005240891897272504,-41.0,0.0,1.1930724999401718,,
RBF_I__base_s1__splice__severe__a1,RBF_I,splice,severe,RBF_I__base_s1,17.0,0.0034312286959073957,0.0038205656557208645,-0.38802776560973146,0.1488126142802321,5.0,0.0,-21.06207759981045,,
RBF_I__base_s1__splice__severe__a1,RBF_I,splice,severe,RBF_I__base_s1,27.0,0.007347795661301615,0.007781625130051761,-0.050426256023182986,0.009915573714982251,-18.0,0.0,0.42401539999990945,,
RBF_I__base_s1__splice__severe__a1,RBF_I,splice,severe,RBF_I__base_s1,7.0,0.007866994740287625,0.009068381634893652,-0.07740000673922567,0.06521591909523916,-54.0,0.0,1.0004454001318592,,
RBF_I__base_s2__clean__none__anone,RBF_I,clean,none,RBF_I__base_s2,17.0,0.005094060452335625,0.005304860312749904,,0.0441767068273092,1.0,0.0,-8.595586400013417,,
RBF_I__base_s2__clean__none__anone,RBF_I,clean,none,RBF_I__base_s2,27.0,0.0,0.0,,0.0,0.0,0.0,0.060289000160992146,,
RBF_I__base_s2__clean__none__anone,RBF_I,clean,none,RBF_I__base_s2,7.0,0.001847389558232937,0.0015079274159449652,,-0.01606425702811254,-29.0,0.0,1.769246500218287,,
RBF_I__base_s2__concept__moderate__a2,RBF_I,concept,moderate,RBF_I__base_s2,17.0,-0.07115403763815598,-0.0727112341176297,-0.4303446343513589,0.2215025390819477,13.0,0.0,-38.64060729998164,,
RBF_I__base_s2__concept__moderate__a2,RBF_I,concept,moderate,RBF_I__base_s2,27.0,0.002125858807129344,0.002462127218241017,0.0599047352199496,-0.003544757542567001,-16.0,0.0,0.9812568998895586,,
RBF_I__base_s2__concept__moderate__a2,RBF_I,concept,moderate,RBF_I__base_s2,7.0,0.004814298516379489,0.005063322763212086,0.12496497618380503,0.003285870755750264,-40.0,0.0,1.2586936000734568,,
RBF_I__base_s2__concept__severe__a2,RBF_I,concept,severe,RBF_I__base_s2,17.0,-0.09058731879149173,-0.09161529928393553,-0.37819412180587825,0.1734916226346927,12.0,0.0,-36.905120699666455,,
RBF_I__base_s2__concept__severe__a2,RBF_I,concept,severe,RBF_I__base_s2,27.0,-0.002602402565144768,-0.0025954935747177776,0.15161768171565163,-0.034960258320914095,4.0,0.0,0.1199752998072654,,
RBF_I__base_s2__concept__severe__a2,RBF_I,concept,severe,RBF_I__base_s2,7.0,-0.0005814478616267271,-0.0007085981754324511,0.19841430158569842,-0.035355417061825434,-26.0,0.0,1.2392724000383168,,
RBF_I__base_s2__instance__moderate__a2,RBF_I,instance,moderate,RBF_I__base_s2,17.0,-0.007545973367152792,-0.007974070559165214,-0.03184409311729519,0.0369067229358164,0.0,0.0,-3.665862300200402,,
RBF_I__base_s2__instance__moderate__a2,RBF_I,instance,moderate,RBF_I__base_s2,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6965750001836497,,
RBF_I__base_s2__instance__moderate__a2,RBF_I,instance,moderate,RBF_I__base_s2,7.0,0.0026379201014584686,0.0027733829554500433,0.05484260481311953,-0.05174207097676409,-23.0,0.0,1.6028566998429596,,
RBF_I__base_s2__instance__severe__a2,RBF_I,instance,severe,RBF_I__base_s2,17.0,-0.023758190657366285,-0.024744659333442165,-0.07864185483056829,0.07552112739673439,0.0,0.0,-8.203968300018445,,
RBF_I__base_s2__instance__severe__a2,RBF_I,instance,severe,RBF_I__base_s2,27.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25252029998227954,,
RBF_I__base_s2__instance__severe__a2,RBF_I,instance,severe,RBF_I__base_s2,7.0,0.0006637074614246341,0.0010563267065039073,0.04529393949591143,-0.04380180220872193,-18.0,0.0,-0.23596989992074668,,
RBF_I__base_s2__splice__moderate__a2,RBF_I,splice,moderate,RBF_I__base_s2,17.0,-0.013048175197017065,-0.01370829506729243,-0.2379831273298018,0.14690522773322193,13.0,0.0,-24.809895900078118,,
RBF_I__base_s2__splice__moderate__a2,RBF_I,splice,moderate,RBF_I__base_s2,27.0,0.0061780943988928305,0.006242178763356865,0.08461560021301051,-0.01334687436215276,-10.0,0.0,3.0216960997786373,,
RBF_I__base_s2__splice__moderate__a2,RBF_I,splice,moderate,RBF_I__base_s2,7.0,0.010076118503915432,0.010346906742823792,0.016592393284565243,0.007676568543990958,-40.0,0.0,2.686212999979034,,
RBF_I__base_s2__splice__severe__a2,RBF_I,splice,severe,RBF_I__base_s2,17.0,-0.03377737638293077,-0.03339432455214908,-0.19281023741370606,0.03188643034545047,1.0,0.0,-5.14410059992224,,
RBF_I__base_s2__splice__severe__a2,RBF_I,splice,severe,RBF_I__base_s2,27.0,0.00180627681192147,0.001982294371016935,0.042448223606667695,-0.007219462632648388,-6.0,0.0,0.8306976000312716,,
RBF_I__base_s2__splice__severe__a2,RBF_I,splice,severe,RBF_I__base_s2,7.0,0.0028956875141115113,0.0027653949362862473,0.12077790873884492,-0.013135019191691133,-33.0,0.0,1.2912366997916251,,
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,17.0,0.020705981822024766,0.024086087393977662,,0.048192771084337296,3.0,0.0,-17.91533969994634,,
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,27.0,0.0,0.0,,0.0,0.0,0.0,-0.007095900131387722,,
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,7.0,-0.0015726062143308628,-0.0018500749988328291,,-0.008032128514056214,-3.0,0.0,-1.3619526000693423,,
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,SEA_A__base_s0,17.0,0.009547738693467478,0.011547716967749255,-0.47125984251968506,0.31365739589034286,21.0,0.0,-24.491716999793425,,
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,SEA_A__base_s0,27.0,-0.0011791631424448168,-0.0013253343966042053,0.1447412823397075,-0.06892382705607236,-18.0,0.0,0.06645470019429922,,
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,SEA_A__base_s0,7.0,-3.4827603363374315e-05,9.912615888785226e-06,0.1510686164229471,-0.0488979551221454,-40.0,0.0,1.2150280000641942,,
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,SEA_A__base_s0,17.0,0.010528098450421908,0.012665062473319888,-0.5084757175321943,0.3818566710886562,24.0,0.0,-24.164331400068477,,
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,SEA_A__base_s0,27.0,0.0034209263597615447,0.003602156821564284,0.129096877367225,-0.05860171046317986,-19.0,0.0,0.48529529990628184,,
