condition,stream,mode,level,base_key,rl_seed,host_accuracy,host_macro_f1,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,roc_auc
radar__concept__moderate__a1,radar,concept,moderate,radar,27.0,0.04809208370873941,0.03276098678745931,0.06376584346008096,-0.0398220574985666,-102.0,0.0,130.61530199972907,0.04309267984222509,0.040693139734814254
radar__concept__moderate__a1,radar,concept,moderate,radar,7.0,0.06791096731919077,0.047179368483011686,0.07268028514598479,-0.060134941436645106,-123.0,0.0,144.91825959994458,0.05932629462041228,0.07046351649208371
radar__concept__moderate__a2,radar,concept,moderate,radar,17.0,0.021441696908894525,0.06142256898677401,-0.27120047652947066,0.2512783632855088,100.0,0.0,-1538.290291900048,-0.021035309457214435,-0.02765656589992771
radar__concept__moderate__a2,radar,concept,moderate,radar,27.0,0.030411993837239693,-0.0009444940644277589,0.01739042001423774,-0.0650135386221829,-96.0,0.0,107.15087060001679,0.03583520851296507,0.043278310940812914
radar__concept__moderate__a2,radar,concept,moderate,radar,7.0,0.05355049726924199,0.014275475794917614,0.05536749429762744,-0.09479338885277461,-107.0,0.0,133.9990417000372,0.051549914828289634,0.06427535996350642
radar__concept__severe__a0,radar,concept,severe,radar,17.0,-0.001897439617030483,0.055460674491068174,-0.2639742362259553,0.2813432944077755,114.0,0.0,-1557.5936524001881,0.045932488125596804,-0.02215765773681677
radar__concept__severe__a0,radar,concept,severe,radar,27.0,0.03950968303474289,0.021130339049184488,0.11979284533031598,-0.0868557336621455,-96.0,0.0,125.87555310013704,0.026897185192347184,0.05104356120000153
radar__concept__severe__a0,radar,concept,severe,radar,7.0,0.05973453253064476,0.04728011420653527,0.125737662111585,-0.0876303764415754,-114.0,0.0,143.7544230001513,0.0365659104917756,0.06548116104160484
radar__concept__severe__a1,radar,concept,severe,radar,17.0,-0.001853974148811166,0.06781330089850302,-0.28500435161009574,0.2963834447942205,118.0,0.0,-1754.227335799951,-0.005663070972022344,-0.0008480459670547891
radar__concept__severe__a1,radar,concept,severe,radar,27.0,0.05407859805898485,0.03797034926692722,0.07216710182767616,-0.06138714403841411,-102.0,0.0,129.49195389985107,0.03794731448407407,0.06024093894295002
radar__concept__severe__a1,radar,concept,severe,radar,7.0,0.06115213323081836,0.0514202726967532,0.08344647519582238,-0.07967736787895502,-106.0,0.0,137.8966947000008,0.05542227198142324,0.06537308559186072
radar__concept__severe__a2,radar,concept,severe,radar,17.0,0.038923475929933615,0.0981323911143765,-0.2811871533914314,0.28938619445201946,123.0,0.0,-1533.692138500046,-0.04402078906631668,-0.012888108204359816
radar__concept__severe__a2,radar,concept,severe,radar,27.0,0.06675621261263343,0.06377819736740709,0.06471187414572144,-0.052848547440978,-106.0,0.0,115.86542159994133,0.04725804457995131,0.05580105776022304
radar__concept__severe__a2,radar,concept,severe,radar,7.0,0.07638772040777242,0.06665882676630663,0.07025761124121777,-0.07856061177480839,-116.0,0.0,143.87973389984109,0.055716110349211534,0.06241490694990781
radar__instance__moderate__a0,radar,instance,moderate,radar,17.0,-0.044263597097255025,-0.024080807839202467,-0.17525354969574025,0.17335774366590279,70.0,0.0,-1904.2077706998684,-0.10761151324345897,0.000956928703492177
radar__instance__moderate__a0,radar,instance,moderate,radar,27.0,0.0365867722737806,0.031540151423641805,0.026238771370617253,-0.026985366603080263,-46.0,0.0,20.78624780010432,0.0311151772820637,0.0412419624959206
radar__instance__moderate__a0,radar,instance,moderate,radar,7.0,0.03381240956121545,0.004558168888019076,0.07954216169226314,-0.07837765174307698,-103.0,0.0,66.60798929980956,0.01843231170788151,0.044354289928529966
radar__instance__moderate__a1,radar,instance,moderate,radar,17.0,0.0232045521308194,0.11663339488503183,-0.17852123389889463,0.1752127779427881,56.0,0.0,-1515.0609846999869,-0.019383078151207767,-0.005534593472351634
radar__instance__moderate__a1,radar,instance,moderate,radar,27.0,0.03060720463916966,0.02845235842699334,0.029992610516249574,-0.031186947571105184,-58.0,0.0,21.925673599820556,0.023674981388298377,0.0314141293777479
radar__instance__moderate__a1,radar,instance,moderate,radar,7.0,0.029305974127707746,0.011738471433029585,0.08538476027645359,-0.0870750842406055,-113.0,0.0,63.83201739983633,0.017355972338078174,0.0021130485495893803
radar__instance__moderate__a2,radar,instance,moderate,radar,17.0,0.005722803085526529,0.07758971261941988,-0.13985832008096,0.1406934002740814,70.0,0.0,-1461.544117700076,-0.029428912269371832,0.025434653352300107
radar__instance__moderate__a2,radar,instance,moderate,radar,27.0,0.024094524169595233,0.008362418914849012,0.04412317478675731,-0.0457177986398391,-49.0,0.0,22.991607300005825,0.008355084358098064,0.019944006686940186
radar__instance__moderate__a2,radar,instance,moderate,radar,7.0,0.052876089345359256,0.030865156462412113,0.08509469423160332,-0.08712714046030301,-100.0,0.0,61.4634389998391,-0.006493914197813311,0.03054300223577311
radar__instance__severe__a0,radar,instance,severe,radar,17.0,-0.02525866852349512,0.07105670394185598,-0.17671261414534223,0.17537409869294138,72.0,0.0,-1681.2643454999197,0.03743867107965804,-0.020242173178902423
radar__instance__severe__a0,radar,instance,severe,radar,27.0,0.005344184174164712,-0.0004540760734759175,0.04066699072948854,-0.03881101518464636,-45.0,0.0,25.37940079998225,-0.0010494308855582002,0.0019401893249932911
radar__instance__severe__a0,radar,instance,severe,radar,7.0,0.024061884608270967,8.223684478947391e-07,0.09021388146244924,-0.08844497489553116,-109.0,0.0,65.24326799996197,-0.012951950416632996,0.008771566948515774
radar__instance__severe__a1,radar,instance,severe,radar,17.0,-0.017016091303732828,0.016528508612104198,-0.16566670429187902,0.1652758178133185,64.0,0.0,-1713.6055113999173,0.021293580532608658,0.014586063832297214
radar__instance__severe__a1,radar,instance,severe,radar,27.0,0.009001991013240729,0.013296591350964615,0.0378567521337837,-0.03699251438759088,-53.0,0.0,21.109739900101033,0.005637327449344864,0.013282885626775154
radar__instance__severe__a1,radar,instance,severe,radar,7.0,0.008653835692448264,-0.007669900066105684,0.07027810820432223,-0.07028577733642277,-112.0,0.0,57.975704699987546,-0.027809918467292638,0.011744209125934768
radar__instance__severe__a2,radar,instance,severe,radar,17.0,0.019801333870072768,0.0758643191130588,-0.14271457085828343,0.14260821583632216,76.0,0.0,-1360.689463800285,-0.00658809389267101,-0.0142864228085815
radar__instance__severe__a2,radar,instance,severe,radar,27.0,0.01928345283039401,0.024763476804308016,0.03127657728022215,-0.03091756574266341,-55.0,0.0,20.975845000008064,-0.0017311124864336502,0.004797591472783247
radar__instance__severe__a2,radar,instance,severe,radar,7.0,0.04997552032900676,0.04324247835713002,0.05469929705805776,-0.0534276213571086,-117.0,0.0,60.6193458000198,0.01206397043654528,0.03712642646511677
radar__splice__moderate__a0,radar,splice,moderate,radar,17.0,-0.0751511057202664,-0.020828885954318588,-0.336381744427805,0.2592569846412103,88.0,0.0,-1254.7639591000045,-0.19544297778762354,-0.14630900453096096
radar__splice__moderate__a0,radar,splice,moderate,radar,27.0,0.023631859892626728,0.010991403150847345,0.07374343913113013,-0.03077899412977947,-58.0,0.0,29.665662399958848,0.03302949583146475,0.015362867932820712
radar__splice__moderate__a0,radar,splice,moderate,radar,7.0,0.02708899499982087,0.015798799327466417,0.10615158696695215,-0.06397107368227117,-118.0,0.0,70.60665049985982,0.07308309514418321,0.05248176695343676
radar__splice__moderate__a1,radar,splice,moderate,radar,17.0,-0.06587788975724884,0.008007190885059523,-0.2773150700832874,0.2283084216696916,76.0,0.0,-1445.6367909000255,-0.13193870851600065,-0.13973221631544097
radar__splice__moderate__a1,radar,splice,moderate,radar,27.0,0.000934347377555711,0.0043592297995984075,0.06330711860471872,-0.03260488369295039,-85.0,0.0,48.37717540003359,0.019691001122477125,-0.004953907413448366
radar__splice__moderate__a1,radar,splice,moderate,radar,7.0,0.011186569972379212,0.017872810677823925,0.10180214167561452,-0.06472339477840605,-121.0,0.0,71.3992672001477,0.04575682487239774,0.012412408356810456
radar__splice__moderate__a2,radar,splice,moderate,radar,17.0,-0.10370150430404501,-0.05521114844038755,-0.3424788781465029,0.27761410262645303,84.0,0.0,-1207.6718458998948,-0.17161126793018022,-0.16138128731405943
radar__splice__moderate__a2,radar,splice,moderate,radar,27.0,0.017786981127728918,-0.002397127461190973,0.04000812937316722,-0.03428390059358194,-78.0,0.0,38.15143040008846,0.015585313355922281,0.02115236015756361
radar__splice__moderate__a2,radar,splice,moderate,radar,7.0,0.0020016432928311456,-0.029343513610059102,0.04495833696251772,-0.05772769972279024,-125.0,0.0,70.42614390002566,0.0744282504752578,0.036300054463677234
radar__splice__severe__a0,radar,splice,severe,radar,17.0,-0.07205996726525599,-0.03558323989602186,-0.34771302086504263,0.2837330377146041,95.0,0.0,-1357.7532041999511,-0.17190685252042992,-0.11262992427951513
radar__splice__severe__a0,radar,splice,severe,radar,27.0,0.013178056113387515,0.0035972820349216006,0.06428242170173165,-0.03368950746979005,-72.0,0.0,38.40658809989691,0.008095156496510825,0.01806595918367182
radar__splice__severe__a0,radar,splice,severe,radar,7.0,0.03802221783695314,-0.0019258082637529927,0.0979761169625229,-0.05553008230118295,-113.0,0.0,82.61836550012231,0.01596577580552716,0.060789277588406354
radar__splice__severe__a1,radar,splice,severe,radar,17.0,-0.08212961297174326,-0.008212622349781096,-0.31274850137899235,0.2981580031686524,101.0,0.0,-1400.0784436000977,-0.16168154539754576,-0.12265517232801137
radar__splice__severe__a1,radar,splice,severe,radar,27.0,0.03515114936191699,0.027009313362793497,0.04080425269055754,-0.03325343996100122,-83.0,0.0,54.95637150015682,0.018081390141223563,0.045415378293955366
radar__splice__severe__a1,radar,splice,severe,radar,7.0,0.006700016829838784,-0.012939207133129904,0.04732075274710934,-0.05313296152931002,-117.0,0.0,159.33161600003942,0.03210820171379092,0.041258671734008656
radar__splice__severe__a2,radar,splice,severe,radar,17.0,-0.09843275831055875,-0.0443261892290403,-0.3643097760330074,0.30026807318049686,104.0,0.0,-1377.2764913996216,-0.24063696453615324,-0.17169301097196743
radar__splice__severe__a2,radar,splice,severe,radar,27.0,0.017352226109863644,0.01624610969731033,0.07315268577596334,-0.06657150649004001,-76.0,0.0,20.95254460023716,0.010444466799614083,0.020614807329190743
radar__splice__severe__a2,radar,splice,severe,radar,7.0,0.0046796757591055504,-0.0012626255289290844,0.08005536067129171,-0.08080781706036289,-116.0,0.0,97.62515470013017,-0.002763493481824253,0.018896585008566946
